In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa925.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max    
0  	25   	799.503	389.585	122.07	1546.01 (122.06985404494677,)
1  	25   	404.993	214.759	104.838	924.029 (104.83810662468035,)
2  	25   	278.686	168.737	85.889 	818.054 (85.889035585130699,)
3  	25   	284.133	210.155	70.6952	919.777 (70.695154006955832,)
4  	25   	280.838	291.656	22.5783	1481.55 (22.578283754309439,)
5  	25   	295.916	294.294	44.4109	1149.15 (22.578283754309439,)
6  	25   	351.341	305.581	30.4513	1380.41 (22.578283754309439,)
7  	25   	435.568	416.91 	34.397 	1662.45 (22.578283754309439,)
8  	25   	352.112	311.842	47.5265	1363.77 (22.578283754309439,)
9  	25   	315    	209.007	28.0189	783.173 (22.578283754309439,)
10 	25   	385.955	390.574	29.1607	1397.5  (22.578283754309439,)
11 	25   	382.423	385.615	52.2451	1616.93 (22.578283754309439,)
12 	25   	361.723	329.062	19.0981	1525.12 (19.098112635589565,)
13 	25   	497.08 	399.031	24.5186	1531.74 (19.098112635589565,)
14 	25   	392.109	416.748	19.5704	1627.46 (19.098112635589565,)
15 	25   	597.16 	419.107	163.814	1533.65 (19.098112635589565,)
16 	25   	507.848	432.481	40.8712	1668.97 (19.098112635589565,)
17 	25   	405.939	334.859	23.455 	1437.46 (19.098112635589565,)
18 	25   	469.068	448.599	40.8197	1586.56 (19.098112635589565,)
19 	25   	436.887	394.739	49.9708	1623.72 (19.098112635589565,)
20 	25   	561.71 	447.203	27.1551	1680.77 (19.098112635589565,)
21 	25   	433.548	403.053	19.3604	1658.86 (19.098112635589565,)
22 	25   	403.464	320.946	29.0913	1551.32 (19.098112635589565,)
23 	25   	375.588	446.43 	22.0791	1580.47 (19.098112635589565,)
24 	25   	208.334	183.545	41.7166	769.123 (19.098112635589565,)
25 	25   	407.645	417.753	15.6607	1860.37 (15.660657111730131,)
26 	25   	310.436	236.978	31.5414	838.558 (15.660657111730131,)
27 	25   	345.776	463.519	17.5013	1720.62 (15.660657111730131,)
28 	25   	400.584	315.868	22.383 	1514.43 (15.660657111730131,)
29 	25   	302.615	244.634	28.1532	1211.88 (15.660657111730131,)
30 	25   	333.233	322.383	18.883 	1336.86 (15.660657111730131,)
31 	25   	310.133	265.433	15.1362	994.029 (15.136193523165957,)
32 	25   	388.501	280.611	20.3876	910.999 (15.136193523165957,)
33 	25   	378.831	321.28 	28.4213	1132.29 (15.136193523165957,)
34 	25   	432.676	461.673	34.8219	1708.14 (15.136193523165957,)
35 	25   	329.712	257.664	41.1274	845.914 (15.136193523165957,)
36 	25   	398.328	373.158	26.1739	1666.58 (15.136193523165957,)
37 	25   	357.913	280.45 	29.6582	1100.45 (15.136193523165957,)
38 	25   	357.92 	300    	18.7974	1329.81 (15.136193523165957,)
39 	25   	242.012	233.286	36.5301	813.96  (15.136193523165957,)
40 	25   	320.751	297.204	42.9071	1366.83 (15.136193523165957,)
41 	25   	432.021	335.668	27.1435	999.073 (15.136193523165957,)
42 	25   	396.211	414.333	23.4934	1511.2  (15.136193523165957,)
43 	25   	372.652	226.934	36.5915	951.949 (15.136193523165957,)
44 	25   	404.822	388.937	42.6292	1754.77 (15.136193523165957,)
45 	25   	384.714	229.816	41.7496	906.293 (15.136193523165957,)
46 	25   	386.723	405.392	18.1338	1520.03 (15.136193523165957,)
47 	25   	380.341	335.072	15.0997	1069.82 (15.099716519830555,)
48 	25   	393.913	347.605	21.4159	1436.34 (15.099716519830555,)
49 	25   	374.494	326.104	31.9869	1416.94 (15.099716519830555,)
50 	25   	283.433	198.162	31.6039	709.666 (15.099716519830555,)
51 	25   	257.306	163.188	19.5106	602.439 (15.099716519830555,)
52 	25   	365.715	342.481	26.4626	1378.31 (15.099716519830555,)
53 	25   	506.762	450.936	26.1467	1580.86 (15.099716519830555,)
54 	25   	332.107	335.55 	16.0431	1384.58 (15.099716519830555,)
55 	25   	314.112	233.688	38.3683	720.957 (15.099716519830555,)
56 	25   	457.536	393.996	26.536 	1599.22 (15.099716519830555,)
57 	25   	314.947	302.532	41.8304	1169.85 (15.099716519830555,)
58 	25   	396.407	381.774	14.0336	1455.69 (14.033631268801853,)
59 	25   	404.783	326.363	34.9236	1207.08 (14.033631268801853,)
60 	25   	382.149	319.886	28.0636	1431.95 (14.033631268801853,)
61 	25   	304.517	221.088	34.2184	955.019 (14.033631268801853,)
62 	25   	339.117	282.817	27.4664	1349.7  (14.033631268801853,)
63 	25   	387.999	336.578	20.2377	1536.87 (14.033631268801853,)
64 	25   	316.853	263.461	24.0062	919.602 (14.033631268801853,)
65 	25   	303.948	330.56 	19.6802	1293.82 (14.033631268801853,)
66 	25   	290.69 	295.33 	21.5064	1032.86 (14.033631268801853,)
67 	25   	433.473	454.441	27.8178	1755.3  (14.033631268801853,)
68 	25   	510.199	389.078	22.4811	1482.71 (14.033631268801853,)
69 	25   	344.781	314.497	17.4499	1107.77 (14.033631268801853,)
70 	25   	527.49 	481.428	44.556 	1704.57 (14.033631268801853,)
71 	25   	459.819	435.039	33.2857	1531.02 (14.033631268801853,)
72 	25   	525.113	400.345	47.2562	1339.48 (14.033631268801853,)
73 	25   	449.07 	387.303	14.2656	1547.01 (14.033631268801853,)
74 	25   	403.177	243.696	71.5992	1029.65 (14.033631268801853,)
75 	25   	442.055	421.172	25.4905	1558.75 (14.033631268801853,)
76 	25   	548.745	467.098	42.1151	1631.21 (14.033631268801853,)
77 	25   	388.61 	320.331	20.0642	1160.92 (14.033631268801853,)
78 	25   	347.431	312.937	23.8922	1128.73 (14.033631268801853,)
79 	25   	459.617	406.91 	31.2724	1639.72 (14.033631268801853,)
80 	25   	429.696	358.731	15.3633	1270.28 (14.033631268801853,)
81 	25   	476.441	432.91 	31.1741	1544.7  (14.033631268801853,)
82 	25   	449.059	393.305	18.105 	1358.49 (14.033631268801853,)
83 	25   	322.036	283.762	30.9636	989.43  (14.033631268801853,)
84 	25   	494.804	405.177	27.6884	1689.92 (14.033631268801853,)
85 	25   	370.914	266.211	38.5381	1004.75 (14.033631268801853,)
86 	25   	466.492	523.564	39.1406	1809.5  (14.033631268801853,)
87 	25   	405.551	382.282	29.7955	1217.32 (14.033631268801853,)
88 	25   	531.276	397.166	72.7388	1507.51 (14.033631268801853,)
89 	25   	443.544	290.085	52.4455	1109.02 (14.033631268801853,)
90 	25   	567.775	437.099	47.0905	1569.72 (14.033631268801853,)
91 	25   	444.162	436.313	18.6315	1550.48 (14.033631268801853,)
92 	25   	452.26 	386.647	15.1925	1322.5  (14.033631268801853,)
93 	25   	339.026	261.22 	26.1101	927.678 (14.033631268801853,)
94 	25   	390.741	349.067	24.836 	1362.88 (14.033631268801853,)
95 	25   	448.208	398.973	28.51  	1365.11 (14.033631268801853,)
96 	25   	397.841	316.347	33.66  	1326.11 (14.033631268801853,)
97 	25   	528.796	479.955	20.3413	1649.82 (14.033631268801853,)
98 	25   	389.399	420.054	18.8575	1516.71 (14.033631268801853,)
99 	25   	403.729	359.51 	12.1249	1307.3  (12.124917604444249,)
100	25   	329.962	225.966	38.2973	840.51  (12.124917604444249,)
101	25   	386.881	294.963	16.3479	1213.96 (12.124917604444249,)
102	25   	304.647	264.878	32.5093	845.896 (12.124917604444249,)
103	25   	416.636	324.749	26.8773	1172.54 (12.124917604444249,)
104	25   	385.865	323.546	22.0485	1107.46 (12.124917604444249,)
105	25   	583.306	380.371	143.959	1489.69 (12.124917604444249,)
106	25   	425.959	346.171	21.2335	1257.9  (12.124917604444249,)
107	25   	411.191	308.941	24.04  	1195.54 (12.124917604444249,)
108	25   	416.138	304.073	33.5302	1023.69 (12.124917604444249,)
109	25   	464.025	317.598	37.193 	1223.65 (12.124917604444249,)
110	25   	347.813	247.234	35.0861	923.014 (12.124917604444249,)
111	25   	263.399	232.794	14.2815	883.298 (12.124917604444249,)
112	25   	413.008	344    	38.9745	1383.65 (12.124917604444249,)
113	25   	342.573	261.34 	20.4504	928.049 (12.124917604444249,)
114	25   	427.77 	252.686	16.4259	1120.58 (12.124917604444249,)
115	25   	246.957	234.788	32.246 	921.973 (12.124917604444249,)
116	25   	382.425	340.096	30.2616	1594.27 (12.124917604444249,)
117	25   	260.503	290.662	53.1294	1374.5  (12.124917604444249,)
118	25   	320.663	313.118	21.1395	1272.02 (12.124917604444249,)
119	25   	294.632	212.748	26.8291	879.853 (12.124917604444249,)
120	25   	468.933	349.175	36.1447	1249.61 (12.124917604444249,)
121	25   	447.938	343.558	37.5604	1273.44 (12.124917604444249,)
122	25   	353.51 	296.305	38.3455	1320.68 (12.124917604444249,)
123	25   	385.518	347.765	24.2212	1357.27 (12.124917604444249,)
124	25   	317.717	268.047	20.2974	924.057 (12.124917604444249,)
125	25   	368.016	229.813	26.5279	860.861 (12.124917604444249,)
126	25   	352.63 	293.851	21.1884	949.658 (12.124917604444249,)
127	25   	370.128	287.153	23.4764	1155.59 (12.124917604444249,)
128	25   	275.928	196.773	15.0361	741.934 (12.124917604444249,)
129	25   	334.749	307.724	12.8006	1238.24 (12.124917604444249,)
