In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa930.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min   	max    
0  	25   	730.97	337.751	103.96	1350.96 (103.96019742674234,)
1  	25   	340.411	195.367	64.2307	852.18  (64.23067883390901,)
2  	25   	277.565	208.749	23.6733	709.167 (23.673323126258353,)
3  	25   	377.673	212.766	46.4788	875.388 (23.673323126258353,)
4  	25   	338.873	325.676	46.7194	1363.23 (23.673323126258353,)
5  	25   	380.363	246.323	42.0909	815.109 (23.673323126258353,)
6  	25   	389.008	439.543	36.6839	1691.18 (23.673323126258353,)
7  	25   	323.539	321.959	30.2087	1618.26 (23.673323126258353,)
8  	25   	466.684	421.31 	25.2124	1545.44 (23.673323126258353,)
9  	25   	434.165	280.193	22.1872	1006.06 (22.187206276824494,)
10 	25   	393.424	391.821	16.8988	1668.78 (16.898761762157196,)
11 	25   	327.279	252.076	40.3096	958.426 (16.898761762157196,)
12 	25   	334.068	367.733	20.3065	1411.65 (16.898761762157196,)
13 	25   	385.457	352.295	26.5357	1303.27 (16.898761762157196,)
14 	25   	383.328	430.221	16.8381	1730.79 (16.83811485899885,)
15 	25   	283.884	233.903	27.6227	1024.79 (16.83811485899885,)
16 	25   	279.012	234.066	13.206 	757.317 (13.20595614259231,)
17 	25   	288.081	226.961	26.3008	871.228 (13.20595614259231,)
18 	25   	384.782	289.55 	50.6925	1070.25 (13.20595614259231,)
19 	25   	391.349	340.864	26.4025	1508.53 (13.20595614259231,)
20 	25   	395.358	297.496	16.564 	1025.15 (13.20595614259231,)
21 	25   	370.712	403.237	16.2758	1611.36 (13.20595614259231,)
22 	25   	309.056	276.457	15.8673	1117.67 (13.20595614259231,)
23 	25   	202.185	206.365	31.7693	803.93  (13.20595614259231,)
24 	25   	337.009	254.474	18.5989	954.092 (13.20595614259231,)
25 	25   	218.054	240.452	28.4709	1192.29 (13.20595614259231,)
26 	25   	216.353	155.759	22.3845	524.236 (13.20595614259231,)
27 	25   	216.242	171.12 	25.0893	733.924 (13.20595614259231,)
28 	25   	315.003	275.792	36.6345	1045.18 (13.20595614259231,)
29 	25   	329.002	322.295	36.0098	1262.69 (13.20595614259231,)
30 	25   	393.515	363.175	22.9899	1456.96 (13.20595614259231,)
31 	25   	304.318	292.708	15.2633	1255.57 (13.20595614259231,)
32 	25   	225.806	203.373	14.6356	711.716 (13.20595614259231,)
33 	25   	347.394	339.668	33.8331	1316.4  (13.20595614259231,)
34 	25   	273.222	241.5  	18.1798	909.655 (13.20595614259231,)
35 	25   	207.112	181.869	10.3626	738.602 (10.362618055469179,)
36 	25   	242.654	200.417	14.1118	805.222 (10.362618055469179,)
37 	25   	333.96 	263.44 	46.7296	1060.46 (10.362618055469179,)
38 	25   	459.218	429.369	10.0701	1496.45 (10.070125590837534,)
39 	25   	296.774	205.361	21.9043	755.7   (10.070125590837534,)
40 	25   	321.662	298.671	24.1217	1071.78 (10.070125590837534,)
41 	25   	369.632	323.482	8.06088	1237.69 (8.0608840065919836,)
42 	25   	318.531	264.944	8.72641	936.113 (8.0608840065919836,)
43 	25   	325.56 	257.242	41.8801	991.856 (8.0608840065919836,)
44 	25   	334.214	325.711	12.1364	1169.98 (8.0608840065919836,)
45 	25   	273.245	237.438	23.4085	889.775 (8.0608840065919836,)
46 	25   	341.255	292.478	23.0784	1108.03 (8.0608840065919836,)
47 	25   	408.71 	301.939	72.8858	1087.36 (8.0608840065919836,)
48 	25   	399.651	339.298	42.4905	1424.26 (8.0608840065919836,)
49 	25   	377.855	347.561	35.3277	1297.49 (8.0608840065919836,)
50 	25   	339.07 	276.781	32.7574	911.742 (8.0608840065919836,)
51 	25   	275.769	255.678	17.5454	1201.3  (8.0608840065919836,)
52 	25   	337.218	304.597	17.5495	978.627 (8.0608840065919836,)
53 	25   	359.511	399.088	23.3179	1392.83 (8.0608840065919836,)
54 	25   	484.091	348.255	17.4736	1419.98 (8.0608840065919836,)
55 	25   	254.885	217.43 	22.0465	959.776 (8.0608840065919836,)
56 	25   	368.921	381.156	30.8842	1462.92 (8.0608840065919836,)
57 	25   	354.88 	306.806	35.4084	1225.77 (8.0608840065919836,)
58 	25   	374.204	445.193	22.8069	1596.99 (8.0608840065919836,)
59 	25   	349.826	312.104	14.8334	1168.43 (8.0608840065919836,)
60 	25   	397.72 	349.597	20.8033	1323.02 (8.0608840065919836,)
61 	25   	349.004	370.881	13.5484	1316.65 (8.0608840065919836,)
62 	25   	297.819	344.9  	19.7416	1495.14 (8.0608840065919836,)
63 	25   	324.06 	296.042	18.2731	999.789 (8.0608840065919836,)
64 	25   	318.459	330.57 	32.8157	1285.39 (8.0608840065919836,)
65 	25   	390.749	352.382	25.2373	1488.72 (8.0608840065919836,)
66 	25   	357.744	354.752	38.8952	1607.47 (8.0608840065919836,)
67 	25   	363.144	310.459	22.2473	1379.86 (8.0608840065919836,)
68 	25   	274.247	310.485	11.1619	1390.84 (8.0608840065919836,)
69 	25   	345.464	257.759	23.9028	913.788 (8.0608840065919836,)
70 	25   	295.977	308.3  	18.3098	1296.19 (8.0608840065919836,)
71 	25   	274.458	174.284	26.4992	608.093 (8.0608840065919836,)
72 	25   	285.122	230.892	20.9775	928.89  (8.0608840065919836,)
73 	25   	424.548	296.347	34.5795	1140.04 (8.0608840065919836,)
74 	25   	428.466	328.811	9.13538	1336.02 (8.0608840065919836,)
75 	25   	321.464	354.22 	17.6485	1529.58 (8.0608840065919836,)
76 	25   	434.854	384.83 	17.4657	1650.33 (8.0608840065919836,)
77 	25   	307.635	254.425	15.2062	929.867 (8.0608840065919836,)
78 	25   	292.68 	240.644	14.3593	1020.11 (8.0608840065919836,)
79 	25   	345.316	283.246	33.9921	1048.16 (8.0608840065919836,)
80 	25   	301.752	301.263	18.7688	1295.52 (8.0608840065919836,)
81 	25   	188.612	126.45 	17.1295	427.88  (8.0608840065919836,)
82 	25   	297.75 	282.661	8.45993	956.483 (8.0608840065919836,)
83 	25   	343.438	337.186	23.4734	1151.69 (8.0608840065919836,)
84 	25   	460.372	378.704	23.8406	1185.87 (8.0608840065919836,)
85 	25   	347.155	297.725	15.7114	1084.1  (8.0608840065919836,)
86 	25   	237.611	230.952	16.3847	822.99  (8.0608840065919836,)
87 	25   	303.487	384.484	11.4649	1578.47 (8.0608840065919836,)
88 	25   	409.661	318.067	19.1691	1460.18 (8.0608840065919836,)
89 	25   	432.201	447.598	24.8308	1565.33 (8.0608840065919836,)
90 	25   	425.319	371.58 	30.846 	1506.63 (8.0608840065919836,)
91 	25   	308.093	341.337	23.4618	1357.38 (8.0608840065919836,)
92 	25   	310.008	319.946	13.2817	1257.24 (8.0608840065919836,)
93 	25   	286.623	229.744	25.0959	892.808 (8.0608840065919836,)
94 	25   	305.687	272.953	17.1432	886.203 (8.0608840065919836,)
95 	25   	414.053	325.674	48.6104	1418.15 (8.0608840065919836,)
96 	25   	242.915	230.863	17.1188	857.936 (8.0608840065919836,)
97 	25   	449.58 	418.05 	11.5846	1558.4  (8.0608840065919836,)
98 	25   	356.108	231.325	41.3464	864.73  (8.0608840065919836,)
99 	25   	303.336	340.619	17.1901	1566.67 (8.0608840065919836,)
