In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1817.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg                                                 	std                                                 	min                                  	max                                                 
1  	100  	[  1.94976433e+01   1.70190586e+01   1.72431114e+04]	[  2.38656619e+01   1.43692799e+01   2.92613684e+04]	[ 0.26966023  0.31671456  7.22494522]	[  1.21784614e+02   6.21598983e+01   1.48322296e+05] (0.26966023293229047, 0.82281654257947612, 81.357269358100396)
2  	100  	[   13.91141041    12.27412173  7433.93894878]      	[  1.64276500e+01   1.09136037e+01   1.37516922e+04]	[  0.21011338   0.11456571  15.23740173]	[  9.16360533e+01   5.44889829e+01   7.13009944e+04] (0.67371535729378695, 0.11456570943385878, 23.594064619480349)
3  	100  	[    8.31727594     8.72392019  2332.05963556]      	[    7.00607266     8.0919663   4560.63104255]      	[  0.17617342   0.38125376  12.51622372]	[    43.26244199     43.29486676  26100.8144253 ]    (0.67371535729378695, 0.11456570943385878, 23.594064619480349)
4  	100  	[   5.19677529    5.85192842  618.44735767]         	[    3.76531991     5.19602147  1079.7111912 ]      	[ 0.31925945  0.14200664  8.31273242]   	[   14.72334653    29.29220469  6276.22656993]       (0.3192594498160724, 0.41398188321930807, 739.14089827625332)
5  	100  	[   3.05803745    3.31984792  662.02013104]         	[    2.95607083     3.31575579  1731.75673831]      	[  0.09695022   0.07658209  34.57835117]	[  1.56747259e+01   2.14583479e+01   1.67997124e+04] (0.30366715109094494, 0.076582088029634093, 85.05397355817739)
6  	100  	[   1.98303547    2.01151856  444.0865771 ]         	[    2.36722973     2.57856013  1827.42607324]      	[  0.27878081   0.03883925  26.38320565]	[  1.15555969e+01   1.33922855e+01   1.84539764e+04] (0.30366715109094494, 0.076582088029634093, 85.05397355817739)
7  	100  	[   1.5947905     1.50572602  284.59008474]         	[    1.91577941     1.99753603  1462.88425602]      	[  0.18393786   0.0337555   26.18711529]	[  1.00812023e+01   8.40169419e+00   1.48155192e+04] (0.44233426877025878, 0.033755503475320234, 54.135289752834574)
8  	100  	[   1.72310465    1.43432908  117.82403397]         	[   1.78410053    1.8634233   353.62883226]         	[ 0.31748618  0.03892239  8.63535684]   	[    8.23207708     7.49610825  3590.05501324]       (0.41606546952162299, 0.038922391062677822, 36.302213905183095)
9  	100  	[  1.80732433   1.61794633  92.45118033]            	[   1.98956933    2.31476507  301.48153351]         	[  0.05758105   0.03297345  10.94339794]	[   11.74738875    12.65016395  3065.26601038]       (0.54462934769615612, 0.037849514911810586, 28.473579446162873)
10 	100  	[  1.48193425   1.34473109  67.90409746]            	[   1.66886472    1.95893913  172.36781792]         	[ 0.17614414  0.03544486  8.64451497]   	[    9.06723871    10.46373631  1741.42002744]       (0.36811437674117098, 0.035444858751573785, 23.558547453998433)
11 	100  	[  1.4560566    1.31620538  58.97594817]            	[   1.44705955    1.99193103  172.57883465]         	[ 0.14402368  0.03238933  8.49571501]   	[    7.86765316    10.65578723  1755.41507787]       (0.38284223741123286, 0.053830036308657847, 18.394022415196702)
12 	100  	[  1.74360171   1.90808006  62.69336987]            	[   1.9240048     2.67274885  212.85871542]         	[ 0.16331187  0.03424489  7.09783239]   	[    8.36414095    10.96159377  2143.67078253]       (0.44737128410009219, 0.062835410483488022, 10.47610542187388)
13 	100  	[  1.46893259   1.52969221  33.40681015]            	[  2.19648651   2.96738754  58.32874806]            	[ 0.23744667  0.03082367  6.9503619 ]   	[  13.05880858   16.94793546  579.45490042]          (0.33703916445594811, 0.034806862178114108, 20.525167851625895)
14 	100  	[  1.38960644   1.2713298   23.28359149]            	[  1.45242904   1.97402104  15.76311938]            	[ 0.22832645  0.03243177  4.57876381]   	[ 10.11322292  13.49608677  89.07152729]             (0.26444235684606826, 0.037758359142435534, 28.024375252601853)
15 	100  	[  1.51289759   1.50735516  32.56275703]            	[  1.56175067   2.02520658  19.26253173]            	[ 0.18297704  0.02961135  7.65191717]   	[  7.86777776  12.25638619  90.85586748]             (0.42733117973011941, 0.029611346613263985, 15.033492998485235)
16 	100  	[  1.27171028   1.28170309  29.6883562 ]            	[  1.448619     2.140086    16.39562809]            	[ 0.13706987  0.03124491  8.58533558]   	[  7.58458721  10.47508302  86.20753327]             (0.42733117973011941, 0.029611346613263985, 15.033492998485235)
17 	100  	[  1.53870849   1.59426667  22.50081184]            	[  1.68875041   2.36889995  13.3581038 ]            	[ 0.23334494  0.02591366  5.89985153]   	[  9.85586386  13.47712957  93.96589288]             (0.23334494342680706, 0.025913662394819154, 93.965892877419734)
18 	100  	[  1.47704065   1.62852802  42.02094614]            	[  1.72423869   2.61957757  38.94204676]            	[  0.17709149   0.0261168   14.6185837 ]	[   7.8448211    14.34635743  297.42060773]          (0.33795970054899777, 0.026116799849834494, 30.533934233223011)
19 	100  	[  1.32064595   1.31386956  43.10644719]            	[  1.27982326   1.93192737  22.77792523]            	[ 0.13928467  0.02880233  9.52223295]   	[   6.32706326   11.19225855  167.11606304]          (0.30639746262005413, 0.028802332798956241, 26.964269735591689)
20 	100  	[  1.15601707   1.06359459  30.92171974]            	[  1.22294154   1.46219446  14.85713131]            	[ 0.05458407  0.02940606  9.72609829]   	[  7.34202167   6.75790672  98.65184233]             (0.28024159409192367, 0.086942647484319485, 33.211142928480264)
21 	100  	[  1.28612681   1.39538524  31.74358574]            	[  1.19568988   2.1095534   15.51975439]            	[ 0.15096371  0.04001503  7.67986083]   	[  6.3674938   16.22432877  86.37828081]             (0.47447390061682337, 0.040015029671487942, 18.412006706605013)
22 	100  	[  1.40484241   1.38659847  27.83633719]            	[  1.60937751   2.47187027  12.80825476]            	[ 0.13925623  0.03208519  7.84764668]   	[  7.20653582  15.77498948  67.23243081]             (0.35150896408444987, 0.032085185665879028, 26.247253893944734)
23 	100  	[  1.84424024   2.09749896  26.21300916]            	[  2.12257245   3.25699903  11.42517579]            	[ 0.20720164  0.03005563  8.81044445]   	[ 10.58231282  15.82150774  61.02771258]             (0.48006780219951117, 0.030055626577054465, 11.276235285534172)
24 	100  	[  1.26227727   1.49975955  21.13285275]            	[ 1.7866779   2.61190954  9.22178529]               	[ 0.24465882  0.02610588  6.87494622]   	[ 12.18108178  14.75893187  59.28000729]             (0.36968106553921126, 0.030963031949933852, 14.731442270722306)
25 	100  	[  1.65404915   1.61443037  22.33427547]            	[  1.95772909   2.27412242  12.35961039]            	[ 0.14157569  0.02949446  4.10705422]   	[ 12.15205737  13.66735877  71.04724411]             (0.36968106553921126, 0.030963031949933852, 14.731442270722306)
26 	100  	[  1.12362048   0.94347883  23.71711137]            	[  1.04722544   1.15627422  12.39796437]            	[ 0.09054786  0.03118991  6.40597975]   	[  5.43159903   6.21541717  59.18833679]             (0.36968106553921126, 0.030963031949933852, 14.731442270722306)
27 	100  	[  1.41535667   1.35777369  24.29853007]            	[  1.26547507   1.8036087   11.65693593]            	[ 0.14066367  0.03280676  5.5468924 ]   	[  5.62320033   9.8107195   61.23644888]             (0.35822291129988876, 0.040362579885635533, 12.82036698934909)
28 	100  	[  1.25685968   1.22320852  19.9151695 ]            	[  1.32835084   1.93228746  11.700931  ]            	[ 0.24052061  0.02965886  5.61206586]   	[  6.87349442  10.14976679  82.74796443]             (0.3132115834171888, 0.040414360284265836, 17.881316364729852)
29 	100  	[  1.30397007   1.36461601  18.64079969]            	[ 1.23557572  1.60202256  8.67528534]               	[ 0.20191117  0.02789272  4.58977212]   	[  7.09123637   9.36261905  44.06060361]             (0.33507816768856141, 0.027892717902829902, 23.348911721261885)
30 	100  	[  1.39727912   1.34263604  26.19876099]            	[  1.37140387   1.709428    13.56215196]            	[ 0.09175477  0.02954593  9.19247256]   	[  6.38595909   8.04931093  87.24048535]             (0.091754772383383074, 0.029545926526912791, 59.285193768037267)
31 	100  	[  1.11564124   1.18960067  49.31489543]            	[  1.17154044   1.40907949  19.35673647]            	[  0.04934321   0.02821824  11.3129121 ]	[   5.02991819    7.23430372  106.77896344]          (0.32586954255431022, 0.02821824089918511, 29.489820201667147)
32 	100  	[  1.40193811   1.57191337  44.10086507]            	[  1.83197904   2.61644468  20.54084979]            	[  0.05515065   0.02230749  11.11127366]	[  10.88665836   13.5972154   105.12331794]          (0.11984979871227543, 0.022307492977665159, 38.019100418358747)
33 	100  	[  1.07446034   1.07074114  31.3004407 ]            	[  1.01890907   1.36453159  14.51250886]            	[ 0.09396325  0.02384385  6.91037588]   	[  4.97453841   7.3695786   84.59664114]             (0.11984979871227543, 0.022307492977665159, 38.019100418358747)
34 	100  	[  1.09791745   1.03844617  31.41493149]            	[  1.19831348   1.43348748  20.86346539]            	[ 0.09945247  0.02234613  4.65049539]   	[   6.86125098   10.85801701  143.54584264]          (0.11984979871227543, 0.022307492977665159, 38.019100418358747)
35 	100  	[  1.16588117   1.10595356  34.19957302]            	[  1.30213661   1.31650771  18.68599134]            	[ 0.06933763  0.0246842   8.05809396]   	[  6.15287143   6.89824659  90.85334047]             (0.11984979871227543, 0.022307492977665159, 38.019100418358747)
36 	100  	[  1.04143285   1.12511056  38.01910732]            	[  1.25872946   1.79826856  18.74185619]            	[  0.10731685   0.02588829  12.32997607]	[   8.08131899   11.58469854  105.02899065]          (0.11984979871227543, 0.022307492977665159, 38.019100418358747)
37 	100  	[  1.16011109   1.37047547  36.82992318]            	[  1.86316459   2.48373297  16.83547138]            	[ 0.06416176  0.02530921  9.60883865]   	[  11.8391636    12.54082076  107.49222019]          (0.11984979871227543, 0.022307492977665159, 38.019100418358747)
38 	100  	[  0.99167748   1.00787172  35.64899262]            	[  1.27809706   1.72168146  16.90710274]            	[ 0.06370284  0.0225654   8.91416205]   	[   7.82891506   10.78661697  103.16682637]          (0.2287529606689585, 0.028556556329444333, 31.650224294109012)
