In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa940.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max    
0  	25   	636.975	290.65	89.9867	1192.56 (89.986695325920564,)
1  	25   	337.716	159.422	89.9118	704.73  (89.911762912058862,)
2  	25   	313.205	321.096	67.7614	1465.72 (67.761420206483493,)
3  	25   	270.793	252.05 	32.342 	873.203 (32.342009731268931,)
4  	25   	213.296	127.026	20.4831	514.487 (20.483104648338252,)
5  	25   	227.395	185.737	19.927 	697.446 (19.926985962286825,)
6  	25   	147.76 	133.909	20.7011	559.49  (19.926985962286825,)
7  	25   	251.918	241.177	16.9634	1065.31 (16.963442332565958,)
8  	25   	243.086	184.267	12.975 	768.525 (12.974972329865682,)
9  	25   	252.158	208.292	25.9797	810.717 (12.974972329865682,)
10 	25   	199.826	184.647	16.6454	730.286 (12.974972329865682,)
11 	25   	354.78 	409.544	14.1641	1595.14 (12.974972329865682,)
12 	25   	219.171	169.392	27.6496	562.081 (12.974972329865682,)
13 	25   	318.407	298.975	28.6712	1094.31 (12.974972329865682,)
14 	25   	196.205	202.004	12.4905	779.58  (12.490530739893883,)
15 	25   	222.834	204.299	24.3118	1057.64 (12.490530739893883,)
16 	25   	302.38 	249.18 	26.987 	873.976 (12.490530739893883,)
17 	25   	297.709	263.661	28.2663	1028.44 (12.490530739893883,)
18 	25   	260.145	291.515	21.6143	1215.26 (12.490530739893883,)
19 	25   	275.599	335.126	31.4837	1435.19 (12.490530739893883,)
20 	25   	253.154	187.8  	16.0397	672.314 (12.490530739893883,)
21 	25   	257.706	286.574	24.6505	1112.17 (12.490530739893883,)
22 	25   	249.618	223.296	32.5978	833.325 (12.490530739893883,)
23 	25   	301.433	206.466	21.7466	769.537 (12.490530739893883,)
24 	25   	242.531	253.965	20.8763	1135.54 (12.490530739893883,)
25 	25   	280.286	281.922	15.7321	1309.73 (12.490530739893883,)
26 	25   	321.387	267.005	24.1808	984.756 (12.490530739893883,)
27 	25   	259.096	225.535	24.9258	877.984 (12.490530739893883,)
28 	25   	298.34 	268.112	37.4744	919.103 (12.490530739893883,)
29 	25   	327.875	299.382	31.2484	1168.93 (12.490530739893883,)
30 	25   	247.578	203.793	22.5716	799.761 (12.490530739893883,)
31 	25   	274.921	246.849	27.0158	1100.49 (12.490530739893883,)
32 	25   	179.873	162.483	17.9259	767.11  (12.490530739893883,)
33 	25   	224.091	265.401	19.4809	1158.8  (12.490530739893883,)
34 	25   	226.95 	256.172	23.5573	1038.77 (12.490530739893883,)
35 	25   	201.401	120.526	27.6439	484.478 (12.490530739893883,)
36 	25   	255.118	203.88 	36.7261	774.125 (12.490530739893883,)
37 	25   	274.497	251.936	43.6431	1134.86 (12.490530739893883,)
38 	25   	215.658	146.833	18.6546	721.006 (12.490530739893883,)
39 	25   	176.743	162.947	15.2364	564.437 (12.490530739893883,)
40 	25   	230.706	180.757	20.5931	702.935 (12.490530739893883,)
41 	25   	200.882	194.467	19.858 	720.357 (12.490530739893883,)
42 	25   	177.554	126.194	9.70118	497.212 (9.7011773507509247,)
43 	25   	277.338	206.041	16.4248	786.871 (9.7011773507509247,)
44 	25   	297.453	247.501	18.1158	1162.2  (9.7011773507509247,)
45 	25   	272.602	253.098	11.7703	858.934 (9.7011773507509247,)
46 	25   	314.104	279.376	32.8321	1068.86 (9.7011773507509247,)
47 	25   	385.184	338.373	22.3264	1220.46 (9.7011773507509247,)
48 	25   	327.392	378.175	18.8134	1519.47 (9.7011773507509247,)
49 	25   	329.508	305.612	25.1127	1144.7  (9.7011773507509247,)
