In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa946.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	25   	688.525	393.435	27.4689	1427.88 (27.468906076174623,)
1  	25   	453.826	306.749	68.2132	1377.1  (27.468906076174623,)
2  	25   	307.497	255.637	26.1421	989.37  (26.142086882904582,)
3  	25   	283.069	262.158	16.4589	985.039 (16.458946683099555,)
4  	25   	269.965	278.998	27.376 	987.843 (16.458946683099555,)
5  	25   	335.276	296.971	26.8782	1165.82 (16.458946683099555,)
6  	25   	296.811	358.799	22.0249	1591.15 (16.458946683099555,)
7  	25   	271.291	212.93 	23.9103	764.407 (16.458946683099555,)
8  	25   	386.498	434.783	20.0455	1480.87 (16.458946683099555,)
9  	25   	408.739	344.449	35.6605	1233.25 (16.458946683099555,)
10 	25   	316.733	338.592	18.3282	1337.47 (16.458946683099555,)
11 	25   	367.557	335.279	29.0467	1403.71 (16.458946683099555,)
12 	25   	494.577	513.101	36.3465	1785.81 (16.458946683099555,)
13 	25   	329.756	230.813	55.3793	879.382 (16.458946683099555,)
14 	25   	301.794	265.638	30.979 	1222.51 (16.458946683099555,)
15 	25   	295.236	310.768	19.1225	1668.2  (16.458946683099555,)
16 	25   	196.913	155.693	23.1228	711.915 (16.458946683099555,)
17 	25   	227.602	207.264	17.1396	798.387 (16.458946683099555,)
18 	25   	326.98 	337.496	26.9262	1453.39 (16.458946683099555,)
19 	25   	273.977	292.008	24.9154	1477.38 (16.458946683099555,)
20 	25   	201.788	240.895	17.7641	824.634 (16.458946683099555,)
21 	25   	274.94 	281.278	20.1287	1064.48 (16.458946683099555,)
22 	25   	359.526	354.245	18.1961	1496.84 (16.458946683099555,)
23 	25   	355.846	407.26 	24.9155	1787.54 (16.458946683099555,)
24 	25   	372.973	326.904	38.7328	1561.46 (16.458946683099555,)
25 	25   	288.731	304.554	27.6288	1245.87 (16.458946683099555,)
26 	25   	238.927	180.849	31.0524	701.245 (16.458946683099555,)
27 	25   	291.858	281.528	27.2651	1111.11 (16.458946683099555,)
28 	25   	262.841	253.031	22.6403	1116.21 (16.458946683099555,)
29 	25   	368.111	385.41 	18.6102	1695.06 (16.458946683099555,)
30 	25   	277.13 	200.388	25.7705	785.152 (16.458946683099555,)
31 	25   	220.577	167.712	32.9693	590.558 (16.458946683099555,)
32 	25   	183.692	199.508	18.0369	730.371 (16.458946683099555,)
33 	25   	232.939	176.966	18.7344	705.968 (16.458946683099555,)
34 	25   	193.514	153.347	22.259 	812.163 (16.458946683099555,)
35 	25   	273.059	236.889	18.4066	971.889 (16.458946683099555,)
36 	25   	190.077	214.873	28.6047	987.852 (16.458946683099555,)
37 	25   	324.793	323.07 	43.5353	1280.7  (16.458946683099555,)
38 	25   	216.416	197.664	16.9963	660.965 (16.458946683099555,)
39 	25   	302.947	275.795	31.7184	1044.67 (16.458946683099555,)
40 	25   	251.996	221.899	15.2673	915.261 (15.267313930149754,)
41 	25   	323.396	277.697	23.6346	1018.95 (15.267313930149754,)
42 	25   	267.069	194.499	20.3319	691.792 (15.267313930149754,)
43 	25   	342.085	377.49 	29.3722	1309.26 (15.267313930149754,)
44 	25   	289.506	267.382	14.0688	1179.12 (14.068787009288823,)
45 	25   	345.554	329.176	25.4923	1284.05 (14.068787009288823,)
46 	25   	323.519	226.311	38.2487	904.422 (14.068787009288823,)
47 	25   	319.756	295.309	40.6009	1083.19 (14.068787009288823,)
48 	25   	401.378	337.727	29.0639	1427.21 (14.068787009288823,)
49 	25   	296.657	207.678	25.8326	717.355 (14.068787009288823,)
50 	25   	271.191	210.505	15.6729	762.269 (14.068787009288823,)
51 	25   	366.297	299.217	17.2084	904.757 (14.068787009288823,)
52 	25   	303.181	326.477	24.9908	1482.34 (14.068787009288823,)
53 	25   	354.681	307.107	18.2067	1053.28 (14.068787009288823,)
54 	25   	350.225	360.721	31.4403	1321.82 (14.068787009288823,)
55 	25   	373.513	288.273	43.7049	1358.14 (14.068787009288823,)
56 	25   	319.621	355.26 	22.9689	1691.04 (14.068787009288823,)
