In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa955.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max   
0  	25   	577.205	330.52	150.161	1217.9 (150.16067005787187,)
1  	25   	299.012	132.131	139.072	624.648 (139.07247734187487,)
2  	25   	266.506	172.264	72.8336	868.675 (72.833579388796807,)
3  	25   	304.991	268.033	59.48  	1128.97 (59.480001530912098,)
4  	25   	295.854	193.67 	44.3124	884.885 (44.31239025719529,)
5  	25   	185.204	132.862	50.1216	587.635 (44.31239025719529,)
6  	25   	264.194	195.777	50.3733	716.796 (44.31239025719529,)
7  	25   	409.538	362.483	63.5099	1499.05 (44.31239025719529,)
8  	25   	344.447	318.314	30.8306	1495.03 (30.830584110438767,)
9  	25   	246.491	172.741	37.7224	811.604 (30.830584110438767,)
10 	25   	330.734	260.289	30.1488	970.414 (30.148791696614374,)
11 	25   	367.342	309.782	23.9551	951.783 (23.955131244520501,)
12 	25   	234.672	200.395	12.7197	787.231 (12.719717366818495,)
13 	25   	254.8  	185.969	27.5489	691.22  (12.719717366818495,)
14 	25   	333.244	289.196	26.4352	1354.63 (12.719717366818495,)
15 	25   	272.846	235.522	16.6003	1138.75 (12.719717366818495,)
16 	25   	299.988	260.033	26.7432	718.284 (12.719717366818495,)
17 	25   	306.312	311.849	12.0104	1397.44 (12.010368245640953,)
18 	25   	415.717	299.926	107.933	1227.07 (12.010368245640953,)
19 	25   	182.743	141.419	27.818 	488.649 (12.010368245640953,)
20 	25   	178.97 	138.691	31.0309	554.428 (12.010368245640953,)
21 	25   	206.003	202.145	7.32035	801.391 (7.320348002105173,)
22 	25   	216.292	160.376	28.4753	594.064 (7.320348002105173,)
23 	25   	301.345	369.181	8.0463 	1531.58 (7.320348002105173,)
24 	25   	288.989	300.223	6.84509	1305.25 (6.8450933700668779,)
25 	25   	250.561	317.24 	13.6052	1313.7  (6.8450933700668779,)
26 	25   	217.502	185.651	9.73845	668.743 (6.8450933700668779,)
27 	25   	247.093	263.982	12.4787	1254.65 (6.8450933700668779,)
28 	25   	266.95 	186.294	35.9433	777.308 (6.8450933700668779,)
29 	25   	230.109	219.304	13.4092	1047.88 (6.8450933700668779,)
30 	25   	205.649	171.128	7.27967	631.138 (6.8450933700668779,)
31 	25   	197.177	180.272	10.034 	702.521 (6.8450933700668779,)
32 	25   	236.25 	156.745	8.32498	610.408 (6.8450933700668779,)
33 	25   	148.542	140.397	9.34603	480.324 (6.8450933700668779,)
34 	25   	188.486	196.214	17.219 	814.266 (6.8450933700668779,)
35 	25   	231.624	257.656	10.3658	958.78  (6.8450933700668779,)
36 	25   	266.875	223.232	11.9651	882.94  (6.8450933700668779,)
37 	25   	210.607	245.569	10.2842	1093.7  (6.8450933700668779,)
38 	25   	223.37 	210.564	10.6331	810.607 (6.8450933700668779,)
39 	25   	203.51 	197.844	16.8391	946.344 (6.8450933700668779,)
40 	25   	176.471	140.379	10.6169	643.707 (6.8450933700668779,)
41 	25   	260.642	305.626	10.1907	1487.44 (6.8450933700668779,)
42 	25   	229.713	269.985	6.88281	1162.28 (6.8450933700668779,)
43 	25   	192.16 	207.441	21.0459	733.338 (6.8450933700668779,)
44 	25   	220.227	159.79 	5.95668	523.007 (5.9566830472773979,)
45 	25   	244.644	210.179	10.566 	735.521 (5.9566830472773979,)
46 	25   	182.493	159.999	10.0528	586.492 (5.9566830472773979,)
47 	25   	226.138	313.19 	10.6415	1559.98 (5.9566830472773979,)
48 	25   	265.809	191.615	9.22991	701.027 (5.9566830472773979,)
49 	25   	241.031	251.758	18.7785	946.165 (5.9566830472773979,)
50 	25   	323.137	374.101	11.1232	1668.27 (5.9566830472773979,)
51 	25   	265.881	220.993	9.75847	678.027 (5.9566830472773979,)
52 	25   	172.175	119.277	15.1143	402.841 (5.9566830472773979,)
53 	25   	137.128	159.041	6.39553	602.797 (5.9566830472773979,)
54 	25   	251.729	290.025	7.43615	1061.63 (5.9566830472773979,)
55 	25   	225.487	187.398	16.1383	906.367 (5.9566830472773979,)
56 	25   	218.921	239.849	14.9076	962.432 (5.9566830472773979,)
57 	25   	204.024	234.578	5.44389	1147.88 (5.4438888375861456,)
58 	25   	172.285	194.14 	9.5657 	837.236 (5.4438888375861456,)
59 	25   	202.56 	168.097	44.6426	685.891 (5.4438888375861456,)
60 	25   	246.714	238.882	9.58835	993.34  (5.4438888375861456,)
61 	25   	149.609	164.054	6.94748	705.084 (5.4438888375861456,)
62 	25   	244.016	216.864	12.5228	1083.83 (5.4438888375861456,)
63 	25   	229.73 	216.317	6.89758	762.288 (5.4438888375861456,)
64 	25   	229.361	182.54 	6.2192 	589.358 (5.4438888375861456,)
65 	25   	199.079	137.699	13.6513	482.771 (5.4438888375861456,)
66 	25   	196.812	204.087	14.5244	885.146 (5.4438888375861456,)
67 	25   	185.465	140.418	5.67355	459.432 (5.4438888375861456,)
68 	25   	169.3  	147.039	7.32429	520.028 (5.4438888375861456,)
69 	25   	214.121	177.933	6.16221	772.45  (5.4438888375861456,)
70 	25   	234.81 	210.361	7.83392	727.112 (5.4438888375861456,)
71 	25   	262.388	256.909	6.97061	1078.46 (5.4438888375861456,)
72 	25   	244.058	242.402	11.7722	1005.66 (5.4438888375861456,)
73 	25   	183.672	149.795	4.52257	553.711 (4.5225674736351227,)
74 	25   	209.044	178.422	12.7294	591.188 (4.5225674736351227,)
75 	25   	211.762	172.995	14.884 	631.899 (4.5225674736351227,)
76 	25   	202.951	192.225	10.9878	778.644 (4.5225674736351227,)
77 	25   	250.383	216.582	11.184 	848.159 (4.5225674736351227,)
78 	25   	152.564	137.096	11.3756	492.541 (4.5225674736351227,)
79 	25   	277.457	310.613	13.5398	1567.39 (4.5225674736351227,)
80 	25   	261.2  	300.204	22.3751	1445.1  (4.5225674736351227,)
81 	25   	185.052	186.607	7.85268	624.665 (4.5225674736351227,)
82 	25   	259.144	213.894	23.496 	869.5   (4.5225674736351227,)
83 	25   	261.311	244.367	18.9129	1277.34 (4.5225674736351227,)
84 	25   	217.758	216.546	10.5515	831.443 (4.5225674736351227,)
85 	25   	241.331	174.627	14.7075	590.115 (4.5225674736351227,)
86 	25   	169.221	137.29 	15.5443	478.589 (4.5225674736351227,)
87 	25   	202.935	166.942	6.13399	671.297 (4.5225674736351227,)
88 	25   	218.542	186.393	11.6148	756.135 (4.5225674736351227,)
89 	25   	226.794	169.402	36.4422	735.536 (4.5225674736351227,)
90 	25   	188.691	170.766	14.6494	630.193 (4.5225674736351227,)
91 	25   	145.204	126.259	13.2195	452.229 (4.5225674736351227,)
92 	25   	193.269	219.497	8.313  	848.304 (4.5225674736351227,)
93 	25   	216.692	195.201	11.8181	794.754 (4.5225674736351227,)
94 	25   	271.247	301.084	11.8005	1269.46 (4.5225674736351227,)
95 	25   	227.614	138.976	33.8317	520.752 (4.5225674736351227,)
96 	25   	259.132	209.938	33.3974	670.944 (4.5225674736351227,)
97 	25   	219.966	156.952	8.69795	747.427 (4.5225674736351227,)
98 	25   	212.97 	151.265	19.321 	499.442 (4.5225674736351227,)
99 	25   	155.459	135.783	6.89388	527.367 (4.5225674736351227,)
100	25   	200.744	184.088	16.9548	893.819 (4.5225674736351227,)
101	25   	123.648	89.9522	5.08563	353.093 (4.5225674736351227,)
102	25   	219.982	246.234	19.1504	1206.88 (4.5225674736351227,)
103	25   	204.531	221.932	12.9095	958.947 (4.5225674736351227,)
104	25   	189.283	133.417	17.2063	479.926 (4.5225674736351227,)
105	25   	174.081	150.928	9.87542	564.851 (4.5225674736351227,)
106	25   	128.973	104.98 	6.14198	404.847 (4.5225674736351227,)
