In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1861.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg                                              	std                                                 	min                                     	max                                                 
1  	100  	[    21.95653041     19.66616159  18915.06211565]	[  2.53387619e+01   1.75346735e+01   3.20834577e+04]	[  0.25363235   0.09870968  16.03691456]	[  1.15221772e+02   8.67360565e+01   1.27483841e+05] (0.2536323532615693, 0.098709675706117592, 36.964737665173587)
2  	100  	[   15.48862905    15.63270783  9660.74394175]   	[  1.64781354e+01   1.42397539e+01   1.86640009e+04]	[  0.1815516    0.08195099  34.86788912]	[  8.39069048e+01   6.66747565e+01   9.23500912e+04] (0.2536323532615693, 0.098709675706117592, 36.964737665173587)
3  	100  	[    9.84279839    10.60222751  3426.96010681]   	[    9.10769358     9.9572173   7029.53769202]      	[  0.31652017   0.06348563  50.12017445]	[    58.47820064     50.58501572  40870.45163164]    (0.2536323532615693, 0.098709675706117592, 36.964737665173587)
4  	100  	[   5.88380021    5.51960315  922.69748866]      	[    4.76156523     5.16965718  1684.74087329]      	[  0.31370619   0.05110138  20.24403936]	[    23.10073225     30.9751846   10960.17627738]    (0.2536323532615693, 0.098709675706117592, 36.964737665173587)
5  	100  	[   3.72670108    3.4620719   327.63913074]      	[   3.29950708    3.05394193  467.02212392]         	[  0.07013482   0.04415343  12.77736139]	[   12.41099411    12.97518415  2420.83426993]       (0.14770905126549747, 0.068374424913185738, 70.014665913011598)
6  	100  	[   2.55677592    2.45036497  190.6536194 ]      	[   2.71368457    2.70793542  307.69947931]         	[ 0.03408144  0.03924151  4.0428713 ]   	[   12.18157383    13.344662    2634.86813629]       (0.23879658659160916, 0.039241506289152635, 8.6238148489951172)
7  	100  	[  2.30734978   2.2331652   80.46592057]         	[  2.82103554   2.79933947  88.8987829 ]            	[ 0.04050945  0.03726154  4.87553151]   	[  14.8704522    16.18080208  539.69521578]          (0.23879658659160916, 0.039241506289152635, 8.6238148489951172)
8  	100  	[  1.99039006   1.6923953   53.04407036]         	[   2.52309004    2.41893536  133.93603294]         	[ 0.08025155  0.03229731  2.5577455 ]   	[   14.41474782    17.73920302  1259.86849103]       (0.2231827289085466, 0.032297307794586061, 17.468886243676806)
9  	100  	[  1.94324633   1.95861323  33.59025065]         	[  2.55631381   2.92579598  43.17607922]            	[ 0.0521652   0.02816048  1.79189758]   	[  13.31385157   17.62752376  294.26179035]          (0.091971185518959039, 0.043504381287782896, 20.964922775106547)
10 	100  	[  1.71820828   1.87235012  39.89585413]         	[  2.38998674   2.95243593  37.80588262]            	[ 0.04915779  0.03568119  3.50594396]   	[  12.72397697   21.12835923  229.83413499]          (0.13645312905985163, 0.10014441065610523, 4.9366882318578647)
11 	100  	[  1.48555174   1.70994183  29.28316193]         	[  2.23042539   2.32118585  35.32264856]            	[ 0.03671148  0.03243883  0.63776981]   	[  15.00276086   11.81751839  288.58250455]          (0.045084796483475791, 0.15856435606141869, 5.3915796147671848)
