In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1862.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg                                                 	std                                                 	min                                     	max                                                 
1  	100  	[  1.64624770e+01   1.48249016e+01   1.83773104e+04]	[  1.86675602e+01   1.29939188e+01   3.08781968e+04]	[  0.11343231   0.12118738  10.43216111]	[  7.76293570e+01   5.79452303e+01   1.43196224e+05] (0.12199452969111937, 0.37005116325817822, 324.12347990555685)
2  	100  	[  1.25604069e+01   9.97963295e+00   1.11203609e+04]	[  1.41021642e+01   9.45354852e+00   1.88515154e+04]	[  0.12926461   0.04059947  24.09840848]	[  6.07909882e+01   3.96753909e+01   1.02551969e+05] (0.12199452969111937, 0.37005116325817822, 324.12347990555685)
3  	100  	[    9.71442029     6.92200625  5370.3216793 ]      	[  9.21439776e+00   6.28953803e+00   8.58977366e+03]	[  1.24111321e-01   3.84229861e-02   5.69613619e+01]	[  4.28142422e+01   3.50187587e+01   4.84602695e+04] (0.12199452969111937, 0.37005116325817822, 324.12347990555685)
4  	100  	[    7.19311397     5.02729406  2506.74595962]      	[    5.87452423     4.06311826  3832.27809661]      	[  1.16709189e-01   9.02280265e-02   9.76143113e+01]	[  2.90286714e+01   2.15750799e+01   2.24838849e+04] (0.18065821293344833, 0.090228026527356744, 4439.0011495212411)
5  	100  	[    4.89548218     3.32376993  3087.97937046]      	[  4.37316962e+00   2.82812440e+00   3.29834755e+03]	[  1.36624502e-01   7.99028300e-02   1.80683190e+02]	[  1.68508032e+01   1.01406741e+01   1.88867489e+04] (0.29238957579700925, 0.1359420027754327, 1332.3115636808002)
6  	100  	[  3.06889734e+00   2.49071778e+00   3.17169120e+03]	[  3.18998119e+00   2.66314705e+00   2.70257891e+03]	[  9.53730585e-02   5.16473821e-02   1.96405262e+02]	[  1.05419381e+01   1.38417714e+01   1.17377146e+04] (0.27930702580231442, 0.10223547460021383, 3025.7005133344815)
7  	100  	[  1.81196094e+00   1.94861854e+00   3.82855532e+03]	[  1.88023860e+00   2.02720604e+00   3.36257991e+03]	[  8.11485708e-02   5.22482722e-02   2.07013977e+02]	[  9.88698114e+00   8.30734246e+00   1.51884154e+04] (0.081148570775574802, 0.1639772232169226, 4080.0511250459099)
8  	100  	[  1.41663151e+00   1.38322079e+00   4.88408706e+03]	[  1.65866314e+00   1.74176169e+00   4.45254356e+03]	[  5.12650672e-02   4.93441748e-02   1.80075868e+02]	[  8.13247646e+00   9.62564230e+00   2.83884112e+04] (0.2665547009702729, 0.089070888241240029, 692.15755413964507)
9  	100  	[  1.62449775e+00   1.35293674e+00   2.32226674e+03]	[  1.87222582e+00   1.70631249e+00   3.04672105e+03]	[  7.84065892e-02   6.25019347e-02   2.24756883e+02]	[  9.59920245e+00   8.41419767e+00   2.55492711e+04] (0.098582769017611427, 0.098437690895132796, 3166.8285659697412)
10 	100  	[  1.30770216e+00   9.54510419e-01   2.15731822e+03]	[  1.69251814e+00   1.17543281e+00   1.58862783e+03]	[  4.55141209e-02   6.14745350e-02   1.46189530e+02]	[  1.18562628e+01   7.30521919e+00   7.52185760e+03] (0.081355493486925987, 1.1506377798610536, 638.32659832343188)
