In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa983.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max   
0  	25   	571.728	272.349	86.9015	1121.5 (86.901548337888585,)
1  	25   	291.638	342.149	15.9047	1491.4 (15.904660326283667,)
2  	25   	283.897	270.664	17.286 	989.524 (15.904660326283667,)
3  	25   	186.493	205.963	43.8134	1093.2  (15.904660326283667,)
4  	25   	215.073	162.616	21.6715	635.189 (15.904660326283667,)
5  	25   	322.851	345.407	17.4659	1520.82 (15.904660326283667,)
6  	25   	331.137	333.023	25.6733	1273.01 (15.904660326283667,)
7  	25   	323.573	269.674	22.2821	998.423 (15.904660326283667,)
8  	25   	310.319	245.163	10.3716	1083.9  (10.371606994558075,)
9  	25   	209.668	178.742	19.262 	672.127 (10.371606994558075,)
10 	25   	285.235	242.523	21.588 	768.74  (10.371606994558075,)
11 	25   	273.975	189.904	26.4483	630.588 (10.371606994558075,)
12 	25   	282.837	196.657	28.8226	679.746 (10.371606994558075,)
13 	25   	435.174	402.193	45.1736	1680.8  (10.371606994558075,)
14 	25   	400.389	387.424	35.9543	1387.55 (10.371606994558075,)
15 	25   	365.184	235.627	28.9877	799.457 (10.371606994558075,)
16 	25   	340.064	213.564	34.5059	778.056 (10.371606994558075,)
17 	25   	324.87 	226.863	34.7553	832.091 (10.371606994558075,)
18 	25   	258.462	231.846	18.9054	974.347 (10.371606994558075,)
19 	25   	368.255	327.587	18.5408	1313.96 (10.371606994558075,)
20 	25   	330.508	326.325	23.0599	1122.61 (10.371606994558075,)
21 	25   	213.467	185.929	25.3238	801.263 (10.371606994558075,)
22 	25   	330.45 	315.223	35.938 	1501.15 (10.371606994558075,)
23 	25   	322.919	216.138	23.92  	753.264 (10.371606994558075,)
24 	25   	368.064	324.45 	21.5198	1469.91 (10.371606994558075,)
25 	25   	300.896	275.497	19.6686	1125.21 (10.371606994558075,)
26 	25   	228.636	274.614	18.1573	1277.43 (10.371606994558075,)
27 	25   	297.401	268.292	12.7394	1181.06 (10.371606994558075,)
28 	25   	204.383	173.715	21.6912	727.282 (10.371606994558075,)
29 	25   	341.907	368.601	36.4896	1654.65 (10.371606994558075,)
30 	25   	355.499	289.082	15.1461	996.621 (10.371606994558075,)
31 	25   	248.525	210.075	14.1492	676.364 (10.371606994558075,)
32 	25   	264.064	302.168	36.9152	1289.35 (10.371606994558075,)
33 	25   	219.344	174.521	20.7231	753.574 (10.371606994558075,)
34 	25   	305.934	307.975	24.1889	1456    (10.371606994558075,)
35 	25   	264.279	254.192	14.8657	731.161 (10.371606994558075,)
36 	25   	332.309	297.843	11.6045	1183.09 (10.371606994558075,)
37 	25   	327.704	333.987	33.7099	1632.82 (10.371606994558075,)
38 	25   	284.994	248.559	33.0543	894.199 (10.371606994558075,)
39 	25   	337.951	364.661	11.7185	1333.36 (10.371606994558075,)
40 	25   	471.944	398.449	15.2405	1547.63 (10.371606994558075,)
41 	25   	280.124	213.537	35.6115	779.857 (10.371606994558075,)
42 	25   	343.84 	282.566	21.3375	962.871 (10.371606994558075,)
43 	25   	224.322	174.894	37.3416	646.894 (10.371606994558075,)
44 	25   	229.401	190.025	17.2362	790.83  (10.371606994558075,)
45 	25   	295.846	279.712	16.1548	998.405 (10.371606994558075,)
46 	25   	351.435	356.32 	14.8789	1462.17 (10.371606994558075,)
47 	25   	313.053	268.885	14.738 	990.426 (10.371606994558075,)
48 	25   	327.539	263.335	33.4436	934.251 (10.371606994558075,)
49 	25   	274.822	176.851	18.2731	791.218 (10.371606994558075,)
50 	25   	274.682	238.489	31.311 	1092.03 (10.371606994558075,)
51 	25   	207.693	176.529	22.5784	690.237 (10.371606994558075,)
52 	25   	264.224	202.764	17.4921	702.27  (10.371606994558075,)
53 	25   	268.215	234.811	19.125 	961.278 (10.371606994558075,)
54 	25   	316.137	237.468	51.0446	909.619 (10.371606994558075,)
55 	25   	351.824	314.491	19.1783	1122.17 (10.371606994558075,)
56 	25   	269.211	250.822	34.4628	1050.32 (10.371606994558075,)
57 	25   	333.166	316.732	22.4626	1255.79 (10.371606994558075,)
58 	25   	325.973	285.439	26.7106	1098.48 (10.371606994558075,)
59 	25   	391.243	293.668	11.4369	1064.53 (10.371606994558075,)
60 	25   	466.306	409.733	13.6326	1456.97 (10.371606994558075,)
61 	25   	356.671	229.938	44.1016	1083.79 (10.371606994558075,)
62 	25   	324.005	265.777	25.1634	986.914 (10.371606994558075,)
63 	25   	271.881	186.313	23.1913	895.088 (10.371606994558075,)
64 	25   	280.042	274.317	26.4379	1317.61 (10.371606994558075,)
65 	25   	257.56 	181.043	18.2097	605.005 (10.371606994558075,)
66 	25   	362.48 	339.385	12.0212	1444.32 (10.371606994558075,)
67 	25   	492.512	321.005	129.731	1581.06 (10.371606994558075,)
68 	25   	356.954	374.019	22.2447	1486.43 (10.371606994558075,)
69 	25   	362.648	249.133	25.1637	950.471 (10.371606994558075,)
70 	25   	344.636	417.053	17.4444	1547.66 (10.371606994558075,)
71 	25   	311.451	294.186	28.8999	1298.64 (10.371606994558075,)
72 	25   	394.164	332.707	21.4058	1553.34 (10.371606994558075,)
73 	25   	254.49 	267.273	12.1389	1003.14 (10.371606994558075,)
74 	25   	253.946	195.65 	27.3006	807.911 (10.371606994558075,)
75 	25   	255.594	236.223	14.128 	791.939 (10.371606994558075,)
76 	25   	308.177	294.216	28.6385	1005.76 (10.371606994558075,)
77 	25   	311.992	268.952	19.2602	978.626 (10.371606994558075,)
78 	25   	341.881	292.474	20.7133	1026.45 (10.371606994558075,)
79 	25   	340.376	371.974	16.0239	1500.71 (10.371606994558075,)
80 	25   	352.205	287.92 	8.09741	1035.22 (8.0974139807145846,)
81 	25   	305.161	332.997	10.4718	1383.14 (8.0974139807145846,)
82 	25   	320.305	253.057	16.6668	874.228 (8.0974139807145846,)
83 	25   	275.698	255.951	25.5422	1032.12 (8.0974139807145846,)
84 	25   	362.365	309.538	45.209 	1235.46 (8.0974139807145846,)
85 	25   	315.679	326.414	36.7702	1301.55 (8.0974139807145846,)
86 	25   	355.047	219.626	55.2979	993.944 (8.0974139807145846,)
87 	25   	293.024	223.847	17.6338	804.254 (8.0974139807145846,)
88 	25   	286.145	218.286	51.4332	1122.04 (8.0974139807145846,)
89 	25   	302.492	328.449	45.4715	1348.54 (8.0974139807145846,)
90 	25   	308.947	324.846	13.8502	1458.41 (8.0974139807145846,)
91 	25   	454.01 	421.718	36.4771	1553.38 (8.0974139807145846,)
92 	25   	490.969	383.696	40.7958	1521.93 (8.0974139807145846,)
93 	25   	370.274	304.993	13.4603	1087.76 (8.0974139807145846,)
94 	25   	384.506	256.456	37.422 	1027.55 (8.0974139807145846,)
95 	25   	316.889	254.318	23.7926	1265.41 (8.0974139807145846,)
96 	25   	411.655	326.96 	65.0139	1322.14 (8.0974139807145846,)
97 	25   	313.915	265.166	34.7737	922.032 (8.0974139807145846,)
98 	25   	358.693	303.728	28.0018	1179.18 (8.0974139807145846,)
99 	25   	240.494	206.078	14.9182	959.283 (8.0974139807145846,)
100	25   	347.179	333.919	18.5341	1438.23 (8.0974139807145846,)
101	25   	324.861	255.058	9.00638	1175.2  (8.0974139807145846,)
102	25   	396.636	279.503	12.2166	1188.26 (8.0974139807145846,)
103	25   	260.821	200.76 	21.0426	740.881 (8.0974139807145846,)
