In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa986.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max 
0  	25   	750.352	427.18	157.673	1576 (157.67256706944084,)
1  	25   	388.718	224.934	52.4925	789.047 (52.492534859955683,)
2  	25   	286.244	221.604	40.5346	901.217 (40.534620643894741,)
3  	25   	342.467	335.475	24.9926	1409.75 (24.992579283805693,)
4  	25   	300.251	313.841	17.6194	1260.47 (17.619407778139394,)
5  	25   	355.92 	339.186	17.3833	1571.19 (17.383341025878678,)
6  	25   	281.352	206.32 	39.046 	796.288 (17.383341025878678,)
7  	25   	255.732	238.612	25.171 	884.597 (17.383341025878678,)
8  	25   	237.587	236.375	10.6503	781.346 (10.650335271654226,)
9  	25   	251.71 	238.148	11.1968	906.255 (10.650335271654226,)
10 	25   	216.073	161.117	37.9693	662.573 (10.650335271654226,)
11 	25   	278.331	272.727	10.7646	1037.98 (10.650335271654226,)
12 	25   	359.957	335.354	27.2769	1541.53 (10.650335271654226,)
13 	25   	224.928	197.062	32.2757	971.754 (10.650335271654226,)
14 	25   	286.313	220.005	11.276 	836.476 (10.650335271654226,)
15 	25   	288.508	235.802	17.8971	927.387 (10.650335271654226,)
16 	25   	284.673	238.182	18.0544	945.904 (10.650335271654226,)
17 	25   	266.397	171.514	16.9633	563.992 (10.650335271654226,)
18 	25   	292.03 	321.372	20.5708	1138.19 (10.650335271654226,)
19 	25   	312.327	244.942	33.9825	940.543 (10.650335271654226,)
20 	25   	308.075	299.263	25.3858	1199.36 (10.650335271654226,)
21 	25   	365.058	254.092	95.7323	909.032 (10.650335271654226,)
22 	25   	283.712	209.554	24.9046	807.065 (10.650335271654226,)
23 	25   	302.856	309.178	22.7502	1205.34 (10.650335271654226,)
24 	25   	325.431	289.038	17.5647	1149.18 (10.650335271654226,)
25 	25   	351.102	288.296	25.3808	1123.69 (10.650335271654226,)
26 	25   	411.259	276.448	38.2489	1109.9  (10.650335271654226,)
27 	25   	431.141	363.936	28.8336	1441    (10.650335271654226,)
28 	25   	401.845	309.604	46.4188	1113.91 (10.650335271654226,)
29 	25   	279.297	210.704	36.9626	732.974 (10.650335271654226,)
30 	25   	268.603	268.606	39.3292	1097.58 (10.650335271654226,)
31 	25   	194.29 	158.851	22.0427	701.163 (10.650335271654226,)
32 	25   	234.019	271.379	24.8758	1003.87 (10.650335271654226,)
33 	25   	370.521	320.253	36.0824	1230.94 (10.650335271654226,)
34 	25   	243.195	213.733	24.56  	772.157 (10.650335271654226,)
35 	25   	326.286	236.375	45.8857	1043.99 (10.650335271654226,)
36 	25   	346.027	266.175	68.9122	1101.44 (10.650335271654226,)
