In file included from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1804:0,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa991.cpp:22:
/usr/local/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max    
0  	25   	701.87	325.218	55.2994	1356.57 (55.299382917407584,)
1  	25   	321.671	196.518	20.5109	668.84  (20.510879466027202,)
2  	25   	299.535	256.143	27.525 	990.328 (20.510879466027202,)
3  	25   	305.989	271.516	20.7254	1004.4  (20.510879466027202,)
4  	25   	414.748	299.707	29.1675	1229.31 (20.510879466027202,)
5  	25   	318.729	268.009	22.7687	987.488 (20.510879466027202,)
6  	25   	459.769	444.642	40.1969	1799.51 (20.510879466027202,)
7  	25   	182.313	145.157	15.2828	567.847 (15.282776805411848,)
8  	25   	404.584	359.041	28.2425	1212.77 (15.282776805411848,)
9  	25   	276.61 	291.37 	22.129 	1069.56 (15.282776805411848,)
10 	25   	277.447	311.763	27.0625	1102    (15.282776805411848,)
11 	25   	533.973	528.68 	57.6693	1753.2  (15.282776805411848,)
12 	25   	292.451	238.253	20.272 	719.661 (15.282776805411848,)
13 	25   	290.629	227.726	18.6702	867.555 (15.282776805411848,)
14 	25   	281.572	281.187	18.0545	1321.7  (15.282776805411848,)
15 	25   	338.705	277.481	27.4519	930.21  (15.282776805411848,)
16 	25   	450.562	436.004	14.884 	1584.47 (14.884037778265307,)
17 	25   	409.916	471.935	26.3731	1672.71 (14.884037778265307,)
18 	25   	351.188	313.414	26.9034	1208.06 (14.884037778265307,)
19 	25   	489.299	460.317	28.5301	1681.21 (14.884037778265307,)
20 	25   	334.876	290.999	23.0289	1040.64 (14.884037778265307,)
21 	25   	451.1  	426.025	14.0723	1571.56 (14.07227869693696,)
22 	25   	311.03 	221.933	16.3071	822.288 (14.07227869693696,)
23 	25   	392.78 	373.525	22.6439	1702.04 (14.07227869693696,)
24 	25   	508.159	498.927	20.034 	1701.95 (14.07227869693696,)
25 	25   	376.845	309.04 	27.3703	1235.49 (14.07227869693696,)
26 	25   	321.747	352.231	24.3881	1603.07 (14.07227869693696,)
27 	25   	316.784	260.919	14.2122	846.65  (14.07227869693696,)
28 	25   	340.586	348.262	21.7468	1700.08 (14.07227869693696,)
29 	25   	440.109	380.984	31.7136	1589.75 (14.07227869693696,)
30 	25   	344.289	301.877	32.9147	1021.21 (14.07227869693696,)
31 	25   	432.024	400.934	21.6933	1735.32 (14.07227869693696,)
32 	25   	378.017	323.591	15.0883	1087.9  (14.07227869693696,)
33 	25   	312.723	323.107	23.2441	1243.73 (14.07227869693696,)
34 	25   	302.347	288.011	18.5587	977.547 (14.07227869693696,)
