In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1881.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg                                              	std                                                 	min                                  	max                                                 
1  	100  	[    23.60712171     17.79859019  14475.80999885]	[  3.08167508e+01   1.80325675e+01   2.66658778e+04]	[ 0.17237324  0.49323022  7.1739619 ]	[  1.29735584e+02   9.41807049e+01   1.59884582e+05] (0.47781596063432957, 0.62999718660543103, 110.70794308145945)
2  	100  	[   16.0990312     13.07354118  6664.04208358]   	[    22.63035472     15.58544849  12345.00819481]   	[  0.10216887   0.05746679  13.71001207]	[   108.79442582     77.7891991   74296.68418581]    (0.41801125110981913, 0.06253785195497627, 418.64007450599871)
3  	100  	[    9.87618005     8.13723675  3888.04733822]   	[   14.59456301    10.9682598   6452.76841132]      	[  0.19053134   0.05558608  22.42677628]	[    91.14694413     67.91937426  40051.77494798]    (0.19053134209837902, 0.87113957502832284, 334.11138995397744)
4  	100  	[    5.95842194     5.63806176  1735.77610931]   	[    7.44105228     7.95814392  2265.77015097]      	[  0.1812974    0.09292015  37.17615068]	[    43.42515459     54.30092239  11651.22897672]    (1.705819588571942, 0.12674569560912385, 233.37898398753237)
5  	100  	[   3.67449144    3.93375834  794.47856336]      	[   5.02198761    5.08995804  833.89557436]         	[  0.132798     0.04434662  26.91602707]	[   41.30634786    44.0249541   3992.23876431]       (0.13279799758937896, 0.55458381813004398, 369.63105307284212)
6  	100  	[   2.0083032     2.53175748  551.26667533]      	[   2.43213214    4.25250808  649.4115187 ]         	[  0.06982532   0.05488566  36.77018184]	[   14.55050783    38.22744044  3150.92203419]       (0.11683784081463787, 0.089913626171519684, 1848.5608519947361)
7  	100  	[   1.46637465    1.69529849  903.2459178 ]      	[   1.83756804    2.2353724   984.18436197]         	[  5.16642642e-02   4.75949773e-02   5.32364146e+01]	[    9.47119145    12.3256348   4603.45948602]       (0.1401123874829858, 0.24518022930133412, 115.09598504718917)
8  	100  	[   1.11160601    1.20113507  545.08838001]      	[   1.89775167    1.8493782   736.69597209]         	[  4.16921821e-02   5.53593601e-02   7.08539757e+01]	[   12.16156731    11.27525953  6051.64674729]       (0.05670707623062627, 0.14391186360663905, 243.90247416846663)
9  	100  	[   0.97787025    1.22126514  330.25602785]      	[   1.33531958    1.4193235   317.3810002 ]         	[  4.15471370e-02   8.98829497e-02   5.75560530e+01]	[    9.7702193      7.58175411  1937.17985909]       (0.25054240796407429, 0.10455165672307674, 94.633323232135353)
10 	100  	[   1.03621532    1.03783578  188.87254192]      	[   1.16759927    1.16689847  189.5624225 ]         	[  0.07476325   0.06369979  27.95340333]            	[    6.41025847     5.94548815  1506.35855833]       (0.14638658341126456, 0.13257490933297331, 141.50710295907362)
