In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1565.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	100  	891.303	380.772	84.6028	1697.13 (84.602835660804928,)
1  	100  	891.353	404.606	105.702	1639.87 (84.602835660804928,)
2  	100  	882.242	413.277	77.9188	1680.51 (77.918771762396261,)
3  	100  	819.445	434.622	16.0526	1636.17 (16.052582171530226,)
4  	100  	762.415	425.78 	18.0125	1556.17 (16.052582171530226,)
5  	100  	671.797	429.109	14.2232	1634.2  (14.223236655653594,)
6  	100  	590.977	413.349	22.8128	1540.28 (14.223236655653594,)
7  	100  	488.929	411.691	11.8926	1433.84 (11.892635977629563,)
8  	100  	389.171	396.127	11.272 	1624.83 (11.271950707329454,)
9  	100  	328.803	335.894	15.407 	1501.75 (11.271950707329454,)
10 	100  	247.849	355.353	11.092 	1526.23 (11.091950642411561,)
11 	100  	223.501	331.836	10.5768	1442.22 (10.576809483237264,)
12 	100  	221.075	322.474	8.46143	1598.58 (8.4614318090634484,)
13 	100  	194.38 	308.492	7.30016	1583.87 (7.3001628162110794,)
14 	100  	161.343	293.544	7.75375	1424.11 (7.3001628162110794,)
15 	100  	168.963	301.131	8.2607 	1526.68 (7.3001628162110794,)
16 	100  	170.367	301.128	7.58083	1608.49 (7.3001628162110794,)
17 	100  	155.184	288.104	6.70306	1558.79 (6.7030560765201743,)
18 	100  	162.026	289.272	6.6964 	1402.13 (6.6964041072926968,)
19 	100  	160.358	262.242	6.25564	1413.76 (6.255636415195406,)
20 	100  	148.906	276.01 	7.22819	1464.95 (6.255636415195406,)
21 	100  	155.534	274.963	7.01292	1558.96 (6.255636415195406,)
22 	100  	170.103	293.505	6.93259	1454.6  (6.255636415195406,)
23 	100  	150.224	270.684	6.2791 	1424.29 (6.255636415195406,)
24 	100  	131.192	257.713	6.14862	1214.72 (6.1486180562817925,)
25 	100  	143.555	278.903	7.48839	1472.49 (6.1486180562817925,)
26 	100  	141.435	265.372	6.78162	1533.54 (6.1486180562817925,)
27 	100  	114.35 	230.815	7.33541	1418.6  (6.1486180562817925,)
28 	100  	119.891	216.3  	6.65657	1362.49 (6.1486180562817925,)
29 	100  	123.543	240.089	6.98604	1437.5  (6.1486180562817925,)
30 	100  	121.891	220.742	6.88562	1378.02 (6.1486180562817925,)
31 	100  	110.551	200.932	5.36336	1331.25 (5.3633583558473337,)
32 	100  	100.371	169.391	5.65892	1283.61 (5.3633583558473337,)
33 	100  	102.646	184.711	5.53744	1462.21 (5.3633583558473337,)
34 	100  	120.267	164.845	6.41362	1264.13 (5.3633583558473337,)
35 	100  	108.28 	167.523	6.6934 	1252.1  (5.3633583558473337,)
36 	100  	99.2654	180.921	6.23107	1314.55 (5.3633583558473337,)
37 	100  	95.669 	177.453	6.00708	1278.39 (5.3633583558473337,)
38 	100  	91.1017	174.736	6.88599	1352.75 (5.3633583558473337,)
39 	100  	83.3877	172.258	4.99489	1387.71 (4.9948870875567435,)
40 	100  	85.7924	169.82 	4.57461	1392.88 (4.5746099579107211,)
41 	100  	94.647 	169.236	4.65759	1402.39 (4.5746099579107211,)
42 	100  	89.9611	164.539	3.8053 	1382.4  (3.8052969360226445,)
43 	100  	88.5537	167.09 	5.70174	1394.52 (3.8052969360226445,)
44 	100  	96.4058	185    	5.33921	1443.22 (3.8052969360226445,)
45 	100  	80.4471	132.881	5.55278	836.008 (3.8052969360226445,)
46 	100  	88.488 	132.49 	4.6552 	1090.61 (3.8052969360226445,)
47 	100  	78.9073	108.01 	5.32365	809.929 (3.8052969360226445,)
48 	100  	76.1924	99.5708	4.21271	745.403 (3.8052969360226445,)
49 	100  	79.5455	110.37 	4.94094	843.506 (3.8052969360226445,)
50 	100  	82.1952	104.999	4.90932	736.871 (3.8052969360226445,)
51 	100  	85.0307	127.151	4.03059	935.179 (3.8052969360226445,)
52 	100  	75.3337	117.492	4.82613	949.858 (3.8052969360226445,)
53 	100  	80.9693	108.347	5.91753	887.931 (3.8052969360226445,)
54 	100  	85.7445	108.194	5.32189	722.288 (3.8052969360226445,)
55 	100  	74.9661	119.204	4.61642	960.644 (3.8052969360226445,)
56 	100  	74.6893	94.7459	4.2457 	703.4   (3.8052969360226445,)
57 	100  	67.4565	99.414 	5.02917	789.465 (3.8052969360226445,)
58 	100  	68.6542	94.1813	3.98607	773.321 (3.8052969360226445,)
59 	100  	75.7214	100.962	4.46514	846.422 (3.8052969360226445,)
60 	100  	79.4354	114.28 	5.49292	899.179 (3.8052969360226445,)
61 	100  	72.1112	88.427 	4.81865	630.792 (3.8052969360226445,)
62 	100  	76.369 	112.089	4.8402 	771.142 (3.8052969360226445,)
63 	100  	78.1638	112.658	3.70732	812.005 (3.7073169123027698,)
64 	100  	82.117 	113.563	4.33974	852.203 (3.7073169123027698,)
65 	100  	64.5056	92.7867	4.04068	672.666 (3.7073169123027698,)
66 	100  	68.505 	115.552	5.20336	855.829 (3.7073169123027698,)
67 	100  	74.7415	97.4096	5.12637	789.557 (3.7073169123027698,)
68 	100  	80.5127	124.575	3.93773	883.568 (3.7073169123027698,)
69 	100  	70.5332	115.454	3.78424	850.605 (3.7073169123027698,)
70 	100  	77.3503	135.781	4.56473	1037.86 (3.7073169123027698,)
71 	100  	70.5596	113.423	3.81512	736.212 (3.7073169123027698,)
72 	100  	76.9507	104.285	4.14097	617.592 (3.7073169123027698,)
73 	100  	81.5223	125.162	4.44918	955.298 (3.7073169123027698,)
74 	100  	73.9125	128.256	3.95823	932.981 (3.7073169123027698,)
75 	100  	74.9815	108.768	3.95726	854.146 (3.7073169123027698,)
76 	100  	80.3823	102.218	4.51133	672.909 (3.7073169123027698,)
77 	100  	71.1941	80.6117	5.08558	559.491 (3.7073169123027698,)
78 	100  	70.0452	95.6101	4.95572	625.232 (3.7073169123027698,)
79 	100  	88.5857	105.87 	4.13742	721.658 (3.7073169123027698,)
80 	100  	84.4198	85.0838	4.17832	607.052 (3.7073169123027698,)
81 	100  	65.5916	94.4981	4.853  	718.952 (3.7073169123027698,)
82 	100  	72.0871	111.364	3.51845	821.144 (3.5184472283079651,)
83 	100  	72.1524	104.186	3.83238	730.367 (3.5184472283079651,)
84 	100  	73.5954	108.89 	4.50057	812.954 (3.5184472283079651,)
85 	100  	71.4686	109.329	4.87458	900.498 (3.5184472283079651,)
86 	100  	82.5439	109.34 	4.44107	820.226 (3.5184472283079651,)
87 	100  	77.2623	99.9936	3.55858	682.675 (3.5184472283079651,)
88 	100  	62.5321	87.3156	3.2917 	620.807 (3.2917012105441121,)
89 	100  	71.7905	101.05 	3.51033	706.446 (3.2917012105441121,)
90 	100  	73.891 	111.027	4.11673	759.309 (3.2917012105441121,)
91 	100  	71.625 	115.844	3.50267	940.683 (3.2917012105441121,)
92 	100  	81.0736	131.591	4.21776	923.719 (3.2917012105441121,)
93 	100  	86.7577	131.89 	4.92692	983.314 (3.2917012105441121,)
94 	100  	86.4253	134.987	3.79511	979.204 (3.2917012105441121,)
95 	100  	75.9711	136.112	4.21608	1103.15 (3.2917012105441121,)
96 	100  	75.7195	118.437	3.95096	824.999 (3.2917012105441121,)
97 	100  	75.1975	116.788	3.45923	832.264 (3.2917012105441121,)
98 	100  	75.45  	128.138	5.07243	1000.01 (3.2917012105441121,)
99 	100  	67.8602	119.272	3.1427 	828.261 (3.1427029614958228,)
100	100  	70.9485	115.574	4.55205	865.591 (3.1427029614958228,)
101	100  	68.6716	129.521	3.40751	1077.01 (3.1427029614958228,)
102	100  	79.3525	108.516	3.74712	976.057 (3.1427029614958228,)
103	100  	75.5248	117.042	3.00774	962.344 (3.0077395679496681,)
104	100  	78.9611	113.655	3.36012	992.145 (3.0077395679496681,)
105	100  	82.6546	124.658	4.10691	983.96  (3.0077395679496681,)
106	100  	92.8916	127.866	3.25021	998.022 (3.0077395679496681,)
107	100  	63.8764	110.17 	3.90144	838.383 (3.0077395679496681,)
108	100  	88.3508	116.052	3.26408	760.238 (3.0077395679496681,)
109	100  	78.7893	121.468	4.4769 	840.986 (3.0077395679496681,)
110	100  	74.4116	123.569	4.89779	1006.69 (3.0077395679496681,)
111	100  	68.929 	90.8888	4.29468	617.654 (3.0077395679496681,)
112	100  	79.172 	126.298	3.10444	1018.56 (3.0077395679496681,)
113	100  	82.147 	105.345	4.07932	733.158 (3.0077395679496681,)
114	100  	73.3634	95.295 	4.99344	718.626 (3.0077395679496681,)
115	100  	73.6475	85.181 	3.47637	551.455 (3.0077395679496681,)
116	100  	87.3397	108.048	3.42723	705.178 (3.0077395679496681,)
117	100  	72.1129	119.477	2.57784	861.113 (2.577842794812133,)
118	100  	81.7284	112.859	3.938  	961.237 (2.577842794812133,)
119	100  	80.7816	103.968	4.07181	873.589 (2.577842794812133,)
120	100  	82.6325	98.427 	3.7164 	768.487 (2.577842794812133,)
121	100  	81.8789	105.562	2.91426	897.986 (2.577842794812133,)
122	100  	75.8044	100.977	2.73826	756.576 (2.577842794812133,)
123	100  	78.6007	104.935	3.27857	827.877 (2.577842794812133,)
124	100  	77.2223	129.07 	2.73743	959.258 (2.577842794812133,)
125	100  	85.1839	112.153	3.82028	903.927 (2.577842794812133,)
126	100  	73.4243	117.343	5.58578	980.537 (2.577842794812133,)
127	100  	73.507 	135.238	3.34388	1013.73 (2.577842794812133,)
128	100  	73.8472	103.549	3.80237	725.218 (2.577842794812133,)
129	100  	81.0722	131.615	3.04438	936.122 (2.577842794812133,)
130	100  	80.1091	117.701	2.58025	845.618 (2.577842794812133,)
131	100  	75.1781	92.0343	4.74924	641.903 (2.577842794812133,)
132	100  	72.0072	103.345	3.47467	670.994 (2.577842794812133,)
133	100  	72.5687	110.489	3.4799 	838.243 (2.577842794812133,)
134	100  	69.8799	92.267 	3.07854	831.535 (2.577842794812133,)
135	100  	75.2176	96.1028	3.57644	801.816 (2.577842794812133,)
136	100  	84.1598	116.025	4.22853	789.298 (2.577842794812133,)
137	100  	76.2255	113.548	1.90398	850.035 (1.903981513786724,)
138	100  	73.7153	126.65 	2.05783	931.888 (1.903981513786724,)
139	100  	97.1557	123.367	2.8555 	914.565 (1.903981513786724,)
140	100  	94.7569	126.241	2.52167	1040.36 (1.903981513786724,)
141	100  	81.8795	103.44 	2.69126	796.319 (1.903981513786724,)
142	100  	73.8294	117.554	3.3552 	949.774 (1.903981513786724,)
143	100  	74.6777	105.495	4.48782	935.256 (1.903981513786724,)
144	100  	77.5838	111.908	2.87628	926.929 (1.903981513786724,)
145	100  	76.2866	112.595	3.59732	768.618 (1.903981513786724,)
146	100  	84.3512	116.729	2.90384	922.349 (1.903981513786724,)
147	100  	75.9291	113.495	1.89556	814.415 (1.8955635368741501,)
148	100  	92.0963	153.442	3.86694	1176.98 (1.8955635368741501,)
149	100  	84.128 	125.975	3.03395	833.971 (1.8955635368741501,)
150	100  	78.5784	117.655	3.48193	810.381 (1.8955635368741501,)
151	100  	82.8542	115.196	2.64328	968.616 (1.8955635368741501,)
152	100  	82.7433	117.344	2.22048	885.236 (1.8955635368741501,)
153	100  	86.5219	117.256	2.50049	768.727 (1.8955635368741501,)
154	100  	85.7169	113.291	2.6363 	859.344 (1.8955635368741501,)
155	100  	75.0021	116.732	3.79883	955.971 (1.8955635368741501,)
156	100  	78.0024	108.634	2.76437	960.064 (1.8955635368741501,)
157	100  	82.3843	124.404	2.38189	902.518 (1.8955635368741501,)
