In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1578.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max    
0  	100  	814.52	368.488	62.6915	1568.34 (62.691484143364853,)
1  	100  	772.268	387.022	62.0753	1685.54 (62.075285918940281,)
2  	100  	726.212	411.363	54.9891	1804.38 (54.989119780093105,)
3  	100  	663.681	404.556	54.5274	1511.01 (54.527356251623445,)
4  	100  	628.42 	363.941	23.4446	1411.33 (23.444596725524381,)
5  	100  	537.669	359.406	31.559 	1551.29 (23.444596725524381,)
6  	100  	479.345	394.986	28.5367	1542.8  (23.444596725524381,)
7  	100  	420.014	398.096	17.5051	1601.73 (17.505069657426692,)
8  	100  	314.544	374.746	19.4929	1734.55 (17.505069657426692,)
9  	100  	240.427	297.456	19.6574	1392.63 (17.505069657426692,)
10 	100  	192.117	258.787	16.6069	1282.67 (16.606882072355258,)
11 	100  	173.881	265.65 	13.3505	1393.47 (13.350508818003393,)
12 	100  	138.51 	259.656	13.6898	1585.9  (13.350508818003393,)
13 	100  	135.077	230.626	12.697 	1335.34 (12.696970887027954,)
14 	100  	142.338	242.088	11.1852	1344.69 (11.185237496246858,)
15 	100  	148.694	263.788	11.3085	1418.8  (11.185237496246858,)
16 	100  	150.205	258.783	9.7689 	1461.6  (9.7688995289538649,)
17 	100  	167.391	256.397	10.3256	1402.37 (9.7688995289538649,)
18 	100  	152.228	253.524	10.3342	1379.29 (9.7688995289538649,)
19 	100  	151.817	234.486	9.67384	1239.84 (9.6738376181760923,)
20 	100  	163.404	267.957	10.2197	1421.33 (9.6738376181760923,)
21 	100  	150.036	257.616	8.9911 	1453.78 (8.9910954191799366,)
22 	100  	155.505	246.495	10.1466	1418.9  (8.9910954191799366,)
23 	100  	157.086	246.573	10.7005	1403    (8.9910954191799366,)
24 	100  	155.008	245.839	10.0557	1574.47 (8.9910954191799366,)
25 	100  	168.582	261.814	9.61587	1470.44 (8.9910954191799366,)
26 	100  	155.771	250.063	9.43034	1508.16 (8.9910954191799366,)
27 	100  	155.455	242.889	9.57123	1431.75 (8.9910954191799366,)
28 	100  	131.953	237.863	8.62881	1411.18 (8.6288106960185136,)
29 	100  	154.821	241.52 	9.04053	1328.34 (8.6288106960185136,)
30 	100  	135.43 	242.279	8.10199	1353.21 (8.101993122870903,)
31 	100  	146.192	250.973	8.49561	1420.11 (8.101993122870903,)
32 	100  	135.964	198.113	8.1484 	1196.52 (8.101993122870903,)
33 	100  	149.427	192.789	8.77803	1323.7  (8.101993122870903,)
34 	100  	157.556	200.544	9.602  	1211.71 (8.101993122870903,)
35 	100  	121.862	186.211	7.91193	1316.92 (7.9119297079508808,)
36 	100  	111.661	169.917	8.16543	1423.81 (7.9119297079508808,)
37 	100  	137.448	191.889	8.04487	1377.35 (7.9119297079508808,)
38 	100  	115.702	166.214	9.04137	1331.68 (7.9119297079508808,)
39 	100  	118.593	169.54 	8.4592 	1363.87 (7.9119297079508808,)
40 	100  	133.638	186.332	7.60408	1329.95 (7.6040781438609812,)
41 	100  	116.858	183.339	8.08951	1428.35 (7.6040781438609812,)
42 	100  	117.809	176.321	8.42612	1495.65 (7.6040781438609812,)
43 	100  	126.371	177.56 	8.03101	1388.18 (7.6040781438609812,)
44 	100  	128.106	183.092	7.7055 	1404.26 (7.6040781438609812,)
45 	100  	132.032	182.216	7.6137 	1400.52 (7.6040781438609812,)
46 	100  	131.504	187.106	8.55923	1388.72 (7.6040781438609812,)
47 	100  	142.014	181.037	8.2129 	1369.21 (7.6040781438609812,)
48 	100  	155.323	195.155	9.51334	1330.69 (7.6040781438609812,)
49 	100  	129.43 	188.513	8.22155	1415.88 (7.6040781438609812,)
50 	100  	131.928	204.894	8.11421	1495.73 (7.6040781438609812,)
51 	100  	130.131	175.88 	7.64911	1407.44 (7.6040781438609812,)
52 	100  	144.524	197.805	8.06121	1438.98 (7.6040781438609812,)
53 	100  	126.239	194.921	8.39243	1440.18 (7.6040781438609812,)
54 	100  	128.683	183.574	6.92365	1437.54 (6.923646688526877,)
55 	100  	129.485	180.165	8.16891	1394.06 (6.923646688526877,)
56 	100  	135.931	178.731	7.00777	1348.04 (6.923646688526877,)
57 	100  	123.172	178.668	6.89485	1369.51 (6.8948521747539191,)
58 	100  	142.472	182.388	6.79387	1341.23 (6.7938742800753031,)
59 	100  	144.397	183.354	7.39854	1325.93 (6.7938742800753031,)
60 	100  	145.238	170.281	7.32851	1343.64 (6.7938742800753031,)
61 	100  	145.162	184.888	7.72898	1411.22 (6.7938742800753031,)
62 	100  	147.603	181.576	7.24433	1367.93 (6.7938742800753031,)
63 	100  	139.386	168.251	9.24037	1312.7  (6.7938742800753031,)
64 	100  	129.753	185.265	7.32938	1450.49 (6.7938742800753031,)
65 	100  	138.548	189.357	7.38775	1532.01 (6.7938742800753031,)
66 	100  	151.418	190.16 	7.60666	1403.9  (6.7938742800753031,)
67 	100  	148.961	189.449	7.24656	1356.76 (6.7938742800753031,)
68 	100  	138.909	177.146	8.22971	1244.64 (6.7938742800753031,)
69 	100  	133.813	181.798	6.79649	1416.01 (6.7938742800753031,)
70 	100  	130.081	174.459	7.10868	1363.47 (6.7938742800753031,)
71 	100  	144.588	209.626	7.04074	1450.34 (6.7938742800753031,)
72 	100  	131.098	170.96 	7.49034	1406.14 (6.7938742800753031,)
73 	100  	125.007	172.179	6.70327	1141.18 (6.7032686051104911,)
74 	100  	104.626	144.656	7.60198	1238.01 (6.7032686051104911,)
75 	100  	118.617	182.023	6.94479	1440.71 (6.7032686051104911,)
76 	100  	131.746	194.507	7.5677 	1512.91 (6.7032686051104911,)
77 	100  	149.841	185.718	6.57448	1390.18 (6.5744838959335663,)
78 	100  	146.278	185.126	7.21692	1378.29 (6.5744838959335663,)
79 	100  	120.249	194.094	7.31595	1391.96 (6.5744838959335663,)
