In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1607.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max   
0  	100  	843.889	401.834	97.2017	1710.7 (97.201746087097334,)
1  	100  	770.39 	425.573	58.6427	1656.52 (58.642665816593933,)
2  	100  	664.668	416.302	42.0028	1514.66 (42.002832019123879,)
3  	100  	577.628	387.554	34.8938	1648.41 (34.893807350366465,)
4  	100  	518.077	399.087	15.9412	1651.57 (15.941198386918034,)
5  	100  	441.906	360.496	28.2381	1542.82 (15.941198386918034,)
6  	100  	353.492	342.075	14.0156	1660.36 (14.01557100824483,)
7  	100  	288.78 	299.95 	22.7725	1370.1  (14.01557100824483,)
8  	100  	221.404	281.876	14.2072	1550.65 (14.01557100824483,)
9  	100  	197.092	280.117	11.3218	1575.85 (11.32179590011577,)
10 	100  	166.642	248.84 	10.7691	1555.89 (10.769088156724791,)
11 	100  	139.87 	206.59 	10.7674	1534.32 (10.767414651274674,)
12 	100  	139.37 	187.833	11.3542	1391.53 (10.767414651274674,)
13 	100  	135.847	196.166	9.79271	1552.96 (9.7927064126396868,)
14 	100  	105.5  	175.096	10.6572	1464.04 (9.7927064126396868,)
15 	100  	109.206	180.963	9.87673	1506.33 (9.7927064126396868,)
16 	100  	116.128	202.101	9.38304	1632.14 (9.383043211236032,)
17 	100  	108.465	170.025	9.50444	1462.04 (9.383043211236032,)
18 	100  	100.411	156.744	8.83027	1289.74 (8.8302688093809305,)
19 	100  	98.0035	147.462	8.83203	1231.16 (8.8302688093809305,)
20 	100  	106.46 	158.808	9.59425	1419.21 (8.8302688093809305,)
21 	100  	95.0082	157.218	10.3094	1397.48 (8.8302688093809305,)
22 	100  	93.1453	146.929	9.17329	1347.43 (8.8302688093809305,)
23 	100  	94.2338	163.348	7.54199	1465.59 (7.5419921455011929,)
24 	100  	93.8399	167.509	8.44737	1559.1  (7.5419921455011929,)
25 	100  	100.584	174.356	8.52563	1539.43 (7.5419921455011929,)
26 	100  	96.1274	164.32 	8.46032	1436.47 (7.5419921455011929,)
27 	100  	96.282 	145.081	8.71486	1219.8  (7.5419921455011929,)
28 	100  	99.9716	142.195	7.6408 	1164.17 (7.5419921455011929,)
29 	100  	94.4306	141.506	7.12828	1098.79 (7.1282827241797291,)
30 	100  	93.973 	143.672	6.7064 	1172.42 (6.706397880443058,)
31 	100  	81.8273	168.352	6.63179	1583.27 (6.6317916355403241,)
32 	100  	83.1485	143.986	6.9288 	1333.29 (6.6317916355403241,)
33 	100  	100.713	154.597	7.40982	1332.44 (6.6317916355403241,)
34 	100  	111.689	172.817	6.48828	1552.93 (6.4882819180629223,)
35 	100  	104.74 	182.684	6.8578 	1652.01 (6.4882819180629223,)
36 	100  	93.2622	144.105	6.64332	1226.59 (6.4882819180629223,)
37 	100  	111.82 	159.814	6.40913	1361.89 (6.4091284830062314,)
38 	100  	105.357	154.024	7.07465	1335.85 (6.4091284830062314,)
39 	100  	95.4947	152.769	6.95167	1381.58 (6.4091284830062314,)
40 	100  	107.336	159.222	5.99417	1333.86 (5.994169062973187,)
41 	100  	86.5486	168.015	5.64274	1578.03 (5.642742275409641,)
42 	100  	82.7236	151.707	6.95675	1410.32 (5.642742275409641,)
43 	100  	100.362	153.12 	6.40345	1429.85 (5.642742275409641,)
44 	100  	105.421	157.936	5.84125	1404.48 (5.642742275409641,)
45 	100  	90.2824	168.142	6.10814	1564.78 (5.642742275409641,)
46 	100  	96.6066	146.234	6.25233	1369.48 (5.642742275409641,)
47 	100  	95.2507	127.597	7.51294	1008.71 (5.642742275409641,)
48 	100  	95.4825	145.802	6.43092	1144.81 (5.642742275409641,)
49 	100  	94.2852	141.641	5.98847	1209.96 (5.642742275409641,)
50 	100  	87.7194	126.491	5.99243	1050.87 (5.642742275409641,)
51 	100  	84.7133	121.572	6.31032	1032.28 (5.642742275409641,)
52 	100  	105.941	153.704	6.64038	1297.81 (5.642742275409641,)
53 	100  	95.5722	152.014	6.64645	1386.07 (5.642742275409641,)
54 	100  	98.3425	147.94 	6.06531	1351.84 (5.642742275409641,)
55 	100  	92.6091	165.11 	5.46724	1566.25 (5.4672403561553944,)
56 	100  	84.8365	155.708	5.79473	1450.41 (5.4672403561553944,)
57 	100  	89.7295	154.121	6.32059	1472.42 (5.4672403561553944,)
58 	100  	90.4192	141.485	5.22002	1239.61 (5.2200183898604884,)
59 	100  	95.0894	136.31 	5.51946	1078.43 (5.2200183898604884,)
60 	100  	101.879	173.487	4.39915	1593.6  (4.3991479032353187,)
61 	100  	92.117 	133.883	4.37179	1186.91 (4.3717920358880233,)
62 	100  	95.9007	169.498	5.78274	1512.91 (4.3717920358880233,)
63 	100  	101.555	160.95 	5.0934 	1471.09 (4.3717920358880233,)
64 	100  	96.3253	120.965	5.41141	1030.24 (4.3717920358880233,)
65 	100  	100.67 	159.498	4.58137	1469.32 (4.3717920358880233,)
66 	100  	93.6937	134.317	5.35424	1241.43 (4.3717920358880233,)
67 	100  	88.7128	152.847	4.82797	1414.9  (4.3717920358880233,)
68 	100  	89.1521	159.896	5.01402	1433.25 (4.3717920358880233,)
69 	100  	95.3024	151    	4.43954	1432.56 (4.3717920358880233,)
70 	100  	95.7251	162.806	4.37285	1536.5  (4.3717920358880233,)
71 	100  	96.9309	136.876	6.31975	1249.71 (4.3717920358880233,)
72 	100  	87.592 	151.729	4.00173	1440.28 (4.0017294630369751,)
73 	100  	92.7234	151.938	4.06223	1434.8  (4.0017294630369751,)
74 	100  	92.6175	148.828	4.10194	1391    (4.0017294630369751,)
75 	100  	98.6478	143.133	6.7077 	1280.99 (4.0017294630369751,)
76 	100  	93.4686	128.102	5.23369	1072.5  (4.0017294630369751,)
77 	100  	90.7514	135.134	2.9358 	1211.91 (2.9358020600105426,)
78 	100  	95.3208	162.851	3.87497	1457.42 (2.9358020600105426,)
79 	100  	81.2577	144.633	3.57041	1363.01 (2.9358020600105426,)
80 	100  	93.0335	131.028	4.34693	1097.75 (2.9358020600105426,)
81 	100  	80.5647	127.399	3.31185	1175.45 (2.9358020600105426,)
82 	100  	84.0543	135.724	3.86421	1151.36 (2.9358020600105426,)
83 	100  	83.1571	145.403	5.34124	1416.98 (2.9358020600105426,)
84 	100  	84.1295	154.221	4.28651	1452.61 (2.9358020600105426,)
85 	100  	94.1879	138.266	3.86539	1203.31 (2.9358020600105426,)
86 	100  	86.5403	146.701	2.56982	1378.06 (2.5698175374627477,)
87 	100  	78.9056	136.638	4.57051	1233.61 (2.5698175374627477,)
88 	100  	93.7836	168.078	3.17493	1577.25 (2.5698175374627477,)
89 	100  	91.1873	159.38 	4.51304	1448    (2.5698175374627477,)
90 	100  	106.095	161.305	3.759  	1441.69 (2.5698175374627477,)
91 	100  	100.435	140.355	3.12463	1196.56 (2.5698175374627477,)
92 	100  	92.1389	148.23 	3.70062	1366.32 (2.5698175374627477,)
93 	100  	98.4988	165.8  	2.94146	1509.7  (2.5698175374627477,)
94 	100  	88.2976	159.957	3.68189	1488.83 (2.5698175374627477,)
95 	100  	93.9136	149.181	3.73426	1343.98 (2.5698175374627477,)
96 	100  	89.644 	127.112	3.1402 	1137.38 (2.5698175374627477,)
97 	100  	93.0216	151.383	3.911  	1403.11 (2.5698175374627477,)
98 	100  	97.9002	129.483	3.32786	1068.36 (2.5698175374627477,)
99 	100  	92.5732	133.654	2.72051	1177.66 (2.5698175374627477,)
100	100  	97.596 	129.429	2.88193	1115.46 (2.5698175374627477,)
101	100  	113.943	158.675	4.03542	1455.67 (2.5698175374627477,)
102	100  	108.024	178.892	3.39166	1702.97 (2.5698175374627477,)
103	100  	91.995 	173.249	3.13445	1692.64 (2.5698175374627477,)
104	100  	84.4562	157.458	2.66833	1485.24 (2.5698175374627477,)
105	100  	85.9572	147.412	3.52218	1383.46 (2.5698175374627477,)
106	100  	88.2777	163.736	3.12681	1577.86 (2.5698175374627477,)
107	100  	83.6883	139.013	2.84565	1275.3  (2.5698175374627477,)
108	100  	84.3326	125.055	2.78435	1079    (2.5698175374627477,)
109	100  	99.6329	120.436	3.05906	1069.07 (2.5698175374627477,)
