In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1466.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg  	std    	min   	max    
0  	100  	864.2	394.472	49.764	1862.05 (49.764010770067905,)
1  	100  	811.232	390.284	77.7019	1581.53 (49.764010770067905,)
2  	100  	765.431	387.383	48.6565	1459.13 (48.656485760149977,)
3  	100  	764.536	409.89 	49.7848	1869.42 (48.656485760149977,)
4  	100  	737.347	411.435	34.049 	1861.84 (34.049004712588292,)
5  	100  	676.438	428.474	37.3987	1712.09 (34.049004712588292,)
6  	100  	571.563	443.392	17.5177	1905.64 (17.517706702284968,)
7  	100  	509.958	459.696	18.877 	1886.33 (17.517706702284968,)
8  	100  	512.129	444.36 	22.1246	1905.12 (17.517706702284968,)
9  	100  	423.71 	435.857	21.0606	1690.25 (17.517706702284968,)
10 	100  	436.892	462.351	16.8324	1827.14 (16.832415765211714,)
11 	100  	390.302	432.775	17.3831	1850.83 (16.832415765211714,)
12 	100  	312.73 	368.212	14.5196	1486.97 (14.519579485391237,)
13 	100  	280.206	339.202	14.3429	1418.79 (14.342855323325574,)
14 	100  	260.865	364.21 	14.3542	1348.21 (14.342855323325574,)
15 	100  	235.014	339.477	14.5329	1317.99 (14.342855323325574,)
16 	100  	233.577	340.477	14.9889	1319.95 (14.342855323325574,)
17 	100  	225.756	339.842	12.7463	1314.28 (12.746344292053168,)
18 	100  	236.157	301.527	11.4476	1446.43 (11.447615101212822,)
19 	100  	211.533	300.869	13.393 	1270.74 (11.447615101212822,)
20 	100  	227.753	314.053	12.5284	1297.97 (11.447615101212822,)
21 	100  	207.2  	296.576	10.9694	1322.62 (10.969415014690066,)
22 	100  	197.438	306.803	11.219 	1319.77 (10.969415014690066,)
23 	100  	208.263	301.903	12.4252	1319.42 (10.969415014690066,)
24 	100  	199.168	295.515	11.9286	1277.58 (10.969415014690066,)
25 	100  	209.718	308.297	10.9941	1292.49 (10.969415014690066,)
26 	100  	198.495	305.304	10.0759	1304.23 (10.07588117784247,)
27 	100  	218.629	300.856	11.0825	1453.09 (10.07588117784247,)
28 	100  	187.959	289.06 	10.7777	1434.3  (10.07588117784247,)
29 	100  	179.432	283.035	9.55543	1420.9  (9.5554338226770685,)
30 	100  	191.041	274.059	9.99411	1399.17 (9.5554338226770685,)
31 	100  	181.998	261.565	9.82206	1177.75 (9.5554338226770685,)
32 	100  	168.925	235.585	11.3683	1208.88 (9.5554338226770685,)
33 	100  	158.988	212.936	9.62417	1067.65 (9.5554338226770685,)
34 	100  	161.564	211.526	10.7664	962.379 (9.5554338226770685,)
35 	100  	155.678	193.991	9.21333	976.572 (9.2133318213030844,)
36 	100  	143.07 	199.043	9.46396	1018.85 (9.2133318213030844,)
37 	100  	147.143	219.05 	9.67864	1221.81 (9.2133318213030844,)
38 	100  	144.526	215.371	8.67925	1212.25 (8.6792498798400164,)
39 	100  	154.361	233.95 	9.66957	1338.19 (8.6792498798400164,)
40 	100  	141.194	202.875	8.8998 	1109.17 (8.6792498798400164,)
41 	100  	140.931	197.158	8.93419	1245.42 (8.6792498798400164,)
42 	100  	147.832	203.982	9.09539	1199.36 (8.6792498798400164,)
43 	100  	134.986	197.99 	8.3122 	1326.57 (8.3121964072344365,)
44 	100  	150.508	204.723	7.89555	1289.31 (7.8955549334952693,)
45 	100  	140.798	223.293	8.7598 	1389.7  (7.8955549334952693,)
46 	100  	134.284	195.089	8.64971	1224.76 (7.8955549334952693,)
47 	100  	146.866	214.167	9.67236	1353.94 (7.8955549334952693,)
48 	100  	152.154	196.379	8.38375	1326.02 (7.8955549334952693,)
49 	100  	162.496	213.303	7.595  	1320.89 (7.5949992134529776,)
50 	100  	181.763	219.516	7.11594	1357.61 (7.1159406436338539,)
51 	100  	146.206	210.173	7.80698	1370.55 (7.1159406436338539,)
52 	100  	168.413	203.9  	7.76675	1239.55 (7.1159406436338539,)
53 	100  	160.085	191.028	7.50704	1245.97 (7.1159406436338539,)
54 	100  	152.981	196.26 	7.99379	1208.92 (7.1159406436338539,)
55 	100  	141.69 	198.011	7.41525	1175.2  (7.1159406436338539,)
56 	100  	159.85 	217.635	6.78822	1289.06 (6.788217176160166,)
57 	100  	158.607	224.627	6.82544	1227.21 (6.788217176160166,)
58 	100  	161.001	223.056	7.51293	1226.11 (6.788217176160166,)
59 	100  	142.373	198.645	6.63513	1077.57 (6.6351290815138926,)
60 	100  	150.511	212.269	6.23112	1120.21 (6.2311200964191329,)
61 	100  	154.141	219.798	5.41143	1050.46 (5.4114288600435119,)
62 	100  	141.577	225.06 	8.20106	1241.38 (5.4114288600435119,)
63 	100  	144.348	223.079	6.37441	1132.93 (5.4114288600435119,)
64 	100  	180.587	247.347	6.24223	1233.82 (5.4114288600435119,)
65 	100  	162.328	227.738	6.75965	1268.29 (5.4114288600435119,)
66 	100  	157.835	223.38 	5.90371	1250.52 (5.4114288600435119,)
67 	100  	133.961	203.508	5.91535	1139.14 (5.4114288600435119,)
68 	100  	136.315	190.045	5.22333	945.906 (5.2233276860199727,)
69 	100  	121.53 	160.199	5.89597	1033.94 (5.2233276860199727,)
70 	100  	133.432	165.072	7.13232	989.934 (5.2233276860199727,)
71 	100  	146.191	196.555	6.99667	1074.54 (5.2233276860199727,)
72 	100  	134.498	171.743	4.84285	1053.08 (4.8428538264135472,)
73 	100  	144.28 	186.759	6.03974	1236.92 (4.8428538264135472,)
74 	100  	151.21 	186.084	5.29187	1153.16 (4.8428538264135472,)
75 	100  	155.656	206.366	6.26426	1212.59 (4.8428538264135472,)
76 	100  	127.161	188.474	6.66821	1232.21 (4.8428538264135472,)
77 	100  	142.788	207.839	6.12811	1248.81 (4.8428538264135472,)
78 	100  	152.636	193.718	5.81868	1414.93 (4.8428538264135472,)
79 	100  	154.873	212.258	6.21954	1308.1  (4.8428538264135472,)
80 	100  	157.788	205.087	5.17811	1209.02 (4.8428538264135472,)
81 	100  	162.288	203.377	7.85115	1214.4  (4.8428538264135472,)
82 	100  	147.402	187.386	6.47671	1325.8  (4.8428538264135472,)
83 	100  	129.583	178.362	5.03545	1167.64 (4.8428538264135472,)
84 	100  	128.767	172.696	5.16142	1049.41 (4.8428538264135472,)
85 	100  	133.497	192.194	6.45237	1355.06 (4.8428538264135472,)
86 	100  	137.772	187.278	5.94001	1174.84 (4.8428538264135472,)
87 	100  	138.455	183.03 	5.14701	1017.61 (4.8428538264135472,)
88 	100  	151.723	182.495	4.89126	1046.51 (4.8428538264135472,)
89 	100  	165.843	201.688	5.289  	1175.58 (4.8428538264135472,)
90 	100  	145.744	189.217	4.67201	1156.54 (4.6720088702295222,)
91 	100  	118.889	162.538	6.5601 	1051.85 (4.6720088702295222,)
92 	100  	119.05 	159.37 	4.58454	1052.06 (4.5845359786776392,)
93 	100  	128.102	158.688	5.95465	1016.5  (4.5845359786776392,)
94 	100  	135.862	176.662	5.14556	1022.95 (4.5845359786776392,)
95 	100  	129.603	170.452	5.12388	999.955 (4.5845359786776392,)
96 	100  	146.869	203.685	4.62226	1282.17 (4.5845359786776392,)
97 	100  	146.141	199.894	5.03919	1397.8  (4.5845359786776392,)
98 	100  	131.413	200.695	4.74921	1274.98 (4.5845359786776392,)
99 	100  	124.554	171.684	5.9169 	1286.41 (4.5845359786776392,)
100	100  	130.358	190.713	5.79559	1384.76 (4.5845359786776392,)
101	100  	112.039	184.451	5.16295	1333.21 (4.5845359786776392,)
102	100  	121.223	169.995	4.41914	1135.1  (4.4191401993225554,)
103	100  	106.892	160.492	4.16785	932.854 (4.1678492335208084,)
104	100  	128.111	182.213	3.5354 	1372.76 (3.5354049986941329,)
105	100  	114.522	174.705	6.61672	1233.7  (3.5354049986941329,)
106	100  	140.111	177.225	4.36498	1206.59 (3.5354049986941329,)
107	100  	122.103	162.883	5.74288	1168.67 (3.5354049986941329,)
108	100  	135.152	172.167	4.09773	1343.45 (3.5354049986941329,)
109	100  	123.645	174.423	5.02605	1382.36 (3.5354049986941329,)
110	100  	120.723	162.882	3.86968	1319.15 (3.5354049986941329,)
111	100  	118.519	160.17 	4.34653	1225.55 (3.5354049986941329,)
112	100  	120.732	158.102	4.54623	1181.43 (3.5354049986941329,)
113	100  	123.953	164.727	3.68442	1227.98 (3.5354049986941329,)
114	100  	109.758	166.727	5.56598	1165.08 (3.5354049986941329,)
115	100  	111.449	169.714	3.24352	1069.63 (3.2435186632481998,)
116	100  	122.942	156.396	3.33663	1103.35 (3.2435186632481998,)
117	100  	115.151	186.321	3.16189	1261.04 (3.161889711300502,)
118	100  	140.43 	193.614	5.52325	1190.23 (3.161889711300502,)
119	100  	143.484	187.279	3.07088	1261.89 (3.0708833749636146,)
120	100  	103.862	165.478	4.03129	1373.84 (3.0708833749636146,)
121	100  	131.042	181.719	4.73755	1446.5  (3.0708833749636146,)
122	100  	129.835	179.996	3.60557	1450.76 (3.0708833749636146,)
123	100  	125.275	187.749	4.55951	1410.14 (3.0708833749636146,)
