In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1633.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max   
0  	100  	816.365	371.516	91.717	1807.5 (91.717021514239462,)
1  	100  	788.265	399.16 	71.6761	1905.35 (71.676080554151952,)
2  	100  	708.537	357.459	63.8158	1620.81 (63.81583702855572,)
3  	100  	687.986	348.724	140.168	1744.86 (63.81583702855572,)
4  	100  	642.168	371.092	47.2099	1471.35 (47.209945524528948,)
5  	100  	560.128	369.026	29.1399	1401.17 (29.139857325007583,)
6  	100  	482.655	340.248	23.8699	1398.15 (23.869860964875222,)
7  	100  	496.406	324.196	28.538 	1476.87 (23.869860964875222,)
8  	100  	392.537	321.593	26.6776	1550.7  (23.869860964875222,)
9  	100  	311.561	321.516	19.4427	1741.5  (19.442739834868604,)
10 	100  	225.165	290.292	16.534 	1525.27 (16.533988293864365,)
11 	100  	191.093	266.028	14.4843	1527.55 (14.48434742009802,)
12 	100  	148.397	200.342	17.1626	946.802 (14.48434742009802,)
13 	100  	127.474	172.33 	15.1605	891.32  (14.48434742009802,)
14 	100  	115.454	151.841	13.9747	889.261 (13.974735340062166,)
15 	100  	99.9904	129.188	13.3283	889.897 (13.328313345901076,)
16 	100  	104.105	116.372	13.3714	789.814 (13.328313345901076,)
17 	100  	86.8946	89.7883	12.4986	515.546 (12.498606822275468,)
18 	100  	77.4946	64.7051	12.4902	409.338 (12.490202073737702,)
19 	100  	85.2791	72.7844	14.113 	330.044 (12.490202073737702,)
20 	100  	102.071	100.769	11.8046	576.588 (11.804615486304217,)
21 	100  	80.5514	79.4162	10.8422	542.735 (10.842218364436466,)
22 	100  	76.8768	65.2389	11.6764	366.323 (10.842218364436466,)
23 	100  	95.3216	77.6444	9.62112	534.664 (9.6211170476886263,)
24 	100  	77.8361	70.7727	9.62643	319.473 (9.6211170476886263,)
25 	100  	62.4162	57.5424	9.17382	303.237 (9.1738177579538203,)
26 	100  	88.1885	81.9946	9.2026 	401.037 (9.1738177579538203,)
27 	100  	70.9917	70.2998	9.38626	467.71  (9.1738177579538203,)
28 	100  	94.4513	86.4901	10.3232	460.293 (9.1738177579538203,)
29 	100  	83.8105	78.7373	8.89988	453.081 (8.8998788445678247,)
30 	100  	72.1956	69.2886	9.16297	324.506 (8.8998788445678247,)
31 	100  	84.6707	71.3817	9.084  	379.912 (8.8998788445678247,)
32 	100  	93.922 	93.7626	8.82696	507.329 (8.8269580977887578,)
33 	100  	66.7495	59.7077	9.59001	253.791 (8.8269580977887578,)
34 	100  	72.6493	64.3594	8.66708	240.056 (8.6670830148162388,)
35 	100  	86.2653	75.8136	8.78468	385.614 (8.6670830148162388,)
36 	100  	84.6681	72.9416	8.7906 	331.941 (8.6670830148162388,)
37 	100  	84.6984	83.6698	8.15229	517.035 (8.1522947076036907,)
38 	100  	84.5579	70.8232	9.13388	312.809 (8.1522947076036907,)
39 	100  	74.8843	71.5951	8.78984	351.7   (8.1522947076036907,)
40 	100  	94.6666	87.9841	8.40513	352.634 (8.1522947076036907,)
41 	100  	65.0347	57.8006	8.94343	273.651 (8.1522947076036907,)
42 	100  	84.1983	76.2021	8.86533	334.604 (8.1522947076036907,)
43 	100  	99.4966	89.5206	8.34179	396.516 (8.1522947076036907,)
44 	100  	91.8315	88.5273	8.08476	387.61  (8.084755988339257,)
45 	100  	77.1136	70.4341	9.39743	368.689 (8.084755988339257,)
46 	100  	78.2739	68.8379	8.08918	331.557 (8.084755988339257,)
47 	100  	88.7391	95.9865	8.11707	766.601 (8.084755988339257,)
48 	100  	88.5309	82.3249	8.7954 	394.023 (8.084755988339257,)
49 	100  	86.6067	78.6023	8.58458	397.578 (8.084755988339257,)
50 	100  	85.8865	85.6923	9.17764	408.491 (8.084755988339257,)
51 	100  	86.4745	84.9011	8.59945	424.105 (8.084755988339257,)
52 	100  	87.9386	79.4098	8.17783	471.731 (8.084755988339257,)
53 	100  	83.8252	67.4666	8.77868	331.897 (8.084755988339257,)
54 	100  	83.0666	74.9568	8.79825	282.256 (8.084755988339257,)
55 	100  	92.4294	92.0217	8.34956	400.956 (8.084755988339257,)
56 	100  	84.2859	71.5803	8.57618	320.087 (8.084755988339257,)
57 	100  	74.8197	78.8659	8.79975	359.7   (8.084755988339257,)
58 	100  	83.6401	89.5136	7.73167	512.659 (7.7316693498014635,)
59 	100  	81.0581	76.388 	8.14791	350.008 (7.7316693498014635,)
60 	100  	89.2702	84.7376	8.81676	336.416 (7.7316693498014635,)
61 	100  	92.8015	91.2054	8.09759	457.375 (7.7316693498014635,)
62 	100  	81.4931	76.471 	8.32575	410.68  (7.7316693498014635,)
63 	100  	84.7631	80.0495	7.82794	491.787 (7.7316693498014635,)
64 	100  	95.601 	93.5108	8.1193 	508.65  (7.7316693498014635,)
65 	100  	91.9365	85.24  	7.97575	381.111 (7.7316693498014635,)
66 	100  	89.7256	75.5052	8.53456	338.91  (7.7316693498014635,)
67 	100  	90.252 	74.0139	8.45485	389.898 (7.7316693498014635,)
68 	100  	90.8182	78.2552	8.09383	335.786 (7.7316693498014635,)
69 	100  	96.0653	95.4924	8.35326	484.824 (7.7316693498014635,)
70 	100  	94.4016	93.2414	7.98605	456.814 (7.7316693498014635,)
71 	100  	82.5632	69.0557	9.65611	296.551 (7.7316693498014635,)
72 	100  	103.773	94.9652	8.10697	426.416 (7.7316693498014635,)
73 	100  	96.3099	85.9261	7.76674	449.302 (7.7316693498014635,)
74 	100  	92.5743	81.5219	8.5794 	354.889 (7.7316693498014635,)
75 	100  	92.2853	79.4593	7.70426	328.514 (7.7042641796351443,)
76 	100  	73.593 	69.0423	7.87932	388.695 (7.7042641796351443,)
77 	100  	87.9564	84.882 	8.03612	366.73  (7.7042641796351443,)
78 	100  	79.5608	69.9566	8.25106	333.198 (7.7042641796351443,)
79 	100  	78.1946	77.8209	8.23857	438.397 (7.7042641796351443,)
80 	100  	89.0094	76.9431	8.27094	418.322 (7.7042641796351443,)
81 	100  	92.2906	76.507 	8.52473	379.312 (7.7042641796351443,)
82 	100  	86.7188	81.0186	8.37907	369.003 (7.7042641796351443,)
83 	100  	79.3806	70.105 	9.67851	403.198 (7.7042641796351443,)
84 	100  	90.9678	77.7945	7.60968	334.459 (7.6096780528651831,)
85 	100  	87.4639	69.2332	7.06376	329.728 (7.0637636789239799,)
86 	100  	104.388	93.7057	9.19162	324.446 (7.0637636789239799,)
87 	100  	83.3893	85.6233	7.32137	359.869 (7.0637636789239799,)
88 	100  	132.546	139.317	8.08625	956.036 (7.0637636789239799,)
89 	100  	98.4153	86.9493	7.2338 	432.959 (7.0637636789239799,)
90 	100  	99.8538	97.0898	7.09042	410.478 (7.0637636789239799,)
91 	100  	87.4743	76.4299	7.7239 	348.373 (7.0637636789239799,)
92 	100  	91.6363	76.5376	7.88438	369.227 (7.0637636789239799,)
93 	100  	112.706	114.391	8.73905	778.93  (7.0637636789239799,)
94 	100  	97.3568	95.8501	7.55703	370.995 (7.0637636789239799,)
95 	100  	92.0593	84.7181	8.25109	336.014 (7.0637636789239799,)
96 	100  	105.319	101.023	8.21102	513.579 (7.0637636789239799,)
97 	100  	107.789	91.3722	7.08341	374.987 (7.0637636789239799,)
98 	100  	103.121	100.692	7.86468	496.8   (7.0637636789239799,)
99 	100  	100.146	97.1545	6.90308	390.704 (6.9030796317489926,)
100	100  	80.9619	84.4921	7.74346	484.018 (6.9030796317489926,)
101	100  	86.1082	81.3017	7.51497	373.988 (6.9030796317489926,)
102	100  	102.385	111.013	7.08025	535.267 (6.9030796317489926,)
103	100  	105.009	95.7606	8.47288	393.806 (6.9030796317489926,)
104	100  	102.7  	104.227	6.95541	532.454 (6.9030796317489926,)
105	100  	84.035 	82.1792	8.11466	326.422 (6.9030796317489926,)
106	100  	94.6926	82.0478	8.13803	325.46  (6.9030796317489926,)
107	100  	104.562	84.0315	9.76165	428.511 (6.9030796317489926,)
