In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1649.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max   
0  	100  	832.96	387.005	35.4185	1570.2 (35.418488325835959,)
1  	100  	809.117	392.349	44.6856	1471.75 (35.418488325835959,)
2  	100  	751.666	415.648	53.8569	1598.97 (35.418488325835959,)
3  	100  	664.832	423.138	44.7558	1696.14 (35.418488325835959,)
4  	100  	602.527	423.488	49.4366	1533.5  (35.418488325835959,)
5  	100  	602.451	460.78 	20.4223	1622.9  (20.422280422865263,)
6  	100  	548.782	450.36 	19.9173	1662.54 (19.917258233300874,)
7  	100  	455.872	437.666	22.8717	1538.76 (19.917258233300874,)
8  	100  	403.651	441.196	18.417 	1638.79 (18.416954110361822,)
9  	100  	313.479	408.637	16.0303	1600.18 (16.03025287519003,)
10 	100  	301.428	406.508	14.5117	1664.05 (14.511679803880535,)
11 	100  	292.902	389.402	13.2169	1521.04 (13.216949320158902,)
12 	100  	249.712	389.228	13.1411	1569.31 (13.1411116198688,)
13 	100  	237.596	385.234	13.1771	1745.81 (13.1411116198688,)
14 	100  	242.296	356.761	13.6122	1691.43 (13.1411116198688,)
15 	100  	244.668	353.949	13.2138	1554.75 (13.1411116198688,)
16 	100  	233.364	342.061	13.5449	1574.97 (13.1411116198688,)
17 	100  	228.211	351.67 	14.5177	1754.97 (13.1411116198688,)
18 	100  	206.358	347.029	14.1345	1746.15 (13.1411116198688,)
19 	100  	193.4  	342.576	12.5839	1675.66 (12.583877947138507,)
20 	100  	208.343	355.957	12.9587	1584.41 (12.583877947138507,)
21 	100  	203.561	348.212	13.0633	1745.82 (12.583877947138507,)
22 	100  	194.136	321.274	12.911 	1709.25 (12.583877947138507,)
23 	100  	190.831	302.032	13.8451	1657.14 (12.583877947138507,)
24 	100  	192.798	299.259	13.3747	1635.44 (12.583877947138507,)
25 	100  	189.159	311.156	12.2369	1692.15 (12.236949214085241,)
26 	100  	177.128	332.746	12.2288	1676.9  (12.228819963274447,)
27 	100  	187.328	313.644	12.0314	1447.66 (12.03141456411683,)
28 	100  	196.912	313.264	13.2558	1666.93 (12.03141456411683,)
29 	100  	193.675	309.095	12.5768	1536.26 (12.03141456411683,)
30 	100  	200.466	307.528	12.7403	1593.48 (12.03141456411683,)
31 	100  	175.993	286.774	11.9923	1569.4  (11.9923245187458,)
32 	100  	166.19 	311.885	12.8252	1682.17 (11.9923245187458,)
33 	100  	171.891	288.522	11.2832	1499.14 (11.283199993402599,)
34 	100  	176.118	309.116	12.8285	1606.3  (11.283199993402599,)
35 	100  	165.607	306.873	12.3468	1772.49 (11.283199993402599,)
36 	100  	182.692	286.869	11.6602	1516.37 (11.283199993402599,)
37 	100  	163.646	257.573	13.2753	1271.18 (11.283199993402599,)
38 	100  	155.939	245.438	11.7168	1396.88 (11.283199993402599,)
39 	100  	142.93 	236.802	10.8481	1404.01 (10.848112628607232,)
40 	100  	141.676	238.187	11.7838	1691.22 (10.848112628607232,)
41 	100  	154.801	235.569	11.0092	1283.21 (10.848112628607232,)
42 	100  	159.143	269.925	11.115 	1536.57 (10.848112628607232,)
