In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1677.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max   
0  	100  	800.403	341.48	40.7375	1683.3 (40.737490062699777,)
1  	100  	773.039	398.268	33.1209	1633.83 (33.120873025047608,)
2  	100  	660.618	423.056	39.1846	1648.13 (33.120873025047608,)
3  	100  	610.51 	441.116	26.1931	1777.99 (26.193058195654928,)
4  	100  	566.617	404.656	30.7582	1775    (26.193058195654928,)
5  	100  	459.233	388.311	39.659 	1779.51 (26.193058195654928,)
6  	100  	394.403	383.978	24.109 	1809.52 (24.109048245754256,)
7  	100  	359.725	395.159	23.107 	1734.97 (23.106960670503614,)
8  	100  	375.395	378.72 	15.2015	1784.22 (15.201459542158471,)
9  	100  	283.687	331.181	17.3407	1626.77 (15.201459542158471,)
10 	100  	251.927	333.371	17.1143	1559.26 (15.201459542158471,)
11 	100  	231.52 	306.852	15.571 	1596.73 (15.201459542158471,)
12 	100  	215.534	321.876	16.8857	1705.11 (15.201459542158471,)
13 	100  	205.304	299.363	18.6434	1629.08 (15.201459542158471,)
14 	100  	197.064	261.156	16.6066	1432.23 (15.201459542158471,)
15 	100  	189.566	257.48 	14.7633	1587.25 (14.763294717546641,)
16 	100  	203.093	256.424	12.0338	1614.23 (12.033820391307023,)
17 	100  	180.335	270.675	11.1167	1487.56 (11.116717002381542,)
18 	100  	179.316	278.717	8.71921	1573.48 (8.7192113466304075,)
19 	100  	191.711	312.621	11.1689	1615.92 (8.7192113466304075,)
20 	100  	176.513	263.172	9.23105	1430.75 (8.7192113466304075,)
21 	100  	164.414	237.858	10.0254	1595.4  (8.7192113466304075,)
22 	100  	147.14 	220.193	11.4391	1274.04 (8.7192113466304075,)
23 	100  	146.72 	258.416	9.07658	1628.97 (8.7192113466304075,)
24 	100  	145.159	248.24 	10.2595	1529.72 (8.7192113466304075,)
25 	100  	128.151	232.83 	9.89094	1400.17 (8.7192113466304075,)
26 	100  	150.133	241.649	11.2088	1605.92 (8.7192113466304075,)
27 	100  	154.114	244.506	10.0881	1420.39 (8.7192113466304075,)
28 	100  	150.656	275.778	8.65782	1752.24 (8.6578193802926187,)
29 	100  	120.46 	238.368	8.56572	1495.36 (8.5657191894941249,)
30 	100  	143.265	256.505	8.92423	1658.8  (8.5657191894941249,)
31 	100  	129.14 	251.472	9.28245	1637.86 (8.5657191894941249,)
32 	100  	129.594	247.778	7.51524	1564.43 (7.5152360411324972,)
33 	100  	136.63 	250.939	7.44987	1592.66 (7.4498694968947561,)
34 	100  	128.332	251.186	8.1235 	1684.58 (7.4498694968947561,)
35 	100  	138.276	238.68 	7.26551	1651.79 (7.2655117568639982,)
36 	100  	133.299	204.971	8.11391	1495.17 (7.2655117568639982,)
37 	100  	122.516	188.542	7.67181	1303    (7.2655117568639982,)
38 	100  	122.632	201.255	8.85744	1580.68 (7.2655117568639982,)
39 	100  	117.544	233.185	8.16774	1738.84 (7.2655117568639982,)
40 	100  	129.367	217.047	7.97942	1542    (7.2655117568639982,)
41 	100  	127.704	223.885	9.43236	1607.83 (7.2655117568639982,)
42 	100  	123.823	216.546	7.3718 	1549.61 (7.2655117568639982,)
43 	100  	110.876	219.182	6.62267	1529.95 (6.6226706342190989,)
44 	100  	123.286	205.639	7.07556	1375.49 (6.6226706342190989,)
45 	100  	125.348	210.01 	6.94743	1519.31 (6.6226706342190989,)
46 	100  	110.944	206.567	8.19582	1624.61 (6.6226706342190989,)
47 	100  	116.563	209.826	7.18269	1427.64 (6.6226706342190989,)
48 	100  	132.328	221.047	6.4076 	1560.06 (6.4075965009694453,)
49 	100  	106.98 	197.345	6.45607	1389.79 (6.4075965009694453,)
50 	100  	124.955	198.938	6.55785	1393.55 (6.4075965009694453,)
51 	100  	123.227	227.968	5.65864	1766.19 (5.6586390236391466,)
52 	100  	119.852	233.211	7.14097	1621.17 (5.6586390236391466,)
53 	100  	137.4  	240.394	5.82617	1636.25 (5.6586390236391466,)
54 	100  	110.502	232.188	5.7414 	1712.09 (5.6586390236391466,)
55 	100  	118.267	226.849	6.11049	1574.34 (5.6586390236391466,)
56 	100  	111.268	203.456	4.97568	1505.31 (4.9756845523202466,)
57 	100  	124.897	228.952	6.41476	1687.19 (4.9756845523202466,)
58 	100  	115.873	200.601	5.87343	1377.3  (4.9756845523202466,)
59 	100  	113.467	212.582	6.99248	1463.18 (4.9756845523202466,)
60 	100  	110.742	219.152	5.61088	1619.52 (4.9756845523202466,)
61 	100  	110.84 	220.284	5.59555	1562.15 (4.9756845523202466,)
62 	100  	112.488	209.41 	4.97766	1490.33 (4.9756845523202466,)
63 	100  	107.606	173.94 	5.00657	1116.16 (4.9756845523202466,)
64 	100  	120.653	200.426	5.70967	1373.34 (4.9756845523202466,)
65 	100  	104.445	226.813	4.93673	1579.73 (4.9367338669412248,)
66 	100  	119.712	192.78 	7.01069	1461.46 (4.9367338669412248,)
67 	100  	107.07 	175.095	4.76919	1210.85 (4.7691859655870346,)
68 	100  	101.976	182.959	5.8825 	1362.08 (4.7691859655870346,)
69 	100  	104.459	193.736	4.42925	1565.09 (4.4292545354227171,)
70 	100  	112.945	204.411	5.2638 	1492.79 (4.4292545354227171,)
71 	100  	128.021	234.165	5.24797	1755.56 (4.4292545354227171,)
72 	100  	113.156	180.907	4.90127	1230.39 (4.4292545354227171,)
73 	100  	114.208	216.938	4.53038	1573.41 (4.4292545354227171,)
74 	100  	107.231	223.572	4.37823	1668.68 (4.3782288800825482,)
75 	100  	105.586	206.064	4.3095 	1635.11 (4.3094965998110562,)
76 	100  	96.5996	190.937	4.13431	1333.59 (4.1343084829373895,)
77 	100  	109.44 	221.478	3.87837	1504.96 (3.8783692223028199,)
78 	100  	116.292	216.433	5.81302	1468.23 (3.8783692223028199,)
79 	100  	111.681	186.022	4.38606	1339.07 (3.8783692223028199,)
80 	100  	110.482	183.749	5.07434	1312.18 (3.8783692223028199,)
81 	100  	99.7435	182.148	5.85527	1186.8  (3.8783692223028199,)
82 	100  	130.407	248.263	5.69725	1768.06 (3.8783692223028199,)
83 	100  	119.376	237.636	4.12288	1677.46 (3.8783692223028199,)
84 	100  	117.175	233.73 	5.29931	1601.03 (3.8783692223028199,)
85 	100  	104.977	219.899	4.28257	1692.9  (3.8783692223028199,)
86 	100  	117.559	228.224	4.51587	1680.26 (3.8783692223028199,)
87 	100  	124.973	246.267	4.16279	1814.97 (3.8783692223028199,)
88 	100  	107.602	198.306	4.04386	1449.36 (3.8783692223028199,)
89 	100  	106.092	203.535	4.19906	1472.56 (3.8783692223028199,)
90 	100  	113.181	235.761	4.96859	1702.18 (3.8783692223028199,)
91 	100  	108.703	174.841	4.55724	1339.8  (3.8783692223028199,)
92 	100  	108.539	199.557	3.66364	1501.59 (3.6636367196183417,)
93 	100  	106.423	191.466	2.9708 	1396.48 (2.9707973801732876,)
94 	100  	114.138	215.519	3.48207	1576.61 (2.9707973801732876,)
95 	100  	117.398	215.332	4.68938	1413.34 (2.9707973801732876,)
96 	100  	107.535	145.701	4.8803 	1018.58 (2.9707973801732876,)
97 	100  	101.606	140.417	2.74148	1060.74 (2.7414840345669567,)
98 	100  	97.3283	137.643	3.53382	858.463 (2.7414840345669567,)
