In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1489.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std  	min    	max   
0  	100  	847.256	372.4	91.0998	1953.5 (91.099836414220874,)
1  	100  	766.734	356.215	92.5944	1500.44 (91.099836414220874,)
2  	100  	694.308	401.719	60.304 	1615.3  (60.303952443888853,)
3  	100  	611.554	355.193	62.2257	1535.28 (60.303952443888853,)
4  	100  	514.834	343.657	44.0581	1304.24 (44.058106404551701,)
5  	100  	493.382	316.793	22.3776	1274.69 (22.377644613837553,)
6  	100  	356.825	322.386	30.8404	1438.65 (22.377644613837553,)
7  	100  	286.583	339.285	29.348 	1528.46 (22.377644613837553,)
8  	100  	231.877	280.121	16.1702	1303.8  (16.170169767935295,)
9  	100  	214.217	254.596	11.631 	1365.72 (11.630987600934107,)
10 	100  	196.047	257.979	12.094 	1526.32 (11.630987600934107,)
11 	100  	168.643	243.634	10.5166	1432.57 (10.516646211228053,)
12 	100  	144.761	225.601	14.0002	1274.08 (10.516646211228053,)
13 	100  	146.397	246.169	8.73357	1322.75 (8.7335676997879794,)
14 	100  	130.818	226.392	10.4486	1350.91 (8.7335676997879794,)
15 	100  	124.331	216.779	8.59626	1274.4  (8.5962645289105222,)
16 	100  	117.168	206.253	8.30645	1405.01 (8.3064471066941739,)
17 	100  	118.513	231.502	8.23865	1487.7  (8.2386505186415544,)
18 	100  	107.548	217.459	8.42781	1446.74 (8.2386505186415544,)
19 	100  	102.211	209.016	8.27393	1448.4  (8.2386505186415544,)
20 	100  	100.45 	183.743	7.26054	1493.02 (7.2605384693796067,)
21 	100  	93.6717	143.042	8.36439	1179.1  (7.2605384693796067,)
22 	100  	108.749	151.068	8.51806	1302.01 (7.2605384693796067,)
23 	100  	89.8578	149.708	8.14315	1235.2  (7.2605384693796067,)
24 	100  	82.4076	139.833	11.0289	1226.82 (7.2605384693796067,)
25 	100  	92.8174	153.123	8.38855	1315.78 (7.2605384693796067,)
26 	100  	78.8121	157.693	7.21274	1391.77 (7.2127370775542943,)
27 	100  	87.6208	176.316	7.47943	1496.04 (7.2127370775542943,)
28 	100  	93.7611	158.235	7.03608	1376.25 (7.0360756689382997,)
29 	100  	82.7966	162.511	7.63565	1450.51 (7.0360756689382997,)
30 	100  	78.7539	152.674	7.67061	1424.33 (7.0360756689382997,)
31 	100  	90.2558	149.885	8.10522	1311.94 (7.0360756689382997,)
32 	100  	74.2349	143.894	8.58549	1245.21 (7.0360756689382997,)
33 	100  	77.1925	164.442	8.0373 	1459.46 (7.0360756689382997,)
34 	100  	92.7439	193.263	7.57003	1558.85 (7.0360756689382997,)
35 	100  	88.5539	152.503	8.66146	1350.73 (7.0360756689382997,)
36 	100  	97.4549	158.391	8.27931	1380.55 (7.0360756689382997,)
37 	100  	89.0222	146.398	7.6129 	1258.47 (7.0360756689382997,)
38 	100  	83.0573	153.165	7.65294	1379.76 (7.0360756689382997,)
39 	100  	72.1866	151.256	6.89325	1456.91 (6.8932472952666926,)
40 	100  	85.633 	151.226	7.89094	1383.48 (6.8932472952666926,)
41 	100  	86.7101	176.779	7.43956	1556.58 (6.8932472952666926,)
42 	100  	81.715 	159.789	8.56357	1344.21 (6.8932472952666926,)
43 	100  	78.4408	147.544	8.23591	1386.04 (6.8932472952666926,)
44 	100  	86.6338	156.912	8.67484	1503.19 (6.8932472952666926,)
45 	100  	82.449 	143.207	7.26814	1380.76 (6.8932472952666926,)
46 	100  	83.4586	161.78 	8.13351	1555.95 (6.8932472952666926,)
47 	100  	74.2068	126.881	7.75299	1190.09 (6.8932472952666926,)
48 	100  	88.3694	161.602	8.37423	1553.71 (6.8932472952666926,)
49 	100  	70.485 	133.916	7.68982	1294.08 (6.8932472952666926,)
50 	100  	77.3837	147.042	7.08986	1397.54 (6.8932472952666926,)
51 	100  	81.7772	139.864	7.50887	1314.43 (6.8932472952666926,)
52 	100  	75.7725	129.502	7.53866	1223.88 (6.8932472952666926,)
53 	100  	74.5031	143.954	8.74015	1388.62 (6.8932472952666926,)
