In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1505.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max    
0  	100  	888.823	405.06	129.694	1880.71 (129.69431027082322,)
1  	100  	853.945	365.242	90.1348	1714.04 (90.134792993689118,)
2  	100  	775.43 	400.556	55.3089	1628.76 (55.308886404221163,)
3  	100  	675.104	400.894	42.0555	1656.08 (42.055486665324338,)
4  	100  	608.505	409.041	36.2615	1532.02 (36.261507774100366,)
5  	100  	531.931	410.122	24.4174	1772.01 (24.417386901431097,)
6  	100  	426.24 	343.928	20.1724	1704.54 (20.172440711976066,)
7  	100  	364.3  	366.35 	20.3976	1713.79 (20.172440711976066,)
8  	100  	312.104	343.527	18.7603	1726.28 (18.760302450760555,)
9  	100  	257.531	334.107	17.923 	1676.87 (17.923046230717055,)
10 	100  	234.525	325.431	17.5221	1734.81 (17.52210587462433,)
11 	100  	191.782	317.632	15.9057	1777.08 (15.905677256568978,)
12 	100  	180.509	312.92 	16.3787	1724.77 (15.905677256568978,)
13 	100  	161.404	285.049	16.1357	1624.12 (15.905677256568978,)
14 	100  	158.794	302.017	15.2867	1706.4  (15.28674685324555,)
15 	100  	154.011	276.321	15.2441	1671.1  (15.244143094306766,)
16 	100  	152.795	264.192	14.6136	1637.98 (14.613574850748869,)
17 	100  	149.986	263.424	14.0441	1650.79 (14.044125014564054,)
18 	100  	153.934	266.821	13.9792	1630.53 (13.979206710623481,)
19 	100  	136.417	225.312	14.3632	1567.37 (13.979206710623481,)
20 	100  	136.657	264.498	12.8584	1773.89 (12.858438261286008,)
21 	100  	120.008	239.3  	13.5432	1573.45 (12.858438261286008,)
22 	100  	124.168	225.222	12.8141	1404.99 (12.8141153751424,)
23 	100  	122.096	227.74 	12.6414	1456.66 (12.641411733133983,)
24 	100  	117.876	230.896	13.1199	1509.79 (12.641411733133983,)
25 	100  	115.073	213.638	13.2911	1383.32 (12.641411733133983,)
26 	100  	108.673	238.505	12.8855	1561.46 (12.641411733133983,)
27 	100  	105.628	206.859	13.1741	1327.2  (12.641411733133983,)
28 	100  	113.045	228.158	13.6319	1596.5  (12.641411733133983,)
29 	100  	122.166	249.841	12.3083	1761.98 (12.308303134067293,)
30 	100  	125.827	247.991	13.0512	1751.04 (12.308303134067293,)
31 	100  	116.096	244.259	13.0775	1689.46 (12.308303134067293,)
32 	100  	120.346	223.998	12.6401	1619.77 (12.308303134067293,)
33 	100  	115.85 	252.219	12.4911	1663.17 (12.308303134067293,)
34 	100  	118.267	249.531	12.745 	1599.58 (12.308303134067293,)
35 	100  	111.952	232.793	12.3354	1504.94 (12.308303134067293,)
36 	100  	101.768	230.845	12.804 	1521.83 (12.308303134067293,)
37 	100  	116.588	223.153	13.3861	1474.81 (12.308303134067293,)
38 	100  	113.121	236.588	12.7865	1669.01 (12.308303134067293,)
39 	100  	117.724	250.975	11.7983	1729.57 (11.798276710996356,)
40 	100  	107.437	244.008	12.4483	1718.51 (11.798276710996356,)
41 	100  	113.991	237.698	12.2125	1522.5  (11.798276710996356,)
42 	100  	122.069	251.771	11.034 	1603.7  (11.033981308376616,)
43 	100  	112.346	248.217	12.6286	1757.23 (11.033981308376616,)
44 	100  	108.107	227.055	12.3781	1552.13 (11.033981308376616,)
45 	100  	112.544	216.065	12.1669	1646.51 (11.033981308376616,)
46 	100  	106.15 	205.207	12.2645	1629.09 (11.033981308376616,)
47 	100  	93.8801	169.388	13.1493	1322.18 (11.033981308376616,)
48 	100  	105.238	197.005	12.2921	1649.86 (11.033981308376616,)
49 	100  	94.8804	183.524	11.1191	1506.45 (11.033981308376616,)
50 	100  	95.9064	170.558	11.8274	1310.1  (11.033981308376616,)
51 	100  	89.3291	170.107	11.0888	1340.77 (11.033981308376616,)
52 	100  	94.2209	171.778	11.7776	1362.07 (11.033981308376616,)
53 	100  	99.4228	181.6  	11.1783	1500.18 (11.033981308376616,)
54 	100  	96.6301	177.708	12.217 	1472.23 (11.033981308376616,)
55 	100  	96.7011	174.488	10.7191	1375.4  (10.71907871716204,)
56 	100  	98.071 	166.085	10.781 	1274.02 (10.71907871716204,)
57 	100  	95.505 	192.368	11.5222	1607.48 (10.71907871716204,)
58 	100  	100.242	174.159	11.576 	1374.13 (10.71907871716204,)
59 	100  	91.6535	182.091	11.246 	1323.85 (10.71907871716204,)
60 	100  	92.2981	174.82 	11.0803	1398.67 (10.71907871716204,)
61 	100  	98.6185	193.84 	9.80474	1538.39 (9.8047420926965447,)
62 	100  	98.2922	174.21 	10.789 	1394.06 (9.8047420926965447,)
63 	100  	98.1918	167.31 	10.213 	1270.61 (9.8047420926965447,)
64 	100  	113.143	183.705	11.0329	1383.61 (9.8047420926965447,)
65 	100  	97.7839	164.172	10.5464	1115.01 (9.8047420926965447,)
66 	100  	92.3248	194.445	9.89931	1617.91 (9.8047420926965447,)
67 	100  	95.3779	147.093	9.96053	999.638 (9.8047420926965447,)
68 	100  	92.3298	161.209	10.1276	1170.88 (9.8047420926965447,)
69 	100  	98.2338	192.684	10.9872	1601.63 (9.8047420926965447,)
70 	100  	89.3927	190.378	10.8481	1644.43 (9.8047420926965447,)
71 	100  	88.2825	198.52 	10.7449	1790.28 (9.8047420926965447,)
72 	100  	98.8702	137.347	10.7973	998.767 (9.8047420926965447,)
73 	100  	76.9726	112.649	10.4244	985.482 (9.8047420926965447,)
74 	100  	78.9728	111.58 	10.4462	945.645 (9.8047420926965447,)
75 	100  	80.1185	113.109	10.8277	987.169 (9.8047420926965447,)
76 	100  	72.6574	116.397	10.5214	1009.35 (9.8047420926965447,)
77 	100  	73.0697	115.227	10.3778	954.373 (9.8047420926965447,)
78 	100  	72.5238	116.636	10.1309	953.274 (9.8047420926965447,)
79 	100  	79.2173	115.087	9.93125	962.783 (9.8047420926965447,)
80 	100  	77.0818	110.396	9.97954	983.079 (9.8047420926965447,)
81 	100  	81.41  	118.594	10.6478	985.943 (9.8047420926965447,)
82 	100  	79.4359	112.762	10.5682	975.331 (9.8047420926965447,)
83 	100  	84.3238	122.307	10.0816	986.768 (9.8047420926965447,)
84 	100  	76.3539	120.551	9.97134	1010.42 (9.8047420926965447,)
85 	100  	81.29  	121.177	9.77886	976.562 (9.7788587630510602,)
86 	100  	80.9693	117.932	9.87431	1020.38 (9.7788587630510602,)
87 	100  	79.533 	113.126	9.94974	966.797 (9.7788587630510602,)
88 	100  	79.4414	122.38 	9.09156	999.983 (9.091564229557159,)
89 	100  	81.4542	125.15 	10.641 	1032.13 (9.091564229557159,)
90 	100  	89.1458	121.171	9.35315	1010.7  (9.091564229557159,)
91 	100  	90.5954	124.39 	9.02594	1021.07 (9.0259423397368295,)
92 	100  	82.025 	115.329	9.39184	983.382 (9.0259423397368295,)
93 	100  	74.6106	113.317	8.67291	985.917 (8.6729098177479571,)
94 	100  	75.6021	117.297	9.369  	987.14  (8.6729098177479571,)
95 	100  	69.6967	115.569	9.57406	1020.47 (8.6729098177479571,)
96 	100  	76.7848	117.795	8.80695	1021.55 (8.6729098177479571,)
97 	100  	75.9324	117.147	9.42009	1015.51 (8.6729098177479571,)
98 	100  	86.2598	119.64 	8.51571	1017.84 (8.515709227869559,)
99 	100  	69.6426	110.867	8.82712	1021.18 (8.515709227869559,)
100	100  	79.6761	114.632	8.99345	991.35  (8.515709227869559,)
101	100  	72.4297	108.896	8.83755	959.066 (8.515709227869559,)
102	100  	71.1321	109.994	8.415  	959.283 (8.4150034902191972,)
103	100  	74.6624	106.834	10.1247	932.39  (8.4150034902191972,)
104	100  	79.2751	114.755	8.68446	969.516 (8.4150034902191972,)
105	100  	74.4165	114.196	9.48546	941.403 (8.4150034902191972,)
106	100  	63.9669	123.848	8.49059	917.782 (8.4150034902191972,)
107	100  	78.2205	111.425	9.71604	956.39  (8.4150034902191972,)
108	100  	76.7418	119.863	9.17717	992.94  (8.4150034902191972,)
109	100  	71.4222	115.417	9.04341	963.122 (8.4150034902191972,)
110	100  	68.4173	109.515	8.44103	957.069 (8.4150034902191972,)
111	100  	69.9082	118.673	8.68174	986.192 (8.4150034902191972,)
112	100  	78.9438	124.559	8.76925	987.395 (8.4150034902191972,)
113	100  	75.2082	112.79 	9.16353	970.161 (8.4150034902191972,)
114	100  	79.1976	115.369	9.04299	974.408 (8.4150034902191972,)
115	100  	67.0332	112.485	8.82745	973.101 (8.4150034902191972,)
116	100  	77.6308	118.534	8.03675	944.371 (8.0367541039309831,)
117	100  	67.3285	108.8  	7.59118	965.258 (7.5911786677594959,)
118	100  	82.0654	113.38 	8.55555	959.653 (7.5911786677594959,)
119	100  	89.2456	121.554	8.14557	961.432 (7.5911786677594959,)
120	100  	90.1539	115.387	8.11252	958.683 (7.5911786677594959,)
121	100  	75.2225	113.142	7.78424	1006.73 (7.5911786677594959,)
122	100  	75.5626	109.586	7.12813	992.721 (7.1281263032639757,)
123	100  	76.1642	117.093	7.91179	1071.96 (7.1281263032639757,)
124	100  	80.656 	119.137	8.77636	995.341 (7.1281263032639757,)
125	100  	83.3539	123.118	6.2881 	1002.16 (6.2881001445851705,)
126	100  	81.1821	118.782	6.28735	1010.42 (6.2873459504566673,)
127	100  	80.5272	123.899	7.78382	1013.12 (6.2873459504566673,)
128	100  	78.8744	110.565	7.17665	972.155 (6.2873459504566673,)
129	100  	91.4588	114.574	6.97579	950.207 (6.2873459504566673,)
130	100  	88.0576	122.404	6.93962	974.334 (6.2873459504566673,)
