In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1459.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max    
0  	100  	816.729	401.127	12.476	1732.44 (12.476032751999671,)
1  	100  	742.984	377.885	19.7246	1551.48 (12.476032751999671,)
2  	100  	704.32 	377.683	13.4277	1574.49 (12.476032751999671,)
3  	100  	699.862	341.51 	14.3866	1498.46 (12.476032751999671,)
4  	100  	652.233	366.544	44.0493	1545.9  (12.476032751999671,)
5  	100  	576.613	350.451	36.1275	1464.84 (12.476032751999671,)
6  	100  	515.515	341.753	28.2195	1352.59 (12.476032751999671,)
7  	100  	475.884	345.642	10.3695	1363.82 (10.369501725440198,)
8  	100  	403.331	347.962	5.74406	1383.02 (5.7440614300096762,)
9  	100  	373.186	327.243	10.6184	1268.28 (5.7440614300096762,)
10 	100  	325.369	327.99 	10.7979	1363.14 (5.7440614300096762,)
11 	100  	291.797	312.024	5.06078	1549.52 (5.0607754512383352,)
12 	100  	258.081	282.106	5.34143	1341.19 (5.0607754512383352,)
13 	100  	235.541	268.561	6.29031	1362.23 (5.0607754512383352,)
14 	100  	203.1  	258.272	6.0549 	1236.08 (5.0607754512383352,)
15 	100  	194.871	210.337	4.51815	999.298 (4.5181508384164317,)
16 	100  	175.213	204.335	3.07501	1027.25 (3.0750117584833729,)
17 	100  	162.165	191.873	2.79157	983.832 (2.7915710256389774,)
18 	100  	156.276	196.081	4.65928	1090.89 (2.7915710256389774,)
19 	100  	165.88 	209.628	5.14906	1064.56 (2.7915710256389774,)
20 	100  	162.921	220.049	2.3938 	989.618 (2.3937953531357068,)
21 	100  	157.789	193.154	3.84663	870.385 (2.3937953531357068,)
22 	100  	155.867	181.654	3.23146	909.27  (2.3937953531357068,)
23 	100  	135.235	153.129	5.12543	881.875 (2.3937953531357068,)
24 	100  	143.075	178.477	3.07057	1031.94 (2.3937953531357068,)
25 	100  	140.709	194.815	5.39678	1246.2  (2.3937953531357068,)
26 	100  	137.229	190.059	5.36661	948.545 (2.3937953531357068,)
27 	100  	121.247	190.118	3.07905	1152.9  (2.3937953531357068,)
28 	100  	127.395	170.335	3.31896	866.336 (2.3937953531357068,)
29 	100  	135.713	159.303	2.06382	942.813 (2.0638206642148522,)
30 	100  	122.932	177.298	2.7407 	968.311 (2.0638206642148522,)
31 	100  	133.351	171.757	2.62782	889.669 (2.0638206642148522,)
32 	100  	120.416	162.145	4.69939	876.821 (2.0638206642148522,)
33 	100  	128.057	167.425	3.44229	964.014 (2.0638206642148522,)
34 	100  	140.44 	200.01 	2.20563	1081.12 (2.0638206642148522,)
35 	100  	124.517	168.665	2.30649	968.209 (2.0638206642148522,)
36 	100  	128.391	174.514	3.13738	924.721 (2.0638206642148522,)
37 	100  	143.061	177.074	2.93956	921.807 (2.0638206642148522,)
38 	100  	129.037	164.73 	2.69661	769.913 (2.0638206642148522,)
39 	100  	132.893	175.892	2.98452	822.717 (2.0638206642148522,)
40 	100  	120.595	171.962	1.74901	993.354 (1.7490085336986521,)
41 	100  	137.894	182.428	4.02857	951.009 (1.7490085336986521,)
42 	100  	134.069	179.843	1.93015	1040.24 (1.7490085336986521,)
43 	100  	135.225	172.281	2.51856	933.173 (1.7490085336986521,)
44 	100  	141.002	193.756	3.43007	979.228 (1.7490085336986521,)
45 	100  	133.13 	166.659	3.13248	1074.53 (1.7490085336986521,)
