In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1451.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max    
0  	100  	863.211	367.562	53.883	1792.67 (53.883024338510268,)
1  	100  	776.216	358.412	49.4565	1453.07 (49.456488603145729,)
2  	100  	693.669	401.28 	25.7677	1661.11 (25.767710167272998,)
3  	100  	609.53 	382.217	77.7233	1481.47 (25.767710167272998,)
4  	100  	580.764	350.096	39.4753	1437.61 (25.767710167272998,)
5  	100  	513.408	351.727	26.5919	1459.24 (25.767710167272998,)
6  	100  	464.552	352.871	30.836 	1461.43 (25.767710167272998,)
7  	100  	402.658	366.165	23.6055	1527.83 (23.605453776921035,)
8  	100  	296.407	352.6  	20.764 	1514.81 (20.764032508610995,)
9  	100  	268.101	338.434	14.3484	1439.16 (14.348446495301079,)
10 	100  	240.502	353.757	12.7466	1499.38 (12.746629031203586,)
11 	100  	212.706	307.597	12.6456	1432.03 (12.645625534639386,)
12 	100  	195.816	302.302	11.083 	1623.75 (11.08299629478589,)
13 	100  	166.151	260.08 	11.1622	1392.66 (11.08299629478589,)
14 	100  	155.966	266.218	10.9845	1407.83 (10.984467904036018,)
15 	100  	138.748	246.777	11.5055	1572.73 (10.984467904036018,)
16 	100  	133.78 	231.831	10.9021	1451.03 (10.902093215918795,)
17 	100  	142.445	233.676	10.0492	1679.58 (10.04916058107659,)
18 	100  	125.497	210.689	10.5734	1615.55 (10.04916058107659,)
19 	100  	120.549	208.999	11.6859	1534.58 (10.04916058107659,)
20 	100  	117.278	207.949	10.4493	1424.54 (10.04916058107659,)
21 	100  	115.731	209.61 	9.60355	1371.43 (9.6035486193531518,)
22 	100  	116.163	204.619	9.76293	1452.99 (9.6035486193531518,)
23 	100  	123.546	220.142	9.8994 	1579.07 (9.6035486193531518,)
24 	100  	135.862	230.98 	9.07599	1625.76 (9.0759887885812773,)
25 	100  	131.464	194.315	8.89873	1352.64 (8.8987306897762739,)
26 	100  	110.862	204.915	8.59149	1623.9  (8.5914881678665456,)
27 	100  	108.504	203.23 	8.72329	1518.65 (8.5914881678665456,)
28 	100  	109.025	181.57 	9.55885	1314.83 (8.5914881678665456,)
29 	100  	126.12 	203.678	8.8909 	1489.27 (8.5914881678665456,)
30 	100  	111.562	201.404	8.78776	1628.13 (8.5914881678665456,)
31 	100  	108.016	210.223	8.75058	1609.01 (8.5914881678665456,)
32 	100  	113.725	206.783	8.97072	1606.66 (8.5914881678665456,)
33 	100  	116.498	201.634	9.52008	1535.42 (8.5914881678665456,)
34 	100  	113.924	195.503	9.39733	1520.04 (8.5914881678665456,)
35 	100  	112.709	194.385	8.11927	1385.75 (8.1192675007329473,)
36 	100  	97.026 	165.475	8.69203	1212.58 (8.1192675007329473,)
37 	100  	99.0026	164.645	8.47163	1234.22 (8.1192675007329473,)
38 	100  	102.824	170.728	8.07888	1204.81 (8.0788767586386303,)
39 	100  	92.235 	140.785	6.99631	843.239 (6.9963100936010747,)
40 	100  	88.7263	127.884	7.73123	775.215 (6.9963100936010747,)
41 	100  	101.453	141.888	7.76063	862.697 (6.9963100936010747,)
