In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1106.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max    
0  	100  	860.772	384.89	115.749	1696.51 (115.74890012465639,)
1  	100  	867.204	388.865	66.7607	1679.02 (66.76074531729563,)
2  	100  	866.635	387.618	36.7406	1658.93 (36.740560497669854,)
3  	100  	856.154	389.725	32.3826	1633.76 (32.382607710855019,)
4  	100  	833.014	386.876	32.5597	1625.24 (32.382607710855019,)
5  	100  	823.356	399.846	34.4892	1750.36 (32.382607710855019,)
6  	100  	812.515	400.581	31.8366	1622.1  (31.836569066534736,)
7  	100  	794.127	391.79 	32.1831	1578.95 (31.836569066534736,)
8  	100  	787.64 	384.653	30.9937	1577.15 (30.993660302816359,)
9  	100  	778.199	402.96 	22.8127	1694.76 (22.812746199923062,)
10 	100  	775.393	417.442	31.764 	1670.33 (22.812746199923062,)
11 	100  	770.23 	407.786	28.8026	1561.26 (22.812746199923062,)
12 	100  	771.184	407.506	16.8067	1760.55 (16.806717825945107,)
13 	100  	760.791	399.653	17.9461	1761.33 (16.806717825945107,)
14 	100  	748.803	392.403	22.7544	1548.87 (16.806717825945107,)
15 	100  	749.313	382.435	17.4624	1556.21 (16.806717825945107,)
16 	100  	741.977	379.994	19.8404	1543.87 (16.806717825945107,)
17 	100  	729.373	375.729	16.6099	1537.95 (16.609884192451823,)
18 	100  	714.564	369.389	19.7524	1514.56 (16.609884192451823,)
19 	100  	684.168	375.565	16.8289	1508.24 (16.609884192451823,)
20 	100  	675.33 	373.735	17.4396	1521.06 (16.609884192451823,)
21 	100  	662.557	382.373	18.3579	1499.78 (16.609884192451823,)
22 	100  	643.125	382.851	17.951 	1480.62 (16.609884192451823,)
23 	100  	634.189	386.8  	18.3905	1506.89 (16.609884192451823,)
24 	100  	620.893	378.317	17.6135	1508.68 (16.609884192451823,)
25 	100  	600.664	389.777	17.526 	1490.54 (16.609884192451823,)
26 	100  	579.705	392.734	10.9116	1430.15 (10.911566637056696,)
27 	100  	570.682	399.115	9.88295	1460.61 (9.8829545898491133,)
28 	100  	537.238	404.37 	9.07018	1417.13 (9.0701846785581708,)
29 	100  	506.222	409.905	10.7538	1377.9  (9.0701846785581708,)
30 	100  	494.858	410.046	7.93312	1397.32 (7.9331233953532516,)
31 	100  	484.54 	406.142	7.48635	1407.84 (7.4863483134076656,)
32 	100  	455.425	400.697	7.03213	1349.05 (7.0321281834122349,)
33 	100  	436.43 	401.893	6.65425	1337.74 (6.6542485942029668,)
34 	100  	430.259	395.392	6.94132	1272.72 (6.6542485942029668,)
35 	100  	427.11 	405.89 	6.43107	1300.42 (6.4310707704182626,)
36 	100  	422.773	408.455	5.89866	1281.87 (5.8986647762687543,)
37 	100  	409.508	407.312	5.26794	1276.12 (5.2679403039809385,)
38 	100  	408.534	404.36 	5.4876 	1296.3  (5.2679403039809385,)
39 	100  	394.697	404.789	4.90404	1312.14 (4.9040438421204442,)
40 	100  	389.979	402.513	5.04594	1301.04 (4.9040438421204442,)
41 	100  	385.189	399.157	4.62424	1279.82 (4.6242376001902077,)
42 	100  	374.471	397.328	4.51946	1271.01 (4.519459930518603,)
43 	100  	369.011	394.839	5.06427	1249.72 (4.519459930518603,)
44 	100  	373.689	405.99 	4.80974	1242.34 (4.519459930518603,)
45 	100  	373.539	412.349	5.05265	1252.08 (4.519459930518603,)
46 	100  	362.402	406.276	4.28509	1303.41 (4.2850926365537161,)
47 	100  	356.158	408.01 	4.86817	1284.18 (4.2850926365537161,)
48 	100  	356.667	416.295	3.82201	1317.28 (3.8220110103962921,)
49 	100  	348.66 	407.504	4.38955	1271.48 (3.8220110103962921,)
50 	100  	347.983	414.19 	4.08779	1333.97 (3.8220110103962921,)
51 	100  	347.387	408.105	3.92504	1320.71 (3.8220110103962921,)
52 	100  	343.05 	403.657	4.44943	1285.87 (3.8220110103962921,)
53 	100  	352.045	414.139	3.94626	1283.62 (3.8220110103962921,)
54 	100  	347.993	411.309	3.98374	1329.06 (3.8220110103962921,)
55 	100  	346.743	409.362	4.42137	1307.26 (3.8220110103962921,)
56 	100  	336.418	403.121	3.77507	1294    (3.7750662422866808,)
57 	100  	332.513	402.781	3.93939	1267.77 (3.7750662422866808,)
58 	100  	326.414	400.36 	4.09616	1267.76 (3.7750662422866808,)
59 	100  	325.676	400.342	3.62646	1285.87 (3.6264596022723277,)
60 	100  	314.721	395.024	3.52862	1273.55 (3.5286152636846229,)
61 	100  	321.433	403.976	3.75218	1293.7  (3.5286152636846229,)
62 	100  	320.962	395.25 	3.88073	1286.82 (3.5286152636846229,)
63 	100  	315.933	395.501	3.41631	1267.46 (3.4163147907828657,)
64 	100  	313.454	396.929	3.72034	1252.32 (3.4163147907828657,)
65 	100  	313.889	401.579	4.18492	1300.37 (3.4163147907828657,)
66 	100  	320.902	404.136	3.5457 	1284.69 (3.4163147907828657,)
67 	100  	316.231	399.65 	3.45042	1318.2  (3.4163147907828657,)
68 	100  	317.004	402.591	3.50499	1372.14 (3.4163147907828657,)
69 	100  	318.088	404.917	3.35   	1381.82 (3.3499951242253547,)
70 	100  	315.291	402.155	3.28279	1347.41 (3.2827865654883404,)
71 	100  	312.306	396.855	3.63984	1363.96 (3.2827865654883404,)
72 	100  	308.409	390.387	3.29486	1347.6  (3.2827865654883404,)
73 	100  	306.992	392.461	3.0986 	1322.87 (3.0986037264131356,)
74 	100  	312.154	394.635	3.65179	1358.64 (3.0986037264131356,)
75 	100  	313.111	392.32 	3.46168	1354.02 (3.0986037264131356,)
76 	100  	312.653	393.14 	3.27715	1337.05 (3.0986037264131356,)
77 	100  	312.336	393.228	3.25284	1321.8  (3.0986037264131356,)
