In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1107.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std  	min    	max    
0  	100  	873.68	382.8	65.9219	1675.26 (65.921908935224337,)
1  	100  	863.005	385.192	68.6017	1663.26 (65.921908935224337,)
2  	100  	848.594	386.849	67.8669	1658.03 (65.921908935224337,)
3  	100  	834.316	398.785	67.4153	1713.5  (65.921908935224337,)
4  	100  	818.11 	413.586	52.4938	1668.58 (52.493808796369827,)
5  	100  	811.006	417.681	36.4714	1701.24 (36.471428328055737,)
6  	100  	808.485	433.719	45.7434	1790.37 (36.471428328055737,)
7  	100  	780.607	429.549	39.5753	1679.72 (36.471428328055737,)
8  	100  	759.648	434.55 	44.1117	1667.86 (36.471428328055737,)
9  	100  	747.942	449.146	39.4786	1698.57 (36.471428328055737,)
10 	100  	729.356	452.697	17.7957	1643.76 (17.795711138213004,)
11 	100  	697.865	458.601	14.0104	1713.09 (14.010362445604599,)
12 	100  	677.289	455.419	15.3261	1649.05 (14.010362445604599,)
13 	100  	652.101	465.47 	17.8107	1637.78 (14.010362445604599,)
14 	100  	606.885	457.565	44.8582	1663.93 (14.010362445604599,)
15 	100  	587.534	455.826	18.4564	1717.1  (14.010362445604599,)
16 	100  	577.616	468.757	23.9129	1671.99 (14.010362445604599,)
17 	100  	550.01 	442.586	15.1303	1648.55 (14.010362445604599,)
18 	100  	524.615	440.338	15.4994	1564.29 (14.010362445604599,)
19 	100  	495.427	428.448	15.5947	1570.6  (14.010362445604599,)
20 	100  	486.182	448.395	12.7826	1639.72 (12.782616887727414,)
21 	100  	461.741	434.605	11.2471	1587.12 (11.247144932296875,)
22 	100  	423.542	445.191	11.6544	1692.03 (11.247144932296875,)
23 	100  	422.581	451.24 	12.9085	1748.84 (11.247144932296875,)
24 	100  	409.245	440.861	12.6894	1670.53 (11.247144932296875,)
25 	100  	408.165	460.421	10.8175	1704.22 (10.817463398932725,)
26 	100  	400.005	459.732	10.7352	1709.42 (10.735155748129937,)
27 	100  	389.152	472.418	10.2942	1656.92 (10.294248042853184,)
28 	100  	388.667	465.438	9.59342	1758.61 (9.5934205752471051,)
29 	100  	362.044	459.991	9.95297	1670.53 (9.5934205752471051,)
30 	100  	349.004	481.211	9.63774	1762.63 (9.5934205752471051,)
31 	100  	336.651	479.96 	9.59424	1776.62 (9.5934205752471051,)
32 	100  	330.441	462.083	9.89733	1683.51 (9.5934205752471051,)
33 	100  	310.348	444.572	8.78908	1808.28 (8.7890829018487402,)
34 	100  	309.823	461.961	8.4869 	1716.02 (8.4868989280838019,)
35 	100  	304.056	445.266	9.09484	1661.27 (8.4868989280838019,)
36 	100  	290.754	437.06 	8.44971	1714.71 (8.4497090423314312,)
37 	100  	276.241	420.767	8.94708	1622.01 (8.4497090423314312,)
38 	100  	268.579	431.566	8.23464	1659.34 (8.2346380234617218,)
39 	100  	267.902	441.731	8.46535	1809.41 (8.2346380234617218,)
40 	100  	283.647	463.51 	9.02652	1763.69 (8.2346380234617218,)
41 	100  	272.565	458.064	8.40342	1701.27 (8.2346380234617218,)
42 	100  	261.374	437.975	7.96342	1675.86 (7.9634190753809557,)
43 	100  	261.987	430.937	8.06937	1657.63 (7.9634190753809557,)
44 	100  	245.24 	408.361	8.00934	1720.55 (7.9634190753809557,)
45 	100  	272.29 	455.842	8.14284	1819.23 (7.9634190753809557,)
46 	100  	245.248	439.088	7.94899	1839.05 (7.9489902435284714,)
47 	100  	241.81 	429.176	7.55367	1730.58 (7.5536712883434669,)
48 	100  	233.3  	428.769	7.64851	1821.9  (7.5536712883434669,)
49 	100  	238.365	405.091	7.80317	1793.02 (7.5536712883434669,)
50 	100  	228.749	406.809	7.39178	1618.77 (7.3917794295517245,)
51 	100  	225.664	414.642	7.46009	1655.02 (7.3917794295517245,)
52 	100  	226.225	421.407	7.31788	1539.72 (7.3178841560455004,)
53 	100  	226.595	414.123	7.18305	1555.74 (7.1830481768254808,)
54 	100  	216.095	394.128	7.23019	1609.58 (7.1830481768254808,)
55 	100  	222.896	410.901	7.40813	1601.09 (7.1830481768254808,)
56 	100  	223.683	421.592	7.17678	1654    (7.1767793712193679,)
57 	100  	211.636	405.768	6.81869	1672.47 (6.8186869962980063,)
58 	100  	214.459	412.052	6.77598	1651.62 (6.7759750366447546,)
59 	100  	206.449	392.387	6.74114	1691.94 (6.741142704395708,)
60 	100  	222.495	412.043	6.77875	1715.4  (6.741142704395708,)
61 	100  	222.683	427.678	7.21363	1796.66 (6.741142704395708,)
62 	100  	220.899	416.755	6.92978	1709.95 (6.741142704395708,)
63 	100  	214.407	416.233	6.71139	1716.4  (6.7113859130555422,)
64 	100  	210.48 	412.657	6.95817	1760.5  (6.7113859130555422,)
65 	100  	214.708	418.73 	6.6902 	1667.35 (6.6901985891802527,)
66 	100  	202.971	410.724	6.77682	1704.75 (6.6901985891802527,)
67 	100  	204.556	419.403	6.50276	1768.44 (6.5027593252484071,)
68 	100  	212.977	421.593	6.0906 	1762.79 (6.0906037489898628,)
69 	100  	233.822	382.902	6.70728	1588.71 (6.0906037489898628,)
70 	100  	197.188	392.846	6.32077	1786.38 (6.0906037489898628,)
71 	100  	195.198	387.987	6.23828	1701.14 (6.0906037489898628,)
72 	100  	187.133	363.38 	6.37   	1482.25 (6.0906037489898628,)
73 	100  	188.468	390.348	6.28794	1710.35 (6.0906037489898628,)
74 	100  	180.376	376.793	6.22756	1679.41 (6.0906037489898628,)
75 	100  	174.884	372.025	5.8694 	1605.54 (5.8694003574644338,)
76 	100  	178.406	374.595	5.83744	1711.46 (5.8374418802258603,)
77 	100  	181.159	375.567	5.65744	1724.86 (5.6574365232116044,)
78 	100  	179.893	377.701	5.54686	1733.27 (5.5468623586356944,)
79 	100  	178.747	372.332	5.72741	1788.19 (5.5468623586356944,)
80 	100  	169.775	353.176	5.83372	1546.13 (5.5468623586356944,)
81 	100  	177.587	363.566	5.47118	1679.95 (5.4711835601805276,)
82 	100  	170.98 	358.193	5.47681	1605.5  (5.4711835601805276,)
83 	100  	178.12 	378.715	5.82137	1688.7  (5.4711835601805276,)
84 	100  	172.927	378.485	5.80055	1765.47 (5.4711835601805276,)
85 	100  	174.771	376.431	5.93301	1681.36 (5.4711835601805276,)
86 	100  	178.603	363.276	5.63001	1684.93 (5.4711835601805276,)
87 	100  	168.387	352.197	5.6532 	1618.73 (5.4711835601805276,)
88 	100  	170.249	368.478	5.63655	1659.73 (5.4711835601805276,)
89 	100  	171.664	369.757	5.62901	1676.49 (5.4711835601805276,)
90 	100  	161.149	346.073	5.49847	1619.29 (5.4711835601805276,)
91 	100  	166.245	333.435	5.77143	1506.78 (5.4711835601805276,)
92 	100  	158.989	338.602	5.38655	1677.64 (5.386554069330824,)
93 	100  	152.463	331.861	5.47486	1463.09 (5.386554069330824,)
94 	100  	162.433	347.645	5.37971	1596.29 (5.3797073426825754,)
95 	100  	156.501	340.094	5.39208	1612.36 (5.3797073426825754,)
96 	100  	156.73 	339.423	6.25348	1625.22 (5.3797073426825754,)
97 	100  	159.352	334.926	5.72257	1546.81 (5.3797073426825754,)
98 	100  	158.526	357.036	5.57658	1721.54 (5.3797073426825754,)
