In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1238.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max 
0  	100  	780.905	399.533	35.7917	1864 (35.791654496735489,)
1  	100  	754.922	386.567	77.0904	1511.85 (35.791654496735489,)
2  	100  	696.884	388.142	35.1551	1504.38 (35.155069777102426,)
3  	100  	643.539	392.397	22.2454	1487.4  (22.245380087561124,)
4  	100  	627.9  	401.447	32.4097	1486.45 (22.245380087561124,)
5  	100  	547.532	377.983	19.4779	1409.75 (19.477919431246981,)
6  	100  	490.882	349.596	14.5473	1584.32 (14.54733620793195,)
7  	100  	392.837	328.71 	15.7481	1322.84 (14.54733620793195,)
8  	100  	380.566	329.002	16.3385	1399.79 (14.54733620793195,)
9  	100  	332.808	339.486	18.2935	1397.43 (14.54733620793195,)
10 	100  	329.477	368.944	14.2538	1698.25 (14.253815951410973,)
11 	100  	273.605	330.052	13.3473	1412.9  (13.347348603961892,)
12 	100  	250.654	314.747	9.18977	1343.21 (9.189771358364732,)
13 	100  	259.141	285.958	9.18591	1367.03 (9.1859126287709731,)
14 	100  	199.967	315.789	8.59908	1731.4  (8.5990793737545328,)
15 	100  	214.926	295.617	7.44583	1480.59 (7.4458272159738446,)
16 	100  	203.39 	309.863	8.12869	1708.36 (7.4458272159738446,)
17 	100  	179.921	282.501	8.80697	1300.92 (7.4458272159738446,)
18 	100  	159.921	262.983	7.6779 	1250.68 (7.4458272159738446,)
19 	100  	175.908	294.686	8.76231	1352.3  (7.4458272159738446,)
20 	100  	178.757	300.377	7.1404 	1379.93 (7.1403989119197417,)
21 	100  	151.401	261.143	7.31484	1300.59 (7.1403989119197417,)
22 	100  	165.18 	255.907	7.8641 	1205.55 (7.1403989119197417,)
23 	100  	157.683	250.889	6.73344	1206.4  (6.7334397277865605,)
24 	100  	160.135	259.671	6.82646	1261.24 (6.7334397277865605,)
25 	100  	167.503	281.886	6.56147	1318.84 (6.5614745390243696,)
26 	100  	168.779	290.555	6.38198	1374.91 (6.3819756947011221,)
27 	100  	159.019	295.102	6.76626	1390.59 (6.3819756947011221,)
28 	100  	148.882	295.406	7.15682	1589.2  (6.3819756947011221,)
29 	100  	152.795	275.106	6.59908	1381.8  (6.3819756947011221,)
30 	100  	158.15 	269.925	5.25292	1308.87 (5.2529188421530835,)
31 	100  	145.848	258.509	6.27   	1304.99 (5.2529188421530835,)
