In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1239.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min   	max    
0  	100  	881.969	384.07	68.271	1774.79 (68.270968101035066,)
1  	100  	866.925	403.201	77.4683	1698.89 (68.270968101035066,)
2  	100  	792.417	394.64 	116.161	1688.37 (68.270968101035066,)
3  	100  	744.287	418.178	41.6738	1683.16 (41.673754567821824,)
4  	100  	695.093	422.006	21.708 	1636.01 (21.708029837509162,)
5  	100  	611.359	400.012	67.3993	1552.46 (21.708029837509162,)
6  	100  	523.05 	378.217	23.4586	1405.13 (21.708029837509162,)
7  	100  	443.346	346.05 	33.6183	1342.31 (21.708029837509162,)
8  	100  	385.905	333.11 	19.5146	1353.01 (19.514559918016843,)
9  	100  	299.779	263.662	18.9556	1242.68 (18.955557337377471,)
10 	100  	254.216	238.637	15.7085	1074.69 (15.708511988983327,)
11 	100  	222.36 	218.698	21.0777	1056.57 (15.708511988983327,)
12 	100  	172.469	190.384	15.9804	958.616 (15.708511988983327,)
13 	100  	140.632	161.742	16.9471	957.26  (15.708511988983327,)
14 	100  	107.709	151.307	15.6588	984.811 (15.658822164594755,)
15 	100  	81.4176	124.373	13.5908	956.52  (13.590820850140888,)
16 	100  	79.9662	133.087	12.8228	958.179 (12.822826102876698,)
17 	100  	74.7558	126.8  	12.5544	938.222 (12.554420763566059,)
18 	100  	69.2732	121.371	11.0342	966.644 (11.034151825548708,)
19 	100  	62.6589	124.535	10.2396	944.834 (10.239592252857062,)
20 	100  	64.1491	116.597	9.90245	976.573 (9.9024455354782006,)
21 	100  	63.6455	123.087	8.98755	942.563 (8.9875500696645307,)
22 	100  	59.569 	123.62 	10.2496	947.721 (8.9875500696645307,)
23 	100  	66.2099	129.401	9.58821	947.871 (8.9875500696645307,)
24 	100  	62.036 	120.791	8.8898 	940.65  (8.8898027394824997,)
25 	100  	59.9586	120.111	8.16366	946.04  (8.1636644896677346,)
26 	100  	58.7695	115.858	8.63436	921.428 (8.1636644896677346,)
27 	100  	64.1407	121.828	9.33387	935.561 (8.1636644896677346,)
28 	100  	64.6885	121.164	8.49057	926.402 (8.1636644896677346,)
29 	100  	58.6494	118.387	7.82918	963.533 (7.8291770130620755,)
30 	100  	63.5157	113.019	7.74052	963.956 (7.7405221247366116,)
31 	100  	61.2145	114.265	7.53   	978.95  (7.5299992230215356,)
32 	100  	56.4145	114.592	7.13653	966.248 (7.1365306785948377,)
33 	100  	59.7257	125.184	7.59054	974.35  (7.1365306785948377,)
34 	100  	59.4387	112.086	6.86375	955.794 (6.8637515246508691,)
35 	100  	51.6214	106.205	7.36942	979.489 (6.8637515246508691,)
36 	100  	58.6608	116.035	7.18366	999.839 (6.8637515246508691,)
37 	100  	55.2983	110.728	7.79748	991.44  (6.8637515246508691,)
38 	100  	53.2345	111.162	6.57531	968.592 (6.5753054736837511,)
39 	100  	58.6652	116.735	6.49027	932.793 (6.4902688443997896,)
40 	100  	60.2138	119.018	7.18337	944.451 (6.4902688443997896,)
41 	100  	57.2201	110.097	6.02743	943.499 (6.0274303648350447,)
42 	100  	57.1587	113.228	6.48909	948.037 (6.0274303648350447,)
43 	100  	55.3878	115.605	6.95118	961.78  (6.0274303648350447,)
44 	100  	59.0818	115.216	6.6164 	943.085 (6.0274303648350447,)
45 	100  	50.7943	101.953	6.42759	923.558 (6.0274303648350447,)
46 	100  	47.8802	106.493	6.49857	940.514 (6.0274303648350447,)
47 	100  	46.5466	118.06 	6.30172	957.101 (6.0274303648350447,)
48 	100  	48.7966	114.897	5.93448	934.36  (5.9344766282996684,)
49 	100  	50.9518	116.873	5.43574	970.849 (5.4357444333262723,)
50 	100  	50.6261	124.086	5.37855	940.586 (5.3785511784788724,)
51 	100  	54.1436	109.753	5.64927	928.226 (5.3785511784788724,)
52 	100  	51.9581	108.916	5.80205	962.224 (5.3785511784788724,)
53 	100  	56.2327	105.853	6.29873	925.011 (5.3785511784788724,)
54 	100  	55.779 	105.315	6.15797	919.06  (5.3785511784788724,)
55 	100  	57.8146	109.713	5.76791	930.746 (5.3785511784788724,)
56 	100  	48.509 	107.727	5.62849	939.765 (5.3785511784788724,)
57 	100  	57.4912	116.207	5.42598	954.188 (5.3785511784788724,)
58 	100  	57.3474	124.805	5.58789	980.437 (5.3785511784788724,)
59 	100  	50.4956	107.587	5.36149	981.89  (5.3614940735520173,)
60 	100  	48.7303	109.485	5.56678	980.555 (5.3614940735520173,)
61 	100  	45.6368	110.468	5.19708	979.439 (5.1970752254313908,)
62 	100  	56.1018	111.844	6.20682	986.29  (5.1970752254313908,)
63 	100  	51.1404	116.175	6.16466	971.974 (5.1970752254313908,)
64 	100  	50.4924	118.021	5.10653	981.599 (5.1065313451689729,)
65 	100  	47.8182	109.041	5.27725	956.669 (5.1065313451689729,)
66 	100  	44.2426	107.814	5.18649	934.149 (5.1065313451689729,)
67 	100  	53.988 	110.248	5.71982	944.251 (5.1065313451689729,)
68 	100  	50.6981	106.598	5.92651	945.329 (5.1065313451689729,)
69 	100  	53.4198	122.553	5.42156	942.018 (5.1065313451689729,)
70 	100  	52.5979	107.942	4.67112	946.419 (4.6711175139188068,)
71 	100  	56.622 	114.494	4.99422	954.927 (4.6711175139188068,)
72 	100  	56.9077	112.31 	4.83056	951.443 (4.6711175139188068,)
73 	100  	53.5538	107.714	5.69692	941.53  (4.6711175139188068,)
74 	100  	57.5253	112.04 	4.69567	966.859 (4.6711175139188068,)
75 	100  	55.3436	114.187	5.08583	961.955 (4.6711175139188068,)
76 	100  	50.8634	106.554	5.17355	945.168 (4.6711175139188068,)
77 	100  	47.7452	109.743	4.67481	950.095 (4.6711175139188068,)
78 	100  	51.4006	118.936	4.62166	950.035 (4.6216565076411511,)
79 	100  	52.1487	114.286	4.86582	979.926 (4.6216565076411511,)
80 	100  	52.7094	110.947	5.28008	966.439 (4.6216565076411511,)
81 	100  	58.9076	111.153	4.27549	991.971 (4.2754902844518767,)
82 	100  	56.3717	111.223	5.02196	965.37  (4.2754902844518767,)
83 	100  	54.7391	108.313	4.64359	935.933 (4.2754902844518767,)
84 	100  	55.8691	111.369	4.77445	958.546 (4.2754902844518767,)
85 	100  	55.3223	120.66 	5.19243	995.759 (4.2754902844518767,)
86 	100  	58.2953	117.949	4.58446	987.992 (4.2754902844518767,)
87 	100  	50.5406	111.078	5.24192	975.682 (4.2754902844518767,)
88 	100  	58.2483	110.406	4.7577 	971.591 (4.2754902844518767,)
89 	100  	56.8773	114.734	4.27169	946.978 (4.2716864507810612,)
90 	100  	55.866 	108.295	4.79155	940.926 (4.2716864507810612,)
91 	100  	59.2127	103.302	4.66805	939.985 (4.2716864507810612,)
92 	100  	52.4653	109.063	5.09687	929.64  (4.2716864507810612,)
93 	100  	55.6089	110.493	3.83034	910.5   (3.8303352086283691,)
94 	100  	53.0859	108.821	3.82747	940.056 (3.8274661588160743,)
95 	100  	46.369 	105.221	4.25089	959.761 (3.8274661588160743,)
96 	100  	48.6508	112.103	4.27654	980.433 (3.8274661588160743,)
97 	100  	52.7847	110.871	4.85237	956.748 (3.8274661588160743,)
98 	100  	54.197 	103.904	4.40583	957.063 (3.8274661588160743,)
99 	100  	47.9402	108.275	4.21263	962.647 (3.8274661588160743,)
100	100  	52.3734	101.542	4.10753	944.477 (3.8274661588160743,)
101	100  	52.9527	116.289	4.75408	973.238 (3.8274661588160743,)
102	100  	48.9373	110.634	3.96922	973.277 (3.8274661588160743,)
103	100  	53.0914	117.671	4.52756	982.722 (3.8274661588160743,)
104	100  	54.07  	114.762	4.04483	961.062 (3.8274661588160743,)
105	100  	47.862 	112.195	4.08946	949.945 (3.8274661588160743,)
106	100  	49.2644	104.613	4.01459	950.169 (3.8274661588160743,)
107	100  	59.3623	117.999	3.52834	984.474 (3.528339260979843,)
108	100  	55.9832	110.49 	4.36539	987.044 (3.528339260979843,)
109	100  	54.6421	112.982	3.46501	973.896 (3.4650081017992242,)
110	100  	54.2451	115.096	4.05207	968.545 (3.4650081017992242,)
111	100  	53.4774	110.384	3.85594	962.968 (3.4650081017992242,)
112	100  	52.1404	114.662	4.49074	991.295 (3.4650081017992242,)
113	100  	46.809 	109.894	3.72065	960.346 (3.4650081017992242,)
114	100  	57.1067	112.249	3.84981	983.107 (3.4650081017992242,)
115	100  	55.0455	112.905	5.15475	992.213 (3.4650081017992242,)
116	100  	51.7557	110.244	3.89485	970.029 (3.4650081017992242,)
117	100  	53.4571	118.794	4.06335	996.645 (3.4650081017992242,)
118	100  	50.5712	109.647	3.82311	974.318 (3.4650081017992242,)
119	100  	50.3564	109.824	3.90678	991.116 (3.4650081017992242,)
120	100  	52.0025	112.04 	3.5302 	973.573 (3.4650081017992242,)
121	100  	50.4804	103.24 	4.39149	951.115 (3.4650081017992242,)
122	100  	50.2302	102.153	3.44549	945.408 (3.4454873993611694,)
123	100  	53.5888	108.204	3.48155	977.415 (3.4454873993611694,)
124	100  	48.2431	102.997	3.72261	969.63  (3.4454873993611694,)
125	100  	50.4345	104.939	4.34013	951.003 (3.4454873993611694,)
