In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1340.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	100  	891.469	383.858	34.2005	1811.51 (34.20049656167285,)
1  	100  	861.839	388.387	72.3134	1938.89 (34.20049656167285,)
2  	100  	818.107	383.969	39.4618	1571.32 (34.20049656167285,)
3  	100  	776.164	394.127	36.1133	1971.69 (34.20049656167285,)
4  	100  	730.094	370.842	52.3169	1400.06 (34.20049656167285,)
5  	100  	695.297	385.388	21.5088	1443.96 (21.508776386302852,)
6  	100  	632.062	386.242	42.7908	1687.4  (21.508776386302852,)
7  	100  	594.012	388.424	23.4339	1660.59 (21.508776386302852,)
8  	100  	549.558	386.342	34.298 	1626.02 (21.508776386302852,)
9  	100  	500.726	350.698	51.3613	1611.8  (21.508776386302852,)
10 	100  	474.884	355.854	35.3985	1628.92 (21.508776386302852,)
11 	100  	428.641	368.366	17.7264	1596.98 (17.726418451676725,)
12 	100  	355.911	361.329	21.9287	1608.93 (17.726418451676725,)
13 	100  	302.306	372.482	17.4669	1523.27 (17.466873906328768,)
14 	100  	271.866	342.474	16.8964	1500.06 (16.89640345603863,)
15 	100  	236.496	334.839	11.4789	1446.08 (11.478905579366019,)
16 	100  	230.242	337.445	12.3794	1607.83 (11.478905579366019,)
17 	100  	190.967	316.024	9.54992	1535.74 (9.5499198487494432,)
18 	100  	155.914	300.328	8.34993	1380.51 (8.3499265379562022,)
19 	100  	157.88 	286.259	8.76416	1259.74 (8.3499265379562022,)
20 	100  	142.347	276.094	8.69878	1281.26 (8.3499265379562022,)
21 	100  	139.573	269.323	8.48216	1461.68 (8.3499265379562022,)
22 	100  	135.01 	251.903	8.83411	1182.58 (8.3499265379562022,)
23 	100  	118.298	242.371	8.32644	1166.62 (8.3264385842507398,)
24 	100  	114.209	250.382	7.89248	1253.29 (7.8924818249457447,)
25 	100  	117.593	274.488	8.08164	1407.28 (7.8924818249457447,)
26 	100  	120.834	268.177	8.07779	1484.11 (7.8924818249457447,)
27 	100  	127.677	259.823	7.9158 	1278.7  (7.8924818249457447,)
28 	100  	115.387	244.006	7.91912	1189.63 (7.8924818249457447,)
29 	100  	114.686	230.989	7.4462 	1062.07 (7.4461973511821711,)
30 	100  	119.695	248.361	7.46774	1246.66 (7.4461973511821711,)
31 	100  	107.096	233.471	7.56755	1097.12 (7.4461973511821711,)
32 	100  	111.533	229.856	7.89136	1172.84 (7.4461973511821711,)
33 	100  	119.434	231.619	7.50636	1205.12 (7.4461973511821711,)
34 	100  	106.109	220.985	8.01433	1268.63 (7.4461973511821711,)
35 	100  	102.588	212.272	7.66121	1111.18 (7.4461973511821711,)
36 	100  	98.8727	224.443	6.78604	1441.92 (6.7860368979721812,)
37 	100  	92.7895	218.927	6.62016	1310.64 (6.6201556635156704,)
