In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1368.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg	std	min	max
0  	100  	nan	nan	nan	nan (163.67382393250614,)
1  	100  	806.077	410.834	46.1375	1620.01 (46.137496291091608,)
2  	100  	744.497	384.294	26.2927	1528.84 (26.292650502285138,)
3  	100  	676.909	376.859	38.007 	1409.79 (26.292650502285138,)
4  	100  	623.763	367.854	20.371 	1531.46 (20.370957362475341,)
5  	100  	568.123	366.413	16.7161	1438.98 (16.716139884084388,)
6  	100  	524.35 	368.442	28.0049	1441.09 (16.716139884084388,)
7  	100  	489.69 	376.235	24.9667	1420.86 (16.716139884084388,)
8  	100  	452.611	366.13 	20.2992	1419.88 (16.716139884084388,)
9  	100  	412.838	343.715	13.8825	1359.75 (13.882496675744891,)
10 	100  	374.43 	329.152	16.6279	1366.98 (13.882496675744891,)
11 	100  	336.37 	302.29 	15.9901	1462.54 (13.882496675744891,)
12 	100  	297.716	296.53 	14.3173	1337.97 (13.882496675744891,)
13 	100  	250.272	298.345	8.66994	1338.76 (8.6699411833677846,)
14 	100  	205.654	282.096	9.09938	1404.52 (8.6699411833677846,)
15 	100  	167.51 	263.827	8.02676	1060.76 (8.0267608131045822,)
16 	100  	172.52 	247.302	8.47097	1211.57 (8.0267608131045822,)
17 	100  	140.524	241.794	8.84081	1378.55 (8.0267608131045822,)
18 	100  	123.198	230.937	8.37602	1256.3  (8.0267608131045822,)
19 	100  	117.268	208.172	7.42533	1070.58 (7.4253313767728768,)
20 	100  	130.877	231.388	7.54089	1218.36 (7.4253313767728768,)
21 	100  	134.716	254.563	7.23176	1466.43 (7.2317559570649967,)
22 	100  	135.507	251.639	7.26882	1388.87 (7.2317559570649967,)
23 	100  	120.314	222.9  	7.08782	1264.9  (7.0878174418127022,)
24 	100  	110.422	212.679	7.25772	1184.1  (7.0878174418127022,)
25 	100  	108.934	219.547	7.63865	1215.34 (7.0878174418127022,)
26 	100  	115.904	237.482	7.10274	1380.12 (7.0878174418127022,)
27 	100  	116.217	239.693	6.98569	1327.81 (6.9856894298848484,)
28 	100  	122.104	246.727	7.06669	1467.61 (6.9856894298848484,)
29 	100  	111.881	239.072	7.28485	1380.9  (6.9856894298848484,)
30 	100  	99.2336	205.496	6.57918	1023.09 (6.5791837386336924,)
31 	100  	103.381	226.847	6.26064	1341.94 (6.2606392899943932,)
32 	100  	87.8932	227.832	6.36833	1471.12 (6.2606392899943932,)
33 	100  	91.594 	192.5  	6.54216	1022.42 (6.2606392899943932,)
34 	100  	90.4484	188.071	5.72638	1044.4  (5.7263809205671548,)
35 	100  	96.6529	218.026	5.67063	1260.27 (5.6706276802270441,)
36 	100  	103.16 	215.372	5.97385	1193.57 (5.6706276802270441,)
37 	100  	99.5604	193.727	6.16089	1133.86 (5.6706276802270441,)
38 	100  	99.1013	204.071	5.2576 	1078.01 (5.2576019386660287,)
39 	100  	110.264	246.662	5.58474	1410.63 (5.2576019386660287,)
40 	100  	100.92 	232.819	5.83731	1233.95 (5.2576019386660287,)
41 	100  	97.1882	246.977	5.46709	1381.79 (5.2576019386660287,)
42 	100  	106.209	210.226	5.16887	1057.9  (5.1688718379139473,)
43 	100  	104.263	195.055	5.30766	1022.29 (5.1688718379139473,)
44 	100  	104.71 	190.672	5.36396	1047.07 (5.1688718379139473,)
45 	100  	101.977	199.943	5.18458	1086.05 (5.1688718379139473,)
46 	100  	117.829	220.991	5.82549	1357.8  (5.1688718379139473,)
47 	100  	115.403	220.905	6.027  	1210.1  (5.1688718379139473,)
48 	100  	102.737	223.367	5.44204	1201.96 (5.1688718379139473,)
49 	100  	95.1196	211.848	5.26488	1105.9  (5.1688718379139473,)
50 	100  	97.9924	229.698	5.07733	1382.56 (5.0773326508359,)
51 	100  	97.6834	232.763	5.00225	1415.01 (5.0022484250324872,)
52 	100  	103.916	223.625	5.81649	1221.93 (5.0022484250324872,)
53 	100  	97.2587	226.699	5.44599	1260.95 (5.0022484250324872,)
54 	100  	106.795	233.755	5.20406	1289.97 (5.0022484250324872,)
55 	100  	104.973	221.005	5.7005 	1109.96 (5.0022484250324872,)
56 	100  	103.519	220.425	5.32791	1128.29 (5.0022484250324872,)
57 	100  	93.4426	192.616	4.85969	1043.88 (4.8596927236573357,)
58 	100  	97.3341	223.02 	5.11692	1438.18 (4.8596927236573357,)
59 	100  	101.36 	203.889	5.42152	1194.31 (4.8596927236573357,)
60 	100  	103.011	203.008	5.2929 	1119.03 (4.8596927236573357,)
61 	100  	93.6168	180.832	5.40805	1063.81 (4.8596927236573357,)
62 	100  	99.6549	198.225	4.89047	1067.82 (4.8596927236573357,)
63 	100  	98.3076	199.827	4.8911 	1215.04 (4.8596927236573357,)
64 	100  	96.5776	211.832	4.71093	1299.22 (4.7109331571012829,)
65 	100  	106.264	227.826	4.51749	1354.11 (4.517487227534815,)
66 	100  	104.435	225.073	4.61901	1354.2  (4.517487227534815,)
67 	100  	104.171	229.68 	4.52576	1464.22 (4.517487227534815,)
68 	100  	102.418	228.091	4.72577	1463.64 (4.517487227534815,)
69 	100  	100.14 	224.49 	4.85792	1354.85 (4.517487227534815,)
70 	100  	112.833	223.427	4.62736	1337.6  (4.517487227534815,)
71 	100  	102.679	219.813	4.61433	1338.63 (4.517487227534815,)
72 	100  	106.273	226.882	4.5664 	1436.25 (4.517487227534815,)
73 	100  	105.679	216.982	4.11487	1386.35 (4.1148686489880815,)
74 	100  	97.6744	217.174	4.40912	1439.1  (4.1148686489880815,)
75 	100  	106.596	207.76 	4.51808	1208.02 (4.1148686489880815,)
76 	100  	97.3132	206.963	3.99581	1388.62 (3.9958050524053244,)
77 	100  	102.949	222.871	4.70256	1509.98 (3.9958050524053244,)
78 	100  	94.8211	223.788	4.79948	1508.03 (3.9958050524053244,)
79 	100  	96.3721	217.053	4.33565	1244.3  (3.9958050524053244,)
80 	100  	101.503	228.42 	4.1203 	1475.06 (3.9958050524053244,)
81 	100  	105.126	232.727	4.26071	1415.04 (3.9958050524053244,)
82 	100  	104.978	233.258	4.15248	1415.71 (3.9958050524053244,)
83 	100  	107.87 	243.619	3.70424	1402.19 (3.7042429749429524,)
84 	100  	93.1146	211.892	3.76203	1133    (3.7042429749429524,)
85 	100  	95.8134	209.674	3.95816	1267.31 (3.7042429749429524,)
86 	100  	97.1513	200.2  	4.21994	1093.78 (3.7042429749429524,)
87 	100  	96.1009	219.789	3.61227	1387.63 (3.6122655448834431,)
88 	100  	95.8491	216.612	3.88771	1346.58 (3.6122655448834431,)
89 	100  	102.022	218.621	3.96063	1381.8  (3.6122655448834431,)
90 	100  	106.464	229.128	3.84304	1350.69 (3.6122655448834431,)
91 	100  	94.6195	215.055	3.38676	1337.72 (3.3867611447660151,)
