In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1129.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max   
0  	100  	891.083	379.472	97.1287	1779.8 (97.128734502227104,)
1  	100  	887.596	377.496	105.21 	1739.51 (97.128734502227104,)
2  	100  	883.088	381.621	71.897 	1759.46 (71.896973512800685,)
3  	100  	852.08 	377.975	75.4876	1646.53 (71.896973512800685,)
4  	100  	810.851	383.679	46.5036	1598.92 (46.503609168188447,)
5  	100  	788.171	388.826	39.0091	1581.26 (39.009068139154955,)
6  	100  	775.063	397.09 	25.1046	1547.13 (25.104579932478547,)
7  	100  	747.202	410.34 	20.1899	1556.49 (20.189907870176942,)
8  	100  	735.619	421.098	20.1894	1616.14 (20.18942836475831,)
9  	100  	706.017	422.557	29.2262	1590.32 (20.18942836475831,)
10 	100  	696.744	420.053	20.1206	1570.77 (20.120613755078303,)
11 	100  	674.255	428.948	20.9076	1604.94 (20.120613755078303,)
12 	100  	659.199	433.444	19.9127	1571.66 (19.912743912569674,)
13 	100  	644.131	428.187	28.069 	1499.29 (19.912743912569674,)
14 	100  	618.7  	438.051	23.5757	1611.39 (19.912743912569674,)
15 	100  	620.389	432.309	23.085 	1521.3  (19.912743912569674,)
16 	100  	578.566	428.08 	25.1997	1553.01 (19.912743912569674,)
17 	100  	547.128	428.579	15.649 	1530.1  (15.648963356283655,)
18 	100  	488.989	420.648	24.1882	1406.45 (15.648963356283655,)
19 	100  	473.118	424.406	14.3151	1465.75 (14.315135119575796,)
20 	100  	447.558	407.767	14.3396	1410.37 (14.315135119575796,)
21 	100  	408.533	392.137	14.2441	1420.01 (14.244054269127643,)
22 	100  	377.104	397.261	13.7453	1424.12 (13.745341337242399,)
23 	100  	341.376	388.477	9.93983	1337.38 (9.9398342011972272,)
24 	100  	308.426	391.768	11.9597	1416.55 (9.9398342011972272,)
25 	100  	283.817	373.03 	11.9675	1412.94 (9.9398342011972272,)
26 	100  	245.69 	362.92 	9.80634	1429.61 (9.8063449838328385,)
27 	100  	229.691	359.795	8.40842	1430.56 (8.4084166655263246,)
28 	100  	220.962	369.446	8.77487	1441.76 (8.4084166655263246,)
29 	100  	221.73 	383.208	8.5591 	1645.85 (8.4084166655263246,)
30 	100  	203.391	357.401	8.04576	1334.74 (8.0457564841891767,)
31 	100  	193.218	376.726	7.79836	1627.21 (7.7983560732442365,)
32 	100  	201.804	383.353	7.70967	1646.85 (7.709673157275021,)
33 	100  	193.992	368.579	7.63617	1442.38 (7.6361732538448717,)
34 	100  	192.804	365.997	7.7652 	1446.86 (7.6361732538448717,)
35 	100  	193.206	381.505	7.19299	1622.59 (7.1929897159059797,)
36 	100  	180.096	366.405	7.15435	1524.66 (7.1543507785176255,)
37 	100  	179.641	372.894	7.44393	1653.08 (7.1543507785176255,)
38 	100  	175.371	365.397	6.77851	1426.17 (6.7785083676392448,)
39 	100  	177.03 	370.213	6.70167	1535.57 (6.7016729506450226,)
40 	100  	179.922	371.232	6.89578	1558.58 (6.7016729506450226,)
