In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1157.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min   	max    
0  	100  	809.45	367.474	145.55	1690.44 (145.54988742531148,)
1  	100  	826.194	386.418	85.81 	1767.99 (85.810004709686197,)
2  	100  	848.128	413.932	82.7482	1855.61 (82.748220057484872,)
3  	100  	848.901	422.556	69.9174	1754.65 (69.917449217407949,)
4  	100  	837.318	421.897	71.4203	1639.44 (69.917449217407949,)
5  	100  	821.69 	434.233	82.1455	1661.01 (69.917449217407949,)
6  	100  	796.636	435.857	67.0391	1720.05 (67.039136131392965,)
7  	100  	778.732	432.97 	54.0053	1616.06 (54.00529344396336,)
8  	100  	757.168	437.949	51.8277	1693.1  (51.82768686832727,)
9  	100  	731.704	420.143	52.5473	1701.26 (51.82768686832727,)
10 	100  	718.58 	414.887	67.4473	1544.91 (51.82768686832727,)
11 	100  	704.827	414.053	43.0295	1669.21 (43.029475370421352,)
12 	100  	677.93 	413.588	49.9592	1599.02 (43.029475370421352,)
13 	100  	653.321	413.428	39.2004	1632.64 (39.200376293178273,)
14 	100  	612.813	385.719	38.9779	1662.13 (38.977887911453045,)
15 	100  	585.632	350.859	41.6198	1403    (38.977887911453045,)
16 	100  	549.253	340.377	27.5041	1405.42 (27.504148695122453,)
17 	100  	520.168	336.652	25.5409	1404.4  (25.540924273139034,)
18 	100  	486.473	331.086	38.5893	1431.17 (25.540924273139034,)
19 	100  	449.51 	331.532	23.1231	1532.17 (23.12307313320618,)
20 	100  	410.819	315.898	26.7846	1428.32 (23.12307313320618,)
21 	100  	384.421	324.858	23.6267	1739.51 (23.12307313320618,)
22 	100  	353.041	311.292	35.3852	1496.04 (23.12307313320618,)
23 	100  	326.619	301.695	37.9945	1279.52 (23.12307313320618,)
24 	100  	295.22 	313.195	27.8553	1611.5  (23.12307313320618,)
25 	100  	263.585	307.887	24.1619	1459.03 (23.12307313320618,)
26 	100  	238.195	318.845	22.0145	1426.66 (22.014540131607578,)
27 	100  	214.964	302.637	21.9208	1370.87 (21.920766402544558,)
28 	100  	195.175	288.973	21.8766	1335.28 (21.876612209523984,)
29 	100  	176.886	281.74 	20.3287	1327.12 (20.328734682968001,)
30 	100  	177.145	292.407	19.4018	1365.34 (19.401848065925847,)
31 	100  	167.854	305.604	19.1015	1501.73 (19.101511910307224,)
32 	100  	147.333	285.291	17.7079	1541.26 (17.707884840876556,)
33 	100  	156.009	296.604	16.4723	1550.82 (16.472329507476125,)
34 	100  	150.203	304.832	15.7965	1596.25 (15.796511320516657,)
35 	100  	157.928	327.06 	15.0626	1743.6  (15.062618594178405,)
36 	100  	150.966	314.451	15.0346	1727.23 (15.034645334970497,)
37 	100  	149.312	328.203	14.3926	1710.61 (14.392567205200848,)
38 	100  	144.638	307.475	13.8992	1500.33 (13.899232246303828,)
39 	100  	149.27 	324.601	13.2142	1414.17 (13.214238830938749,)
40 	100  	142.972	307.466	13.5488	1315.3  (13.214238830938749,)
41 	100  	145.14 	317.331	13.2806	1588.89 (13.214238830938749,)
42 	100  	147.112	332.743	13.0359	1670.5  (13.035863099364011,)
43 	100  	139.311	304.584	12.7476	1276.33 (12.747550085954432,)
44 	100  	143.588	327.465	12.4737	1526.38 (12.473718685382831,)
45 	100  	142.583	312.627	12.675 	1321.86 (12.473718685382831,)
46 	100  	137.977	320.258	12.2721	1612.49 (12.272063684256995,)
