In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1177.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max    
0  	100  	864.97	361.349	249.572	1688.35 (249.57197756379443,)
1  	100  	847.019	371.619	241.093	1871.08 (241.09322256000857,)
2  	100  	823.436	365.449	243.697	1604.42 (241.09322256000857,)
3  	100  	805.483	374.119	212.59 	1615.39 (212.58961194259405,)
4  	100  	784.986	376.92 	146.403	1785.53 (146.40263146411382,)
5  	100  	758.011	376.797	133.649	1690.45 (133.64935136728781,)
6  	100  	744.771	373.509	105.537	1724.21 (105.53705336094021,)
7  	100  	721.625	368.325	97.792 	1515.19 (97.792012216758977,)
8  	100  	697.848	378.698	63.4221	1733.77 (63.42206098184662,)
9  	100  	691.732	368.763	70.2369	1616.94 (63.42206098184662,)
10 	100  	674.068	363.278	65.0483	1668.44 (63.42206098184662,)
11 	100  	669.639	363.773	61.815 	1715.71 (61.814950188922992,)
12 	100  	658.19 	371.278	58.5258	1721.96 (58.525832791859898,)
13 	100  	612.387	368.678	61.7162	1452.72 (58.525832791859898,)
14 	100  	586.123	369.27 	53.9714	1438.52 (53.971417794927284,)
15 	100  	569.707	367.022	39.5634	1445.82 (39.56337652936525,)
16 	100  	549.896	351.23 	26.4496	1372.33 (26.449637469661393,)
17 	100  	540.254	345.007	19.8225	1494.19 (19.822481371888962,)
18 	100  	503.814	340.716	19.6261	1375.73 (19.626067209203786,)
19 	100  	471.149	315.137	15.0378	1316.16 (15.037781402150832,)
20 	100  	415.556	313.765	18.6736	1370.86 (15.037781402150832,)
21 	100  	382.475	321.46 	20.2888	1387.35 (15.037781402150832,)
22 	100  	343.735	318.282	14.0862	1396.79 (14.086202305271303,)
23 	100  	320.354	322.965	10.0908	1432.58 (10.090812813647704,)
24 	100  	296.227	323.004	13.6239	1408.02 (10.090812813647704,)
25 	100  	269.304	309.602	13.7084	1393.08 (10.090812813647704,)
26 	100  	252.342	313.478	13.0277	1373.32 (10.090812813647704,)
27 	100  	228.251	302.373	11.532 	1358.77 (10.090812813647704,)
28 	100  	216.639	309.349	10.0699	1343.78 (10.069880162685966,)
29 	100  	195.442	297.711	9.50977	1348.37 (9.5097667566139972,)
30 	100  	179.61 	293.392	9.28543	1401.11 (9.2854336149518755,)
31 	100  	172.818	298.423	9.05795	1422.68 (9.0579546774106685,)
32 	100  	159.77 	295.975	8.26802	1433.22 (8.2680226544730324,)
33 	100  	145.42 	285.803	8.0513 	1449.13 (8.0512977312671037,)
34 	100  	142.797	293.689	7.89217	1430.56 (7.8921695088319854,)
35 	100  	134.711	291.972	7.81076	1411.97 (7.8107623393658248,)
36 	100  	127.275	285.611	7.759  	1300.43 (7.7590033797852014,)
37 	100  	121.947	280.847	7.5603 	1294.02 (7.5603027945763026,)
38 	100  	121.938	285.691	6.9162 	1481.65 (6.9162018308901487,)
39 	100  	118.376	287.983	6.99137	1528.04 (6.9162018308901487,)
40 	100  	117.158	284.935	6.89104	1447.88 (6.8910417831106328,)
41 	100  	115.848	291.049	6.41008	1632.51 (6.4100775772167395,)
42 	100  	116.742	292.704	6.31272	1597.01 (6.3127198204943342,)
43 	100  	120.258	295.503	6.10808	1562.92 (6.1080819009182079,)
44 	100  	112.365	279.88 	6.09528	1338.45 (6.0952844565830997,)
45 	100  	112.373	284.868	5.53202	1386.35 (5.5320195579173115,)
46 	100  	111.237	273.154	5.92554	1289.47 (5.5320195579173115,)
47 	100  	110.828	278.909	5.72643	1359.25 (5.5320195579173115,)
48 	100  	112.16 	291.098	5.97084	1579.06 (5.5320195579173115,)
49 	100  	109.6  	284.054	5.55372	1501.23 (5.5320195579173115,)
50 	100  	111.542	289.908	5.66638	1628.2  (5.5320195579173115,)
51 	100  	113.222	292.899	5.41667	1639.23 (5.4166679985095989,)
52 	100  	107.052	279.638	5.43896	1435.56 (5.4166679985095989,)
53 	100  	105.172	274.853	5.55338	1300.4  (5.4166679985095989,)
54 	100  	104.981	282.442	5.47823	1381.54 (5.4166679985095989,)
55 	100  	105.898	278.529	5.40403	1403.89 (5.404027949868512,)
56 	100  	100.897	269.766	5.56013	1376.41 (5.404027949868512,)
57 	100  	101.65 	277.312	5.10589	1370.37 (5.1058928542557807,)
58 	100  	98.2151	272.745	5.3039 	1389.69 (5.1058928542557807,)
59 	100  	97.5941	265.142	5.16117	1356.35 (5.1058928542557807,)
60 	100  	97.8579	271.811	5.19798	1411.42 (5.1058928542557807,)
61 	100  	95.793 	268.26 	4.98955	1380.25 (4.9895453495604976,)
62 	100  	94.4062	259.779	5.09782	1267.4  (4.9895453495604976,)
63 	100  	96.8562	268.272	5.27959	1384.54 (4.9895453495604976,)
64 	100  	99.8915	279.617	5.05532	1405.44 (4.9895453495604976,)
65 	100  	96.0602	272.585	5.30901	1323.33 (4.9895453495604976,)
