creating /tmp/scipy-pinojc-vgWfAG/python27_intermediate/compiler_ede35212078c0beff706e86697d62e7e
In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1705.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_c661881a957cfe3d261c76bdc5380cb60.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	100  	1187.71	318.494	663.413	1790.43 (663.41293243778296,)
1  	100  	1197.04	324.249	625.918	1757.95 (625.91766034068894,)
2  	100  	1185.74	322.021	495.879	1771.25 (495.87873601351265,)
3  	100  	1174.1 	318.96 	484.716	1759.03 (484.71572879950605,)
4  	100  	1120.35	310.502	466.629	1745.79 (466.62884989832747,)
5  	100  	1010.48	316.312	463.368	1738.69 (463.36810429434132,)
6  	100  	952.694	339.311	444.784	1704.97 (444.78413979826962,)
7  	100  	875.804	332.958	431.405	1660.72 (431.40466739352041,)
8  	100  	773.469	342.6  	432.143	1601.91 (431.40466739352041,)
9  	100  	706.135	333.617	428.587	1603.18 (428.58684455976851,)
10 	100  	687.767	355.27 	420.319	1625.11 (420.3188339413586,)
11 	100  	657.944	351.138	416.93 	1575.84 (416.93030258886432,)
12 	100  	638.491	363.263	405.155	1596.88 (405.15468244914092,)
13 	100  	627.018	362.738	396.639	1564.57 (396.63945948695579,)
14 	100  	609.66 	346.176	393.143	1642.87 (393.14294279335803,)
15 	100  	617.341	361.549	391.961	1631.53 (391.96069503112574,)
16 	100  	596.001	353.747	387.959	1550.99 (387.95886560284794,)
17 	100  	592.306	359.564	385.955	1625.55 (385.95471643809179,)
18 	100  	574.332	353.496	384.109	1607.8  (384.10934758409098,)
19 	100  	571.471	326.886	381.754	1582.47 (381.7538270511937,)
20 	100  	571.42 	333.6  	381.795	1539.07 (381.7538270511937,)
