In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1826.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max    
0  	100  	1099.1	310.214	278.925	1787.41 (278.92528437424738,)
1  	100  	1109.74	319.458	411.307	1730.18 (278.92528437424738,)
2  	100  	1046.43	326.542	238.454	1699.4  (238.45441836045666,)
3  	100  	977.949	327.083	242.442	1698.73 (238.45441836045666,)
4  	100  	885.697	316.814	263.066	1691.14 (238.45441836045666,)
5  	100  	796.095	318.165	245.999	1658.43 (238.45441836045666,)
6  	100  	688.472	323.432	221.906	1573.27 (221.9060694024856,)
7  	100  	567.545	326.819	209.132	1487.75 (209.13206595998292,)
8  	100  	490.783	359.203	187.694	1557.22 (187.69422137824336,)
9  	100  	429.027	362.796	169.209	1610.57 (169.20874915189836,)
10 	100  	366.893	331.235	166.66 	1604.67 (166.65965998385084,)
11 	100  	346.053	322.022	160.836	1510.37 (160.83634570648096,)
12 	100  	318.9  	311.671	154.289	1593.66 (154.288750392715,)
13 	100  	300.066	295.978	153.32 	1452.44 (153.32006317574115,)
14 	100  	277.387	249.729	150.758	1305.58 (150.75750756844215,)
15 	100  	238.82 	189.299	149.198	1261.44 (149.19824650844211,)
16 	100  	231.985	174.337	148.061	1138.1  (148.06061929691307,)
17 	100  	217.201	155.105	146.102	1182.92 (146.10164091774644,)
18 	100  	205.759	130.432	143.889	990.592 (143.88939616763457,)
19 	100  	199.019	129.704	143.932	1116.36 (143.88939616763457,)
20 	100  	192.597	128.379	142.872	1154.8  (142.87248377349454,)
21 	100  	194.9  	116.096	142.237	1053.54 (142.23650528305132,)
22 	100  	196.147	123.018	141.616	1068.59 (141.61611951723003,)
23 	100  	194.537	139.044	139.517	1151.85 (139.51668830945653,)
24 	100  	193.79 	118.213	139.23 	933.624 (139.23039405196411,)
25 	100  	196.872	124.428	139.309	1107.6  (139.23039405196411,)
26 	100  	198.62 	117.574	139.185	1018.02 (139.18505166798914,)
27 	100  	188.583	102.469	136.746	896.147 (136.74595522605068,)
28 	100  	185.73 	107.136	135.596	1007.58 (135.59595557190272,)
29 	100  	199.72 	132.855	136.532	1268.33 (135.59595557190272,)
30 	100  	190.264	124.304	135.033	1263.48 (135.03296538724319,)
31 	100  	187.629	104.24 	137.36 	1035.54 (135.03296538724319,)
32 	100  	183.964	101.607	134.701	980.675 (134.70126889053421,)
33 	100  	186.306	115.358	132.954	1116.63 (132.95420325878595,)
34 	100  	180.407	111.079	128.905	1069.65 (128.90453659065386,)
35 	100  	174.86 	94.3173	125.937	795.084 (125.93713194559385,)
36 	100  	179.907	119.389	125.159	1059.53 (125.15901663696286,)
37 	100  	176.512	107.958	125.926	1059.67 (125.15901663696286,)
38 	100  	168.408	99.3623	126.538	959.18  (125.15901663696286,)
39 	100  	167.968	97.0691	126.27 	934.835 (125.15901663696286,)
40 	100  	176.02 	120.522	122.258	1235.61 (122.25791721602383,)
41 	100  	168.186	105.387	120.683	1162.15 (120.68340054155641,)
42 	100  	163.617	83.2617	115.172	913.446 (115.17160728350554,)
43 	100  	163.698	76.258 	113.857	791.099 (113.85746833395562,)
44 	100  	164.198	96.1721	108.215	1020.39 (108.21548766768555,)
45 	100  	149.591	76.2657	106.312	839.994 (106.31184422576683,)
46 	100  	157.758	97.7555	97.8315	1058.8  (97.831547764396717,)
47 	100  	156.039	105.989	95.0363	1135    (95.036334261596934,)
48 	100  	148.858	85.3588	89.0345	915.574 (89.034455890899963,)
49 	100  	148.582	119.398	88.6932	1252.75 (88.693177710458656,)
50 	100  	144.236	110.192	90.5084	1168.96 (88.693177710458656,)
51 	100  	140.341	112.511	87.0253	1198.43 (87.025295313471972,)
52 	100  	137.759	112.449	87.6575	1204.9  (87.025295313471972,)
53 	100  	140.802	112.923	85.4118	1213.75 (85.411750229257734,)
54 	100  	135.134	98.9689	82.2476	1054.36 (82.247552544201099,)
55 	100  	126.229	95.934 	79.7383	1006.95 (79.738305987805404,)
56 	100  	130.759	102.959	65.6611	1070.12 (65.661140502336195,)
57 	100  	120.285	106.366	64.732 	1123.54 (64.732031610446299,)
58 	100  	119.811	109.327	65.454 	1146.67 (64.732031610446299,)
59 	100  	120.211	117.787	61.0192	1204.99 (61.019212635155483,)
60 	100  	118.448	113.928	60.4246	1192.99 (60.424605432555673,)
61 	100  	111.21 	109.504	57.3829	1119.94 (57.382921503713654,)
62 	100  	116.986	103.075	58.6037	1046.55 (57.382921503713654,)
63 	100  	112.632	118.932	55.3678	1224.3  (55.367758645989227,)
64 	100  	113.834	120.661	55.5594	1246.99 (55.367758645989227,)
65 	100  	109.32 	119.819	56.4016	1263.03 (55.367758645989227,)
66 	100  	105.157	132.501	55.72  	1380.59 (55.367758645989227,)
67 	100  	109.065	130.702	55.2308	1357.04 (55.230760646268571,)
68 	100  	106.06 	119.505	56.5727	1223.11 (55.230760646268571,)
69 	100  	109.791	112.399	57.8321	1180    (55.230760646268571,)
70 	100  	102.045	116.485	55.5753	1233.83 (55.230760646268571,)
71 	100  	105.294	115.576	58.6314	1212.3  (55.230760646268571,)
72 	100  	108.085	119.241	55.8321	1227.05 (55.230760646268571,)
73 	100  	107.178	110.679	56.8238	1165.16 (55.230760646268571,)
74 	100  	105.508	105.247	57.3334	1111.09 (55.230760646268571,)
75 	100  	112.865	120.456	57.053 	1229.83 (55.230760646268571,)
76 	100  	110.008	107.046	54.0298	1106.3  (54.029799143536536,)
77 	100  	106.097	108.915	54.9611	1134.82 (54.029799143536536,)
78 	100  	108.618	115.951	54.8378	1199.64 (54.029799143536536,)
79 	100  	103.928	103.124	52.8635	1085.48 (52.863539777688324,)
80 	100  	100.113	109.699	53.8596	1129.73 (52.863539777688324,)
81 	100  	103.056	94.5015	52.9344	973.059 (52.863539777688324,)
82 	100  	113.758	115.152	55.1284	1186.41 (52.863539777688324,)
83 	100  	103.587	89.6328	56.0289	921.316 (52.863539777688324,)
84 	100  	106.228	100.063	53.9517	1033.2  (52.863539777688324,)
85 	100  	108.815	100.793	54.7363	1038.18 (52.863539777688324,)
86 	100  	114.916	114.952	51.8398	1153.8  (51.839764213717224,)
87 	100  	107.361	89.091 	52.4346	900.553 (51.839764213717224,)
88 	100  	104.162	114.626	53.5149	1192.09 (51.839764213717224,)
89 	100  	107.518	98.9076	51.8824	994.352 (51.839764213717224,)
90 	100  	104.844	124.362	55.0425	1299.54 (51.839764213717224,)
91 	100  	112.073	127.744	52.0862	1317.57 (51.839764213717224,)
92 	100  	110.831	91.5724	55.1257	932.197 (51.839764213717224,)
93 	100  	107.587	110.128	54.4734	1129.82 (51.839764213717224,)
94 	100  	102.921	107.679	54.1358	1124.44 (51.839764213717224,)
95 	100  	108.746	108.757	53.31  	1116.02 (51.839764213717224,)
96 	100  	106.051	106.708	53.5677	1094.64 (51.839764213717224,)
97 	100  	108.911	108.069	55.2793	1103.35 (51.839764213717224,)
98 	100  	110.239	101.239	51.3228	1010.19 (51.322808266821575,)
99 	100  	105.416	103.042	55.0214	1029.79 (51.322808266821575,)
100	100  	105.507	109.55 	52.803 	1130.73 (51.322808266821575,)
101	100  	102.137	115.659	53.3287	1195.44 (51.322808266821575,)
