In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1827.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std   	min    	max    
0  	100  	1092.7	289.35	543.198	1727.68 (543.19792677426187,)
1  	100  	1149.52	299.635	534.214	1730.47 (534.21449545599023,)
2  	100  	1182.99	312.317	497.15 	1735.53 (497.15026171291049,)
3  	100  	1131.74	315.925	517.97 	1675.95 (497.15026171291049,)
4  	100  	1007.65	342.949	367.119	1646.09 (367.11888101413609,)
5  	100  	921.072	442.504	240.879	1685.48 (240.87887736969193,)
6  	100  	809.076	498.142	203.966	1684.55 (203.96612772629862,)
7  	100  	718.982	509.505	196.599	1677.99 (196.59948212621407,)
8  	100  	649.606	500.54 	190.394	1624.61 (190.394074924265,)
9  	100  	604.545	502.994	184.198	1640.5  (184.19806468560049,)
10 	100  	565.889	489.528	179.463	1561.72 (179.46269768895081,)
11 	100  	563.645	499.702	176.753	1563.85 (176.75319517697747,)
12 	100  	505.553	458.43 	171.748	1508.35 (171.7484668568045,)
13 	100  	488.778	458.804	170.503	1546.64 (170.50257317241963,)
14 	100  	472.952	454.784	172.119	1555.38 (170.50257317241963,)
15 	100  	462.521	464.286	168.166	1529.02 (168.16596081104476,)
16 	100  	449.801	453.442	169.295	1638.06 (168.16596081104476,)
17 	100  	440.065	426.895	166.652	1564.53 (166.65202616227947,)
18 	100  	433.108	416.742	165.245	1499.61 (165.2447657621187,)
19 	100  	410.885	410.13 	165.141	1535.24 (165.14106133688756,)
20 	100  	395.589	403.785	162.845	1518.35 (162.84542794047255,)
21 	100  	397.379	396.554	163.601	1522.24 (162.84542794047255,)
22 	100  	391.335	388.703	164.163	1587.95 (162.84542794047255,)
23 	100  	395.814	387.266	161.97 	1584.03 (161.96971319730159,)
24 	100  	402.634	385.058	162.747	1546.82 (161.96971319730159,)
25 	100  	387.621	378.797	163.031	1605.03 (161.96971319730159,)
26 	100  	379.987	368.705	161.569	1618.11 (161.56904983378769,)
27 	100  	364.296	368.645	162.359	1577.53 (161.56904983378769,)
28 	100  	378.437	387.58 	161.006	1526.96 (161.00568369820766,)
29 	100  	400.298	366.037	161.712	1487.25 (161.00568369820766,)
30 	100  	358.329	335.965	161.26 	1559.44 (161.00568369820766,)
31 	100  	354.988	337.896	161.753	1457    (161.00568369820766,)
32 	100  	356.141	348.054	160.752	1593.6  (160.75199262262825,)
33 	100  	350.166	325.645	161.778	1571.5  (160.75199262262825,)
34 	100  	351.688	313.233	161.388	1489.82 (160.75199262262825,)
35 	100  	348.82 	326.501	162.06 	1624.87 (160.75199262262825,)
36 	100  	341.127	320.344	161.642	1634.04 (160.75199262262825,)
37 	100  	357.211	326.163	161.055	1623.06 (160.75199262262825,)
38 	100  	327.981	303.611	161.913	1565.89 (160.75199262262825,)
39 	100  	348.434	316.06 	161.338	1527.71 (160.75199262262825,)
40 	100  	322.909	274.637	161.568	1432.65 (160.75199262262825,)
41 	100  	323.379	266.316	162.255	1426.53 (160.75199262262825,)
42 	100  	312.619	270.027	160.354	1469.41 (160.35411506137018,)
43 	100  	324.286	288.671	160.275	1532.76 (160.27535500793039,)
44 	100  	318.748	270.299	160.571	1493.17 (160.27535500793039,)
45 	100  	325.708	278.702	162.105	1469.6  (160.27535500793039,)
46 	100  	327.099	296.326	160.984	1527.36 (160.27535500793039,)
47 	100  	312.77 	286.748	160.102	1541.08 (160.10239351867546,)
48 	100  	329.649	293.524	160.504	1575.84 (160.10239351867546,)
49 	100  	339.497	308.983	159.846	1605.63 (159.84550084133832,)
50 	100  	326.947	308.177	159.979	1590.51 (159.84550084133832,)
51 	100  	310.5  	298.511	159.654	1582.94 (159.65411880002014,)
52 	100  	321.096	293.04 	160.363	1560.55 (159.65411880002014,)
53 	100  	329.929	305.447	160.437	1609.61 (159.65411880002014,)
54 	100  	349.956	305.368	159.166	1600.01 (159.16634613529342,)
55 	100  	328.163	292.756	160.446	1462.97 (159.16634613529342,)
56 	100  	340.051	293.972	159.67 	1535.15 (159.16634613529342,)
57 	100  	336.024	297.985	159.655	1509.83 (159.16634613529342,)
58 	100  	315.395	284.638	159.612	1397.07 (159.16634613529342,)
59 	100  	322.454	278.982	159.981	1492.11 (159.16634613529342,)
60 	100  	337.601	299.491	159.477	1572.41 (159.16634613529342,)
61 	100  	319.781	301.693	159.169	1563.9  (159.16634613529342,)
62 	100  	318.483	298.781	158.55 	1602.96 (158.55044455620219,)
63 	100  	317.477	294.985	157.608	1567.63 (157.6076162975547,)
64 	100  	326.229	287.143	157.953	1499.17 (157.6076162975547,)
65 	100  	318.238	294.581	159.516	1485.73 (157.6076162975547,)
66 	100  	324.435	295.943	158.634	1575.3  (157.6076162975547,)
67 	100  	323.2  	315.173	160.295	1607.52 (157.6076162975547,)
68 	100  	329.992	304.034	158.221	1565.67 (157.6076162975547,)
69 	100  	320.922	293.662	159.116	1544.38 (157.6076162975547,)
70 	100  	320.111	302.797	159.014	1596.32 (157.6076162975547,)
71 	100  	307.596	289.111	158.409	1597.11 (157.6076162975547,)
72 	100  	331.002	294.924	158.041	1591.98 (157.6076162975547,)
73 	100  	312.142	292.473	158.306	1570.14 (157.6076162975547,)
74 	100  	320.556	283.503	158.716	1594.66 (157.6076162975547,)
75 	100  	320.136	301.056	159.459	1619.05 (157.6076162975547,)
76 	100  	317.824	290.034	158.568	1624.26 (157.6076162975547,)
77 	100  	302.185	279.107	157.846	1527.68 (157.6076162975547,)
78 	100  	301.252	291.542	157.992	1567.25 (157.6076162975547,)
79 	100  	321.263	300.323	157.093	1557.76 (157.09347989137677,)
80 	100  	322.973	307.793	157.747	1564.44 (157.09347989137677,)
81 	100  	327.835	297.16 	158.366	1564.66 (157.09347989137677,)
82 	100  	339.698	308.422	157.627	1635.45 (157.09347989137677,)
83 	100  	342.624	321.513	157.659	1622.11 (157.09347989137677,)
84 	100  	340.993	310.125	158.459	1612.69 (157.09347989137677,)
85 	100  	345.661	301.849	157.323	1526.49 (157.09347989137677,)
86 	100  	321.677	277.471	157.902	1515.18 (157.09347989137677,)
87 	100  	315.468	282.776	156.982	1453.46 (156.98218823505223,)
88 	100  	326.36 	302.102	156.903	1515.08 (156.90283086769909,)
89 	100  	339.688	300.221	156.818	1533.08 (156.8176654459383,)
90 	100  	336.096	311.726	157.076	1557.08 (156.8176654459383,)
91 	100  	323.793	290.924	155.902	1446.48 (155.90172455091059,)
92 	100  	300.424	297.985	155.44 	1516.43 (155.43984333781808,)
93 	100  	311.764	301.793	155.001	1621.12 (155.0013154531224,)
94 	100  	325.173	279.898	155.95 	1488.53 (155.0013154531224,)
95 	100  	321.886	275.428	157.691	1384.66 (155.0013154531224,)
96 	100  	334.149	302.531	155.837	1622.75 (155.0013154531224,)
97 	100  	318.85 	291.066	155.736	1540.61 (155.0013154531224,)
98 	100  	339.325	293.032	155.658	1478.39 (155.0013154531224,)
99 	100  	330.726	286.13 	156.129	1464.84 (155.0013154531224,)
100	100  	325.992	303.768	155.056	1542.49 (155.0013154531224,)
101	100  	326.04 	306.913	156.122	1617.67 (155.0013154531224,)
102	100  	307.025	283.876	155.866	1539.13 (155.0013154531224,)
103	100  	323.4  	296.227	156.007	1605.9  (155.0013154531224,)
104	100  	327.02 	303.496	155.028	1572.16 (155.0013154531224,)
105	100  	332.016	299.826	152.239	1571.45 (152.23876748308527,)
106	100  	334.07 	316.409	152.158	1655.64 (152.15833950767731,)
107	100  	333.371	313.198	154.947	1619.95 (152.15833950767731,)
108	100  	332.55 	313.704	154.278	1631.8  (152.15833950767731,)
109	100  	353.191	309.864	152.173	1604.85 (152.15833950767731,)
110	100  	320.459	287.696	151.539	1523.43 (151.5386122213732,)
111	100  	339.097	308.197	149.432	1526.17 (149.43189854499875,)
112	100  	298.221	299.938	149.155	1573.86 (149.15502162148744,)
113	100  	308.921	282.398	150.641	1521.67 (149.15502162148744,)
