In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1828.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max   
0  	100  	1112.54	346.669	310.031	1724.8 (310.03121853111207,)
1  	100  	1092.68	337.626	324.392	1681.46 (310.03121853111207,)
2  	100  	1012.46	330.102	217.445	1619.89 (217.44479228577723,)
3  	100  	907.945	358.934	190.783	1591.47 (190.78315891122554,)
4  	100  	771.55 	338.905	184.942	1532.4  (184.94150447740085,)
5  	100  	642.27 	369.154	137.834	1640.89 (137.83384970720994,)
6  	100  	509.116	384.419	148.199	1594.21 (137.83384970720994,)
7  	100  	442.774	366.947	138.393	1470.99 (137.83384970720994,)
8  	100  	387.2  	360.424	133.31 	1549.7  (133.30970712409632,)
9  	100  	331.892	352.956	134.47 	1530.18 (133.30970712409632,)
10 	100  	339.831	333.693	131.722	1549.03 (131.72230658640265,)
11 	100  	317.027	321.249	131.656	1542.13 (131.65558112231872,)
12 	100  	307.263	327.188	130.303	1544.05 (130.30257724996648,)
13 	100  	313.202	324.57 	130.603	1541.58 (130.30257724996648,)
14 	100  	321.708	331.448	130.547	1574.14 (130.30257724996648,)
15 	100  	307.55 	282.207	130.672	1471.16 (130.30257724996648,)
16 	100  	286.36 	260.903	131.143	1513.61 (130.30257724996648,)
17 	100  	271.548	269.364	129.41 	1602.97 (129.4097690172419,)
18 	100  	268.821	264.159	128.995	1632.34 (128.99450442837284,)
19 	100  	281.779	274.056	129.668	1600.82 (128.99450442837284,)
20 	100  	286.176	258.965	129.624	1472.26 (128.99450442837284,)
21 	100  	281.092	253.927	128.148	1568.32 (128.14757739143235,)
22 	100  	301.636	264.77 	127.649	1511.15 (127.64939186431586,)
23 	100  	274.724	253.899	128.535	1491.69 (127.64939186431586,)
24 	100  	279.593	243.128	127.145	1307.71 (127.14453398722986,)
25 	100  	289.118	217.173	127.789	1390.42 (127.14453398722986,)
26 	100  	264.074	213.263	126.89 	1520.25 (126.89016698331945,)
27 	100  	245.319	189.421	128.251	1275.98 (126.89016698331945,)
28 	100  	269.922	225.576	126.541	1428.37 (126.54141774445989,)
29 	100  	252.927	203.819	126.114	1389.81 (126.11421536118756,)
30 	100  	255.707	208.691	126.039	1370.83 (126.03876504135643,)
31 	100  	261.796	181.926	128.573	1357.74 (126.03876504135643,)
32 	100  	229.016	177.569	126.969	1502.11 (126.03876504135643,)
33 	100  	241.033	200.724	125.59 	1481.9  (125.58970485648918,)
34 	100  	252.939	192.343	126.677	1548.23 (125.58970485648918,)
35 	100  	260.828	200.682	125.551	1439.53 (125.55115660654016,)
36 	100  	239.053	178.727	125.319	1506.85 (125.31919177912239,)
37 	100  	232.598	165.87 	125.994	1326.31 (125.31919177912239,)
38 	100  	231.451	172.398	125.861	1321    (125.31919177912239,)
39 	100  	244.294	183.475	125.552	1534.16 (125.31919177912239,)
40 	100  	231.175	164.226	124.908	1390.43 (124.90790015975826,)
41 	100  	233.35 	186.423	125.653	1475.08 (124.90790015975826,)
42 	100  	241.665	184.962	126    	1471.64 (124.90790015975826,)
43 	100  	227.668	166.548	125.549	1417.2  (124.90790015975826,)
44 	100  	249.713	201.862	125.271	1521.13 (124.90790015975826,)
45 	100  	232.15 	162.962	124.736	1403.77 (124.73558451000896,)
46 	100  	248.532	195.234	125.63 	1399.94 (124.73558451000896,)
47 	100  	229.576	155.758	124.357	1238.91 (124.35664165574822,)
48 	100  	244.417	177.942	124.791	1328.84 (124.35664165574822,)
49 	100  	260.239	185.998	125.915	1416.92 (124.35664165574822,)
50 	100  	245.347	186.929	125.644	1416.94 (124.35664165574822,)
51 	100  	234.572	169.963	124.216	1399.84 (124.21645772861241,)
52 	100  	230.573	180.428	124.35 	1445.59 (124.21645772861241,)
53 	100  	228.466	158.458	125.209	1248.44 (124.21645772861241,)
54 	100  	236.218	177.688	124.01 	1259.21 (124.01043494221436,)
55 	100  	249.788	179.882	124.166	1347.62 (124.01043494221436,)
56 	100  	253.67 	179.621	124.432	1487.98 (124.01043494221436,)
57 	100  	253.64 	184.266	124.165	1448.8  (124.01043494221436,)
58 	100  	234.302	160.946	124.631	1373.33 (124.01043494221436,)
59 	100  	229.546	153.024	124.673	1254.02 (124.01043494221436,)
60 	100  	223.605	149.841	123.964	1365.93 (123.96354367539671,)
61 	100  	220.466	148.467	124.489	1342.54 (123.96354367539671,)
62 	100  	246.935	177.316	124.765	1414.46 (123.96354367539671,)
63 	100  	226.508	155.364	124.464	1431.66 (123.96354367539671,)
64 	100  	230.386	142.002	123.83 	1141.41 (123.82984987202128,)
65 	100  	229.872	155.82 	123.712	1282.71 (123.71194326031828,)
66 	100  	229.547	152.294	124.178	1391.04 (123.71194326031828,)
67 	100  	250.874	167.248	124.478	1380.76 (123.71194326031828,)
68 	100  	217.884	123.897	124.715	1225.45 (123.71194326031828,)
69 	100  	237.472	167.606	123.729	1377.46 (123.71194326031828,)
70 	100  	223.253	156.316	125.08 	1483.26 (123.71194326031828,)
71 	100  	240.586	176    	125.219	1497.15 (123.71194326031828,)
72 	100  	229.886	156.906	124.75 	1445.62 (123.71194326031828,)
73 	100  	215.318	146.715	124.188	1295.7  (123.71194326031828,)
74 	100  	201.564	157.196	124.108	1405.08 (123.71194326031828,)
75 	100  	227.332	150.966	124.05 	1370.55 (123.71194326031828,)
76 	100  	231.485	174.323	123.567	1417.2  (123.56738268272201,)
77 	100  	208.356	136.135	123.737	1239.88 (123.56738268272201,)
78 	100  	222.876	143.393	123.954	1268.47 (123.56738268272201,)
79 	100  	211.401	149.403	123.716	1421.33 (123.56738268272201,)
80 	100  	217.366	151.858	123.481	1445.08 (123.48111399895315,)
81 	100  	216.358	148.309	122.678	1325.44 (122.67820725018987,)
82 	100  	222.422	149.894	123.639	1326.43 (122.67820725018987,)
83 	100  	243.183	172.409	121.965	1463.65 (121.96494322890047,)
84 	100  	238.999	158.489	123.775	1539.19 (121.96494322890047,)
85 	100  	225.104	165.144	122.607	1524.61 (121.96494322890047,)
86 	100  	234.81 	158.285	123.232	1369.64 (121.96494322890047,)
87 	100  	222.012	156.107	123.271	1474.77 (121.96494322890047,)
88 	100  	240.413	155.377	122.444	1089.82 (121.96494322890047,)
89 	100  	244.652	156.741	122.438	1199.45 (121.96494322890047,)
90 	100  	212.681	131.845	122.973	1121.97 (121.96494322890047,)
91 	100  	219.28 	148.853	121.959	1352.19 (121.95895499609215,)
92 	100  	229.564	152.123	121.993	1300.42 (121.95895499609215,)
93 	100  	230.718	155.648	122.846	1427.15 (121.95895499609215,)
94 	100  	214.173	148.678	122.286	1473.87 (121.95895499609215,)
95 	100  	246.358	167.525	122.837	1453.61 (121.95895499609215,)
96 	100  	239.117	149.875	123.756	1285.43 (121.95895499609215,)
97 	100  	224.203	148.324	122.74 	1304.05 (121.95895499609215,)
98 	100  	233.06 	143.906	122.089	1340.87 (121.95895499609215,)
99 	100  	226.406	168.032	122.953	1507.55 (121.95895499609215,)
100	100  	214.411	140.954	122.399	1280.83 (121.95895499609215,)
101	100  	235.316	151.687	122.206	1361.89 (121.95895499609215,)
102	100  	225.627	152.463	122.267	1397.88 (121.95895499609215,)
103	100  	229.991	156.855	123.852	1404.37 (121.95895499609215,)
104	100  	233.351	131.303	121.465	1034.44 (121.46473701306644,)
105	100  	193.185	104.027	121.388	991.479 (121.38831916652616,)
106	100  	214.927	126.206	122.528	1028.8  (121.38831916652616,)
107	100  	203.372	117.29 	121.426	1027.37 (121.38831916652616,)
108	100  	217.195	137.439	121.398	1249.51 (121.38831916652616,)
109	100  	218.07 	131.291	121.743	1066.18 (121.38831916652616,)
110	100  	218.036	136.946	121.7  	1255.25 (121.38831916652616,)
111	100  	213.121	135.146	121.764	1266.38 (121.38831916652616,)
112	100  	217.69 	154.676	121.957	1355.42 (121.38831916652616,)
113	100  	199.966	125.693	121.287	1238.54 (121.28653426662416,)
114	100  	195.631	125.21 	120.675	1201.08 (120.6749632321466,)
115	100  	198.425	134.189	120.825	1308.59 (120.6749632321466,)
116	100  	205.788	140.598	120.666	1406.76 (120.66613243528082,)
117	100  	238.029	163.264	121.033	1157.65 (120.66613243528082,)
118	100  	226.732	148.584	122.062	1271.55 (120.66613243528082,)
119	100  	219.425	145.067	120.817	1364.47 (120.66613243528082,)
120	100  	217.637	141.963	121.436	1360    (120.66613243528082,)
121	100  	217.43 	134.745	121.598	1122.63 (120.66613243528082,)
122	100  	218.211	123.828	121.165	1065.91 (120.66613243528082,)
123	100  	216.358	139.781	121.41 	1259.27 (120.66613243528082,)
124	100  	235.662	156.074	121.148	1448.03 (120.66613243528082,)
125	100  	229.707	160.004	122.721	1426.57 (120.66613243528082,)
126	100  	219.033	151.059	120.633	1357.58 (120.6333760637354,)
127	100  	227.785	150.839	120.875	1467.54 (120.6333760637354,)
128	100  	209.229	141.829	121.098	1374.31 (120.6333760637354,)
129	100  	209.46 	155.439	121.186	1460.87 (120.6333760637354,)
130	100  	219.405	146.166	120.957	1384.96 (120.6333760637354,)
131	100  	212.432	154.977	119.821	1389.3  (119.82070309199663,)
132	100  	206.239	154.937	119.204	1445.33 (119.20410474679367,)
133	100  	218.814	145.552	119.444	1397.93 (119.20410474679367,)
134	100  	203.336	139.432	119.806	1367.7  (119.20410474679367,)
135	100  	228.381	167.644	118.778	1443    (118.77770147711354,)
136	100  	206.004	143.172	120.987	1405.46 (118.77770147711354,)
137	100  	214.341	148.869	119.831	1409.74 (118.77770147711354,)
138	100  	213.46 	145.024	119.887	1363.09 (118.77770147711354,)
139	100  	214.042	151.213	119.72 	1447.58 (118.77770147711354,)
140	100  	208.464	138.892	119.479	1332.83 (118.77770147711354,)
141	100  	202.758	143.487	119.754	1416.52 (118.77770147711354,)
142	100  	231.283	150.718	120.286	1452.79 (118.77770147711354,)
143	100  	215.847	154.894	118.361	1471.7  (118.36148488747897,)
144	100  	198.143	157.23 	119.247	1569.98 (118.36148488747897,)
145	100  	210.868	154.838	118.862	1463.53 (118.36148488747897,)
146	100  	203.65 	136.49 	119.37 	1288.87 (118.36148488747897,)
147	100  	202.752	156.82 	118.236	1474.18 (118.23616731374145,)
148	100  	205.819	150.791	119.083	1441.35 (118.23616731374145,)
149	100  	199.802	156.412	118.426	1550.39 (118.23616731374145,)
150	100  	212.278	144.761	118.742	1368.15 (118.23616731374145,)
151	100  	210.69 	130.849	119.321	1162.76 (118.23616731374145,)
152	100  	204.048	129.72 	119.123	1152.59 (118.23616731374145,)
153	100  	204.613	141.434	118.013	1352.94 (118.01267362466244,)
154	100  	221.317	155.625	118.411	1410.48 (118.01267362466244,)
155	100  	201.782	140.099	117.289	1358.15 (117.28870032481639,)
156	100  	203.827	146.372	118.484	1414.94 (117.28870032481639,)
157	100  	198.048	137.462	116.968	1383.75 (116.9677791848918,)
158	100  	200.766	145.538	115.581	1296.12 (115.58055601966868,)
159	100  	195.531	139.728	116.328	1404.11 (115.58055601966868,)
160	100  	206.397	143.834	115.714	1376.27 (115.58055601966868,)
161	100  	197.513	131.048	112.652	1294.46 (112.6515172500836,)
162	100  	200.737	148.932	113.729	1485.27 (112.6515172500836,)
163	100  	194.161	133.794	111.058	1335.85 (111.05806179975224,)
164	100  	201.653	148.045	110.586	1441.34 (110.58639106983289,)
165	100  	201.917	152.107	111.741	1460.09 (110.58639106983289,)
166	100  	211.677	141.509	112.934	1298.32 (110.58639106983289,)
167	100  	219.134	153.005	113.395	1449.23 (110.58639106983289,)
168	100  	203.506	127.642	110.905	1097.41 (110.58639106983289,)
169	100  	193.141	126.854	109.214	1216.38 (109.21423908966388,)
170	100  	199.483	128.997	111    	1117.23 (109.21423908966388,)
171	100  	181.384	116.949	108.783	1122.92 (108.78295774262101,)
172	100  	193.323	136.935	109.544	1304.67 (108.78295774262101,)
173	100  	192.708	137.665	108.236	1316.11 (108.23554069008084,)
174	100  	181.812	112.089	107.085	977.141 (107.08465348614735,)
175	100  	189.732	146.961	105.173	1330.59 (105.1731751438026,)
176	100  	198.101	143.09 	106.582	1441.46 (105.1731751438026,)
177	100  	225.842	147.683	104.481	1231.3  (104.48147165648312,)
178	100  	189.501	129.033	105.629	1216.23 (104.48147165648312,)
179	100  	197.703	147.223	101.46 	1317.56 (101.46006725040247,)
180	100  	184.032	134.523	99.9353	1070.66 (99.935265162093344,)
181	100  	202.596	144.795	99.7648	1082.14 (99.764766032008893,)
182	100  	211.947	172.413	96.2237	1355.06 (96.223653187662421,)
183	100  	186.419	120.746	99.2328	1192.43 (96.223653187662421,)
184	100  	193.294	143.133	96.3645	1298.2  (96.223653187662421,)
185	100  	181.709	135.083	95.9901	1247.74 (95.990133369176945,)
186	100  	182.076	134.05 	95.4017	1298.59 (95.401731475458547,)
187	100  	196.517	133.729	99.5569	1198.73 (95.401731475458547,)
188	100  	199.078	143.26 	98.3727	1273.63 (95.401731475458547,)
189	100  	193.296	128.826	94.8907	1086.79 (94.890703461923991,)
190	100  	178.771	133.3  	94.3101	1286.21 (94.310140057840457,)
191	100  	177.258	130.741	93.1059	1255.91 (93.105868707263014,)
192	100  	173.348	122.834	87.6164	1176.57 (87.616395097165423,)
193	100  	175.853	131.854	89.3555	1196.18 (87.616395097165423,)
194	100  	172.144	146.043	88.5395	1264.79 (87.616395097165423,)
195	100  	169.083	141.172	90.3792	1317.6  (87.616395097165423,)
196	100  	171.694	138.284	88.2462	1291.82 (87.616395097165423,)
197	100  	166.679	141.924	85.5063	1382.45 (85.50625295425732,)
198	100  	164.308	142.715	84.7118	1432.19 (84.711794582418136,)
199	100  	166.106	128.859	86.1833	1201.8  (84.711794582418136,)
200	100  	143.341	94.5275	86.6238	946.669 (84.711794582418136,)
201	100  	146.679	105.773	85.2849	1099.64 (84.711794582418136,)
202	100  	148.583	124.849	84.9804	1284.79 (84.711794582418136,)
203	100  	160.386	99.9455	83.5462	846.485 (83.546243636046782,)
204	100  	158.244	117.826	85.2424	1159.71 (83.546243636046782,)
205	100  	157.459	116.073	84.5814	1108.7  (83.546243636046782,)
206	100  	157.816	139.128	84.0144	1400.76 (83.546243636046782,)
207	100  	144.712	96.1619	85.056 	949.976 (83.546243636046782,)
208	100  	155.505	121.699	84.9606	1156.23 (83.546243636046782,)
209	100  	152.656	131.901	83.8338	1352.91 (83.546243636046782,)
210	100  	152.532	125.06 	83.9811	1236.13 (83.546243636046782,)
211	100  	159.309	125.815	84.4728	1222.74 (83.546243636046782,)
212	100  	152.704	132.974	84.5136	1271.6  (83.546243636046782,)
213	100  	147.477	119.841	83.6122	1242.4  (83.546243636046782,)
214	100  	148.424	120.456	85.932 	1230.55 (83.546243636046782,)
215	100  	145.364	126.295	85.3694	1286.77 (83.546243636046782,)
216	100  	153.493	107.63 	84.0137	1067.1  (83.546243636046782,)
217	100  	151.131	109.075	84.6827	1060.62 (83.546243636046782,)
218	100  	167.273	138.397	83.481 	1359.38 (83.480987948673487,)
219	100  	158.116	116.777	85.9739	1122.62 (83.480987948673487,)
220	100  	150.337	129.426	87.4611	1337.38 (83.480987948673487,)
221	100  	148.788	104.173	83.8889	1019.72 (83.480987948673487,)
222	100  	150.034	130.547	84.4629	1308.46 (83.480987948673487,)
223	100  	158.165	134.556	84.0262	1344.08 (83.480987948673487,)
224	100  	162.137	142.55 	83.2687	1410.14 (83.268738561154919,)
225	100  	153.679	119.133	82.3184	1190.09 (82.318362111829273,)
226	100  	151.856	129.927	85.1047	1365.37 (82.318362111829273,)
227	100  	160.097	125.403	82.8466	1263.74 (82.318362111829273,)
228	100  	156.366	111.952	83.7686	1105.94 (82.318362111829273,)
229	100  	160.294	133.601	83.687 	1309.64 (82.318362111829273,)
230	100  	163.094	129.49 	83.0148	1219.28 (82.318362111829273,)
231	100  	144.918	112.997	83.5292	1178.84 (82.318362111829273,)
232	100  	154.858	132.386	83.6643	1351.1  (82.318362111829273,)
233	100  	153.847	98.4112	82.7835	793.957 (82.318362111829273,)
234	100  	146.776	70.6461	83.6586	430.044 (82.318362111829273,)
235	100  	151.773	72.2437	83.0721	446.054 (82.318362111829273,)
236	100  	147.168	59.3193	83.8525	415.643 (82.318362111829273,)
237	100  	147.325	68.0274	83.8077	529.009 (82.318362111829273,)
238	100  	143.05 	54.356 	83.9798	319.754 (82.318362111829273,)
239	100  	140.366	59.6996	82.9022	395.617 (82.318362111829273,)
240	100  	147.903	79.1638	83.5276	627.721 (82.318362111829273,)
241	100  	146.22 	68.2867	82.5914	459.54  (82.318362111829273,)
242	100  	144.863	60.8686	83.6286	312.011 (82.318362111829273,)
243	100  	146.947	54.9614	82.9127	319.437 (82.318362111829273,)
244	100  	152.977	65.0342	83.6214	398.488 (82.318362111829273,)
245	100  	138.886	58.4552	82.4071	352.224 (82.318362111829273,)
246	100  	158.438	68.3965	83.2172	416.59  (82.318362111829273,)
247	100  	136.149	52.2264	82.9615	353.453 (82.318362111829273,)
248	100  	154.09 	65.8551	85.3576	436.912 (82.318362111829273,)
249	100  	140.623	63.1598	83.8344	513.799 (82.318362111829273,)
250	100  	148.12 	57.0279	84.2296	404.631 (82.318362111829273,)
251	100  	149.997	68.01  	83.5281	349.916 (82.318362111829273,)
252	100  	148.444	66.1192	86.0981	483.631 (82.318362111829273,)
253	100  	154.487	72.3928	83.0027	475.65  (82.318362111829273,)
254	100  	151.124	73.1458	84.3476	437.655 (82.318362111829273,)
255	100  	150.276	63.0074	82.4594	374.601 (82.318362111829273,)
256	100  	147.971	61.4355	83.2074	486.107 (82.318362111829273,)
257	100  	142.722	62.2091	84.0846	517.199 (82.318362111829273,)
258	100  	141.98 	56.8749	82.5562	354.856 (82.318362111829273,)
259	100  	144.585	60.1294	83.797 	329.134 (82.318362111829273,)
260	100  	139.868	59.5186	85.7103	529.115 (82.318362111829273,)
261	100  	136.673	50.0316	82.6142	312.481 (82.318362111829273,)
262	100  	139.679	54.9758	83.2463	341.719 (82.318362111829273,)
263	100  	148.019	67.0682	81.7786	364.385 (81.778550515146975,)
264	100  	144.123	50.1182	82.1793	284.799 (81.778550515146975,)
265	100  	146.802	64.4163	82.0721	382.215 (81.778550515146975,)
266	100  	144.543	74.9273	84.5694	658.745 (81.778550515146975,)
267	100  	150.378	67.8346	82.5557	377.266 (81.778550515146975,)
268	100  	150.678	64.5139	86.843 	355.284 (81.778550515146975,)
269	100  	149.594	66.1687	83.8118	333.401 (81.778550515146975,)
270	100  	154.457	68.8734	82.2911	388.626 (81.778550515146975,)
271	100  	156.616	66.1687	82.9385	414.388 (81.778550515146975,)
272	100  	149.321	69.7843	82.2325	436.015 (81.778550515146975,)
273	100  	145.016	63.5127	84.9554	421.625 (81.778550515146975,)
274	100  	143.745	57.7126	82.4684	372.836 (81.778550515146975,)
275	100  	148.929	67.9818	84.8148	528.852 (81.778550515146975,)
276	100  	146.259	61.2036	83.6977	401.516 (81.778550515146975,)
277	100  	146.767	53.8593	82.9992	321.92  (81.778550515146975,)
278	100  	148.856	58.998 	83.318 	355.869 (81.778550515146975,)
279	100  	140.624	53.5033	83.3075	301.585 (81.778550515146975,)
280	100  	145.977	55.6725	83.5837	406.277 (81.778550515146975,)
281	100  	146.909	59.7337	82.5515	331.153 (81.778550515146975,)
282	100  	164.735	75.6125	83.6078	491.006 (81.778550515146975,)
283	100  	162.064	81.5955	83.7663	514.251 (81.778550515146975,)
284	100  	145.284	57.4611	84.466 	365.305 (81.778550515146975,)
285	100  	145.812	60.1145	82.8426	323.235 (81.778550515146975,)
286	100  	150.182	66.5046	82.4164	406.387 (81.778550515146975,)
287	100  	146.72 	66.2289	83.8906	427.093 (81.778550515146975,)
288	100  	161.305	74.988 	82.437 	356.634 (81.778550515146975,)
289	100  	163.768	71.177 	84.3543	450.786 (81.778550515146975,)
290	100  	167.596	74.9365	84.0096	435.241 (81.778550515146975,)
291	100  	160.394	68.5035	84.4693	444.454 (81.778550515146975,)
292	100  	142.565	59.3011	82.5918	397.383 (81.778550515146975,)
293	100  	143.244	57.8793	81.9435	326.748 (81.778550515146975,)
294	100  	152.021	66.2401	81.8838	366.075 (81.778550515146975,)
295	100  	151.353	59.95  	84.2039	350.885 (81.778550515146975,)
296	100  	140.222	69.3239	83.8231	537.974 (81.778550515146975,)
297	100  	145.294	73.5703	82.1201	617.032 (81.778550515146975,)
298	100  	147.589	64.7961	82.3793	358.074 (81.778550515146975,)
