In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1839.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max 
0  	100  	1108.89	274.045	448.551	1752 (448.55096178388465,)
1  	100  	1074.15	300.085	265.317	1770.67 (265.31715850135276,)
2  	100  	1060.21	303.801	325.757	1772.09 (265.31715850135276,)
3  	100  	987.925	285.008	285.249	1707.23 (265.31715850135276,)
4  	100  	854.043	292.659	97.8423	1628.74 (97.842324986858856,)
5  	100  	690.373	277.464	104.253	1608.01 (97.842324986858856,)
6  	100  	533.544	300.322	77.1499	1518.07 (77.149938406251565,)
7  	100  	491.341	325.326	61.0475	1452.45 (61.04750601915341,)
8  	100  	389.232	336.022	58.5715	1322.18 (58.571453701816068,)
9  	100  	328.843	336.657	52.0686	1433.24 (52.068580998147866,)
10 	100  	311.883	329.032	48.2221	1380.6  (48.222126772052334,)
11 	100  	269.588	333.24 	44.9525	1355.03 (44.952480602850805,)
12 	100  	298.641	320.417	43.7229	1348.32 (43.722866224214677,)
13 	100  	275.194	313.365	47.7855	1504.22 (43.722866224214677,)
14 	100  	259.556	308.429	39.7392	1446.03 (39.739199932566059,)
15 	100  	262.795	320.56 	42.1744	1481.35 (39.739199932566059,)
16 	100  	284.207	307.743	40.6378	1406.35 (39.739199932566059,)
17 	100  	249.79 	302.687	43.9166	1442.06 (39.739199932566059,)
18 	100  	238.656	280.261	42.3389	1381    (39.739199932566059,)
19 	100  	248.001	289.751	41.521 	1360.91 (39.739199932566059,)
20 	100  	241.885	284.249	38.3813	1406.46 (38.381275026225424,)
21 	100  	238.297	288.499	48.1766	1399.4  (38.381275026225424,)
22 	100  	228.861	289.861	36.5083	1453.05 (36.508325749400527,)
23 	100  	231.615	291.387	34.4099	1388.07 (34.409880532943241,)
24 	100  	237.585	291.82 	46.5174	1416.21 (34.409880532943241,)
25 	100  	258.136	289.249	36.2475	1355.63 (34.409880532943241,)
26 	100  	226.176	280.335	36.7701	1343.76 (34.409880532943241,)
27 	100  	260.636	282.652	38.3092	1406.01 (34.409880532943241,)
28 	100  	248.764	270.946	34.6736	1377.35 (34.409880532943241,)
29 	100  	243.263	300.563	35.7294	1435.64 (34.409880532943241,)
30 	100  	222.87 	282.976	32.6037	1345.79 (32.603717112549255,)
31 	100  	235.917	289.602	29.3073	1364.9  (29.307268588698662,)
32 	100  	213.186	281.231	29.4865	1454.92 (29.307268588698662,)
33 	100  	230.619	298.006	27.4466	1443.76 (27.446598719438494,)
34 	100  	218.522	268.615	30.1777	1451.84 (27.446598719438494,)
35 	100  	228.664	273.854	28.423 	1388.28 (27.446598719438494,)
36 	100  	216.659	275.558	29.8742	1423.79 (27.446598719438494,)
37 	100  	214.834	278.881	26.9691	1416.64 (26.969121855548682,)
38 	100  	208.335	291.568	30.2961	1311.18 (26.969121855548682,)
39 	100  	207.538	278.219	22.7235	1302.67 (22.723461351420166,)
40 	100  	206.668	300.047	24.6525	1380.93 (22.723461351420166,)
41 	100  	198.185	288.779	25.4216	1419.76 (22.723461351420166,)
42 	100  	204.555	294.739	23.4708	1320.92 (22.723461351420166,)
43 	100  	200.444	288.866	27.6129	1292.16 (22.723461351420166,)
44 	100  	212.572	290.642	19.6311	1390.72 (19.631080812739491,)
45 	100  	219.937	294.308	22.3038	1463.77 (19.631080812739491,)
46 	100  	225.712	299.538	24.3786	1418.64 (19.631080812739491,)
47 	100  	197.739	302.525	20.0406	1429.42 (19.631080812739491,)
48 	100  	199.153	304.135	18.9223	1468.22 (18.922326789385902,)
49 	100  	193.064	278.765	17.3912	1315.44 (17.39122677586084,)
50 	100  	200.193	288.984	20.7897	1438.32 (17.39122677586084,)
51 	100  	213.474	300.499	21.3463	1507.37 (17.39122677586084,)
52 	100  	218.522	291.47 	20.6411	1510.08 (17.39122677586084,)
53 	100  	214.408	296.495	19.3873	1467.37 (17.39122677586084,)
54 	100  	207.577	300.857	21.2499	1443.53 (17.39122677586084,)
55 	100  	173.212	288.797	15.743 	1405.07 (15.742952390029416,)
56 	100  	195.835	290.481	21.6749	1434.7  (15.742952390029416,)
57 	100  	220.816	312.228	20.0749	1542.36 (15.742952390029416,)
58 	100  	218.504	312.674	24.7144	1533.86 (15.742952390029416,)
59 	100  	240.432	323.157	23.0535	1483.51 (15.742952390029416,)
60 	100  	238.154	309.269	25.4039	1497    (15.742952390029416,)
61 	100  	227.09 	314.646	21.2202	1450.1  (15.742952390029416,)
62 	100  	230.742	309.033	18.6895	1459.02 (15.742952390029416,)
63 	100  	218.554	305.159	18.9561	1511.19 (15.742952390029416,)
64 	100  	236.511	300.604	17.5358	1486.62 (15.742952390029416,)
65 	100  	227.46 	297.897	16.7692	1438.32 (15.742952390029416,)
66 	100  	209.227	292.153	15.1967	1452.4  (15.196662270098509,)
67 	100  	232.54 	308.361	18.6355	1466.8  (15.196662270098509,)
68 	100  	199.972	301.978	20.2147	1453.87 (15.196662270098509,)
69 	100  	214.647	315.6  	17.7845	1454.09 (15.196662270098509,)
70 	100  	216.298	317.738	16.4728	1482.54 (15.196662270098509,)
71 	100  	211.081	301.327	21.9182	1471.08 (15.196662270098509,)
72 	100  	214.463	300.312	18.784 	1520.3  (15.196662270098509,)
73 	100  	218.928	296.567	14.3662	1416.45 (14.36616138858356,)
74 	100  	212.461	310.309	16.8082	1380.16 (14.36616138858356,)
75 	100  	210.687	297.774	19.7352	1483.48 (14.36616138858356,)
76 	100  	206.572	299.65 	17.9416	1449.37 (14.36616138858356,)
77 	100  	216.471	317.81 	17.8221	1466.55 (14.36616138858356,)
78 	100  	239.89 	304.307	13.5478	1440    (13.547792231280711,)
79 	100  	233.737	295.276	11.0802	1455.96 (11.08016152818985,)
80 	100  	204.721	287.832	14.5224	1393.56 (11.08016152818985,)
81 	100  	216.007	284.128	12.4436	1434.01 (11.08016152818985,)
82 	100  	209.145	298.418	10.3511	1466.11 (10.351092031358272,)
83 	100  	218.037	312.462	20.0338	1606.57 (10.351092031358272,)
84 	100  	220.64 	308.577	14.1082	1526.69 (10.351092031358272,)
85 	100  	219.188	300.595	11.368 	1454.01 (10.351092031358272,)
86 	100  	233.658	307.036	14.4118	1457.5  (10.351092031358272,)
87 	100  	209.738	316.944	13.7143	1457.62 (10.351092031358272,)
88 	100  	240.581	322.628	12.6754	1539.97 (10.351092031358272,)
89 	100  	227.631	303.538	12.1941	1451.86 (10.351092031358272,)
90 	100  	211.737	302.5  	15.6981	1354.56 (10.351092031358272,)
91 	100  	221.281	319.373	15.993 	1550.96 (10.351092031358272,)
92 	100  	207.564	304.445	11.87  	1488.9  (10.351092031358272,)
93 	100  	217.927	304.459	15.5012	1450.84 (10.351092031358272,)
94 	100  	212.056	299.203	11.6101	1434.9  (10.351092031358272,)
95 	100  	209.434	294.949	18.571 	1488.95 (10.351092031358272,)
96 	100  	215.751	311.175	12.1432	1455.96 (10.351092031358272,)
97 	100  	213.539	316.657	13.9029	1497.74 (10.351092031358272,)
98 	100  	216.084	306.031	12.4313	1524.02 (10.351092031358272,)
99 	100  	231.722	290.092	10.4174	1386.28 (10.351092031358272,)
100	100  	207.195	307.715	13.6189	1437.82 (10.351092031358272,)
101	100  	232.068	306.197	11.6218	1477.71 (10.351092031358272,)
102	100  	218.723	294.569	17.7618	1445.25 (10.351092031358272,)
103	100  	234.904	303.929	14.2651	1424.36 (10.351092031358272,)
104	100  	225.844	300.945	12.2013	1496.32 (10.351092031358272,)
105	100  	216.248	318.873	9.73333	1524.71 (9.7333265115884444,)
106	100  	192.851	307.214	15.5728	1391.62 (9.7333265115884444,)
107	100  	198.011	311.252	8.9691 	1528.32 (8.969095879871519,)
108	100  	210.9  	313.961	10.8239	1536.74 (8.969095879871519,)
109	100  	228.692	318.703	9.76638	1519.84 (8.969095879871519,)
110	100  	232.756	317.234	9.40115	1436.81 (8.969095879871519,)
111	100  	246.577	316.814	20.0013	1511.78 (8.969095879871519,)
112	100  	226.828	318.122	10.3974	1556.43 (8.969095879871519,)
113	100  	231.37 	315.423	11.7605	1642.3  (8.969095879871519,)
114	100  	248.166	327.979	15.6184	1594.12 (8.969095879871519,)
115	100  	222.28 	329.932	10.6174	1602.09 (8.969095879871519,)
116	100  	207.71 	324.208	10.7251	1564.96 (8.969095879871519,)
117	100  	226.973	306.323	11.2102	1430.62 (8.969095879871519,)
118	100  	224.408	305.071	16.779 	1435.05 (8.969095879871519,)
119	100  	231.745	316.597	9.69981	1613.81 (8.969095879871519,)
120	100  	212.141	304.958	11.9805	1444.79 (8.969095879871519,)
121	100  	218.744	301.399	9.66162	1370.66 (8.969095879871519,)
122	100  	210.819	310.646	11.8576	1549.52 (8.969095879871519,)
123	100  	210.061	297.926	11.3262	1590.88 (8.969095879871519,)
124	100  	207.689	296.478	14.006 	1502.28 (8.969095879871519,)
125	100  	229.938	311.584	9.82329	1521.14 (8.969095879871519,)
126	100  	228.667	298.834	7.56936	1544.6  (7.5693649205081037,)
127	100  	231.224	296.457	8.2712 	1523.63 (7.5693649205081037,)
