In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1736.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	100  	1134.99	307.807	333.622	1759.81 (333.62173833306389,)
1  	100  	1114.99	321.822	287.735	1702.56 (287.73523708149531,)
2  	100  	1100.38	327.351	86.1565	1679.81 (86.156481010163631,)
3  	100  	1034.72	313.598	83.5761	1554.42 (83.576091756956615,)
4  	100  	948.649	318.976	53.8998	1589.36 (53.899767646150686,)
5  	100  	906.433	346.894	148.12 	1629.92 (53.899767646150686,)
6  	100  	800.061	370.23 	70.3495	1545.8  (53.899767646150686,)
7  	100  	696.411	398.039	55.3965	1518.68 (53.899767646150686,)
8  	100  	619.19 	432.564	56.553 	1537.65 (53.899767646150686,)
9  	100  	534.327	434.489	57.7007	1494.04 (53.899767646150686,)
10 	100  	480.253	421.882	49.7759	1523.94 (49.775947076244464,)
11 	100  	439.937	394.261	50.3508	1522.17 (49.775947076244464,)
12 	100  	421.844	401.982	41.3474	1513.62 (41.347381651958621,)
13 	100  	392.829	402.771	41.6628	1508.78 (41.347381651958621,)
14 	100  	375.079	424.987	44.3095	1556.31 (41.347381651958621,)
15 	100  	379.448	451.896	40.0105	1669.97 (40.010491943368415,)
16 	100  	356.222	406.392	43.0725	1663.95 (40.010491943368415,)
17 	100  	342.536	395.329	32.89  	1525.59 (32.889974686931893,)
18 	100  	319.039	402.928	27.1312	1509.58 (27.131246923497404,)
19 	100  	355.541	415.344	25.3824	1545.94 (25.382439077334453,)
20 	100  	330.39 	403.092	25.6811	1535.06 (25.382439077334453,)
21 	100  	320.737	408.01 	21.4109	1532.12 (21.410889686458226,)
22 	100  	311.227	393.56 	20.7819	1551.26 (20.781860777311952,)
23 	100  	286.929	386.938	17.0909	1492.63 (17.090902868030803,)
24 	100  	307.267	407.13 	19.6217	1571.98 (17.090902868030803,)
