In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1740.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max    
0  	100  	1143.74	292.627	410.94	1830.69 (410.94017511803901,)
1  	100  	1154.14	308.904	371.068	1789.15 (371.06784066833404,)
2  	100  	1135.52	318.656	397.087	1775.36 (371.06784066833404,)
3  	100  	1099.94	336.924	445.836	1758.87 (371.06784066833404,)
4  	100  	1022.67	360.909	256.644	1725.78 (256.64382283720749,)
5  	100  	891.115	365.247	304.396	1711.44 (256.64382283720749,)
6  	100  	741.557	350.516	240.452	1687.85 (240.45173874191505,)
7  	100  	592.439	392.319	220.315	1737.6  (220.31532156445257,)
8  	100  	485.076	397.03 	174.218	1621.3  (174.21774516623995,)
9  	100  	419.806	398.855	163.521	1664.58 (163.52105249750537,)
10 	100  	400.528	409.579	151.283	1564.9  (151.28314276957892,)
11 	100  	378.915	386.224	147.189	1589.87 (147.18910211088019,)
12 	100  	368.352	368.163	145.153	1570.65 (145.15297979886626,)
13 	100  	358.775	367.616	145.96 	1548.31 (145.15297979886626,)
14 	100  	327.302	346.265	143.541	1609.69 (143.54124728640886,)
15 	100  	332.176	350.833	139.528	1530.84 (139.52779314805227,)
16 	100  	304.372	317.864	138.803	1563.3  (138.80331442859179,)
17 	100  	304.354	310.616	135.919	1552.66 (135.91904289268547,)
18 	100  	303.63 	301.518	133.633	1486.62 (133.63323862443707,)
19 	100  	291.689	310.62 	132.134	1543.1  (132.13411051426053,)
20 	100  	286.749	300.768	129.302	1538.37 (129.30177461998713,)
21 	100  	287.821	302.533	129.423	1594.83 (129.30177461998713,)
22 	100  	279.576	293.559	129.422	1547.29 (129.30177461998713,)
23 	100  	274.287	287.217	128.986	1522.25 (128.9864303978332,)
24 	100  	281.954	296.112	127.364	1584.32 (127.36410364989369,)
25 	100  	311.376	284.523	125.378	1568.66 (125.3776218497958,)
26 	100  	269.41 	287.587	125.266	1517.46 (125.26571285028066,)
27 	100  	272.766	274.794	127.325	1624.28 (125.26571285028066,)
28 	100  	309.266	273.188	126.544	1582.76 (125.26571285028066,)
29 	100  	277.168	285.544	126.813	1590.73 (125.26571285028066,)
30 	100  	270.992	272.011	125.535	1609.04 (125.26571285028066,)
31 	100  	273.203	262.105	125.87 	1565.12 (125.26571285028066,)
32 	100  	259.443	247.666	126.154	1545.93 (125.26571285028066,)
33 	100  	286.534	268.168	124.74 	1555.41 (124.73964047411046,)
34 	100  	289.765	276.005	124.93 	1592.49 (124.73964047411046,)
35 	100  	268.282	256.048	124.538	1563.82 (124.53780321997769,)
36 	100  	280.185	263.241	124    	1577.49 (124.00045186201329,)
37 	100  	273.502	265.426	125.252	1562.23 (124.00045186201329,)
38 	100  	283.561	268.201	125.872	1550.61 (124.00045186201329,)
39 	100  	276.467	253.259	124.782	1591.52 (124.00045186201329,)
40 	100  	266.57 	249.983	124.011	1530.91 (124.00045186201329,)
41 	100  	264.346	253.339	124.65 	1583.43 (124.00045186201329,)
42 	100  	295.711	258.821	124.087	1479.55 (124.00045186201329,)
43 	100  	275.234	253.69 	124.938	1579.89 (124.00045186201329,)
44 	100  	272.211	267.116	124.057	1539.01 (124.00045186201329,)
45 	100  	274.782	258.183	125.07 	1579.55 (124.00045186201329,)
46 	100  	274.889	260.477	125.589	1591.05 (124.00045186201329,)
47 	100  	271.268	256.025	124.123	1592.09 (124.00045186201329,)
48 	100  	269.154	263.374	125.022	1547.74 (124.00045186201329,)
49 	100  	265.625	261.084	125.399	1598.35 (124.00045186201329,)
50 	100  	237.67 	236.863	124.157	1472.71 (124.00045186201329,)
51 	100  	279.933	276.619	124.984	1557.68 (124.00045186201329,)
52 	100  	287.525	261.784	123.852	1606.21 (123.85154137571222,)
53 	100  	282.68 	272.905	124.223	1573.59 (123.85154137571222,)
54 	100  	281.119	255.922	124.644	1512.9  (123.85154137571222,)
55 	100  	297.825	264.073	124.746	1526.4  (123.85154137571222,)
56 	100  	279.896	257.522	124.051	1521.64 (123.85154137571222,)
57 	100  	276.22 	253.257	125.384	1546.23 (123.85154137571222,)
58 	100  	292.392	260.152	123.74 	1530.67 (123.73967622402732,)
59 	100  	264.977	251.255	123.501	1528.81 (123.50070608273445,)
60 	100  	263.614	263.154	124.446	1506.33 (123.50070608273445,)
61 	100  	277.24 	266.595	122.42 	1522.99 (122.41977848736374,)
62 	100  	259.71 	254.788	123.714	1616.99 (122.41977848736374,)
63 	100  	265.26 	242.362	124.667	1587.91 (122.41977848736374,)
64 	100  	266.832	245.759	123.593	1607.85 (122.41977848736374,)
65 	100  	263.593	235.908	123.341	1608.52 (122.41977848736374,)
66 	100  	246.633	226.026	123.176	1524.36 (122.41977848736374,)
67 	100  	243.355	226.12 	122.64 	1518.46 (122.41977848736374,)
68 	100  	254.058	223.687	123.47 	1532.83 (122.41977848736374,)
69 	100  	246.825	213.662	124.307	1518.71 (122.41977848736374,)
70 	100  	265.366	218.577	123.315	1461.76 (122.41977848736374,)
71 	100  	253.993	230.234	123.268	1492.43 (122.41977848736374,)
72 	100  	260.599	223.926	123.187	1517    (122.41977848736374,)
73 	100  	275.218	228.405	122.799	1545.38 (122.41977848736374,)
74 	100  	266.071	229.314	122.331	1510.51 (122.3308399333815,)
75 	100  	274.763	227.624	123.55 	1472.18 (122.3308399333815,)
76 	100  	277.505	227.776	124.295	1509.72 (122.3308399333815,)
77 	100  	296.351	230.553	122.303	1532.72 (122.30273712954461,)
78 	100  	300.459	229.217	123.513	1476.86 (122.30273712954461,)
79 	100  	271.952	224.782	122.96 	1514.31 (122.30273712954461,)
80 	100  	280.936	238.13 	122.966	1638.71 (122.30273712954461,)
81 	100  	278.423	242.782	122.699	1571.13 (122.30273712954461,)
82 	100  	283.014	249.607	122.608	1654.12 (122.30273712954461,)
83 	100  	268.836	238.578	121.877	1660.53 (121.87689037357065,)
84 	100  	300.315	237.643	122.59 	1580.61 (121.87689037357065,)
85 	100  	289.991	231.978	123.298	1620.57 (121.87689037357065,)
86 	100  	273.024	241.243	122.148	1617.55 (121.87689037357065,)
87 	100  	278.176	229.191	123.614	1510.67 (121.87689037357065,)
88 	100  	279.896	246.954	122.407	1558.37 (121.87689037357065,)
89 	100  	280.625	233.482	123.476	1511.55 (121.87689037357065,)
90 	100  	273.765	229.174	122.341	1554.43 (121.87689037357065,)
91 	100  	277.093	237.915	122.6  	1496.36 (121.87689037357065,)
92 	100  	288.085	218.237	121.737	1517.18 (121.73714564568611,)
93 	100  	286.863	225.15 	121.861	1507.62 (121.73714564568611,)
94 	100  	284.389	241.193	121.787	1532.03 (121.73714564568611,)
95 	100  	291.446	243.189	121.988	1481.03 (121.73714564568611,)
96 	100  	287.777	233.808	121.976	1488.64 (121.73714564568611,)
97 	100  	269.771	235.308	123.03 	1501.68 (121.73714564568611,)
98 	100  	288.758	244.674	121.554	1562.01 (121.55419145985998,)
99 	100  	295.873	242.985	122.558	1492.65 (121.55419145985998,)
100	100  	280.85 	238.601	122.189	1490.58 (121.55419145985998,)
101	100  	285.003	252.657	121.554	1588.33 (121.55419145985998,)
102	100  	266.979	232.188	121.954	1557.4  (121.55419145985998,)
103	100  	268.677	228.631	120.828	1593.25 (120.82825341018078,)
104	100  	300.077	240.675	122.696	1604.8  (120.82825341018078,)
105	100  	282.043	247.698	122.753	1593.71 (120.82825341018078,)
106	100  	285.251	256.708	122.26 	1652.76 (120.82825341018078,)
107	100  	287.37 	227.866	123.555	1568.03 (120.82825341018078,)
108	100  	282.656	252.677	120.535	1574.9  (120.5345002192395,)
109	100  	319.715	264.441	120.347	1660.86 (120.34696208313466,)
110	100  	292.748	245.335	122.258	1553.62 (120.34696208313466,)
111	100  	283.934	244.2  	120.265	1520.79 (120.26459759228494,)
112	100  	291.95 	249.042	122.681	1601.15 (120.26459759228494,)
113	100  	334.31 	260.95 	120.39 	1609.15 (120.26459759228494,)
