In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1744.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max    
0  	100  	1069.17	264.19	476.093	1631.94 (476.09289096859283,)
1  	100  	1026.74	281.803	387.701	1633.51 (387.70105262829759,)
2  	100  	982.355	311.964	373.475	1685.92 (373.4745524372305,)
3  	100  	930.475	354.257	309.715	1620.96 (309.7145326534619,)
4  	100  	865.829	374.193	320.972	1601.85 (309.7145326534619,)
5  	100  	771.582	387.688	224.996	1618.81 (224.99640118217334,)
6  	100  	703.308	447.488	222.732	1684.71 (222.73155282344814,)
7  	100  	638.384	463.262	202.631	1714.79 (202.63137547058875,)
8  	100  	587.635	468.618	196.943	1685.92 (196.94272331659135,)
9  	100  	515.956	435.14 	185.439	1643.6  (185.43890897626366,)
10 	100  	486.369	452.425	179.105	1679.48 (179.10529945443972,)
11 	100  	468.937	461.041	178.504	1642.33 (178.50402369903449,)
12 	100  	451.456	452.595	174.484	1641.79 (174.48402478522058,)
13 	100  	451.677	465.733	171.582	1702.39 (171.58188038722699,)
14 	100  	431.435	437.531	171.019	1674.87 (171.01888576980255,)
15 	100  	434.049	451.081	170.232	1670.47 (170.23204535231554,)
16 	100  	426.5  	450.123	167.525	1676.62 (167.52468716676844,)
17 	100  	409.274	432.468	167.075	1658.95 (167.07517995070168,)
18 	100  	411.671	431.751	164.639	1649.84 (164.63855403727595,)
19 	100  	413.49 	443.024	163.576	1651.35 (163.57639280378527,)
20 	100  	417.953	423.797	164.348	1643.46 (163.57639280378527,)
21 	100  	402.832	414.192	163.813	1616.69 (163.57639280378527,)
22 	100  	422.132	419.132	164.664	1600.19 (163.57639280378527,)
23 	100  	400.603	431.437	164.517	1649.99 (163.57639280378527,)
24 	100  	397.959	423.296	164.404	1633.91 (163.57639280378527,)
25 	100  	404.793	413.489	163.777	1618.17 (163.57639280378527,)
26 	100  	407.096	411.248	163.647	1659.53 (163.57639280378527,)
27 	100  	413.83 	420.459	163.354	1640.41 (163.35429729546402,)
28 	100  	410.097	438.724	163.79 	1701.14 (163.35429729546402,)
29 	100  	412.42 	438.126	163.099	1615.68 (163.09917441205587,)
30 	100  	422.384	433.883	163.046	1603.26 (163.04583432305714,)
31 	100  	422.157	428.657	163.587	1644.78 (163.04583432305714,)
32 	100  	407.38 	423.132	163.787	1672.34 (163.04583432305714,)
33 	100  	402.042	404.202	163.007	1669.63 (163.00698068707032,)
34 	100  	412.421	419.037	162.81 	1682.7  (162.80986097683683,)
35 	100  	402.15 	417.116	163.145	1659.15 (162.80986097683683,)
36 	100  	413.496	430.231	161.654	1627.51 (161.65424861179474,)
37 	100  	417.79 	422.269	162.285	1663.93 (161.65424861179474,)
38 	100  	415.266	425.941	162.302	1656.23 (161.65424861179474,)
