In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1713.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max   
0  	100  	1119.97	320.86	419.575	1825.1 (419.57492487037626,)
1  	100  	1113.07	308.213	368.998	1790.75 (368.9981984646372,)
2  	100  	1091.54	308.971	375.973	1735.03 (368.9981984646372,)
3  	100  	1052.11	299.217	362.495	1659.29 (362.4946886194648,)
4  	100  	985.45 	289.876	387.764	1551.97 (362.4946886194648,)
5  	100  	898.046	284.621	395.547	1541.67 (362.4946886194648,)
6  	100  	827.548	276.476	297.045	1495.1  (297.04458329554433,)
7  	100  	828.413	290.684	268.238	1518.84 (268.23751162097892,)
8  	100  	784.096	317.23 	178.696	1535.81 (178.69615164373633,)
9  	100  	745.792	347.083	162.896	1568.6  (162.89583334259422,)
10 	100  	644.229	369.316	133.367	1573.1  (133.36670644074599,)
11 	100  	608.007	408.856	108.974	1586.11 (108.97433034624537,)
12 	100  	540.856	438.421	103.686	1581.24 (103.68635365288874,)
13 	100  	503.929	464.619	93.9867	1571.49 (93.986684558403056,)
14 	100  	511.117	492.048	78.7446	1584.21 (78.744629137852243,)
15 	100  	492.633	498.988	76.7211	1626.67 (76.72114800978845,)
16 	100  	486.111	499.402	72.7764	1552.15 (72.776409777400062,)
17 	100  	499.579	520.426	69.7814	1542.73 (69.781350692350429,)
18 	100  	484.899	509.47 	64.2465	1577.47 (64.246541610099172,)
19 	100  	483.165	515.687	58.2828	1641.35 (58.282833325484631,)
20 	100  	467.128	506.711	55.1265	1606.02 (55.126491716218993,)
21 	100  	468.945	521.182	51.2478	1620.34 (51.247802548362237,)
22 	100  	471.404	534.454	48.3634	1615.51 (48.36343744710905,)
23 	100  	469.195	521.898	45.6686	1620.43 (45.668637856001617,)
24 	100  	462.202	501.922	47.025 	1590.66 (45.668637856001617,)
25 	100  	475.332	516.274	48.9012	1609.74 (45.668637856001617,)
26 	100  	437.864	520.554	45.2361	1601.55 (45.236099759379769,)
27 	100  	443.116	514.218	42.237 	1646.72 (42.237044823277778,)
28 	100  	450.557	525.529	37.6587	1635.33 (37.658725556365937,)
29 	100  	442.441	508.299	33.9029	1654.01 (33.902930052675181,)
30 	100  	443.42 	521.411	37.518 	1615.72 (33.902930052675181,)
31 	100  	458.884	516.933	30.1371	1642.78 (30.13709742702251,)
32 	100  	453.172	513.842	31.1892	1615.58 (30.13709742702251,)
33 	100  	442.157	506.19 	31.4665	1636.47 (30.13709742702251,)
34 	100  	443.167	506.203	31.227 	1606.77 (30.13709742702251,)
35 	100  	448.657	512.293	28.6137	1635.66 (28.613654028390261,)
36 	100  	459.497	515.539	28.3394	1631.31 (28.339398074745535,)
37 	100  	460.056	537.206	26.4267	1663.98 (26.426673550741384,)
38 	100  	456.695	517.946	27.5887	1636.58 (26.426673550741384,)
39 	100  	466.985	521.241	29.9381	1687.45 (26.426673550741384,)
40 	100  	452.484	519.331	26.3237	1636.04 (26.323734962307217,)
41 	100  	447.667	529.783	26.9387	1649.15 (26.323734962307217,)
42 	100  	445.081	528.286	25.7269	1675.95 (25.726914072912894,)
43 	100  	452.373	531.638	23.8339	1601.37 (23.833902397910876,)
44 	100  	431.034	532.485	25.4858	1647.33 (23.833902397910876,)
45 	100  	448.031	518.156	27.8216	1689.89 (23.833902397910876,)
46 	100  	436.158	526.378	25.8763	1596.79 (23.833902397910876,)
47 	100  	445.29 	538.395	24.4622	1613.14 (23.833902397910876,)
48 	100  	422.685	523.214	23.1263	1609.08 (23.126293037155808,)
49 	100  	442.824	538.941	22.1344	1583.32 (22.1344484101642,)
50 	100  	443.748	529.858	22.7096	1630.88 (22.1344484101642,)
51 	100  	451.525	545.522	24.8798	1611.2  (22.1344484101642,)
52 	100  	455.14 	557.051	23.0805	1668.15 (22.1344484101642,)
53 	100  	470.179	537.234	23.5861	1664.31 (22.1344484101642,)
54 	100  	476.078	541.94 	26.8634	1634.85 (22.1344484101642,)
55 	100  	460.922	531.967	20.5103	1641.7  (20.510344286930394,)
56 	100  	449.672	528.943	21.3481	1591.18 (20.510344286930394,)
57 	100  	458.944	540.061	21.2662	1639.45 (20.510344286930394,)
58 	100  	453.606	543.786	23.6024	1650.98 (20.510344286930394,)
