In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1564.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	100  	855.117	398.601	98.2737	1724.79 (98.273725057053696,)
1  	100  	781.656	412.382	57.0773	1708.76 (57.077311040185371,)
2  	100  	745.464	377.273	35.7765	1565.28 (35.776500651590048,)
3  	100  	662.543	413.201	29.7116	1611.39 (29.7115591178956,)
4  	100  	584.066	414.719	20.901 	1501.65 (20.901024470855475,)
5  	100  	544.705	395.602	20.0157	1442.02 (20.015742359930954,)
6  	100  	495.643	333.964	21.4032	1305.26 (20.015742359930954,)
7  	100  	416.595	334.317	11.8409	1377.43 (11.840904092624289,)
8  	100  	356.13 	333.367	10.8529	1376.02 (10.852877101657008,)
9  	100  	337.058	288.571	18.4   	1336.33 (10.852877101657008,)
10 	100  	268.138	291.894	13.9479	1406.61 (10.852877101657008,)
11 	100  	246.255	310.548	14.1781	1430.2  (10.852877101657008,)
12 	100  	217.649	314.94 	11.5975	1373.81 (10.852877101657008,)
13 	100  	224.403	315.526	12.6041	1468.7  (10.852877101657008,)
14 	100  	196.555	314.483	14.2568	1506.46 (10.852877101657008,)
15 	100  	202.664	296.527	9.64432	1430.22 (9.644316993032124,)
16 	100  	186.054	267.998	9.53032	1379.18 (9.5303171654499383,)
17 	100  	179.441	246.818	8.952  	1384.35 (8.9519995535643293,)
18 	100  	190.75 	277.914	8.84796	1484.26 (8.8479557188572322,)
19 	100  	182.991	267.41 	8.83671	1536.15 (8.8367126285381676,)
20 	100  	165.063	268.335	8.66587	1503.06 (8.6658699553813907,)
21 	100  	159.377	262.345	8.37099	1513.81 (8.3709898409523671,)
