In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1467.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max   
0  	100  	814.637	387.257	89.966	1695.9 (89.965965019791781,)
1  	100  	794.427	423.332	80.2785	1772.84 (80.278450116635966,)
2  	100  	697.831	409.553	55.508 	1600.04 (55.508007630762215,)
3  	100  	610.928	418.171	44.5378	1760    (44.537804122518111,)
4  	100  	554.121	390.621	46.8389	1696.63 (44.537804122518111,)
5  	100  	517.696	387.411	38.2551	1710.15 (38.255118865494204,)
6  	100  	386.495	340.869	39.7391	1661.26 (38.255118865494204,)
7  	100  	314.605	327.233	28.1632	1374.15 (28.163200038041641,)
8  	100  	297.162	304.32 	25.7242	1517.81 (25.724174460819434,)
9  	100  	209.311	276.589	19.9854	1338.57 (19.985351099247442,)
10 	100  	152.081	246.293	17.3959	1358.58 (17.395908031739445,)
11 	100  	147.652	256.504	14.8586	1361.68 (14.858613006904614,)
12 	100  	142.376	233.474	13.6242	1355.97 (13.624245605592652,)
13 	100  	131.666	232.857	10.8699	1258.8  (10.869917984129716,)
14 	100  	120.476	234.825	10.7647	1440.99 (10.764676536184844,)
15 	100  	117.502	214.581	12.7121	1358.27 (10.764676536184844,)
16 	100  	95.5031	181.809	11.371 	1144.43 (10.764676536184844,)
17 	100  	82.5953	158.484	11.0996	1093.24 (10.764676536184844,)
18 	100  	96.732 	174.516	11.4775	1299.85 (10.764676536184844,)
19 	100  	105.989	191.215	10.6451	1344.79 (10.64510413417057,)
20 	100  	97.8319	158.671	9.35303	1225.7  (9.353029888427832,)
21 	100  	103.016	176.689	10.5704	1201.32 (9.353029888427832,)
22 	100  	90.6849	167.965	10.2003	1118.49 (9.353029888427832,)
23 	100  	104.148	176.189	9.86564	1244.86 (9.353029888427832,)
24 	100  	91.5252	155.844	10.3049	1155.94 (9.353029888427832,)
25 	100  	92.0562	167.246	9.19006	1294.67 (9.1900579311996875,)
26 	100  	87.3735	160.783	8.8136 	1211.68 (8.8135995430628764,)
27 	100  	101.093	182.252	9.90166	1363.44 (8.8135995430628764,)
28 	100  	102.444	177.082	9.45691	1298.17 (8.8135995430628764,)
29 	100  	105.512	177.101	9.56614	1318.45 (8.8135995430628764,)
30 	100  	115.319	183.226	8.93525	1353.03 (8.8135995430628764,)
31 	100  	89.7133	153.231	9.7706 	1160.08 (8.8135995430628764,)
32 	100  	94.0471	166.099	9.23726	1103.51 (8.8135995430628764,)
33 	100  	108.675	165.657	9.07766	1086.5  (8.8135995430628764,)
34 	100  	100.862	176.623	8.69917	1291.81 (8.699168711424603,)
35 	100  	93.5734	165.638	9.06022	1105.82 (8.699168711424603,)
36 	100  	97.0964	174.5  	9.06769	1172.89 (8.699168711424603,)
37 	100  	107.371	173.657	9.18882	1330.09 (8.699168711424603,)
38 	100  	112.735	184.544	9.29397	1330.7  (8.699168711424603,)
39 	100  	96.7121	158.002	8.56596	1247.99 (8.5659581855054778,)
40 	100  	97.2923	139.63 	8.49409	1027.11 (8.4940901414594592,)
41 	100  	110.766	157.715	6.25786	1185.19 (6.2578568434338804,)
42 	100  	101.361	166.76 	7.82444	1322.25 (6.2578568434338804,)
43 	100  	104.043	177.504	5.8266 	1235.02 (5.8266010790245621,)
44 	100  	106.647	182.21 	6.95714	1327.81 (5.8266010790245621,)
45 	100  	102.98 	154.587	8.3859 	1141.83 (5.8266010790245621,)
46 	100  	99.9278	156.377	6.41762	1044.69 (5.8266010790245621,)
47 	100  	99.1055	162.574	7.66615	1164.78 (5.8266010790245621,)
48 	100  	104.387	150.702	5.88698	1166.33 (5.8266010790245621,)
49 	100  	92.688 	144.331	6.08029	1065.19 (5.8266010790245621,)
50 	100  	86.9223	155.791	5.85487	1344.76 (5.8266010790245621,)
51 	100  	96.0107	161.336	7.98641	1375.5  (5.8266010790245621,)
52 	100  	93.6282	150.234	7.19656	1234.41 (5.8266010790245621,)
53 	100  	105.167	167.192	5.34987	1329.6  (5.3498733351447072,)
54 	100  	106.535	167.806	6.32953	1357.95 (5.3498733351447072,)
55 	100  	98.6888	176.991	6.10379	1243.55 (5.3498733351447072,)
56 	100  	95.6719	153.525	6.34181	1033.17 (5.3498733351447072,)
57 	100  	87.0835	156.233	5.76065	1192.54 (5.3498733351447072,)
58 	100  	86.9321	126.6  	6.06042	1025.56 (5.3498733351447072,)
59 	100  	82.119 	141.294	5.46167	1340.1  (5.3498733351447072,)
60 	100  	87.4488	152.649	6.88251	1347.12 (5.3498733351447072,)
61 	100  	83.879 	124.975	5.60488	1035.3  (5.3498733351447072,)
62 	100  	87.3861	143.046	6.37978	1114.18 (5.3498733351447072,)
63 	100  	96.7141	166.111	6.47136	1331.36 (5.3498733351447072,)
64 	100  	86.3286	161.137	5.61912	1377.63 (5.3498733351447072,)
65 	100  	82.0085	160.978	5.50383	1377.31 (5.3498733351447072,)
66 	100  	93.1783	134.638	5.9481 	1036.6  (5.3498733351447072,)
67 	100  	94.1311	156.079	6.3036 	1295.93 (5.3498733351447072,)
68 	100  	100.236	151.673	5.50773	1276.04 (5.3498733351447072,)
69 	100  	96.0727	156.755	5.48112	1205.44 (5.3498733351447072,)
70 	100  	102.203	151.909	6.31021	1264.71 (5.3498733351447072,)
71 	100  	98.6966	160.267	5.16726	1324.63 (5.1672582067043979,)
72 	100  	102.719	164.149	6.49437	1345.41 (5.1672582067043979,)
73 	100  	103.395	146.239	5.90376	1167.8  (5.1672582067043979,)
74 	100  	96.7063	166.864	6.74232	1335.88 (5.1672582067043979,)
75 	100  	103.026	152.351	6.53035	1296.32 (5.1672582067043979,)
76 	100  	101.374	150.538	6.45801	1149.65 (5.1672582067043979,)
77 	100  	102.113	163.701	5.27315	1280.8  (5.1672582067043979,)
78 	100  	88.7949	148.544	5.29981	1150.07 (5.1672582067043979,)
79 	100  	93.8443	158.977	5.17664	1320.25 (5.1672582067043979,)
80 	100  	84.7417	145.56 	6.45758	1136.26 (5.1672582067043979,)
81 	100  	73.5096	142.143	5.41747	1189.49 (5.1672582067043979,)
82 	100  	77.7738	149.292	5.86371	1346.89 (5.1672582067043979,)
83 	100  	88.7658	148.135	5.80554	1295    (5.1672582067043979,)
84 	100  	95.9707	157.357	6.12758	1266.29 (5.1672582067043979,)
85 	100  	96.0695	142.54 	5.43172	1074.54 (5.1672582067043979,)
86 	100  	101.93 	156.115	5.9681 	1117.35 (5.1672582067043979,)
87 	100  	107.01 	167.672	5.31589	1238.74 (5.1672582067043979,)
88 	100  	89.141 	153.299	5.45277	1293.56 (5.1672582067043979,)
89 	100  	96.8938	148.472	5.4178 	1162.94 (5.1672582067043979,)
90 	100  	91.4596	151.758	5.7744 	1264.12 (5.1672582067043979,)
91 	100  	96.2368	147.9  	5.94885	1247.81 (5.1672582067043979,)
92 	100  	86.847 	146.598	6.29072	1240.67 (5.1672582067043979,)
93 	100  	88.8713	163.063	6.00144	1365.77 (5.1672582067043979,)
94 	100  	83.488 	155.138	5.99147	1346.72 (5.1672582067043979,)
95 	100  	89.8174	153.72 	5.78226	1376.73 (5.1672582067043979,)
96 	100  	90.7522	157.329	5.82074	1381.85 (5.1672582067043979,)
97 	100  	89.9859	147.94 	4.56232	1340.26 (4.5623202802314475,)
98 	100  	86.3725	126.888	5.51293	1039.9  (4.5623202802314475,)
99 	100  	91.6269	157.679	5.72873	1340.96 (4.5623202802314475,)
100	100  	94.9597	134.471	5.14969	1122.45 (4.5623202802314475,)
101	100  	90.3291	146.135	5.26565	1224.47 (4.5623202802314475,)
102	100  	85.641 	129.607	4.62369	1039.56 (4.5623202802314475,)
103	100  	100.052	156.068	4.75092	1179.72 (4.5623202802314475,)
104	100  	93.0872	149.236	4.90319	1152.72 (4.5623202802314475,)
105	100  	93.1967	152.93 	5.68943	1334.45 (4.5623202802314475,)
106	100  	100.101	159.423	5.79865	1375.41 (4.5623202802314475,)
107	100  	108.609	165.047	4.38285	1278.65 (4.3828478028569036,)
108	100  	108.955	170.146	4.08112	1303.48 (4.0811168700799145,)
109	100  	95.7953	131.073	4.99573	1023.56 (4.0811168700799145,)
110	100  	106.553	141.119	5.52957	1051.71 (4.0811168700799145,)
111	100  	94.7302	130.226	5.06209	1026.23 (4.0811168700799145,)
112	100  	93.1516	123.593	4.81701	1089.05 (4.0811168700799145,)
113	100  	100.961	134.537	5.24037	1105.91 (4.0811168700799145,)
114	100  	85.2394	118.971	5.72492	1040.71 (4.0811168700799145,)
115	100  	72.8521	137.198	4.66892	1300.31 (4.0811168700799145,)
116	100  	86.9844	141.833	4.22027	1319.81 (4.0811168700799145,)
117	100  	88.9628	143.274	4.43816	1276.64 (4.0811168700799145,)
118	100  	86.5874	122.025	4.13048	1046.16 (4.0811168700799145,)
119	100  	95.8008	128.196	3.50803	1096.44 (3.5080255002423493,)
120	100  	90.4817	134.958	4.27674	1273.27 (3.5080255002423493,)
121	100  	83.6057	139.473	4.67155	1348.97 (3.5080255002423493,)
122	100  	75.898 	120.634	3.46374	1095.3  (3.4637387015125194,)
123	100  	102.249	135.445	5.17254	1167.47 (3.4637387015125194,)
124	100  	107.652	135.212	4.69471	1151.59 (3.4637387015125194,)
125	100  	96.527 	131.568	4.11809	1120.53 (3.4637387015125194,)
126	100  	93.1117	144.929	3.74391	1367.96 (3.4637387015125194,)
127	100  	90.6122	125.897	4.54129	1036.09 (3.4637387015125194,)
