In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1622.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max    
0  	100  	868.216	376.46	168.982	1632.98 (168.98211641174592,)
1  	100  	810.653	411.507	35.1063	1616.77 (35.106329345184484,)
2  	100  	773.209	411.812	36.9149	1565.9  (35.106329345184484,)
3  	100  	719.28 	381.534	53.2304	1443.31 (35.106329345184484,)
4  	100  	629.014	400.959	11.8891	1644.44 (11.889052417915785,)
5  	100  	556.284	383.603	14.3155	1464.33 (11.889052417915785,)
6  	100  	463.547	332.7  	15.1633	1629.78 (11.889052417915785,)
7  	100  	339.264	312.694	15.6304	1603.56 (11.889052417915785,)
8  	100  	295.583	313.354	13.0531	1465.37 (11.889052417915785,)
9  	100  	246.939	320.112	12.6847	1385.45 (11.889052417915785,)
10 	100  	245.078	332.913	12.2699	1525.79 (11.889052417915785,)
11 	100  	224.08 	318.619	12.5449	1343.02 (11.889052417915785,)
12 	100  	201.663	286.024	14.1305	1308.22 (11.889052417915785,)
13 	100  	201.683	291.927	12.4794	1385.96 (11.889052417915785,)
14 	100  	212.134	315.916	11.1092	1580.12 (11.109187109568305,)
15 	100  	202.109	308.918	10.3204	1721.34 (10.320423819276877,)
16 	100  	201.654	302.026	10.2811	1641.44 (10.281090164333117,)
17 	100  	222.98 	311.527	11.4462	1767.91 (10.281090164333117,)
18 	100  	202.972	280.141	10.9549	1487.65 (10.281090164333117,)
19 	100  	210.15 	290.967	11.0155	1459.98 (10.281090164333117,)
20 	100  	203.473	273.537	9.19462	1356.5  (9.1946182917870569,)
21 	100  	189.604	242.834	11.4859	1453.88 (9.1946182917870569,)
22 	100  	174.253	239.101	9.6584 	1367.95 (9.1946182917870569,)
23 	100  	168.677	241.01 	8.92215	1487.34 (8.9221495262813661,)
24 	100  	176.464	256.282	9.26595	1620.2  (8.9221495262813661,)
25 	100  	152.071	241.188	8.03187	1527.23 (8.0318685462907258,)
26 	100  	162.473	201.948	9.96737	1031.89 (8.0318685462907258,)
27 	100  	163.925	193.301	8.03336	1226.88 (8.0318685462907258,)
28 	100  	158.833	193.542	9.13414	1023.71 (8.0318685462907258,)
29 	100  	154.914	176.824	8.05751	996.747 (8.0318685462907258,)
30 	100  	155.383	181.564	7.5683 	859.972 (7.5683001877117144,)
31 	100  	147.86 	171.074	7.98351	773.959 (7.5683001877117144,)
32 	100  	129.064	136.722	8.66098	688.862 (7.5683001877117144,)
33 	100  	133.215	150.509	8.59872	747.632 (7.5683001877117144,)
34 	100  	143.505	160.882	8.23017	744.04  (7.5683001877117144,)
35 	100  	148.362	178.842	7.69444	801.206 (7.5683001877117144,)
36 	100  	121.451	161.392	7.52888	873.124 (7.5288802235740162,)
37 	100  	124.81 	161.822	7.44653	773.56  (7.4465251643782766,)
38 	100  	133.859	139.933	8.3199 	735.821 (7.4465251643782766,)
39 	100  	121.347	126.909	8.15474	735.142 (7.4465251643782766,)
40 	100  	111.308	133.381	7.5979 	625.994 (7.4465251643782766,)
41 	100  	114.282	138.95 	7.18338	665.92  (7.1833838512808672,)
42 	100  	118.804	162.897	7.16331	842.909 (7.1633063632888723,)
43 	100  	115.531	138.669	8.10046	790.8   (7.1633063632888723,)
