In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1630.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max    
0  	100  	848.14	397.628	96.4834	1687.45 (96.483396832949737,)
1  	100  	740.813	410.687	52.2403	1674.27 (52.240275407765353,)
2  	100  	668.077	382.474	51.8453	1441    (51.845343813538257,)
3  	100  	648.334	361.714	71.8415	1580.31 (51.845343813538257,)
4  	100  	627.855	340.832	51.0004	1488.87 (51.000392954504065,)
5  	100  	577.542	343.003	51.6952	1446.41 (51.000392954504065,)
6  	100  	534.484	348.448	46.6743	1443.99 (46.674315798326077,)
7  	100  	457.724	334.808	41.1322	1341.26 (41.132238215536624,)
8  	100  	396.467	306.411	36.9174	1380.49 (36.917424590209677,)
9  	100  	341.196	303.952	28.6365	1326.1  (28.636516723419813,)
10 	100  	280.323	278.141	32.5732	1350.08 (28.636516723419813,)
11 	100  	227.932	275.692	26.0236	1374.44 (26.023633483797475,)
12 	100  	192.203	240.393	26.1576	1371.46 (26.023633483797475,)
13 	100  	164.159	217.915	22.1166	1354.41 (22.116597755706866,)
14 	100  	176.355	212.35 	21.2521	1227.34 (21.252089567309987,)
15 	100  	156.26 	215.495	20.7688	1343.59 (20.768818279262725,)
16 	100  	143.928	208.524	21.1844	1327.37 (20.768818279262725,)
17 	100  	144.491	185.876	19.8451	1185.15 (19.845143272225972,)
18 	100  	147.419	188.489	17.9952	997.45  (17.995209871272493,)
19 	100  	135.323	171.02 	17.9076	983.407 (17.907616279348439,)
20 	100  	137.435	169.938	17.7603	1026.03 (17.760347782241745,)
21 	100  	123.502	154.866	17.9538	808.532 (17.760347782241745,)
22 	100  	117.238	139.621	14.8748	761.742 (14.874816971835319,)
23 	100  	120.96 	147.805	12.4693	853.316 (12.469335311675643,)
24 	100  	126.658	157.665	14.4432	934.304 (12.469335311675643,)
25 	100  	109.191	152.132	13.6314	936.815 (12.469335311675643,)
26 	100  	107.849	137.747	11.9595	696.423 (11.959460009788939,)
27 	100  	102.636	136.45 	12.8419	936.822 (11.959460009788939,)
28 	100  	114.387	151.106	13.2672	955.164 (11.959460009788939,)
29 	100  	123.384	150.359	12.554 	968.765 (11.959460009788939,)
