In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1645.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max   
0  	100  	847.06	334.716	137.378	1679.5 (137.37794102261086,)
1  	100  	816.056	349.944	55.9566	1606.52 (55.95655172609316,)
2  	100  	809.693	412.5  	49.4904	1749.84 (49.490414470396885,)
3  	100  	785.538	442.133	33.8882	1913.19 (33.888168556063015,)
4  	100  	675.456	437.656	36.385 	1876.32 (33.888168556063015,)
5  	100  	592.139	433.66 	42.6436	1792.96 (33.888168556063015,)
6  	100  	460.027	413.867	27.7617	1677.19 (27.761685357208098,)
7  	100  	372.884	387.728	36.8773	1771.36 (27.761685357208098,)
8  	100  	299.725	379.802	27.7688	1866.47 (27.761685357208098,)
9  	100  	256.191	385.125	20.8094	1758.44 (20.809377641896162,)
10 	100  	210.199	362.542	17.4564	1837.04 (17.456407193824681,)
11 	100  	183.467	352.189	17.5222	1858.06 (17.456407193824681,)
12 	100  	156.203	303.294	15.0389	1604.47 (15.038935562561406,)
13 	100  	164.788	290.394	13.2623	1599.61 (13.262268491918972,)
14 	100  	161.697	293.067	12.4287	1767.1  (12.428745007162775,)
15 	100  	166.15 	317.11 	13.1921	1819.6  (12.428745007162775,)
16 	100  	176.069	322.077	14.3461	1664.82 (12.428745007162775,)
17 	100  	164.291	293.406	15.1376	1862.63 (12.428745007162775,)
18 	100  	164.337	283.521	13.3916	1712.83 (12.428745007162775,)
19 	100  	158.916	292.673	11.8333	1722.84 (11.833256644887607,)
20 	100  	179.418	303.286	11.8736	1726.92 (11.833256644887607,)
21 	100  	163.045	268.981	13.8804	1672.82 (11.833256644887607,)
22 	100  	159.199	285.467	11.7823	1692.14 (11.782276954575735,)
23 	100  	144.657	298.747	11.9643	1792.33 (11.782276954575735,)
24 	100  	127.404	235.805	11.4929	1403.14 (11.492940676239099,)
25 	100  	113.057	203.751	12.4523	1221.16 (11.492940676239099,)
26 	100  	123.287	229.203	12.7017	1576.32 (11.492940676239099,)
27 	100  	137.001	262.532	12.0005	1678.62 (11.492940676239099,)
28 	100  	123.732	230.906	11.3786	1581.52 (11.378613847739608,)
29 	100  	142.925	252.912	11.8319	1604.41 (11.378613847739608,)
30 	100  	130.407	244.425	11.3634	1778.36 (11.363380972467109,)
31 	100  	130.751	221.793	10.7239	1354.69 (10.723921193223863,)
32 	100  	134.161	254.942	11.0438	1759.29 (10.723921193223863,)
33 	100  	133.436	229.819	10.883 	1443.21 (10.723921193223863,)
34 	100  	137.165	246.441	11.0832	1552.99 (10.723921193223863,)
35 	100  	122.231	228.801	10.6978	1532.35 (10.697767871133998,)
36 	100  	133.978	242.041	10.8113	1672.04 (10.697767871133998,)
37 	100  	140.242	236.437	11.9401	1636.55 (10.697767871133998,)
38 	100  	150.323	226.707	11.9863	1427.77 (10.697767871133998,)
39 	100  	154.845	234.062	10.7579	1563.38 (10.697767871133998,)
40 	100  	167.498	224.496	10.9078	1456.97 (10.697767871133998,)
41 	100  	170.814	236.824	10.3879	1441.61 (10.38789332279635,)
42 	100  	139.808	209.686	11.6084	1348.37 (10.38789332279635,)
43 	100  	157.153	244.352	9.77028	1475.64 (9.7702821711044958,)
44 	100  	151.533	238.88 	10.2295	1324.2  (9.7702821711044958,)
45 	100  	148.425	258.843	10.3022	1728.96 (9.7702821711044958,)
46 	100  	167.03 	234.609	10.4215	1550.44 (9.7702821711044958,)
47 	100  	181.369	243.12 	10.9237	1558.45 (9.7702821711044958,)
48 	100  	135.419	229.568	9.65084	1521.24 (9.6508351740063461,)
49 	100  	155.056	239.642	9.67669	1567.32 (9.6508351740063461,)
50 	100  	161.163	260.455	9.95746	1729.54 (9.6508351740063461,)
51 	100  	179.832	275.847	10.0458	1724.25 (9.6508351740063461,)
52 	100  	171.951	281.493	10.1574	1688.81 (9.6508351740063461,)
53 	100  	137.158	245.572	10.1363	1615.73 (9.6508351740063461,)
54 	100  	139.158	249.372	10.0447	1587.5  (9.6508351740063461,)
55 	100  	157.122	245.899	10.4863	1635.84 (9.6508351740063461,)
56 	100  	144.31 	224.801	10.0764	1430.71 (9.6508351740063461,)
57 	100  	138.395	222.003	9.68278	1429.28 (9.6508351740063461,)
58 	100  	133.614	212.557	12.7078	1331.68 (9.6508351740063461,)
59 	100  	156.846	217.731	9.79094	1328.37 (9.6508351740063461,)
60 	100  	139.051	205.517	10.7393	1188.57 (9.6508351740063461,)
61 	100  	166.468	237.024	10.2725	1397.84 (9.6508351740063461,)
62 	100  	143.733	254.889	10.2127	1643.3  (9.6508351740063461,)
63 	100  	157.954	241.278	10.0082	1608.48 (9.6508351740063461,)
64 	100  	162.621	244.679	11.1485	1493.26 (9.6508351740063461,)
65 	100  	150.106	234.293	9.99638	1636.19 (9.6508351740063461,)
66 	100  	147.41 	242.969	9.95074	1599.21 (9.6508351740063461,)
67 	100  	134.11 	236.915	10.8147	1710.81 (9.6508351740063461,)
68 	100  	136.542	235.027	12.0793	1522.53 (9.6508351740063461,)
69 	100  	125.403	227.735	10.4819	1520.96 (9.6508351740063461,)
70 	100  	144.293	237    	10.4245	1683.59 (9.6508351740063461,)
71 	100  	162.533	255.324	10.8663	1648.9  (9.6508351740063461,)
72 	100  	164.861	244.232	10.6308	1460.3  (9.6508351740063461,)
73 	100  	140.373	253.955	9.18738	1632.03 (9.187379038194166,)
74 	100  	146.652	204.608	9.57552	1289.06 (9.187379038194166,)
75 	100  	143.188	204.778	10.1724	1537.45 (9.187379038194166,)
76 	100  	163.295	208.468	10.6484	1390.7  (9.187379038194166,)
77 	100  	155.668	202.046	9.11647	1579.94 (9.1164742200694153,)
78 	100  	176.456	212.244	9.60903	1480.91 (9.1164742200694153,)
79 	100  	162.228	209.946	9.31472	1604.93 (9.1164742200694153,)
80 	100  	168.804	217.716	11.0718	1510.87 (9.1164742200694153,)
81 	100  	156.148	239.673	9.30066	1459.02 (9.1164742200694153,)
82 	100  	176.696	220.568	9.19263	1465.08 (9.1164742200694153,)
83 	100  	171.529	221.294	10.0304	1371.67 (9.1164742200694153,)
84 	100  	160.944	200.577	9.67942	1570.31 (9.1164742200694153,)
85 	100  	175.367	229.994	8.9445 	1723.88 (8.9445024223337093,)
86 	100  	135.712	216.707	9.83141	1533.15 (8.9445024223337093,)
87 	100  	145.134	223.944	9.4136 	1537.74 (8.9445024223337093,)
88 	100  	151.147	212.089	9.73314	1426.43 (8.9445024223337093,)
89 	100  	155.42 	216.311	8.73014	1537.26 (8.7301438642650258,)
90 	100  	139.434	189.933	9.56364	1360.33 (8.7301438642650258,)
91 	100  	163.396	243.347	9.98451	1701.71 (8.7301438642650258,)
92 	100  	141.987	203.509	8.9775 	1514.64 (8.7301438642650258,)
