In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1525.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max    
0  	100  	817.075	384.632	55.951	1612.47 (55.950975466202131,)
1  	100  	777.086	388.129	64.0355	1599.79 (55.950975466202131,)
2  	100  	768.856	418.767	38.7258	1715.22 (38.725834406264745,)
3  	100  	723.055	419.985	28.4419	1549.2  (28.441861780786276,)
4  	100  	679.226	405.121	40.6198	1478.62 (28.441861780786276,)
5  	100  	626.113	427.245	27.7694	1549.81 (27.769354445865922,)
6  	100  	533.91 	407.338	25.5072	1491.15 (25.507196261710021,)
7  	100  	509.512	400.184	21.2401	1585.53 (21.240055685245203,)
8  	100  	462.775	399.236	20.9363	1632.24 (20.936329556026159,)
9  	100  	398.167	391.006	19.2789	1848.35 (19.27892995318112,)
10 	100  	332.652	383.085	20.4706	1670.04 (19.27892995318112,)
11 	100  	318.992	393.99 	18.2634	1591.92 (18.263360007592144,)
12 	100  	291.396	407.318	19.0006	1835.49 (18.263360007592144,)
13 	100  	266.096	376.86 	17.1195	1536.86 (17.119543592856694,)
14 	100  	280.762	367.46 	16.43  	1511.79 (16.430041986903596,)
15 	100  	282.679	360.352	16.4785	1531.59 (16.430041986903596,)
16 	100  	249.369	333.222	16.76  	1484.46 (16.430041986903596,)
17 	100  	239.091	340.365	14.5736	1787.99 (14.573587512047018,)
18 	100  	212.008	302.698	14.5879	1217.9  (14.573587512047018,)
19 	100  	230.108	333.673	13.7554	1440.26 (13.755430295647457,)
20 	100  	217.479	324.633	11.9305	1422.79 (11.930480238203859,)
21 	100  	176.595	292.508	14.0872	1381.81 (11.930480238203859,)
22 	100  	219.596	321.716	12.3588	1362.87 (11.930480238203859,)
23 	100  	218.216	334.485	12.7157	1458.42 (11.930480238203859,)
