In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1527.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max   
0  	100  	821.976	403.903	75.8172	1688.8 (75.817189829613895,)
1  	100  	783.355	447.911	33.0456	1667.17 (33.045553210496429,)
2  	100  	705.211	441.606	38.3251	1544.45 (33.045553210496429,)
3  	100  	681.199	450.683	39.0294	1695.9  (33.045553210496429,)
4  	100  	636.936	438.833	41.5472	1828.11 (33.045553210496429,)
5  	100  	590.324	433.712	29.1927	1833.81 (29.192681896474294,)
6  	100  	557.471	449.839	35.1452	1916.19 (29.192681896474294,)
7  	100  	499.177	398.119	23.6273	1641.36 (23.627345722087224,)
8  	100  	402.072	373.915	24.0774	1693.03 (23.627345722087224,)
9  	100  	318.648	321.138	20.5486	1503.47 (20.54860570266775,)
10 	100  	244.116	297.844	19.7839	1798.35 (19.783938083690817,)
11 	100  	235.292	276.38 	19.2401	1449.75 (19.240097043034677,)
12 	100  	232.763	283.755	19.689 	1798.97 (19.240097043034677,)
13 	100  	188.098	210.503	17.9494	1293.96 (17.949372882096096,)
14 	100  	180.776	241.128	16.4156	1418.89 (16.415609345303917,)
15 	100  	216.77 	226.306	17.1995	1410.32 (16.415609345303917,)
16 	100  	184.819	223.299	17.3596	1497.97 (16.415609345303917,)
17 	100  	176.177	217.041	13.6388	1338.58 (13.638833645497998,)
18 	100  	163.075	202.806	13.0612	1247.16 (13.061215101197437,)
19 	100  	153.537	177.092	14.8246	1257.62 (13.061215101197437,)
20 	100  	160.215	221.949	14.2226	1409.15 (13.061215101197437,)
21 	100  	145.427	207.956	12.317 	1357.58 (12.317046277588883,)
22 	100  	130.772	201.555	12.1119	1528.69 (12.111880989445174,)
23 	100  	139.241	196.036	13.1651	1532.4  (12.111880989445174,)
24 	100  	145.021	208.023	12.9926	1602.26 (12.111880989445174,)
25 	100  	187.83 	211.986	12.8251	1407.87 (12.111880989445174,)
26 	100  	162.853	205.816	12.8178	1428.09 (12.111880989445174,)
27 	100  	146.434	181.594	12.6339	1337.33 (12.111880989445174,)
28 	100  	160.179	202.004	12.4303	1427.33 (12.111880989445174,)
29 	100  	149.88 	203.355	11.5615	1539.26 (11.561463699711956,)
30 	100  	124.937	184.821	10.7375	1321.83 (10.737476532492288,)
31 	100  	138.02 	176.068	11.3378	1204.1  (10.737476532492288,)
32 	100  	156.92 	235.42 	11.6806	1526.34 (10.737476532492288,)
33 	100  	143.194	175.499	11.4923	1155.46 (10.737476532492288,)
34 	100  	161.627	194.997	12.0571	1365.69 (10.737476532492288,)
35 	100  	159.178	183.225	12.2269	1473.72 (10.737476532492288,)
36 	100  	150.064	210.082	12.2574	1613.53 (10.737476532492288,)
37 	100  	139.049	184.609	10.8362	1375.68 (10.737476532492288,)
38 	100  	143.591	187.016	10.7907	1545.17 (10.737476532492288,)
39 	100  	149.244	194.304	10.9974	1264.44 (10.737476532492288,)
40 	100  	160.496	177.632	11.0417	1403.36 (10.737476532492288,)
41 	100  	123.779	150.989	11.324 	1369.65 (10.737476532492288,)
42 	100  	147.035	192.303	11.4381	1483.73 (10.737476532492288,)
43 	100  	129.479	162.369	10.664 	1412.46 (10.664026023127512,)
44 	100  	139.775	163.073	10.8546	1412    (10.664026023127512,)
45 	100  	131.755	166.434	10.5528	1160.17 (10.55280752108156,)
46 	100  	153.082	185.824	11.5956	1505.62 (10.55280752108156,)
47 	100  	125.376	156.741	10.3657	1344.03 (10.365680610230694,)
48 	100  	143.272	181.27 	11.3149	1456.39 (10.365680610230694,)
49 	100  	137.849	159.427	10.1044	1269.95 (10.104414716216267,)
50 	100  	136.441	199.625	11.5458	1421.57 (10.104414716216267,)
51 	100  	137.552	176.321	11.2272	1341.5  (10.104414716216267,)
52 	100  	129.751	149.809	11.1388	1197.64 (10.104414716216267,)
53 	100  	129.459	170.615	10.4872	1246.39 (10.104414716216267,)
54 	100  	140.047	186.621	11.0868	1631.49 (10.104414716216267,)
55 	100  	136.642	175.076	10.5786	1441.38 (10.104414716216267,)
56 	100  	135.147	173.871	12.1876	1464.72 (10.104414716216267,)
57 	100  	122.954	180.988	11.5663	1583.35 (10.104414716216267,)
58 	100  	125.022	174.522	10.5556	1573.98 (10.104414716216267,)
59 	100  	133.334	189.608	11.4136	1592.56 (10.104414716216267,)
60 	100  	151.951	191.722	10.26  	1543.53 (10.104414716216267,)
61 	100  	148.581	178.853	11.2447	1390.29 (10.104414716216267,)
62 	100  	144.099	185.803	11.9775	1447.14 (10.104414716216267,)
63 	100  	117.283	144.858	11.6262	1126.25 (10.104414716216267,)
64 	100  	144.464	181.416	10.4316	1423.34 (10.104414716216267,)
65 	100  	143.422	171.729	11.0103	1310.56 (10.104414716216267,)
66 	100  	139.546	166.586	10.6712	1228.76 (10.104414716216267,)
67 	100  	120.544	163.166	9.79951	1371.32 (9.7995105015153143,)
68 	100  	147.169	193.617	10.5984	1547.89 (9.7995105015153143,)
69 	100  	137.777	165.477	10.9629	1351.61 (9.7995105015153143,)
70 	100  	145.507	177.676	9.94456	1453.14 (9.7995105015153143,)
71 	100  	154.557	196.796	9.67354	1328.3  (9.6735389261245963,)
72 	100  	138.92 	163.288	10.7145	1051.01 (9.6735389261245963,)
73 	100  	136.501	168.369	11.081 	1208.09 (9.6735389261245963,)
74 	100  	137.976	165.543	10.1252	1356.25 (9.6735389261245963,)
75 	100  	152.827	171.964	10.7578	1505.29 (9.6735389261245963,)
76 	100  	145.017	172.23 	10.3819	1409.6  (9.6735389261245963,)
77 	100  	134.057	104.578	10.1992	444.109 (9.6735389261245963,)
78 	100  	141.26 	110.008	10.3019	522.58  (9.6735389261245963,)
79 	100  	135.958	115.792	9.34306	584.766 (9.34305763406301,)
80 	100  	104.108	100.365	10.3662	600.059 (9.34305763406301,)
81 	100  	119.099	114.599	10.5327	534.225 (9.34305763406301,)
82 	100  	101.16 	103.845	10.2349	508.028 (9.34305763406301,)
83 	100  	130.809	129.195	9.39973	646.974 (9.34305763406301,)
84 	100  	138.868	139.84 	9.66893	608.077 (9.34305763406301,)
85 	100  	143.294	116.546	9.31907	565.664 (9.3190748088383302,)
86 	100  	129.52 	125.364	9.36751	794.252 (9.3190748088383302,)
