In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1208.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max    
0  	100  	807.679	379.91	33.8957	1690.99 (33.895679604883682,)
1  	100  	791.619	368.028	27.6234	1503.52 (27.623370203451884,)
2  	100  	769.134	367.457	28.8965	1691.2  (27.623370203451884,)
3  	100  	749.353	345.89 	32.6692	1449.2  (27.623370203451884,)
4  	100  	701.631	341.914	27.8587	1510.09 (27.623370203451884,)
5  	100  	654.054	340.695	33.5234	1489.97 (27.623370203451884,)
6  	100  	616.614	336.133	32.789 	1422.82 (27.623370203451884,)
7  	100  	570.586	334.131	27.2458	1446.06 (27.245771368248334,)
8  	100  	534.498	362.403	21.2149	1482    (21.214908502133714,)
9  	100  	491.826	388.213	17.9066	1642.14 (17.906599458608561,)
10 	100  	475.06 	374.165	19.0581	1545.1  (17.906599458608561,)
11 	100  	460.694	364.495	16.5031	1564.61 (16.503091054913643,)
12 	100  	414.128	333.602	15.6109	1472.68 (15.61089387264472,)
13 	100  	343.711	341.428	14.1547	1457.07 (14.154722973094234,)
14 	100  	334.006	340.69 	12.6259	1294.68 (12.625882103449502,)
15 	100  	288.341	320.317	13.1515	1426.55 (12.625882103449502,)
16 	100  	248.521	300.162	11.1801	1264.96 (11.180134970710334,)
17 	100  	228.727	316.983	11.7983	1474.06 (11.180134970710334,)
18 	100  	216.675	313.976	11.8782	1284.97 (11.180134970710334,)
19 	100  	200.486	303.909	11.4796	1441.69 (11.180134970710334,)
20 	100  	173.897	284.019	11.1194	1395.25 (11.119442982292448,)
21 	100  	194.233	326.683	9.95302	1350.09 (9.9530228491950936,)
22 	100  	182.543	308.647	8.81749	1432.74 (8.8174940771927091,)
23 	100  	183.887	308.866	8.29594	1340.75 (8.2959426449107543,)
24 	100  	167.781	288.04 	9.01501	1390.97 (8.2959426449107543,)
25 	100  	166.189	277.332	8.4766 	1433.34 (8.2959426449107543,)
26 	100  	158.133	272.687	7.98413	1321.2  (7.9841339563896403,)
27 	100  	160.077	268.682	7.37065	1280.26 (7.3706530219430428,)
28 	100  	148.305	258.655	8.30049	1198.96 (7.3706530219430428,)
29 	100  	144.685	243.972	7.50099	1171.89 (7.3706530219430428,)
30 	100  	146.024	237.606	6.35148	1221.21 (6.3514795128684831,)
