In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1218.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg  	std   	min    	max    
0  	100  	850.7	386.15	63.3011	1714.02 (63.301071129656364,)
1  	100  	803.308	413.577	73.4713	1587.04 (63.301071129656364,)
2  	100  	779.642	397.093	48.8908	1527.97 (48.89084196007061,)
3  	100  	707.916	410.663	28.4846	1595.06 (28.484642546126743,)
4  	100  	682.221	420.276	21.8109	1669.51 (21.810872735547004,)
5  	100  	627.118	420.202	20.7216	1840.1  (20.721554031795876,)
6  	100  	588.122	389.62 	30.0817	1595.5  (20.721554031795876,)
7  	100  	522.774	355.376	31.5802	1606.04 (20.721554031795876,)
8  	100  	468.162	330.508	23.7635	1623.35 (20.721554031795876,)
9  	100  	410.375	336.158	15.6311	1558.18 (15.631052122984396,)
10 	100  	402.011	351.232	18.3559	1589.85 (15.631052122984396,)
11 	100  	364.833	345.487	17.5579	1562.82 (15.631052122984396,)
12 	100  	359.856	343.651	21.9592	1560.38 (15.631052122984396,)
13 	100  	287.277	321.281	19.835 	1558.62 (15.631052122984396,)
14 	100  	283.493	314.585	14.5632	1581.23 (14.563246117055581,)
15 	100  	237.67 	323.592	14.5557	1610.79 (14.555743867880492,)
16 	100  	227.776	292.558	18.4191	1549.63 (14.555743867880492,)
17 	100  	204.165	299.128	12.5225	1564.02 (12.522499534354393,)
18 	100  	209.716	327.472	12.8435	1539    (12.522499534354393,)
19 	100  	194.082	285.961	12.9473	1560.06 (12.522499534354393,)
20 	100  	200.378	279.922	13.5184	1472.33 (12.522499534354393,)
21 	100  	201.552	301.851	13.9003	1572.76 (12.522499534354393,)
22 	100  	180.78 	281.093	13.1768	1490.09 (12.522499534354393,)
23 	100  	157.947	268.75 	13.4019	1464.57 (12.522499534354393,)
24 	100  	172.605	287.738	12.2702	1567.43 (12.270158058819241,)
25 	100  	167.663	260.467	12.0132	1515.11 (12.01319884290502,)
26 	100  	171.669	263.659	12.9331	1462.54 (12.01319884290502,)
27 	100  	159.314	237.789	11.3418	1424.65 (11.341816677051883,)
