In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1228.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max    
0  	100  	909.886	371.507	94.3911	1820.42 (94.391099255651724,)
1  	100  	883.212	362.247	130.149	1827.42 (94.391099255651724,)
2  	100  	854.684	374.411	84.0668	1795.76 (84.066767458638367,)
3  	100  	834.148	367.449	58.4317	1703.44 (58.431680901299053,)
4  	100  	759.22 	378.906	65.1592	1619.7  (58.431680901299053,)
5  	100  	684.567	396.3  	59.8784	1858.4  (58.431680901299053,)
6  	100  	613.75 	366.731	41.4264	1675.72 (41.42644646534962,)
7  	100  	550.908	368.219	25.4841	1500.07 (25.484125655617834,)
8  	100  	483.745	362.051	25.9727	1481.51 (25.484125655617834,)
9  	100  	415.514	370.691	30.5484	1470.73 (25.484125655617834,)
10 	100  	381.233	394.336	18.6542	1748.55 (18.654237073231197,)
11 	100  	331.355	367.298	22.8726	1664.96 (18.654237073231197,)
12 	100  	294.443	361.938	22.7977	1612.8  (18.654237073231197,)
13 	100  	270.683	384.766	14.1989	1813.68 (14.198906406366342,)
14 	100  	238.258	357.925	17.2765	1727.46 (14.198906406366342,)
15 	100  	241.528	375.103	15.1305	1745.64 (14.198906406366342,)
16 	100  	211.953	340.58 	15.2994	1577.41 (14.198906406366342,)
17 	100  	229.027	362.259	16.11  	1687.83 (14.198906406366342,)
18 	100  	204.896	359.338	13.4454	1737.85 (13.445410823404501,)
19 	100  	206.784	384.699	12.4228	1653.51 (12.422807387115288,)
20 	100  	216.733	374.497	12.1496	1679.68 (12.149636834486865,)
21 	100  	206.561	373.215	11.6088	1583.67 (11.608789314098699,)
22 	100  	198.284	375.874	11.2423	1849.8  (11.242295667398047,)
23 	100  	227.282	384.723	10.7769	1696.24 (10.776890182647438,)
24 	100  	224.488	389.76 	10.8238	1689.78 (10.776890182647438,)
25 	100  	220.088	386.126	11.143 	1683.36 (10.776890182647438,)
26 	100  	214.708	368.16 	10.6653	1611.12 (10.665270047808461,)
27 	100  	206.653	346.639	10.9479	1392.04 (10.665270047808461,)
28 	100  	209.438	361.54 	10.7757	1655.01 (10.665270047808461,)
29 	100  	215.865	356.642	10.0779	1556.48 (10.077864964570823,)
30 	100  	228.339	378.954	9.83239	1700.59 (9.8323938921678824,)
31 	100  	221.584	384.628	9.89824	1679.42 (9.8323938921678824,)
