In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1235.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg  	std    	min   	max   
0  	100  	863.3	364.105	147.43	1749.1 (147.43047215422996,)
1  	100  	844.409	405.275	28.184	1860.68 (28.184004143522959,)
2  	100  	809.978	400.523	59.0406	1817.96 (28.184004143522959,)
3  	100  	757.217	390.828	36.1992	1849.86 (28.184004143522959,)
4  	100  	714.958	390.037	15.3111	1477.34 (15.3110802419843,)
5  	100  	683.326	400.149	57.2327	1577.94 (15.3110802419843,)
6  	100  	632.991	418.578	32.259 	1832.44 (15.3110802419843,)
7  	100  	600.794	426.176	18.3946	1709.97 (15.3110802419843,)
8  	100  	528.988	430.586	15.2748	1511.13 (15.274833442662155,)
9  	100  	463.245	402.54 	13.7039	1475.56 (13.703929192326925,)
10 	100  	410.96 	401.657	12.078 	1514.78 (12.077958702995296,)
11 	100  	396.746	408.281	13.6182	1450.37 (12.077958702995296,)
12 	100  	361.544	410.974	10.7916	1505.97 (10.791558702687176,)
13 	100  	335.51 	412.306	8.82459	1472.03 (8.8245944695581393,)
14 	100  	297.431	419.91 	10.6665	1557.4  (8.8245944695581393,)
15 	100  	273.178	384.396	9.62807	1441.41 (8.8245944695581393,)
16 	100  	236.2  	375.443	7.9559 	1452.71 (7.9559005483118694,)
17 	100  	240.243	341.96 	8.45164	1563.74 (7.9559005483118694,)
18 	100  	218.89 	339.111	9.14893	1524.22 (7.9559005483118694,)
19 	100  	213.407	330.935	8.45141	1463.53 (7.9559005483118694,)
20 	100  	175.97 	286.788	8.77169	1333.52 (7.9559005483118694,)
21 	100  	182.77 	311.334	7.71266	1449.64 (7.7126596462289241,)
22 	100  	164.182	296.801	8.52785	1445.14 (7.7126596462289241,)
23 	100  	149.638	285.541	7.86052	1435.46 (7.7126596462289241,)
24 	100  	154.982	286.825	8.11028	1388.09 (7.7126596462289241,)
25 	100  	144.503	291.657	8.04925	1461.67 (7.7126596462289241,)
26 	100  	144.743	286.113	8.15096	1483.49 (7.7126596462289241,)
27 	100  	134.356	259.113	7.94574	1407.35 (7.7126596462289241,)
28 	100  	137.136	263.471	7.90733	1409.79 (7.7126596462289241,)
29 	100  	137.174	270.863	8.2337 	1428.65 (7.7126596462289241,)
