In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1322.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max    
0  	100  	878.24	375.451	112.101	1664.46 (112.10081688255079,)
1  	100  	842.825	377.479	121.589	1713.15 (112.10081688255079,)
2  	100  	778.762	391.541	52.9187	1755.11 (52.918696881773833,)
3  	100  	715.19 	371.248	60.7731	1472.53 (52.918696881773833,)
4  	100  	688.076	380.433	100.614	1573.4  (52.918696881773833,)
5  	100  	631.023	368.984	53.6899	1660.33 (52.918696881773833,)
6  	100  	611.468	359.447	61.3806	1632.09 (52.918696881773833,)
7  	100  	577.448	342.018	48.0132	1507.86 (48.013186246393289,)
8  	100  	490.515	347.262	26.8402	1583.68 (26.840203333839529,)
9  	100  	436.667	355.113	14.3868	1643.83 (14.386819504252776,)
10 	100  	405.179	362.915	13.7808	1679.1  (13.780818820204043,)
11 	100  	346.556	309.819	15.3731	1238.43 (13.780818820204043,)
12 	100  	302.486	300.923	12.9738	1216.79 (12.97381541286056,)
13 	100  	269.748	310.426	11.5548	1549.96 (11.554761801647174,)
14 	100  	233.999	298.858	11.6154	1509.65 (11.554761801647174,)
15 	100  	218.771	279.809	12.6285	1100.18 (11.554761801647174,)
16 	100  	202.404	276.138	11.5485	1343.82 (11.548498989763942,)
17 	100  	187.143	285.748	11.0796	1292.55 (11.079565825218385,)
18 	100  	207.937	262.411	13.8274	1370.16 (11.079565825218385,)
19 	100  	190.306	287.589	11.1005	1465.75 (11.079565825218385,)
20 	100  	182.466	284.904	10.4744	1241.49 (10.474440325248638,)
21 	100  	174.84 	288.154	10.801 	1349.42 (10.474440325248638,)
22 	100  	163.507	290.585	11.0479	1349.79 (10.474440325248638,)
23 	100  	165.558	290.78 	10.2068	1417.03 (10.206849975680411,)
24 	100  	168.26 	301.681	9.36331	1363.51 (9.3633069661711996,)
25 	100  	160.136	306.017	9.26585	1448.48 (9.2658499526400764,)
26 	100  	167.605	309.442	8.22114	1541.1  (8.2211428110768736,)
27 	100  	171.07 	321.14 	9.14076	1465.79 (8.2211428110768736,)
28 	100  	166.669	288.369	8.31697	1344.12 (8.2211428110768736,)
29 	100  	161.772	310.603	8.69253	1495.24 (8.2211428110768736,)
30 	100  	163.978	314.362	8.78163	1615.87 (8.2211428110768736,)
