In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1346.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min   	max    
0  	100  	868.651	372.87	138.24	1575.37 (138.23978253317242,)
1  	100  	842.167	428.836	68.8736	1625.71 (68.873574711129791,)
2  	100  	794.76 	434.552	52.1995	1774.22 (52.199485421739809,)
3  	100  	733.456	406.264	54.4118	1527.73 (52.199485421739809,)
4  	100  	692.077	400.833	57.3837	1609.47 (52.199485421739809,)
5  	100  	635.876	403.486	20.3919	1731.58 (20.391888982550981,)
6  	100  	564.704	410.564	15.0513	1787.86 (15.051342969063342,)
7  	100  	538.804	400.364	11.8971	1692.39 (11.897112940783481,)
8  	100  	480.317	368.709	18.6589	1710.36 (11.897112940783481,)
9  	100  	433.144	373.856	12.1324	1581.16 (11.897112940783481,)
10 	100  	335.951	345.636	13.2051	1415.88 (11.897112940783481,)
11 	100  	294.831	345.764	9.13434	1653.24 (9.1343419297149975,)
12 	100  	250.088	325.574	10.024 	1499.16 (9.1343419297149975,)
13 	100  	206.954	312.831	9.30045	1505.38 (9.1343419297149975,)
14 	100  	176.522	295.293	8.38422	1489.98 (8.3842191618734621,)
15 	100  	178.208	269.773	8.06074	1395.19 (8.0607362816151564,)
16 	100  	164.585	281.698	8.88534	1539.5  (8.0607362816151564,)
17 	100  	134.518	268.232	8.1924 	1512.24 (8.0607362816151564,)
18 	100  	138.621	262.001	8.05072	1429.07 (8.0507189318418888,)
19 	100  	124.523	244.11 	8.32919	1361.96 (8.0507189318418888,)
20 	100  	129.447	251.847	8.1565 	1546.23 (8.0507189318418888,)
21 	100  	123.944	264.737	8.21155	1603.42 (8.0507189318418888,)
