In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1353.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg  	std    	min    	max    
0  	100  	864.6	377.544	70.3438	1958.63 (70.34378144055168,)
1  	100  	858.341	402.196	70.9833	1692.4  (70.34378144055168,)
2  	100  	811.284	393.441	41.1434	1700.33 (41.143374004072193,)
3  	100  	779.259	394.829	56.1941	1787.11 (41.143374004072193,)
4  	100  	730.664	398.57 	17.3249	1630.13 (17.324932996518321,)
5  	100  	701.288	424.115	34.3082	1862.89 (17.324932996518321,)
6  	100  	638.036	422.621	38.0622	1548.35 (17.324932996518321,)
7  	100  	619.582	425.678	25.0022	1546.4  (17.324932996518321,)
8  	100  	599.523	430.608	11.2189	1614.83 (11.218857085106544,)
9  	100  	553.119	404.739	9.48942	1370.83 (9.4894178692435496,)
10 	100  	519.499	385.422	11.692 	1389.2  (9.4894178692435496,)
11 	100  	483.345	373.003	14.5227	1427.69 (9.4894178692435496,)
12 	100  	454.552	342.647	11.5807	1309.04 (9.4894178692435496,)
13 	100  	430.773	352.698	8.84293	1369.47 (8.8429324473998978,)
14 	100  	360.202	340.477	9.8396 	1287.32 (8.8429324473998978,)
15 	100  	353.664	353.546	9.29901	1450.13 (8.8429324473998978,)
16 	100  	313.921	350.325	7.89395	1450.25 (7.8939472781209368,)
17 	100  	272.849	335.566	8.1682 	1447    (7.8939472781209368,)
18 	100  	255.875	319.059	7.68429	1425.23 (7.6842860681636438,)
19 	100  	233.204	324.765	6.47056	1376.74 (6.4705645964693463,)
20 	100  	217.485	341.071	5.84048	1634.26 (5.8404787781006222,)
21 	100  	223.455	326.682	5.77809	1835.73 (5.7780913270880028,)
22 	100  	215.219	327.4  	5.99953	1613.29 (5.7780913270880028,)
23 	100  	197.769	311.568	5.65858	1599.59 (5.6585751777445292,)
24 	100  	192.623	277.78 	6.09812	1458.19 (5.6585751777445292,)
25 	100  	175.501	258.656	6.71094	1157.23 (5.6585751777445292,)
26 	100  	172.977	260.372	6.21058	1207.05 (5.6585751777445292,)
27 	100  	164.369	243.195	6.8111 	1226.27 (5.6585751777445292,)
28 	100  	157.759	252.039	5.55134	1221.72 (5.5513362917220883,)
29 	100  	143.913	239.553	6.21163	1248.81 (5.5513362917220883,)
30 	100  	162.45 	241.207	5.9598 	1198.93 (5.5513362917220883,)
31 	100  	139.267	226.506	6.19471	1103    (5.5513362917220883,)
32 	100  	136.253	232.898	5.68916	1204.83 (5.5513362917220883,)
33 	100  	138.478	222.182	5.7456 	1115.07 (5.5513362917220883,)
34 	100  	137.73 	229.112	5.05958	1209.05 (5.059579114475941,)
35 	100  	120.767	226.269	4.76386	1169.53 (4.7638596641414805,)
36 	100  	120.756	215.83 	5.45316	1163.38 (4.7638596641414805,)
37 	100  	117.023	203.52 	4.88781	1155.95 (4.7638596641414805,)
38 	100  	126.24 	203.776	5.52041	1112.48 (4.7638596641414805,)
39 	100  	119.494	211.766	5.88758	1123.84 (4.7638596641414805,)
40 	100  	126.163	210.889	5.2749 	1152.25 (4.7638596641414805,)
41 	100  	124.395	226.75 	5.08386	1181.11 (4.7638596641414805,)
42 	100  	120.019	233.262	4.72102	1165.21 (4.7210151580961268,)
43 	100  	107.047	222.06 	4.73159	1141.74 (4.7210151580961268,)
