In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1358.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max   
0  	100  	872.418	359.921	194.356	1636.2 (194.35602110293712,)
1  	100  	844.529	393.794	104.68 	1609.73 (104.68046016458774,)
2  	100  	769.726	397.044	95.1668	1787.26 (95.166848252427187,)
3  	100  	708.059	401.947	40.9594	1812.08 (40.959398842914197,)
4  	100  	686.976	423.461	42.2742	1703.99 (40.959398842914197,)
5  	100  	658.061	401.782	30.2271	1555.39 (30.227074708239346,)
6  	100  	632.145	408.792	14.6692	1650.58 (14.669205260052998,)
7  	100  	618.37 	393.711	24.5086	1664.67 (14.669205260052998,)
8  	100  	590.895	373.275	15.4094	1703.43 (14.669205260052998,)
9  	100  	532.552	373.958	21.4532	1656.41 (14.669205260052998,)
10 	100  	494.812	387.378	11.1041	1684.68 (11.104129804533569,)
11 	100  	412.041	358.977	12.9695	1625.83 (11.104129804533569,)
12 	100  	360.848	363.208	11.4429	1570.01 (11.104129804533569,)
13 	100  	310.617	361.552	10.1176	1607.97 (10.117586834530373,)
14 	100  	265.164	350.792	12.1813	1506.68 (10.117586834530373,)
15 	100  	244.105	342.805	9.61325	1704.03 (9.6132522951888273,)
16 	100  	226.09 	338.696	9.08688	1524.15 (9.0868792822024425,)
17 	100  	209.874	315.887	9.2987 	1666.44 (9.0868792822024425,)
18 	100  	205.745	305.886	8.84583	1707.16 (8.8458330296670482,)
19 	100  	201.434	284.05 	8.80613	1399.3  (8.8061326344489839,)
20 	100  	189.199	302.192	8.94203	1461.59 (8.8061326344489839,)
21 	100  	177.495	300.334	8.61728	1725.54 (8.6172750781474541,)
22 	100  	170.993	295.737	8.35909	1671.94 (8.3590855948906668,)
23 	100  	160.871	290.909	8.36538	1471.52 (8.3590855948906668,)
24 	100  	165.332	290.874	8.75969	1437.69 (8.3590855948906668,)
25 	100  	180.146	315.835	8.96992	1801.66 (8.3590855948906668,)
26 	100  	163.859	289.722	8.15095	1558.64 (8.1509467779418863,)
27 	100  	167.747	301.773	8.38979	1731.27 (8.1509467779418863,)
28 	100  	155.734	297.43 	8.10348	1752.84 (8.1034843250438922,)
29 	100  	151.423	277.015	8.55817	1766.4  (8.1034843250438922,)
30 	100  	152.687	282.125	8.30238	1622.75 (8.1034843250438922,)
31 	100  	144.382	268.854	8.05043	1714.7  (8.0504275639524572,)
32 	100  	138.218	254.087	7.79313	1535.13 (7.7931272396050932,)
33 	100  	151.249	252.834	7.86101	1668.1  (7.7931272396050932,)
34 	100  	131.944	245.788	8.33809	1106.57 (7.7931272396050932,)
35 	100  	130.706	258.813	8.1077 	1448.33 (7.7931272396050932,)
