In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1139.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min    	max   
0  	100  	847.51	378.709	98.1916	1907.2 (98.191625169516058,)
1  	100  	844.162	393.682	98.9766	1847.9 (98.191625169516058,)
2  	100  	nan    	nan    	nan    	nan    (53.688272791231263,)
3  	100  	nan    	nan    	nan    	nan    (53.688272791231263,)
4  	100  	nan    	nan    	nan    	nan    (53.688272791231263,)
5  	100  	697.76 	388.998	64.5242	1526.23 (53.688272791231263,)
6  	100  	664.592	389.504	33.5914	1495.66 (33.591395329180827,)
7  	100  	629.427	400.3  	57.3089	1526.71 (33.591395329180827,)
8  	100  	611.706	407.41 	36.9718	1564.26 (33.591395329180827,)
9  	100  	589.447	407.23 	26.8622	1571.4  (26.862241265372216,)
10 	100  	580.642	396.502	26.8764	1554.21 (26.862241265372216,)
11 	100  	550.515	376.902	26.5665	1458.3  (26.566531788019802,)
12 	100  	526.851	364.686	27.4463	1394.46 (26.566531788019802,)
13 	100  	503.092	355.057	24.5621	1311.92 (24.562111310266399,)
14 	100  	489.175	337.929	24.1605	1307.28 (24.160470634082319,)
15 	100  	446.699	328.304	22.5227	1192.76 (22.522688519811496,)
16 	100  	432.475	321.442	23.4056	1292.05 (22.522688519811496,)
17 	100  	397.89 	316.715	22.7561	1291.12 (22.522688519811496,)
18 	100  	369.867	292.632	24.1657	1301.72 (22.522688519811496,)
19 	100  	349.023	290.826	17.7286	1292.2  (17.728642331656129,)
20 	100  	314.275	278.686	20.2292	1260.48 (17.728642331656129,)
21 	100  	291.783	276.497	20.3768	1274.13 (17.728642331656129,)
22 	100  	274.317	280.635	14.1371	1268.8  (14.137140092560823,)
23 	100  	247.044	269.973	14.7079	1208.78 (14.137140092560823,)
24 	100  	213.795	260.983	19.5061	1141.75 (14.137140092560823,)
25 	100  	194.323	256.312	15.5271	1153.79 (14.137140092560823,)
26 	100  	180.396	254.086	12.1383	1149.79 (12.138311329007506,)
27 	100  	163.998	257.771	12.5622	1265.1  (12.138311329007506,)
28 	100  	150.184	258.181	12.1267	1264.68 (12.126726761387959,)
29 	100  	141.745	253.673	12.7465	1262.22 (12.126726761387959,)
30 	100  	130.343	245.866	11.9818	1213.02 (11.98179252671113,)
31 	100  	124.645	241.55 	10.3315	1232.05 (10.331488690161621,)
32 	100  	125.155	238.779	9.36284	1246.88 (9.3628373582803359,)
33 	100  	124.466	237.738	9.35682	1252.06 (9.3568172075116944,)
34 	100  	113.463	232.323	9.03326	1106.85 (9.0332600615436327,)
35 	100  	108.574	236.587	8.14729	1133.87 (8.147288118239242,)
36 	100  	107.908	246.736	7.79319	1275.3  (7.7931855115297042,)
37 	100  	103.737	240.577	7.6118 	1245.17 (7.6117953361650104,)
38 	100  	109.525	243.232	7.07921	1274.42 (7.0792116973464143,)
39 	100  	106.784	245.995	7.12648	1279.74 (7.0792116973464143,)
40 	100  	104.493	241.584	7.19417	1274.96 (7.0792116973464143,)
41 	100  	102.937	240.399	6.8758 	1239.2  (6.8757960708641459,)
42 	100  	103.252	245.416	6.5281 	1284.41 (6.5280996770429098,)
43 	100  	106.857	236.676	6.66859	1125.02 (6.5280996770429098,)
44 	100  	104.541	240.274	6.31695	1220.4  (6.3169541742964714,)
45 	100  	100.06 	233.651	6.41573	1244.19 (6.3169541742964714,)
46 	100  	98.1647	231.384	6.22642	1196.78 (6.2264162924580759,)
47 	100  	98.1608	232.906	6.06651	1285.69 (6.0665056485754585,)
48 	100  	100.828	236.489	6.02252	1329.07 (6.0225185133300938,)
49 	100  	99.545 	226.211	6.12105	1263.63 (6.0225185133300938,)
50 	100  	97.9336	226.697	6.2511 	1297.24 (6.0225185133300938,)
51 	100  	93.0111	220.296	6.15599	1180.31 (6.0225185133300938,)
52 	100  	88.0503	216.422	5.92142	1241.14 (5.9214204858155179,)
53 	100  	85.8885	209.998	5.93121	1232.17 (5.9214204858155179,)
54 	100  	87.4865	215.851	6.06288	1291.1  (5.9214204858155179,)
55 	100  	84.8456	215.336	5.76346	1244.32 (5.7634602697111905,)
56 	100  	83.7033	216.181	5.64581	1316.77 (5.6458093099051654,)
57 	100  	82.1636	210.158	5.5846 	1202.42 (5.5845980201341954,)
58 	100  	87.2116	215.845	5.80055	1303.3  (5.5845980201341954,)
59 	100  	84.6638	211.75 	5.62908	1222.63 (5.5845980201341954,)
60 	100  	81.9695	209.401	5.47333	1190.62 (5.4733270320761385,)
61 	100  	83.4409	209.058	5.59814	1250.66 (5.4733270320761385,)
62 	100  	79.7855	206.723	5.36241	1250.59 (5.3624127844501377,)
63 	100  	77.0165	198.514	5.44583	1192.11 (5.3624127844501377,)
