In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1142.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min    	max 
0  	100  	845.006	375.146	150.021	1747 (150.02130375223086,)
1  	100  	nan    	nan    	nan    	nan  (130.43924281606979,)
2  	100  	nan    	nan    	nan    	nan  (73.086677525633306,)
3  	100  	828.487	407.079	87.138 	1678.43 (73.086677525633306,)
4  	100  	nan    	nan    	nan    	nan     (45.386391539802645,)
5  	100  	805.928	423.382	47.1016	1801    (45.386391539802645,)
6  	100  	788.868	419.445	47.5742	1676.85 (45.386391539802645,)
7  	100  	777.226	435.364	39.5872	1804.67 (39.587162855634595,)
8  	100  	756.3  	437.209	46.2463	1817.95 (39.587162855634595,)
9  	100  	725.208	435.989	39.7168	1739.86 (39.587162855634595,)
10 	100  	696.549	430.103	37.6502	1839.2  (37.650165096951966,)
11 	100  	664.893	422.647	41.7709	1841.53 (37.650165096951966,)
12 	100  	623.817	424.953	47.0714	1838.58 (37.650165096951966,)
13 	100  	600.426	421.671	30.7428	1841.12 (30.742830351393927,)
14 	100  	579.275	404.113	28.9296	1733.65 (28.929631810895916,)
15 	100  	550.496	382.884	26.5811	1547.41 (26.581117794909936,)
16 	100  	495.697	392.783	29.5582	1668.29 (26.581117794909936,)
17 	100  	464.033	388.01 	31.0581	1693.77 (26.581117794909936,)
18 	100  	439.463	386.935	22.0731	1629.15 (22.073096426211215,)
19 	100  	438.533	381.399	22.1961	1582.75 (22.073096426211215,)
20 	100  	407.403	388.277	23.1177	1526.8  (22.073096426211215,)
21 	100  	399.367	387.898	23.8707	1655.02 (22.073096426211215,)
22 	100  	370.014	378.807	21.107 	1712.55 (21.107041089402223,)
23 	100  	344.317	394.421	21.7419	1722.6  (21.107041089402223,)
24 	100  	324.286	395.542	21.581 	1723.46 (21.107041089402223,)
25 	100  	303.763	395.399	21.3813	1698.32 (21.107041089402223,)
26 	100  	279.344	400.708	20.6296	1754.53 (20.629638796432374,)
27 	100  	264.767	388.405	21.5771	1726.38 (20.629638796432374,)
28 	100  	245.563	377.839	19.9987	1788.37 (19.998706490592618,)
29 	100  	224.662	366.245	19.8855	1700.94 (19.885535934067679,)
30 	100  	218.39 	384.598	20.1029	1740.97 (19.885535934067679,)
31 	100  	216.101	387.728	19.6189	1730.69 (19.618853523590065,)
32 	100  	207.06 	389.218	19.6432	1788.45 (19.618853523590065,)
33 	100  	199.599	379.506	19.547 	1745.77 (19.547049366100879,)
34 	100  	190.966	361.902	19.0512	1741.09 (19.051202780625712,)
35 	100  	189.977	367.354	18.9378	1722.1  (18.937846629119552,)
36 	100  	189.931	371.52 	18.8517	1720.61 (18.851676398381638,)
37 	100  	177.66 	346.205	19.1605	1522.26 (18.851676398381638,)
38 	100  	176.288	357.096	18.5302	1650.84 (18.530153819073682,)
39 	100  	174.921	362.141	18.3598	1770.42 (18.359828891451045,)
40 	100  	179.467	363.587	18.1559	1570.26 (18.155911302613827,)
41 	100  	179.816	356.865	17.9982	1779.38 (17.99822389299602,)
42 	100  	186.937	372.051	17.9809	1762.94 (17.980913547357613,)
43 	100  	181.478	383.159	18.0577	1787.72 (17.980913547357613,)
44 	100  	173.987	370.532	17.9322	1747.28 (17.932218542868224,)
45 	100  	172.684	361.877	17.6118	1735.08 (17.611750206090779,)
46 	100  	161.842	348.8  	17.5412	1601.24 (17.54121926029369,)
47 	100  	153.878	333.068	17.6521	1656.31 (17.54121926029369,)
48 	100  	149.877	333.093	17.5923	1757.83 (17.54121926029369,)
49 	100  	156.171	342.059	17.5717	1732.53 (17.54121926029369,)
50 	100  	154.551	335.311	17.523 	1574.79 (17.522953888709537,)
51 	100  	156.739	334.802	17.848 	1613.85 (17.522953888709537,)
52 	100  	152.812	326.098	17.3488	1542.49 (17.348796442507954,)
53 	100  	150.111	326.898	17.2945	1565.45 (17.294452179205702,)
54 	100  	152.013	330.529	17.5321	1616.43 (17.294452179205702,)
55 	100  	139.54 	306.274	17.5245	1615.66 (17.294452179205702,)
56 	100  	138.725	307.179	17.1941	1604.51 (17.194065955384826,)
57 	100  	144.576	317.73 	17.3076	1611.83 (17.194065955384826,)
58 	100  	146.404	334.484	17.1673	1598.89 (17.16726228938964,)
59 	100  	147.169	338.852	17.1542	1587.57 (17.154177585847041,)
60 	100  	142.285	327.278	17.1444	1507.6  (17.144423122466012,)
61 	100  	150.914	341.661	16.8396	1489.45 (16.839647657207966,)
62 	100  	160.021	356.198	17.0242	1633.24 (16.839647657207966,)
63 	100  	157.011	362.352	16.7756	1678.12 (16.775571101405706,)
64 	100  	149.392	336.321	16.7736	1475.62 (16.773628009809368,)
65 	100  	140.943	319.445	16.8012	1488.83 (16.773628009809368,)
66 	100  	144.321	324.618	16.7229	1583.25 (16.722938034360155,)
67 	100  	148.856	335.825	16.6102	1558.81 (16.610238980513294,)
