In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1150.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg	std	min	max
0  	100  	nan	nan	nan	nan (56.297514079334661,)
1  	100  	782.275	380.414	53.4198	1665.23 (53.419795272751543,)
2  	100  	785.903	370.683	47.3326	1631.26 (47.332555228308209,)
3  	100  	762.415	368.685	47.3404	1561.94 (47.332555228308209,)
4  	100  	736.343	375.55 	51.247 	1562.2  (47.332555228308209,)
5  	100  	716.874	384.307	47.2303	1623.8  (47.230315916235476,)
6  	100  	695.712	386.168	47.9004	1496.43 (47.230315916235476,)
7  	100  	674.873	388.153	47.3649	1553.36 (47.230315916235476,)
8  	100  	655.498	383.29 	48.953 	1478.62 (47.230315916235476,)
9  	100  	643.797	387.563	21.7601	1611.56 (21.760104583874639,)
10 	100  	620.574	376.378	21.2861	1415.13 (21.286131946723049,)
11 	100  	592.308	375.897	21.0874	1607.16 (21.087366603548958,)
12 	100  	561.002	361.559	20.6559	1489.61 (20.655855445713385,)
13 	100  	548.93 	368.371	23.0075	1719.35 (20.655855445713385,)
14 	100  	527.489	359.616	24.3351	1598.81 (20.655855445713385,)
15 	100  	508.376	359.912	22.663 	1648.23 (20.655855445713385,)
16 	100  	483.951	356.611	19.2375	1502.13 (19.237468586143223,)
17 	100  	466.356	361.991	18.4742	1578.57 (18.474167272956848,)
18 	100  	441.684	357.853	19.412 	1558.01 (18.474167272956848,)
19 	100  	420.267	341.232	17.7156	1674.13 (17.715565536043034,)
20 	100  	394.686	338.992	18.471 	1507.14 (17.715565536043034,)
21 	100  	375.851	342.151	22.4578	1515.58 (17.715565536043034,)
22 	100  	342.214	332.688	18.9758	1378.72 (17.715565536043034,)
23 	100  	319.604	321.846	18.5667	1457.18 (17.715565536043034,)
24 	100  	303.366	324.174	18.609 	1602.48 (17.715565536043034,)
25 	100  	278.294	332.11 	20.3297	1709.57 (17.715565536043034,)
26 	100  	266.481	332.526	18.8307	1562.83 (17.715565536043034,)
27 	100  	259.065	336.046	19.6623	1557.21 (17.715565536043034,)
28 	100  	246.143	331.382	18.4117	1453.22 (17.715565536043034,)
29 	100  	227.391	322.016	17.3247	1605.98 (17.324736806058315,)
30 	100  	219.324	327.194	16.3509	1648.32 (16.350932790760545,)
31 	100  	212.448	322.494	16.4367	1612.57 (16.350932790760545,)
32 	100  	202.861	317.133	16.1654	1602.97 (16.165381303133742,)
33 	100  	188.829	302.296	16.0784	1455.1  (16.078425714553514,)
34 	100  	179.585	293.625	15.8631	1445.11 (15.863101895489393,)
35 	100  	178.671	296.142	16.0956	1557.49 (15.863101895489393,)
36 	100  	167.021	286.472	15.6824	1345.94 (15.682365128756979,)
37 	100  	166.353	292.047	15.4605	1606.8  (15.46052848741641,)
38 	100  	159.78 	292.14 	15.3862	1631.88 (15.386198199833336,)
39 	100  	151.956	286.8  	14.9798	1551.77 (14.979755637236448,)
40 	100  	148.631	285.911	14.8729	1426.81 (14.872911782415406,)
41 	100  	146.341	277.66 	14.8763	1345.63 (14.872911782415406,)
42 	100  	146.735	288.975	14.6703	1552.28 (14.670292126060106,)
43 	100  	140.533	284.334	14.7591	1561.89 (14.670292126060106,)
44 	100  	147.113	289.923	14.4507	1597.29 (14.450743988344069,)
45 	100  	145.091	289.637	14.2049	1584.54 (14.204886043858671,)
46 	100  	140.321	290.198	14.1744	1595.31 (14.174425733224437,)
47 	100  	139.995	281.581	13.9172	1443.01 (13.91716658776504,)
48 	100  	143.934	293.973	13.2718	1631.94 (13.271824158058902,)
49 	100  	142.84 	286.041	12.7317	1473.44 (12.731708122171682,)
50 	100  	136.355	285.142	12.1382	1546.67 (12.138246993705604,)
51 	100  	132.984	278.228	11.9401	1538.21 (11.940149101572869,)
52 	100  	133.581	278.955	11.8136	1571.97 (11.813595317983859,)
53 	100  	136.986	278.52 	11.3785	1513.58 (11.378457829839409,)
54 	100  	140.391	274.851	11.5813	1426.48 (11.378457829839409,)
55 	100  	140.817	279.995	11.3764	1202.85 (11.376360032493224,)
56 	100  	138.766	285.736	10.4292	1429.16 (10.429163887210603,)
57 	100  	142.112	289.396	10.1482	1568.68 (10.14820723205235,)
58 	100  	141.33 	286.636	9.92275	1509.56 (9.9227476606376452,)
59 	100  	136.989	280.826	10.0182	1289.29 (9.9227476606376452,)
60 	100  	134.829	279.272	10.2719	1257.02 (9.9227476606376452,)
61 	100  	128.811	271.109	10.0916	1264.75 (9.9227476606376452,)
62 	100  	128.505	266.666	9.85064	1219.45 (9.8506449591206575,)
63 	100  	123.432	261.065	9.44361	1167.97 (9.443614352615965,)
64 	100  	126.233	262.383	9.4166 	1229.68 (9.4165982843108278,)
65 	100  	120.631	252.981	9.52942	1191.54 (9.4165982843108278,)
66 	100  	113.546	244.528	8.92812	1210.52 (8.9281170585843395,)
67 	100  	109.955	233.986	8.9067 	1166.29 (8.906702492284774,)
68 	100  	119.023	247.245	8.70155	1195.04 (8.701547486660326,)
69 	100  	119.335	261.13 	8.81718	1327.65 (8.701547486660326,)
70 	100  	118.811	250.868	8.70442	1294.96 (8.701547486660326,)
71 	100  	112.591	247.148	8.38006	1203.41 (8.3800611587487364,)
72 	100  	115.862	249.748	8.43516	1187.5  (8.3800611587487364,)
73 	100  	117.387	250.061	8.6958 	1253.47 (8.3800611587487364,)
74 	100  	115.611	252.935	8.38683	1285.44 (8.3800611587487364,)
75 	100  	112.171	242.753	8.24985	1311.95 (8.2498476924935691,)
76 	100  	103.983	234.24 	8.49411	1353.72 (8.2498476924935691,)
77 	100  	104.331	227.096	8.03138	1267.59 (8.0313757512641804,)
78 	100  	96.4416	224.812	8.09811	1255.14 (8.0313757512641804,)
79 	100  	96.9834	225.148	8.28007	1149.5  (8.0313757512641804,)
80 	100  	98.4123	235.235	8.25036	1105.59 (8.0313757512641804,)
81 	100  	101.72 	254.8  	7.98542	1452.29 (7.9854158744337473,)
82 	100  	101.328	244.844	7.88518	1210.19 (7.8851828458907125,)
83 	100  	97.8536	233.791	7.99807	1137.47 (7.8851828458907125,)
84 	100  	99.104 	239.073	7.77626	1225.9  (7.7762578536609492,)
85 	100  	98.1442	236.455	7.80661	1188.33 (7.7762578536609492,)
86 	100  	95.8201	228.94 	7.54956	1241.06 (7.5495560292839228,)
87 	100  	101.178	241.411	7.574  	1258.31 (7.5495560292839228,)
88 	100  	101.161	228.758	7.6399 	1138.35 (7.5495560292839228,)
89 	100  	105.92 	253.75 	7.46702	1419.85 (7.4670201759961952,)
90 	100  	106.22 	257.06 	7.76582	1316.54 (7.4670201759961952,)
91 	100  	102.647	247.879	7.64388	1177.33 (7.4670201759961952,)
92 	100  	105.457	251.108	7.55838	1174.08 (7.4670201759961952,)
93 	100  	101.329	242.567	7.63735	1201.51 (7.4670201759961952,)
94 	100  	101.06 	235.793	7.71372	1260.87 (7.4670201759961952,)
95 	100  	102.315	249.719	7.77276	1316.33 (7.4670201759961952,)
96 	100  	101.472	240.449	7.47311	1262.47 (7.4670201759961952,)
97 	100  	101.881	240.068	7.48392	1262.57 (7.4670201759961952,)
98 	100  	98.4203	233.644	7.49715	1272.57 (7.4670201759961952,)
99 	100  	106.214	247.407	7.57261	1341.5  (7.4670201759961952,)
100	100  	98.2162	232.89 	7.53916	1289.99 (7.4670201759961952,)
101	100  	97.1127	232.339	7.41506	1200.55 (7.4150619068385355,)
102	100  	92.1938	231.252	7.33656	1216.8  (7.3365643371499827,)
103	100  	100.241	234.158	7.30578	1219.39 (7.3057759942380605,)
104	100  	102.901	241.215	7.33714	1200.64 (7.3057759942380605,)
105	100  	101.094	236.535	7.24293	1278.71 (7.242927478862093,)
106	100  	96.4014	226.512	7.28375	1133.1  (7.242927478862093,)
107	100  	92.1783	220.765	7.23629	1166.14 (7.2362888917050068,)
108	100  	100.787	238.063	7.27359	1240.17 (7.2362888917050068,)
109	100  	99.6922	245.524	7.30814	1354.08 (7.2362888917050068,)
110	100  	94.7867	233.594	7.2225 	1321.98 (7.2224991904551388,)
111	100  	97.0444	230.144	7.32361	1357.19 (7.2224991904551388,)
112	100  	98.8738	237.134	7.41143	1301.93 (7.2224991904551388,)
113	100  	99.7354	236.278	7.36625	1291.11 (7.2224991904551388,)
114	100  	98.078 	233.511	7.24406	1284.79 (7.2224991904551388,)
115	100  	100.824	235.649	7.195  	1325.88 (7.1949953662974977,)
116	100  	94.7365	229.194	7.30265	1335.36 (7.1949953662974977,)
117	100  	99.6224	234.605	7.13652	1300.3  (7.1365179774217511,)
118	100  	101.079	236.538	7.17491	1303.82 (7.1365179774217511,)
119	100  	106.34 	246.221	7.29133	1330.14 (7.1365179774217511,)
120	100  	104.317	236.264	7.16522	1233.93 (7.1365179774217511,)
121	100  	107.373	257.392	7.22541	1239.34 (7.1365179774217511,)
122	100  	104.328	249.47 	7.08742	1176.21 (7.0874171587569732,)
123	100  	109.007	255.521	7.07443	1284.74 (7.0744308919740924,)
124	100  	107.22 	250.632	7.09486	1280.58 (7.0744308919740924,)
125	100  	98.5813	227.071	7.12934	1225.28 (7.0744308919740924,)
126	100  	99.5731	231    	7.20287	1168.41 (7.0744308919740924,)
127	100  	95.1984	227.354	7.05441	1217.05 (7.054411085375814,)
128	100  	101.119	233.708	7.19405	1230.53 (7.054411085375814,)
129	100  	99.1318	231.869	7.11394	1292.24 (7.054411085375814,)
130	100  	96.2151	222.582	7.18288	1123.63 (7.054411085375814,)
131	100  	94.8173	226.647	7.03436	1204.98 (7.0343626671238875,)
132	100  	98.1039	221.805	6.88954	1105.84 (6.8895429261015089,)
133	100  	97.502 	226.587	7.06738	1205.09 (6.8895429261015089,)
134	100  	95.6112	233.145	6.98688	1304.81 (6.8895429261015089,)
135	100  	97.7955	236.778	6.91655	1338.65 (6.8895429261015089,)
136	100  	92.8876	215.774	6.93383	1141.92 (6.8895429261015089,)
137	100  	91.7686	219.664	6.79878	1229.98 (6.7987795017028061,)
138	100  	91.8934	219.198	6.86896	1270.56 (6.7987795017028061,)
139	100  	93.3003	217.493	7.06318	1164.21 (6.7987795017028061,)
