In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1179.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std    	min  	max    
0  	100  	850.66	350.543	186.5	1678.02 (186.49969675185724,)
1  	100  	852.343	357.025	97.0216	1678.04 (97.021649102044321,)
2  	100  	842.74 	354.826	107.249	1647.67 (97.021649102044321,)
3  	100  	841.316	349.251	88.2642	1613.29 (88.264229029902197,)
4  	100  	nan    	nan    	nan    	nan     (71.247053690128496,)
5  	100  	820.413	362.331	98.6267	1516.57 (71.247053690128496,)
6  	100  	807.408	373.083	40.4537	1489.52 (40.453724786268815,)
7  	100  	792.977	378.027	43.4543	1509.54 (40.453724786268815,)
8  	100  	783.244	380.331	40.7368	1567.5  (40.453724786268815,)
9  	100  	771.908	389.902	35.238 	1560.08 (35.237995226628122,)
10 	100  	738.234	394.038	42.9369	1704.6  (35.237995226628122,)
11 	100  	708.387	408.431	32.4341	1755.12 (32.434110046490403,)
12 	100  	679.649	418.288	33.5264	1826.05 (32.434110046490403,)
13 	100  	653.791	411.336	27.6898	1695.9  (27.689757355690062,)
14 	100  	656.743	422.562	39.9605	1709.55 (27.689757355690062,)
15 	100  	660.744	408.332	34.5508	1637.6  (27.689757355690062,)
16 	100  	656.35 	402.1  	28.6102	1810.4  (27.689757355690062,)
17 	100  	647.094	398.972	31.2328	1671.38 (27.689757355690062,)
18 	100  	622.664	390.803	20.8432	1699.82 (20.843200289307635,)
19 	100  	572.617	388.088	19.1898	1690.18 (19.189760470884902,)
20 	100  	532.064	379.279	25.2308	1694.28 (19.189760470884902,)
21 	100  	511.765	387.029	19.2456	1702.12 (19.189760470884902,)
22 	100  	469.845	390.367	24.3018	1659.27 (19.189760470884902,)
23 	100  	449.87 	384.185	19.4212	1730.84 (19.189760470884902,)
24 	100  	416.753	383.677	19.9078	1653.23 (19.189760470884902,)
25 	100  	388.991	393.041	19.063 	1706.87 (19.063009295432085,)
26 	100  	364.449	398.208	18.3252	1697.59 (18.325241048117615,)
27 	100  	346.316	392.377	15.4584	1647.34 (15.458378679432174,)
28 	100  	329.446	391.489	14.466 	1652.61 (14.465953501255417,)
29 	100  	308.282	406.569	14.2878	1694.09 (14.287833734253967,)
30 	100  	277.996	410.778	13.7088	1753.98 (13.708760203629197,)
31 	100  	255.793	395.851	13.0411	1618.48 (13.041071138961852,)
32 	100  	255.268	409.329	12.1417	1712.87 (12.141652129431435,)
33 	100  	246.823	409.974	12.1264	1692.27 (12.126434197797954,)
34 	100  	235.778	398.171	11.974 	1630.9  (11.973970464474991,)
35 	100  	225.614	396.843	11.8081	1600.86 (11.808137096845188,)
36 	100  	213.66 	383.375	11.1459	1652.26 (11.145874756348872,)
37 	100  	212.642	394.225	10.4204	1679.54 (10.420424478882323,)
38 	100  	213.972	402.444	10.6196	1714.04 (10.420424478882323,)
39 	100  	202.022	385.933	10.4224	1662.79 (10.420424478882323,)
40 	100  	185.523	361.447	10.5249	1598.98 (10.420424478882323,)
41 	100  	179.9  	358.175	10.3665	1592.42 (10.36649759155814,)
42 	100  	176.802	364.281	9.94872	1725.32 (9.9487245417145083,)
43 	100  	174.391	363.893	10.125 	1742.08 (9.9487245417145083,)
44 	100  	169.208	365.922	9.88943	1647.91 (9.889431596057193,)
45 	100  	167.834	363.561	10.1048	1733.85 (9.889431596057193,)
46 	100  	171.158	369.93 	9.72151	1750.34 (9.7215081184484191,)
47 	100  	172.99 	378.928	9.87229	1698.33 (9.7215081184484191,)
48 	100  	167.944	367.932	9.5675 	1602.74 (9.567504761442196,)
49 	100  	158.314	353.056	9.51146	1447.38 (9.5114616192667487,)
50 	100  	155.532	355.139	9.40348	1622.32 (9.4034823004464663,)
51 	100  	150.222	337.415	9.12502	1547.01 (9.125017481282498,)
52 	100  	152.828	349.122	9.30902	1550.53 (9.125017481282498,)
53 	100  	150.313	351.225	9.09834	1651.48 (9.0983369182612783,)
54 	100  	157.52 	368.748	9.12307	1767.47 (9.0983369182612783,)
55 	100  	154.691	366.189	9.01847	1703.82 (9.0184696254667926,)
56 	100  	150.51 	343.624	8.8509 	1573.5  (8.8508954751490343,)
57 	100  	146.567	347.516	8.93628	1606.11 (8.8508954751490343,)
58 	100  	143.197	346.178	8.80132	1649.64 (8.8013157826004029,)
59 	100  	140.662	352.537	8.98629	1667.51 (8.8013157826004029,)
60 	100  	137.667	349.651	8.74157	1664.62 (8.7415687346710058,)
61 	100  	141.503	354.101	8.56446	1661.41 (8.5644575671232666,)
62 	100  	142.246	355.759	8.52705	1721.3  (8.5270526608645696,)
63 	100  	145.181	358.363	8.48828	1702.2  (8.4882771379567767,)
64 	100  	142.238	357.361	8.65204	1669.78 (8.4882771379567767,)
65 	100  	140.862	350.653	8.43562	1580.64 (8.4356215358130306,)
66 	100  	134.879	345.032	8.35725	1637.63 (8.3572500674819441,)
67 	100  	143.242	360.118	8.3588 	1712.96 (8.3572500674819441,)
68 	100  	142.861	358.84 	8.52176	1713.58 (8.3572500674819441,)
69 	100  	131.242	334.312	8.43119	1674.05 (8.3572500674819441,)
70 	100  	134.574	335.309	8.28864	1607.3  (8.2886359946515604,)
71 	100  	131.949	327.385	8.18933	1605.58 (8.1893302186782044,)
72 	100  	135.236	341.038	8.31687	1703.74 (8.1893302186782044,)
73 	100  	132.075	330.485	8.17421	1626.1  (8.1742059981583459,)
74 	100  	135.424	340.517	8.23054	1641.7  (8.1742059981583459,)
75 	100  	138.091	354.641	8.16629	1707.86 (8.1662887649876961,)
76 	100  	130.041	339.139	8.02046	1719.16 (8.0204642658786209,)
77 	100  	142.747	362.613	8.18154	1661.2  (8.0204642658786209,)
78 	100  	143.27 	367.316	8.11618	1714.47 (8.0204642658786209,)
79 	100  	141.203	360.617	8.24684	1720.89 (8.0204642658786209,)
80 	100  	140.051	359.017	8.32177	1737.34 (8.0204642658786209,)
81 	100  	137.875	346.5  	8.07548	1644.26 (8.0204642658786209,)
82 	100  	138.928	362.529	8.08939	1724.98 (8.0204642658786209,)
83 	100  	139.715	360.035	8.37593	1751.69 (8.0204642658786209,)
84 	100  	140.344	358.761	8.04754	1750.16 (8.0204642658786209,)
85 	100  	137.879	345.181	7.97878	1544.81 (7.9787848183083518,)
86 	100  	136.707	354.001	7.99929	1713.18 (7.9787848183083518,)
87 	100  	135.585	348.365	8.137  	1687.98 (7.9787848183083518,)
88 	100  	138.769	357.401	7.86175	1663.71 (7.861746612496769,)
89 	100  	138.014	347.831	7.69839	1611.16 (7.6983931740820202,)
90 	100  	139.02 	350.145	7.76048	1709.45 (7.6983931740820202,)
91 	100  	136.707	352.573	7.64417	1596.21 (7.6441734932455159,)
