In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1181.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max    
0  	100  	890.641	359.122	147.88	1674.88 (147.88033038665668,)
1  	100  	877.629	383.394	143.545	1755.72 (143.544543410524,)
2  	100  	857.426	402.377	118.933	1676.55 (118.93261007538737,)
3  	100  	837.782	398.699	42.1268	1672.29 (42.126761517801846,)
4  	100  	817.659	400.912	74.9707	1571.34 (42.126761517801846,)
5  	100  	793.731	401.116	58.4698	1575.51 (42.126761517801846,)
6  	100  	757.795	402.418	57.5978	1525.65 (42.126761517801846,)
7  	100  	735.673	406.185	41.2493	1523.21 (41.249261481930255,)
8  	100  	730.905	426.239	33.4862	1616.5  (33.486238368600908,)
9  	100  	722.598	442.472	36.0625	1494.88 (33.486238368600908,)
10 	100  	717.846	471.057	41.1082	1682.1  (33.486238368600908,)
11 	100  	705.398	478.618	29.1868	1740.71 (29.186767678060267,)
12 	100  	701.891	486.622	27.2649	1772.18 (27.264920810678355,)
13 	100  	647.652	471.541	24.8187	1593.1  (24.818729102887893,)
14 	100  	599.731	462.809	22.8043	1615.78 (22.804288345274554,)
15 	100  	562.829	455.592	23.5084	1593.72 (22.804288345274554,)
16 	100  	526.486	441.187	22.3189	1729.81 (22.31886190768072,)
17 	100  	482.881	438.887	19.6035	1767.36 (19.603548135431769,)
18 	100  	442.454	432.966	23.1322	1751.33 (19.603548135431769,)
19 	100  	407.691	427.303	18.7685	1568.85 (18.768512458269527,)
20 	100  	387.537	428.136	17.8519	1663.67 (17.85189988485962,)
21 	100  	364.126	436.246	18.7056	1672.1  (17.85189988485962,)
22 	100  	332.309	425.45 	20.3011	1718.53 (17.85189988485962,)
23 	100  	309.305	427.68 	20.1471	1754.43 (17.85189988485962,)
24 	100  	288.865	407.367	17.9006	1725.36 (17.85189988485962,)
25 	100  	272.561	404.541	17.1427	1635.89 (17.142749852526322,)
26 	100  	251.124	397.501	16.6305	1709.64 (16.630487285869989,)
27 	100  	242.389	412.921	15.9733	1658.51 (15.973326808009773,)
28 	100  	230.315	404.459	15.6263	1639.29 (15.626313647440767,)
29 	100  	217.492	403.329	15.1191	1664.67 (15.119133547213053,)
30 	100  	210.845	405.888	14.6343	1745.46 (14.634286839122387,)
31 	100  	199.766	390.789	14.3997	1669.34 (14.399664361878676,)
32 	100  	194.743	385.788	14.071 	1612.28 (14.070995915971535,)
33 	100  	188.19 	387.145	13.8809	1675.55 (13.880933405051112,)
34 	100  	188.504	388.356	13.2487	1713.61 (13.248711228862286,)
35 	100  	181.993	382.53 	13.0602	1617.65 (13.060172259664439,)
36 	100  	181.872	377.075	12.9841	1627.23 (12.984120393044105,)
37 	100  	183.933	392.805	12.3548	1589.08 (12.354849337217187,)
38 	100  	174.502	376.895	12.569 	1611.63 (12.354849337217187,)
39 	100  	173.63 	377.245	12.0243	1705.64 (12.024289103873338,)
40 	100  	180.495	386.447	12.5127	1531.16 (12.024289103873338,)
41 	100  	175.25 	369.918	12.0926	1492.01 (12.024289103873338,)
42 	100  	179.672	386.19 	11.8869	1721.31 (11.886948766422623,)
43 	100  	172.579	377.391	11.4701	1634.32 (11.470132184290783,)
44 	100  	163.265	356.283	11.3665	1659.21 (11.366534776907296,)
45 	100  	158.414	339.15 	11.561 	1434.4  (11.366534776907296,)
46 	100  	158.41 	343.526	10.9212	1641.68 (10.92119161255461,)
47 	100  	161.401	365.434	10.8638	1716.11 (10.86382483923582,)
48 	100  	163.542	378.041	10.5768	1727.29 (10.576844116026878,)
49 	100  	161.356	370.224	10.2373	1732.05 (10.237333069747393,)
50 	100  	148.736	350.189	10.5055	1708.05 (10.237333069747393,)
51 	100  	146.651	342.175	10.4339	1712.02 (10.237333069747393,)
52 	100  	151.186	358.335	10.2165	1723.56 (10.216540732748314,)
53 	100  	146.703	346.965	9.94006	1696.6  (9.9400637314531242,)
54 	100  	144.424	342.512	9.71905	1685.54 (9.7190495644556751,)
55 	100  	144.564	334.592	9.76991	1687.87 (9.7190495644556751,)
56 	100  	149.253	350.274	9.83961	1647.34 (9.7190495644556751,)
57 	100  	141.855	334.495	9.68435	1667.83 (9.6843520500112152,)
58 	100  	143.06 	349.516	9.64248	1762.21 (9.6424815317043766,)
59 	100  	142.774	349.876	9.4815 	1703.11 (9.4815022158153912,)
60 	100  	134.088	330.013	9.50201	1690.8  (9.4815022158153912,)
61 	100  	125.813	319.132	9.43362	1716.81 (9.43362195665458,)
62 	100  	120.399	315.205	9.29372	1693.8  (9.2937211817819865,)
63 	100  	118.357	304.612	9.52542	1639.04 (9.2937211817819865,)
64 	100  	120.021	323.505	9.53171	1679.55 (9.2937211817819865,)
65 	100  	121.361	321.993	9.18218	1674.37 (9.1821815262325917,)
66 	100  	117.629	321.788	8.77446	1711.85 (8.7744614975875415,)
67 	100  	119.28 	333.086	8.38337	1709.25 (8.3833699495913727,)
68 	100  	119.429	327.908	8.01972	1687.56 (8.0197151822115256,)
69 	100  	119.825	316.505	8.01828	1648.34 (8.0182761941437821,)
70 	100  	120.081	317.101	8.35923	1702.71 (8.0182761941437821,)
71 	100  	120.077	322.068	8.18879	1658.25 (8.0182761941437821,)
72 	100  	111.549	293.801	8.03851	1591.63 (8.0182761941437821,)
73 	100  	111.412	299.303	7.95586	1596.64 (7.955857084452493,)
74 	100  	104.94 	284.39 	8.16168	1600.47 (7.955857084452493,)
75 	100  	106.539	282.838	7.89401	1639.37 (7.8940053326696544,)
