In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1816.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg   	std   	min   	max    
0  	100  	1146.7	324.24	269.89	1792.81 (269.89049501029933,)
1  	100  	1131.39	330.051	297.233	1765.38 (269.89049501029933,)
2  	100  	1071.01	341.474	240.829	1729.13 (240.82926448029437,)
3  	100  	982.84 	351.511	280.541	1654.42 (240.82926448029437,)
4  	100  	893.182	365.489	226.142	1594.28 (226.1418121800794,)
5  	100  	789.857	366.076	220.069	1578.23 (220.06911762000254,)
6  	100  	689.121	375.353	196.615	1639.24 (196.61459486212436,)
7  	100  	560.517	370.533	172.42 	1616.67 (172.41988004327808,)
8  	100  	462.567	351.989	166.61 	1549.61 (166.61045897251091,)
9  	100  	394.528	345.91 	155.674	1556.34 (155.67414059437479,)
10 	100  	374.459	362.177	154.225	1578.32 (154.22504386472158,)
11 	100  	339.303	351.587	141.154	1603.77 (141.1541377671445,)
12 	100  	330.905	338.171	139.645	1503.8  (139.64460580075524,)
13 	100  	337.25 	347.423	135.117	1574.16 (135.1165495024662,)
14 	100  	316.386	345.555	133.687	1586.47 (133.68662814036506,)
15 	100  	304.198	346.519	129.681	1570.41 (129.68086954693192,)
16 	100  	300.408	337.168	126.234	1607.54 (126.23379415170211,)
17 	100  	293.429	322.331	124.964	1489.44 (124.96421860797622,)
18 	100  	271.739	297.131	123.859	1476.88 (123.85864737876716,)
19 	100  	282.517	259.339	125.726	1499.13 (123.85864737876716,)
20 	100  	268.738	281.901	124.266	1576.45 (123.85864737876716,)
21 	100  	266.149	261.465	124.227	1541.66 (123.85864737876716,)
22 	100  	262.709	272.898	122.814	1626.85 (122.81369840809772,)
23 	100  	266.332	244.263	125.511	1465.67 (122.81369840809772,)
24 	100  	260.16 	257.048	122.453	1512.49 (122.45275077053633,)
25 	100  	249.223	235.359	121.324	1410.31 (121.32420089202712,)
26 	100  	249.946	229.335	122.205	1451.11 (121.32420089202712,)
27 	100  	253.107	233.822	120.465	1483.72 (120.46548397100679,)
28 	100  	241.75 	225.49 	121.283	1488.19 (120.46548397100679,)
29 	100  	269.733	244.551	120.767	1580.86 (120.46548397100679,)
30 	100  	255.565	244.316	122.575	1469.19 (120.46548397100679,)
31 	100  	246.314	235.09 	120.891	1438.83 (120.46548397100679,)
