In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1825.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std    	min   	max    
0  	100  	1093.82	311.486	464.73	1769.67 (464.73011858493237,)
1  	100  	1088.52	313.82 	449.952	1716.31 (449.9522664061563,)
2  	100  	1025.05	297.688	491.274	1611.23 (449.9522664061563,)
3  	100  	916.821	283.438	351.904	1618.53 (351.90409190613838,)
4  	100  	826.565	285.648	375.138	1503.31 (351.90409190613838,)
5  	100  	706.36 	264.14 	326.181	1386.92 (326.18065528892276,)
6  	100  	546.091	247.035	268.829	1292.87 (268.82920215290744,)
7  	100  	452.601	199.181	251.081	1006.44 (251.08109787490679,)
8  	100  	351.066	173.8  	206.175	1123.98 (206.1750759800357,)
9  	100  	276.17 	145.215	204.282	1189.58 (204.28225602058055,)
10 	100  	250.265	135.93 	193.486	1125.56 (193.48569035237921,)
11 	100  	241.521	126.535	186.908	1084.78 (186.90781124045927,)
12 	100  	228.678	126.619	185.244	1254.49 (185.24402794078426,)
13 	100  	229.572	141.574	184.866	1277.83 (184.86587724395926,)
14 	100  	226.639	117.073	181.425	1143.51 (181.42498114668052,)
15 	100  	234.269	133.758	178.506	1298.79 (178.50584386032062,)
16 	100  	226.404	108.718	179.175	1097.18 (178.50584386032062,)
17 	100  	224.018	112.47 	178.375	1130.74 (178.37457984465837,)
18 	100  	227.297	122.945	177.169	1318.96 (177.16907461060649,)
19 	100  	227.978	107.355	175.326	1187.36 (175.32623758883477,)
20 	100  	228.525	108.242	174.009	1201.84 (174.00931573193128,)
21 	100  	229.071	115.521	172.311	1239.17 (172.31077056302328,)
22 	100  	226.312	125.516	172.395	1369.37 (172.31077056302328,)
23 	100  	231.503	119.989	169.888	1323.71 (169.88795031260008,)
24 	100  	240.56 	110.807	169.761	1115.49 (169.7608633654113,)
25 	100  	224.914	107.949	170.115	1210.51 (169.7608633654113,)
26 	100  	223.357	112.633	169.734	1227.21 (169.73411521017547,)
27 	100  	226.797	129.75 	167.628	1414.47 (167.62832192619453,)
28 	100  	235.401	126.108	166.607	1289.38 (166.60674435522944,)
29 	100  	232.219	139.493	166.381	1438.95 (166.38054694398963,)
30 	100  	222.426	119.947	167.13 	1288.34 (166.38054694398963,)
31 	100  	221.93 	111.798	165.842	1256.39 (165.84195225693097,)
32 	100  	244.932	129.616	165.809	1326.56 (165.8089334499478,)
33 	100  	236.014	130.792	166.067	1374.99 (165.8089334499478,)
34 	100  	242.248	144.942	164.833	1447.5  (164.83252061724875,)
35 	100  	244.462	126.393	164.832	1211.22 (164.83177543751705,)
36 	100  	239.739	127.709	164.863	1318.48 (164.83177543751705,)
37 	100  	228.029	131.278	164.478	1380.92 (164.47752575891215,)
38 	100  	227.12 	124.547	164.704	1336.6  (164.47752575891215,)
39 	100  	232.125	119.406	165.411	1256.77 (164.47752575891215,)
40 	100  	237.428	130.397	165.134	1331.92 (164.47752575891215,)
41 	100  	242.424	118.471	164.642	1152.76 (164.47752575891215,)
42 	100  	236.859	138.057	165.164	1398.72 (164.47752575891215,)
43 	100  	233.174	127.971	165.112	1326.78 (164.47752575891215,)
44 	100  	239.424	128.675	166.026	1361.39 (164.47752575891215,)
45 	100  	243.831	136.856	164.818	1387.44 (164.47752575891215,)
46 	100  	237.691	129.871	165.579	1348.94 (164.47752575891215,)
47 	100  	241.462	125.044	164.899	1233.08 (164.47752575891215,)
48 	100  	237.474	128.83 	164.674	1272.02 (164.47752575891215,)
49 	100  	234.622	132.25 	165.24 	1382.05 (164.47752575891215,)
50 	100  	236.15 	125.179	164.123	1254.83 (164.12300268844879,)
51 	100  	231.787	115.034	164.237	1184.27 (164.12300268844879,)
52 	100  	233.983	130.873	163.571	1284.14 (163.57080697454668,)
53 	100  	247.279	142.532	163.771	1385.84 (163.57080697454668,)
54 	100  	244.286	131.368	163.514	1276.43 (163.51398195958254,)
55 	100  	223.431	129.741	164.494	1421.39 (163.51398195958254,)
56 	100  	232.609	124.476	165.023	1319.69 (163.51398195958254,)
57 	100  	234.446	130.087	163.729	1366.86 (163.51398195958254,)
58 	100  	249.786	132.087	162.758	1320.82 (162.75846858640128,)
59 	100  	236.551	116.385	162.002	1116.78 (162.0015247970309,)
60 	100  	246.361	137.062	162.568	1328.75 (162.0015247970309,)
61 	100  	239.735	137.617	164.583	1417.74 (162.0015247970309,)
62 	100  	249.137	138.924	162.041	1203.5  (162.0015247970309,)
63 	100  	244.89 	140.141	162.701	1295.52 (162.0015247970309,)
64 	100  	241.245	124.528	161.689	1214.7  (161.68933154402023,)
65 	100  	240.694	138.145	160.967	1236.96 (160.96678814265846,)
66 	100  	225.016	137.317	159.96 	1429.32 (159.9597151400904,)
67 	100  	226.205	134.437	160.154	1364.49 (159.9597151400904,)
68 	100  	231.818	130.088	160.597	1251.33 (159.9597151400904,)
69 	100  	252.611	145.931	162.209	1370.41 (159.9597151400904,)
70 	100  	250.161	147.037	161.935	1465.66 (159.9597151400904,)
71 	100  	242.344	147.882	161.077	1498.4  (159.9597151400904,)
72 	100  	239.482	143.761	161.083	1493.28 (159.9597151400904,)
73 	100  	240.101	132.146	160.807	1338.33 (159.9597151400904,)
74 	100  	240.342	140.718	159.813	1419.03 (159.81346340717892,)
75 	100  	246.702	144.285	160.756	1409.01 (159.81346340717892,)
76 	100  	247.144	145.836	161.038	1524.2  (159.81346340717892,)
77 	100  	238.155	123.92 	158.852	1192.86 (158.8521469423905,)
78 	100  	230.232	118.616	159.795	1109.41 (158.8521469423905,)
79 	100  	245.755	131.599	159.164	1254.09 (158.8521469423905,)
80 	100  	241.714	122.685	160.568	1204.8  (158.8521469423905,)
81 	100  	256.65 	130.839	160.047	1270.74 (158.8521469423905,)
82 	100  	242.977	120.548	160.869	1191.25 (158.8521469423905,)
83 	100  	249.69 	132.315	159.85 	1253.59 (158.8521469423905,)
84 	100  	239.262	113.191	157.8  	1109.53 (157.79986949169492,)
85 	100  	225.098	125.036	157.075	1300.09 (157.07492871905598,)
86 	100  	236.836	138.918	156.926	1355.85 (156.92623671725966,)
87 	100  	231.558	123.563	154.959	1261.07 (154.95949049559425,)
88 	100  	231.764	130.328	154.33 	1317.52 (154.33031421928197,)
89 	100  	223.402	126.653	153.347	1346.38 (153.34705537229598,)
90 	100  	260.409	162.896	153.782	1373.28 (153.34705537229598,)
91 	100  	239.588	128.669	150.537	1296.66 (150.53717679072122,)
92 	100  	223.563	117.345	148.554	1215.63 (148.5540368220752,)
93 	100  	227.62 	123.897	149.067	1115.19 (148.5540368220752,)
94 	100  	236.208	130.515	145.331	1182.68 (145.33083226984417,)
95 	100  	219.282	113.381	144.855	1160.29 (144.85455474302444,)
96 	100  	238.479	133.918	146.765	1294.54 (144.85455474302444,)
97 	100  	235.158	135.927	141.545	1327.61 (141.54473096076291,)
98 	100  	217.858	131.322	136.852	1323.73 (136.85249375589032,)
99 	100  	208.122	111.564	129.04 	1160.06 (129.03973523354372,)
100	100  	220.003	129.181	120.409	1277.09 (120.40897685249143,)
101	100  	218.532	136.545	106.605	1293.29 (106.604896464018,)
102	100  	200.777	135.794	101.213	1300.27 (101.2132335706315,)
103	100  	213.483	155.835	89.6685	1387.49 (89.668524196176904,)
104	100  	171.874	131.216	87.7878	1338.76 (87.787807198819138,)
105	100  	180.782	121.414	83.1197	1065.39 (83.119713021637466,)
