In file included from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarraytypes.h:1761:0,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/ndarrayobject.h:17,
                 from /usr/lib/python2.7/dist-packages/numpy/core/include/numpy/arrayobject.h:4,
                 from /home/pinojc/.cache/scipy/python27_compiled/sc_9bade30717731f645b30a512f757f0fa1835.cpp:22:
/usr/lib/python2.7/dist-packages/numpy/core/include/numpy/npy_1_7_deprecated_api.h:15:2: warning: #warning "Using deprecated NumPy API, disable it by " "#defining NPY_NO_DEPRECATED_API NPY_1_7_API_VERSION" [-Wcpp]
 #warning "Using deprecated NumPy API, disable it by " \
  ^
gen	evals	avg    	std   	min    	max    
0  	100  	1157.29	321.45	443.539	1775.63 (443.53867499235656,)
1  	100  	1192.84	310.108	442.274	1789.26 (442.27364311477464,)
2  	100  	1155.81	326.604	467.302	1782.75 (442.27364311477464,)
3  	100  	1124.95	347.709	364.164	1727.34 (364.16430525702822,)
4  	100  	1080.75	378.349	327.747	1714.62 (327.74683906153473,)
5  	100  	964.978	388.67 	234.458	1705.56 (234.45819390497644,)
6  	100  	885.222	421.751	257.333	1721.83 (234.45819390497644,)
7  	100  	809.942	446.798	225.268	1668.87 (225.2681299124105,)
8  	100  	735.488	478.716	202.961	1705.31 (202.96106657082601,)
9  	100  	667.126	479.324	192.257	1706.96 (192.25699448206453,)
10 	100  	618.466	502.482	192.389	1692.82 (192.25699448206453,)
11 	100  	589.432	498.132	189.714	1685.67 (189.71439043901,)
12 	100  	578.737	506.863	189.325	1721.35 (189.32470464700427,)
13 	100  	566.52 	506.811	187.383	1712.85 (187.38291202680367,)
14 	100  	530.713	483.318	187.606	1681.08 (187.38291202680367,)
15 	100  	537.35 	477.935	186.716	1734.34 (186.71566581283952,)
16 	100  	529.939	470.686	181.614	1672.27 (181.61439996793973,)
17 	100  	523.769	477.679	178.718	1691.08 (178.71827875927815,)
18 	100  	513.133	475.043	180.173	1703.54 (178.71827875927815,)
19 	100  	509.236	485.438	178.532	1681.8  (178.53236207356358,)
20 	100  	497.598	485.88 	176.743	1722.59 (176.74295769094036,)
21 	100  	508.832	496.542	174.156	1787.13 (174.15601969201776,)
22 	100  	490.207	489.141	169.498	1755.68 (169.49820370676349,)
23 	100  	482.47 	486.444	169.912	1667.44 (169.49820370676349,)
24 	100  	486.372	473.124	168.47 	1701.26 (168.4704696755874,)
25 	100  	497.712	493.057	171.316	1676.29 (168.4704696755874,)
26 	100  	482.65 	478.672	166.827	1646.91 (166.82731676857458,)
27 	100  	475.454	473.17 	172.19 	1665.65 (166.82731676857458,)
28 	100  	472.285	461.851	166.78 	1645.23 (166.78037400757648,)
29 	100  	472.231	465.087	165.753	1667.98 (165.75281977055067,)
30 	100  	484.263	467.172	168.119	1658.6  (165.75281977055067,)
31 	100  	486.512	477.602	163.4  	1721.04 (163.40034802919052,)
32 	100  	466.373	467.734	165.552	1636.81 (163.40034802919052,)
33 	100  	492.618	471.096	165.882	1719.96 (163.40034802919052,)
34 	100  	479.498	476.069	165.103	1696.3  (163.40034802919052,)
35 	100  	487.303	473.178	163.292	1693.44 (163.29212603953786,)
36 	100  	498.023	465.496	164.475	1702.31 (163.29212603953786,)
37 	100  	492.279	467.945	164.031	1681.35 (163.29212603953786,)
38 	100  	460.848	455.567	164.855	1686.26 (163.29212603953786,)
39 	100  	465.395	463.659	165.994	1702.93 (163.29212603953786,)
40 	100  	492.382	464.541	163.808	1744.13 (163.29212603953786,)
41 	100  	468.45 	456.983	165.536	1710.33 (163.29212603953786,)
42 	100  	463.2  	469.864	163.245	1702.9  (163.2447251601578,)
43 	100  	486.532	463.267	164.954	1707.19 (163.2447251601578,)
44 	100  	464.171	463.864	165.019	1622.58 (163.2447251601578,)
45 	100  	458.786	450.162	162.399	1638.44 (162.39880594809708,)
46 	100  	457.951	448.422	162.291	1680.56 (162.29104651937467,)
47 	100  	448.18 	468.469	161.915	1692.2  (161.91510605609898,)
48 	100  	457.774	465.411	160.563	1710.8  (160.56322708301443,)
49 	100  	455.869	468.489	161.449	1696.37 (160.56322708301443,)
50 	100  	457.928	488.089	161.287	1719.15 (160.56322708301443,)
51 	100  	465.205	472.593	162.231	1753.46 (160.56322708301443,)
52 	100  	460.922	466.259	161.24 	1655.89 (160.56322708301443,)
53 	100  	459.615	475.804	161.501	1702.12 (160.56322708301443,)
54 	100  	467.303	464.76 	160.818	1759.86 (160.56322708301443,)
55 	100  	463.467	467.518	162.318	1700.79 (160.56322708301443,)
56 	100  	458.719	465.058	161.315	1701.97 (160.56322708301443,)
57 	100  	463.432	443.313	160.997	1678.26 (160.56322708301443,)
58 	100  	459.136	457.537	161.49 	1698.96 (160.56322708301443,)
59 	100  	468.509	459.51 	162.034	1734.47 (160.56322708301443,)
60 	100  	454.287	469.832	160.149	1738.36 (160.14865821204319,)
61 	100  	467.675	449.487	162.229	1688    (160.14865821204319,)
62 	100  	448.956	466.521	160.638	1712.41 (160.14865821204319,)
63 	100  	457.694	463.229	160.571	1663.04 (160.14865821204319,)
64 	100  	455.028	455.854	161.176	1698.05 (160.14865821204319,)
65 	100  	449.912	471.045	159.804	1680.62 (159.80416809514264,)
66 	100  	443.379	466.372	159.661	1673.93 (159.66062501132532,)
67 	100  	449.958	453.834	160.413	1679.6  (159.66062501132532,)
68 	100  	449.304	432.985	160.728	1689.03 (159.66062501132532,)
69 	100  	441.111	459.273	161.552	1689.75 (159.66062501132532,)
70 	100  	456.501	451.097	159.312	1691.15 (159.31181906842644,)
71 	100  	444.936	451.881	160.641	1655.35 (159.31181906842644,)
72 	100  	454.921	458.707	159.723	1689.54 (159.31181906842644,)
73 	100  	452.482	448.688	160.763	1680.7  (159.31181906842644,)
74 	100  	467.981	447.685	159.075	1678.97 (159.07471281750165,)
75 	100  	453.709	466.176	159.61 	1706.94 (159.07471281750165,)
76 	100  	482.751	458.602	161.742	1724.38 (159.07471281750165,)
77 	100  	458.038	472.219	160.001	1690.78 (159.07471281750165,)
78 	100  	455.203	445.325	160.786	1682.49 (159.07471281750165,)
79 	100  	456.176	450.156	159.549	1718.39 (159.07471281750165,)
80 	100  	467.502	469.117	159.438	1720.56 (159.07471281750165,)
81 	100  	455.71 	473.3  	158.051	1745.72 (158.05135723776158,)
82 	100  	468.691	462.905	158.892	1702.91 (158.05135723776158,)
83 	100  	446.209	463.885	160.097	1658.15 (158.05135723776158,)
84 	100  	448.185	454.928	158.307	1658.82 (158.05135723776158,)
85 	100  	466.895	456.547	160.068	1692.18 (158.05135723776158,)
86 	100  	445.916	462.317	159.384	1629.89 (158.05135723776158,)
87 	100  	451.389	451.574	160.051	1701.03 (158.05135723776158,)
88 	100  	451.134	456.311	157.829	1644.29 (157.82908551254991,)
89 	100  	472.606	466.657	157.074	1669.6  (157.07403060145225,)
90 	100  	457.265	463.871	157.368	1712.62 (157.07403060145225,)
91 	100  	464.593	464.071	158.053	1719.41 (157.07403060145225,)
92 	100  	468.672	470.403	156.549	1718.85 (156.54870842150154,)
93 	100  	451.85 	459.412	154.467	1639.14 (154.46665932410525,)
94 	100  	462.178	461.6  	158.869	1704.31 (154.46665932410525,)
95 	100  	449.352	454.628	156.873	1699.1  (154.46665932410525,)
96 	100  	437.268	452.611	155.789	1697.55 (154.46665932410525,)
97 	100  	443.524	446.242	156.922	1694.46 (154.46665932410525,)
98 	100  	437.513	447.185	155.208	1689.76 (154.46665932410525,)
99 	100  	430.518	428.192	156.1  	1715.16 (154.46665932410525,)
100	100  	414.937	430.778	156.87 	1700.98 (154.46665932410525,)
101	100  	412.255	419.339	155.265	1676.56 (154.46665932410525,)
102	100  	426.131	439.417	155.079	1673.27 (154.46665932410525,)
103	100  	423.079	437.303	154.888	1688.91 (154.46665932410525,)
104	100  	418.775	439.348	154.759	1627.95 (154.46665932410525,)
105	100  	429.96 	442.297	155.431	1657.18 (154.46665932410525,)
106	100  	428.542	424.794	154.248	1690.87 (154.24835100655019,)
107	100  	408.618	426.238	154.685	1679.29 (154.24835100655019,)
108	100  	422.203	411.282	154.578	1637.49 (154.24835100655019,)
109	100  	409.678	423.186	153.662	1652.36 (153.66169745400865,)
110	100  	410.478	433.273	150.525	1695.02 (150.52505526335085,)
111	100  	402.503	423.224	146.622	1648.74 (146.62227173573464,)
112	100  	405.015	427.577	147.702	1668.81 (146.62227173573464,)
113	100  	415.392	434.13 	151.093	1711.66 (146.62227173573464,)
114	100  	393.722	416.889	151.048	1659.28 (146.62227173573464,)
115	100  	391.653	412.729	144.637	1625.89 (144.63720851959772,)
116	100  	388.845	404.516	145.72 	1706.87 (144.63720851959772,)
117	100  	374.604	405.965	152.418	1639.38 (144.63720851959772,)
118	100  	384.378	408.242	144.807	1618.56 (144.63720851959772,)
119	100  	383.667	407.774	145.521	1655.26 (144.63720851959772,)
120	100  	374.16 	390.374	142.612	1648.57 (142.61219542539669,)
121	100  	370.826	391.782	138.761	1596.16 (138.76116877321795,)
122	100  	392.831	399.051	138.068	1613.24 (138.06785897491096,)
123	100  	384.845	403.489	138.271	1646.85 (138.06785897491096,)
124	100  	392.098	409.881	133.89 	1613.81 (133.89005060344837,)
125	100  	386.812	409.252	125.356	1689.73 (125.35639457340807,)
126	100  	370.484	391.005	122.66 	1672.45 (122.66009405541416,)
127	100  	372.192	382.495	106.774	1660.7  (106.77366860731087,)
128	100  	367.826	387.922	114.905	1666.9  (106.77366860731087,)
129	100  	353.414	386.954	105.667	1568.94 (105.66727721731252,)
130	100  	370.817	379.757	100.767	1650.41 (100.76680927402946,)
131	100  	338.024	384.36 	87.1679	1690.62 (87.167896609145174,)
132	100  	342.59 	382.958	87.8128	1635.05 (87.167896609145174,)
133	100  	335.889	385.496	86.3038	1626.89 (86.303849637032528,)
134	100  	337.65 	408.194	89.7605	1706.1  (86.303849637032528,)
135	100  	328.193	393.05 	84.2036	1663.47 (84.203567315198342,)
136	100  	369.155	379.757	86.5606	1675    (84.203567315198342,)
137	100  	356.533	395.531	85.7357	1641.32 (84.203567315198342,)
138	100  	351.649	388.705	82.9283	1616.91 (82.928301539422506,)
139	100  	328.334	396.844	86.4509	1604.62 (82.928301539422506,)
140	100  	nan    	nan    	nan    	nan     (82.928301539422506,)
141	100  	314.606	389.157	81.7408	1565.68 (81.740786320158733,)
142	100  	332.568	378.347	84.1821	1601.75 (81.740786320158733,)
143	100  	318.073	385.516	83.3843	1647.34 (81.740786320158733,)
144	100  	322.863	392.92 	86.0505	1688.19 (81.740786320158733,)
145	100  	322.283	395.119	84.0395	1657.51 (81.740786320158733,)
146	100  	320.444	399.481	83.6471	1663.74 (81.740786320158733,)
147	100  	328.74 	400.487	81.9184	1634.75 (81.740786320158733,)
148	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
149	100  	319.913	400.365	82.2207	1676.58 (81.740786320158733,)
150	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
151	100  	317.433	386.488	82.6039	1631.64 (81.740786320158733,)
152	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
153	100  	315.675	392.964	83.2508	1640.98 (81.740786320158733,)
154	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
155	100  	320.274	398.633	84.4394	1620.23 (81.740786320158733,)
156	100  	315.554	386.164	83.5029	1611.46 (81.740786320158733,)
157	100  	314.554	403.019	85.4293	1624.3  (81.740786320158733,)
158	100  	327.44 	394.224	84.4875	1651.37 (81.740786320158733,)
159	100  	331.943	398.81 	85.5318	1665.72 (81.740786320158733,)
160	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
161	100  	337.029	405.923	84.7761	1687.55 (81.740786320158733,)
162	100  	334.12 	400.142	82.2395	1590.01 (81.740786320158733,)
163	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
164	100  	317.975	386.872	83.4711	1604.05 (81.740786320158733,)
165	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
166	100  	337.814	404.603	83.3117	1680.04 (81.740786320158733,)
167	100  	nan    	nan    	nan    	nan     (81.740786320158733,)
168	100  	321.495	388.459	81.7257	1640.42 (81.72566628370906,)
169	100  	321.416	382.352	82.1329	1643.25 (81.72566628370906,)
170	100  	329.543	365.571	82.7054	1714.95 (81.72566628370906,)
171	100  	325.593	371.675	86.6706	1631.35 (81.72566628370906,)
172	100  	nan    	nan    	nan    	nan     (81.72566628370906,)
173	100  	323.67 	374.272	81.8465	1676.1  (81.72566628370906,)
174	100  	314.008	379.145	82.982 	1602.39 (81.72566628370906,)
175	100  	332.504	386.25 	81.1871	1578.81 (81.187068262576958,)
176	100  	328.451	384.963	80.3305	1652.59 (80.330532643868537,)
177	100  	nan    	nan    	nan    	nan     (80.330532643868537,)
178	100  	325.036	376.745	80.2346	1692.34 (80.234621436233212,)
179	100  	314.365	383.705	81.6274	1671.64 (80.234621436233212,)
180	100  	295.218	353.805	81.4193	1673.64 (80.234621436233212,)
181	100  	296.4  	350.01 	83.1384	1548.33 (80.234621436233212,)
182	100  	309.523	358.595	81.7324	1662.05 (80.234621436233212,)
183	100  	nan    	nan    	nan    	nan     (80.234621436233212,)
184	100  	300.411	375.535	81.8053	1686.25 (80.234621436233212,)
185	100  	292.473	336.978	80.5926	1552.16 (80.234621436233212,)
186	100  	296.433	358.503	84.113 	1601.82 (80.234621436233212,)
187	100  	nan    	nan    	nan    	nan     (80.234621436233212,)
188	100  	282.28 	361.501	80.889 	1686.25 (80.234621436233212,)
